,WERN US Equity
,RETURN_COM_EQY
2020-01-01,14.0539
2020-01-02,14.0539
2020-01-03,14.0539
2020-01-04,14.0539
2020-01-05,14.0539
2020-01-06,14.0539
2020-01-07,14.0539
2020-01-08,14.0539
2020-01-09,14.0539
2020-01-10,14.0539
2020-01-11,14.0539
2020-01-12,14.0539
2020-01-13,14.0539
2020-01-14,14.0539
2020-01-15,14.0539
2020-01-16,14.0539
2020-01-17,14.0539
2020-01-18,14.0539
2020-01-19,14.0539
2020-01-20,14.0539
2020-01-21,14.0539
2020-01-22,14.0539
2020-01-23,14.0539
2020-01-24,14.0539
2020-01-25,14.0539
2020-01-26,14.0539
2020-01-27,14.0539
2020-01-28,14.0539
2020-01-29,14.0539
2020-01-30,14.0539
2020-01-31,14.0539
2020-02-01,14.0539
2020-02-02,14.0539
2020-02-03,14.0539
2020-02-04,14.0539
2020-02-05,14.0539
2020-02-06,14.0539
2020-02-07,14.0539
2020-02-08,14.0539
2020-02-09,14.0539
2020-02-10,14.0539
2020-02-11,14.0539
2020-02-12,14.0539
2020-02-13,14.0539
2020-02-14,14.0539
2020-02-15,14.0539
2020-02-16,14.0539
2020-02-17,14.0539
2020-02-18,14.0539
2020-02-19,14.0539
2020-02-20,14.0539
2020-02-21,14.0539
2020-02-22,14.0539
2020-02-23,14.0539
2020-02-24,14.0539
2020-02-25,14.0539
2020-02-26,14.0539
2020-02-27,14.0539
2020-02-28,14.0539
2020-02-29,14.0539
2020-03-01,14.0539
2020-03-02,14.0539
2020-03-03,14.0539
2020-03-04,14.0539
2020-03-05,14.0539
2020-03-06,14.0539
2020-03-07,14.0539
2020-03-08,14.0539
2020-03-09,14.0539
2020-03-10,14.0539
2020-03-11,14.0539
2020-03-12,14.0539
2020-03-13,14.0539
2020-03-14,14.0539
2020-03-15,14.0539
2020-03-16,14.0539
2020-03-17,14.0539
2020-03-18,14.0539
2020-03-19,14.0539
2020-03-20,14.0539
2020-03-21,14.0539
2020-03-22,14.0539
2020-03-23,14.0539
2020-03-24,14.0539
2020-03-25,14.0539
2020-03-26,14.0539
2020-03-27,14.0539
2020-03-28,14.0539
2020-03-29,14.0539
2020-03-30,14.0539
2020-03-31,12.9481
2020-04-01,12.9481
2020-04-02,12.9481
2020-04-03,12.9481
2020-04-04,12.9481
2020-04-05,12.9481
2020-04-06,12.9481
2020-04-07,12.9481
2020-04-08,12.9481
2020-04-09,12.9481
2020-04-10,12.9481
2020-04-11,12.9481
2020-04-12,12.9481
2020-04-13,12.9481
2020-04-14,12.9481
2020-04-15,12.9481
2020-04-16,12.9481
2020-04-17,12.9481
2020-04-18,12.9481
2020-04-19,12.9481
2020-04-20,12.9481
2020-04-21,12.9481
2020-04-22,12.9481
2020-04-23,12.9481
2020-04-24,12.9481
2020-04-25,12.9481
2020-04-26,12.9481
2020-04-27,12.9481
2020-04-28,12.9481
2020-04-29,12.9481
2020-04-30,12.9481
2020-05-01,12.9481
2020-05-02,12.9481
2020-05-03,12.9481
2020-05-04,12.9481
2020-05-05,12.9481
2020-05-06,12.9481
2020-05-07,12.9481
2020-05-08,12.9481
2020-05-09,12.9481
2020-05-10,12.9481
2020-05-11,12.9481
2020-05-12,12.9481
2020-05-13,12.9481
2020-05-14,12.9481
2020-05-15,12.9481
2020-05-16,12.9481
2020-05-17,12.9481
2020-05-18,12.9481
2020-05-19,12.9481
2020-05-20,12.9481
2020-05-21,12.9481
2020-05-22,12.9481
2020-05-23,12.9481
2020-05-24,12.9481
2020-05-25,12.9481
2020-05-26,12.9481
2020-05-27,12.9481
2020-05-28,12.9481
2020-05-29,12.9481
2020-05-30,12.9481
2020-05-31,12.9481
2020-06-01,12.9481
2020-06-02,12.9481
2020-06-03,12.9481
2020-06-04,12.9481
2020-06-05,12.9481
2020-06-06,12.9481
2020-06-07,12.9481
2020-06-08,12.9481
2020-06-09,12.9481
2020-06-10,12.9481
2020-06-11,12.9481
2020-06-12,12.9481
2020-06-13,12.9481
2020-06-14,12.9481
2020-06-15,12.9481
2020-06-16,12.9481
2020-06-17,12.9481
2020-06-18,12.9481
2020-06-19,12.9481
2020-06-20,12.9481
2020-06-21,12.9481
2020-06-22,12.9481
2020-06-23,12.9481
2020-06-24,12.9481
2020-06-25,12.9481
2020-06-26,12.9481
2020-06-27,12.9481
2020-06-28,12.9481
2020-06-29,12.9481
2020-06-30,13.8081
2020-07-01,13.8081
2020-07-02,13.8081
2020-07-03,13.8081
2020-07-04,13.8081
2020-07-05,13.8081
2020-07-06,13.8081
2020-07-07,13.8081
2020-07-08,13.8081
2020-07-09,13.8081
2020-07-10,13.8081
2020-07-11,13.8081
2020-07-12,13.8081
2020-07-13,13.8081
2020-07-14,13.8081
2020-07-15,13.8081
2020-07-16,13.8081
2020-07-17,13.8081
2020-07-18,13.8081
2020-07-19,13.8081
2020-07-20,13.8081
2020-07-21,13.8081
2020-07-22,13.8081
2020-07-23,13.8081
2020-07-24,13.8081
2020-07-25,13.8081
2020-07-26,13.8081
