,NSP US Equity
,RETURN_COM_EQY
2020-01-01,365.1177
2020-01-02,365.1177
2020-01-03,365.1177
2020-01-04,365.1177
2020-01-05,365.1177
2020-01-06,365.1177
2020-01-07,365.1177
2020-01-08,365.1177
2020-01-09,365.1177
2020-01-10,365.1177
2020-01-11,365.1177
2020-01-12,365.1177
2020-01-13,365.1177
2020-01-14,365.1177
2020-01-15,365.1177
2020-01-16,365.1177
2020-01-17,365.1177
2020-01-18,365.1177
2020-01-19,365.1177
2020-01-20,365.1177
2020-01-21,365.1177
2020-01-22,365.1177
2020-01-23,365.1177
2020-01-24,365.1177
2020-01-25,365.1177
2020-01-26,365.1177
2020-01-27,365.1177
2020-01-28,365.1177
2020-01-29,365.1177
2020-01-30,365.1177
2020-01-31,365.1177
2020-02-01,365.1177
2020-02-02,365.1177
2020-02-03,365.1177
2020-02-04,365.1177
2020-02-05,365.1177
2020-02-06,365.1177
2020-02-07,365.1177
2020-02-08,365.1177
2020-02-09,365.1177
2020-02-10,365.1177
2020-02-11,365.1177
2020-02-12,365.1177
2020-02-13,365.1177
2020-02-14,365.1177
2020-02-15,365.1177
2020-02-16,365.1177
2020-02-17,365.1177
2020-02-18,365.1177
2020-02-19,365.1177
2020-02-20,365.1177
2020-02-21,365.1177
2020-02-22,365.1177
2020-02-23,365.1177
2020-02-24,365.1177
2020-02-25,365.1177
2020-02-26,365.1177
2020-02-27,365.1177
2020-02-28,365.1177
2020-02-29,365.1177
2020-03-01,365.1177
2020-03-02,365.1177
2020-03-03,365.1177
2020-03-04,365.1177
2020-03-05,365.1177
2020-03-06,365.1177
2020-03-07,365.1177
2020-03-08,365.1177
2020-03-09,365.1177
2020-03-10,365.1177
2020-03-11,365.1177
2020-03-12,365.1177
2020-03-13,365.1177
2020-03-14,365.1177
2020-03-15,365.1177
2020-03-16,365.1177
2020-03-17,365.1177
2020-03-18,365.1177
2020-03-19,365.1177
2020-03-20,365.1177
2020-03-21,365.1177
2020-03-22,365.1177
2020-03-23,365.1177
2020-03-24,365.1177
2020-03-25,365.1177
2020-03-26,365.1177
2020-03-27,365.1177
2020-03-28,365.1177
2020-03-29,365.1177
2020-03-30,365.1177
2020-03-31,365.1177
2020-04-01,365.1177
2020-04-02,365.1177
2020-04-03,365.1177
2020-04-04,365.1177
2020-04-05,365.1177
2020-04-06,365.1177
2020-04-07,365.1177
2020-04-08,365.1177
2020-04-09,365.1177
2020-04-10,365.1177
2020-04-11,365.1177
2020-04-12,365.1177
2020-04-13,365.1177
2020-04-14,365.1177
2020-04-15,365.1177
2020-04-16,365.1177
2020-04-17,365.1177
2020-04-18,365.1177
2020-04-19,365.1177
2020-04-20,365.1177
2020-04-21,365.1177
2020-04-22,365.1177
2020-04-23,365.1177
2020-04-24,365.1177
2020-04-25,365.1177
2020-04-26,365.1177
2020-04-27,365.1177
2020-04-28,365.1177
2020-04-29,365.1177
2020-04-30,365.1177
2020-05-01,365.1177
2020-05-02,365.1177
2020-05-03,365.1177
2020-05-04,365.1177
2020-05-05,365.1177
2020-05-06,365.1177
2020-05-07,365.1177
2020-05-08,365.1177
2020-05-09,365.1177
2020-05-10,365.1177
2020-05-11,365.1177
2020-05-12,365.1177
2020-05-13,365.1177
2020-05-14,365.1177
2020-05-15,365.1177
2020-05-16,365.1177
2020-05-17,365.1177
2020-05-18,365.1177
2020-05-19,365.1177
2020-05-20,365.1177
2020-05-21,365.1177
2020-05-22,365.1177
2020-05-23,365.1177
2020-05-24,365.1177
2020-05-25,365.1177
2020-05-26,365.1177
2020-05-27,365.1177
2020-05-28,365.1177
2020-05-29,365.1177
2020-05-30,365.1177
2020-05-31,365.1177
2020-06-01,365.1177
2020-06-02,365.1177
2020-06-03,365.1177
2020-06-04,365.1177
2020-06-05,365.1177
2020-06-06,365.1177
2020-06-07,365.1177
2020-06-08,365.1177
2020-06-09,365.1177
2020-06-10,365.1177
2020-06-11,365.1177
2020-06-12,365.1177
2020-06-13,365.1177
2020-06-14,365.1177
2020-06-15,365.1177
2020-06-16,365.1177
2020-06-17,365.1177
2020-06-18,365.1177
2020-06-19,365.1177
2020-06-20,365.1177
2020-06-21,365.1177
2020-06-22,365.1177
2020-06-23,365.1177
2020-06-24,365.1177
2020-06-25,365.1177
2020-06-26,365.1177
2020-06-27,365.1177
2020-06-28,365.1177
2020-06-29,365.1177
2020-06-30,177.0775
2020-07-01,177.0775
2020-07-02,177.0775
2020-07-03,177.0775
2020-07-04,177.0775
2020-07-05,177.0775
2020-07-06,177.0775
2020-07-07,177.0775
2020-07-08,177.0775
2020-07-09,177.0775
2020-07-10,177.0775
2020-07-11,177.0775
2020-07-12,177.0775
2020-07-13,177.0775
2020-07-14,177.0775
2020-07-15,177.0775
2020-07-16,177.0775
2020-07-17,177.0775
2020-07-18,177.0775
2020-07-19,177.0775
2020-07-20,177.0775
2020-07-21,177.0775
2020-07-22,177.0775
2020-07-23,177.0775
2020-07-24,177.0775
2020-07-25,177.0775
2020-07-26,177.0775
2020-07-27,177.0775
2020-07-28,177.0775
2020-07-29,177.0775
2020-07-30,177.0775
2020-07-31,177.0775
2020-08-01,177.0775
2020-08-02,177.0775
2020-08-03,177.0775
2020-08-04,177.0775
2020-08-05,177.0775
2020-08-06,177.0775
2020-08-07,177.0775
2020-08-08,177.0775
2020-08-09,177.0775
2020-08-10,177.0775
2020-08-11,177.0775
2020-08-12,177.0775
2020-08-13,177.0775
2020-08-14,177.0775
2020-08-15,177.0775
2020-08-16,177.0775
2020-08-17,177.0775
2020-08-18,177.0775
2020-08-19,177.0775
2020-08-20,177.0775
2020-08-21,177.0775
2020-08-22,177.0775
2020-08-23,177.0775
2020-08-24,177.0775
2020-08-25,177.0775
2020-08-26,177.0775
2020-08-27,177.0775
2020-08-28,177.0775
2020-08-29,177.0775
2020-08-30,177.0775
2020-08-31,177.0775
2020-09-01,177.0775
2020-09-02,177.0775
2020-09-03,177.0775
2020-09-04,177.0775
2020-09-05,177.0775
2020-09-06,177.0775
2020-09-07,177.0775
2020-09-08,177.0775
2020-09-09,177.0775
2020-09-10,177.0775
2020-09-11,177.0775
2020-09-12,177.0775
2020-09-13,177.0775
2020-09-14,177.0775
2020-09-15,177.0775
2020-09-16,177.0775
2020-09-17,177.0775
2020-09-18,177.0775
2020-09-19,177.0775
2020-09-20,177.0775
2020-09-21,177.0775
2020-09-22,177.0775
2020-09-23,177.0775
2020-09-24,177.0775
2020-09-25,177.0775
2020-09-26,177.0775
2020-09-27,177.0775
2020-09-28,177.0775
2020-09-29,177.0775
2020-09-30,375.5645
2020-10-01,375.5645
2020-10-02,375.5645
2020-10-03,375.5645
2020-10-04,375.5645
2020-10-05,375.5645
2020-10-06,375.5645
2020-10-07,375.5645
2020-10-08,375.5645
2020-10-09,375.5645
2020-10-10,375.5645
2020-10-11,375.5645
2020-10-12,375.5645
2020-10-13,375.5645
2020-10-14,375.5645
2020-10-15,375.5645
2020-10-16,375.5645
2020-10-17,375.5645
2020-10-18,375.5645
2020-10-19,375.5645
2020-10-20,375.5645
2020-10-21,375.5645
2020-10-22,375.5645
2020-10-23,375.5645
2020-10-24,375.5645
2020-10-25,375.5645
2020-10-26,375.5645
2020-10-27,375.5645
2020-10-28,375.5645
2020-10-29,375.5645
2020-10-30,375.5645
2020-10-31,375.5645
2020-11-01,375.5645
2020-11-02,375.5645
2020-11-03,375.5645
2020-11-04,375.5645
2020-11-05,375.5645
2020-11-06,375.5645
2020-11-07,375.5645
2020-11-08,375.5645
2020-11-09,375.5645
2020-11-10,375.5645
2020-11-11,375.5645
2020-11-12,375.5645
2020-11-13,375.5645
2020-11-14,375.5645
2020-11-15,375.5645
2020-11-16,375.5645
2020-11-17,375.5645
2020-11-18,375.5645
2020-11-19,375.5645
2020-11-20,375.5645
2020-11-21,375.5645
2020-11-22,375.5645
2020-11-23,375.5645
2020-11-24,375.5645
2020-11-25,375.5645
2020-11-26,375.5645
2020-11-27,375.5645
2020-11-28,375.5645
2020-11-29,375.5645
2020-11-30,375.5645
2020-12-01,375.5645
2020-12-02,375.5645
2020-12-03,375.5645
2020-12-04,375.5645
2020-12-05,375.5645
2020-12-06,375.5645
2020-12-07,375.5645
2020-12-08,375.5645
2020-12-09,375.5645
2020-12-10,375.5645
2020-12-11,375.5645
2020-12-12,375.5645
2020-12-13,375.5645
2020-12-14,375.5645
2020-12-15,375.5645
2020-12-16,375.5645
2020-12-17,375.5645
2020-12-18,375.5645
2020-12-19,375.5645
2020-12-20,375.5645
2020-12-21,375.5645
2020-12-22,375.5645
2020-12-23,375.5645
2020-12-24,375.5645
2020-12-25,375.5645
2020-12-26,375.5645
2020-12-27,375.5645
2020-12-28,375.5645
2020-12-29,375.5645
2020-12-30,375.5645
2020-12-31,569.6501
2021-01-01,569.6501
2021-01-02,569.6501
2021-01-03,569.6501
2021-01-04,569.6501
2021-01-05,569.6501
2021-01-06,569.6501
2021-01-07,569.6501
2021-01-08,569.6501
2021-01-09,569.6501
2021-01-10,569.6501
2021-01-11,569.6501
2021-01-12,569.6501
2021-01-13,569.6501
2021-01-14,569.6501
2021-01-15,569.6501
2021-01-16,569.6501
2021-01-17,569.6501
2021-01-18,569.6501
2021-01-19,569.6501
2021-01-20,569.6501
2021-01-21,569.6501
2021-01-22,569.6501
2021-01-23,569.6501
2021-01-24,569.6501
2021-01-25,569.6501
2021-01-26,569.6501
2021-01-27,569.6501
2021-01-28,569.6501
2021-01-29,569.6501
2021-01-30,569.6501
2021-01-31,569.6501
2021-02-01,569.6501
2021-02-02,569.6501
2021-02-03,569.6501
2021-02-04,569.6501
2021-02-05,569.6501
2021-02-06,569.6501
2021-02-07,569.6501
2021-02-08,569.6501
2021-02-09,569.6501
2021-02-10,569.6501
2021-02-11,569.6501
2021-02-12,569.6501
2021-02-13,569.6501
2021-02-14,569.6501
2021-02-15,569.6501
2021-02-16,569.6501
2021-02-17,569.6501
2021-02-18,569.6501
2021-02-19,569.6501
2021-02-20,569.6501
2021-02-21,569.6501
2021-02-22,569.6501
2021-02-23,569.6501
2021-02-24,569.6501
2021-02-25,569.6501
2021-02-26,569.6501
2021-02-27,569.6501
2021-02-28,569.6501
2021-03-01,569.6501
2021-03-02,569.6501
2021-03-03,569.6501
2021-03-04,569.6501
2021-03-05,569.6501
2021-03-06,569.6501
2021-03-07,569.6501
2021-03-08,569.6501
2021-03-09,569.6501
2021-03-10,569.6501
2021-03-11,569.6501
2021-03-12,569.6501
2021-03-13,569.6501
2021-03-14,569.6501
2021-03-15,569.6501
2021-03-16,569.6501
2021-03-17,569.6501
2021-03-18,569.6501
2021-03-19,569.6501
2021-03-20,569.6501
2021-03-21,569.6501
2021-03-22,569.6501
2021-03-23,569.6501
2021-03-24,569.6501
2021-03-25,569.6501
2021-03-26,569.6501
2021-03-27,569.6501
2021-03-28,569.6501
2021-03-29,569.6501
2021-03-30,569.6501
2021-03-31,569.6501
2021-04-01,569.6501
2021-04-02,569.6501
2021-04-03,569.6501
2021-04-04,569.6501
2021-04-05,569.6501
2021-04-06,569.6501
2021-04-07,569.6501
2021-04-08,569.6501
2021-04-09,569.6501
2021-04-10,569.6501
2021-04-11,569.6501
2021-04-12,569.6501
2021-04-13,569.6501
2021-04-14,569.6501
2021-04-15,569.6501
2021-04-16,569.6501
2021-04-17,569.6501
2021-04-18,569.6501
2021-04-19,569.6501
2021-04-20,569.6501
2021-04-21,569.6501
2021-04-22,569.6501
2021-04-23,569.6501
2021-04-24,569.6501
2021-04-25,569.6501
2021-04-26,569.6501
2021-04-27,569.6501
2021-04-28,569.6501
2021-04-29,569.6501
2021-04-30,569.6501
2021-05-01,569.6501
2021-05-02,569.6501
2021-05-03,569.6501
2021-05-04,569.6501
2021-05-05,569.6501
2021-05-06,569.6501
2021-05-07,569.6501
2021-05-08,569.6501
2021-05-09,569.6501
2021-05-10,569.6501
2021-05-11,569.6501
2021-05-12,569.6501
2021-05-13,569.6501
2021-05-14,569.6501
2021-05-15,569.6501
2021-05-16,569.6501
2021-05-17,569.6501
2021-05-18,569.6501
2021-05-19,569.6501
2021-05-20,569.6501
2021-05-21,569.6501
2021-05-22,569.6501
2021-05-23,569.6501
2021-05-24,569.6501
