,OXY US Equity
,RETURN_COM_EQY
2020-01-01,-4.3984
2020-01-02,-4.3984
2020-01-03,-4.3984
2020-01-04,-4.3984
2020-01-05,-4.3984
2020-01-06,-4.3984
2020-01-07,-4.3984
2020-01-08,-4.3984
2020-01-09,-4.3984
2020-01-10,-4.3984
2020-01-11,-4.3984
2020-01-12,-4.3984
2020-01-13,-4.3984
2020-01-14,-4.3984
2020-01-15,-4.3984
2020-01-16,-4.3984
2020-01-17,-4.3984
2020-01-18,-4.3984
2020-01-19,-4.3984
2020-01-20,-4.3984
2020-01-21,-4.3984
2020-01-22,-4.3984
2020-01-23,-4.3984
2020-01-24,-4.3984
2020-01-25,-4.3984
2020-01-26,-4.3984
2020-01-27,-4.3984
2020-01-28,-4.3984
2020-01-29,-4.3984
2020-01-30,-4.3984
2020-01-31,-4.3984
2020-02-01,-4.3984
2020-02-02,-4.3984
2020-02-03,-4.3984
2020-02-04,-4.3984
2020-02-05,-4.3984
2020-02-06,-4.3984
2020-02-07,-4.3984
2020-02-08,-4.3984
2020-02-09,-4.3984
2020-02-10,-4.3984
2020-02-11,-4.3984
2020-02-12,-4.3984
2020-02-13,-4.3984
2020-02-14,-4.3984
2020-02-15,-4.3984
2020-02-16,-4.3984
2020-02-17,-4.3984
2020-02-18,-4.3984
2020-02-19,-4.3984
2020-02-20,-4.3984
2020-02-21,-4.3984
2020-02-22,-4.3984
2020-02-23,-4.3984
2020-02-24,-4.3984
2020-02-25,-4.3984
2020-02-26,-4.3984
2020-02-27,-4.3984
2020-02-28,-4.3984
2020-02-29,-4.3984
2020-03-01,-4.3984
2020-03-02,-4.3984
2020-03-03,-4.3984
2020-03-04,-4.3984
2020-03-05,-4.3984
2020-03-06,-4.3984
2020-03-07,-4.3984
2020-03-08,-4.3984
2020-03-09,-4.3984
2020-03-10,-4.3984
2020-03-11,-4.3984
2020-03-12,-4.3984
2020-03-13,-4.3984
2020-03-14,-4.3984
2020-03-15,-4.3984
2020-03-16,-4.3984
2020-03-17,-4.3984
2020-03-18,-4.3984
2020-03-19,-4.3984
2020-03-20,-4.3984
2020-03-21,-4.3984
2020-03-22,-4.3984
2020-03-23,-4.3984
2020-03-24,-4.3984
2020-03-25,-4.3984
2020-03-26,-4.3984
2020-03-27,-4.3984
2020-03-28,-4.3984
2020-03-29,-4.3984
2020-03-30,-4.3984
2020-03-31,-18.0084
2020-04-01,-18.0084
2020-04-02,-18.0084
2020-04-03,-18.0084
2020-04-04,-18.0084
2020-04-05,-18.0084
2020-04-06,-18.0084
2020-04-07,-18.0084
2020-04-08,-18.0084
2020-04-09,-18.0084
2020-04-10,-18.0084
2020-04-11,-18.0084
2020-04-12,-18.0084
2020-04-13,-18.0084
2020-04-14,-18.0084
2020-04-15,-18.0084
2020-04-16,-18.0084
2020-04-17,-18.0084
2020-04-18,-18.0084
2020-04-19,-18.0084
2020-04-20,-18.0084
2020-04-21,-18.0084
2020-04-22,-18.0084
2020-04-23,-18.0084
2020-04-24,-18.0084
2020-04-25,-18.0084
2020-04-26,-18.0084
2020-04-27,-18.0084
2020-04-28,-18.0084
2020-04-29,-18.0084
2020-04-30,-18.0084
2020-05-01,-18.0084
2020-05-02,-18.0084
2020-05-03,-18.0084
2020-05-04,-18.0084
2020-05-05,-18.0084
2020-05-06,-18.0084
2020-05-07,-18.0084
2020-05-08,-18.0084
2020-05-09,-18.0084
2020-05-10,-18.0084
2020-05-11,-18.0084
2020-05-12,-18.0084
2020-05-13,-18.0084
2020-05-14,-18.0084
2020-05-15,-18.0084
2020-05-16,-18.0084
2020-05-17,-18.0084
2020-05-18,-18.0084
2020-05-19,-18.0084
2020-05-20,-18.0084
2020-05-21,-18.0084
2020-05-22,-18.0084
2020-05-23,-18.0084
2020-05-24,-18.0084
2020-05-25,-18.0084
2020-05-26,-18.0084
2020-05-27,-18.0084
2020-05-28,-18.0084
2020-05-29,-18.0084
2020-05-30,-18.0084
2020-05-31,-18.0084
2020-06-01,-18.0084
2020-06-02,-18.0084
2020-06-03,-18.0084
2020-06-04,-18.0084
2020-06-05,-18.0084
2020-06-06,-18.0084
2020-06-07,-18.0084
2020-06-08,-18.0084
2020-06-09,-18.0084
2020-06-10,-18.0084
2020-06-11,-18.0084
2020-06-12,-18.0084
2020-06-13,-18.0084
2020-06-14,-18.0084
2020-06-15,-18.0084
2020-06-16,-18.0084
2020-06-17,-18.0084
2020-06-18,-18.0084
2020-06-19,-18.0084
2020-06-20,-18.0084
2020-06-21,-18.0084
2020-06-22,-18.0084
2020-06-23,-18.0084
2020-06-24,-18.0084
2020-06-25,-18.0084
2020-06-26,-18.0084
2020-06-27,-18.0084
2020-06-28,-18.0084
2020-06-29,-18.0084
2020-06-30,-75.0797
2020-07-01,-75.0797
2020-07-02,-75.0797
2020-07-03,-75.0797
2020-07-04,-75.0797
2020-07-05,-75.0797
2020-07-06,-75.0797
2020-07-07,-75.0797
2020-07-08,-75.0797
2020-07-09,-75.0797
2020-07-10,-75.0797
2020-07-11,-75.0797
2020-07-12,-75.0797
2020-07-13,-75.0797
2020-07-14,-75.0797
2020-07-15,-75.0797
2020-07-16,-75.0797
2020-07-17,-75.0797
2020-07-18,-75.0797
2020-07-19,-75.0797
2020-07-20,-75.0797
2020-07-21,-75.0797
2020-07-22,-75.0797
2020-07-23,-75.0797
2020-07-24,-75.0797
2020-07-25,-75.0797
2020-07-26,-75.0797
2020-07-27,-75.0797
2020-07-28,-75.0797
2020-07-29,-75.0797
2020-07-30,-75.0797
2020-07-31,-75.0797
2020-08-01,-75.0797
2020-08-02,-75.0797
2020-08-03,-75.0797
2020-08-04,-75.0797
2020-08-05,-75.0797
2020-08-06,-75.0797
2020-08-07,-75.0797
2020-08-08,-75.0797
2020-08-09,-75.0797
2020-08-10,-75.0797
2020-08-11,-75.0797
2020-08-12,-75.0797
2020-08-13,-75.0797
2020-08-14,-75.0797
2020-08-15,-75.0797
2020-08-16,-75.0797
2020-08-17,-75.0797
2020-08-18,-75.0797
2020-08-19,-75.0797
2020-08-20,-75.0797
2020-08-21,-75.0797
2020-08-22,-75.0797
2020-08-23,-75.0797
2020-08-24,-75.0797
2020-08-25,-75.0797
2020-08-26,-75.0797
2020-08-27,-75.0797
2020-08-28,-75.0797
2020-08-29,-75.0797
2020-08-30,-75.0797
2020-08-31,-75.0797
2020-09-01,-75.0797
2020-09-02,-75.0797
2020-09-03,-75.0797
2020-09-04,-75.0797
2020-09-05,-75.0797
2020-09-06,-75.0797
2020-09-07,-75.0797
2020-09-08,-75.0797
2020-09-09,-75.0797
2020-09-10,-75.0797
2020-09-11,-75.0797
2020-09-12,-75.0797
2020-09-13,-75.0797
2020-09-14,-75.0797
2020-09-15,-75.0797
2020-09-16,-75.0797
2020-09-17,-75.0797
2020-09-18,-75.0797
2020-09-19,-75.0797
2020-09-20,-75.0797
2020-09-21,-75.0797
2020-09-22,-75.0797
2020-09-23,-75.0797
2020-09-24,-75.0797
2020-09-25,-75.0797
2020-09-26,-75.0797
2020-09-27,-75.0797
2020-09-28,-75.0797
2020-09-29,-75.0797
2020-09-30,-89.8798
2020-10-01,-89.8798
2020-10-02,-89.8798
2020-10-03,-89.8798
2020-10-04,-89.8798
2020-10-05,-89.8798
2020-10-06,-89.8798
2020-10-07,-89.8798
2020-10-08,-89.8798
2020-10-09,-89.8798
2020-10-10,-89.8798
2020-10-11,-89.8798
2020-10-12,-89.8798
2020-10-13,-89.8798
2020-10-14,-89.8798
2020-10-15,-89.8798
2020-10-16,-89.8798
2020-10-17,-89.8798
2020-10-18,-89.8798
2020-10-19,-89.8798
2020-10-20,-89.8798
2020-10-21,-89.8798
2020-10-22,-89.8798
2020-10-23,-89.8798
2020-10-24,-89.8798
2020-10-25,-89.8798
2020-10-26,-89.8798
2020-10-27,-89.8798
2020-10-28,-89.8798
2020-10-29,-89.8798
2020-10-30,-89.8798
2020-10-31,-89.8798
2020-11-01,-89.8798
2020-11-02,-89.8798
2020-11-03,-89.8798
2020-11-04,-89.8798
2020-11-05,-89.8798
2020-11-06,-89.8798
2020-11-07,-89.8798
2020-11-08,-89.8798
2020-11-09,-89.8798
2020-11-10,-89.8798
2020-11-11,-89.8798
2020-11-12,-89.8798
2020-11-13,-89.8798
2020-11-14,-89.8798
2020-11-15,-89.8798
2020-11-16,-89.8798
2020-11-17,-89.8798
2020-11-18,-89.8798
2020-11-19,-89.8798
2020-11-20,-89.8798
2020-11-21,-89.8798
2020-11-22,-89.8798
2020-11-23,-89.8798
2020-11-24,-89.8798
2020-11-25,-89.8798
2020-11-26,-89.8798
2020-11-27,-89.8798
2020-11-28,-89.8798
2020-11-29,-89.8798
2020-11-30,-89.8798
2020-12-01,-89.8798
2020-12-02,-89.8798
2020-12-03,-89.8798
2020-12-04,-89.8798
2020-12-05,-89.8798
2020-12-06,-89.8798
2020-12-07,-89.8798
2020-12-08,-89.8798
2020-12-09,-89.8798
2020-12-10,-89.8798
2020-12-11,-89.8798
2020-12-12,-89.8798
2020-12-13,-89.8798
2020-12-14,-89.8798
2020-12-15,-89.8798
2020-12-16,-89.8798
2020-12-17,-89.8798
2020-12-18,-89.8798
2020-12-19,-89.8798
2020-12-20,-89.8798
2020-12-21,-89.8798
2020-12-22,-89.8798
2020-12-23,-89.8798
2020-12-24,-89.8798
2020-12-25,-89.8798
