,AA US Equity
,RETURN_COM_EQY
2020-01-01,-23.1244
2020-01-02,-23.1244
2020-01-03,-23.1244
2020-01-04,-23.1244
2020-01-05,-23.1244
2020-01-06,-23.1244
2020-01-07,-23.1244
2020-01-08,-23.1244
2020-01-09,-23.1244
2020-01-10,-23.1244
2020-01-11,-23.1244
2020-01-12,-23.1244
2020-01-13,-23.1244
2020-01-14,-23.1244
2020-01-15,-23.1244
2020-01-16,-23.1244
2020-01-17,-23.1244
2020-01-18,-23.1244
2020-01-19,-23.1244
2020-01-20,-23.1244
2020-01-21,-23.1244
2020-01-22,-23.1244
2020-01-23,-23.1244
2020-01-24,-23.1244
2020-01-25,-23.1244
2020-01-26,-23.1244
2020-01-27,-23.1244
2020-01-28,-23.1244
2020-01-29,-23.1244
2020-01-30,-23.1244
2020-01-31,-23.1244
2020-02-01,-23.1244
2020-02-02,-23.1244
2020-02-03,-23.1244
2020-02-04,-23.1244
2020-02-05,-23.1244
2020-02-06,-23.1244
2020-02-07,-23.1244
2020-02-08,-23.1244
2020-02-09,-23.1244
2020-02-10,-23.1244
2020-02-11,-23.1244
2020-02-12,-23.1244
2020-02-13,-23.1244
2020-02-14,-23.1244
2020-02-15,-23.1244
2020-02-16,-23.1244
2020-02-17,-23.1244
2020-02-18,-23.1244
2020-02-19,-23.1244
2020-02-20,-23.1244
2020-02-21,-23.1244
2020-02-22,-23.1244
2020-02-23,-23.1244
2020-02-24,-23.1244
2020-02-25,-23.1244
2020-02-26,-23.1244
2020-02-27,-23.1244
2020-02-28,-23.1244
2020-02-29,-23.1244
2020-03-01,-23.1244
2020-03-02,-23.1244
2020-03-03,-23.1244
2020-03-04,-23.1244
2020-03-05,-23.1244
2020-03-06,-23.1244
2020-03-07,-23.1244
2020-03-08,-23.1244
2020-03-09,-23.1244
2020-03-10,-23.1244
2020-03-11,-23.1244
2020-03-12,-23.1244
2020-03-13,-23.1244
2020-03-14,-23.1244
2020-03-15,-23.1244
2020-03-16,-23.1244
2020-03-17,-23.1244
2020-03-18,-23.1244
2020-03-19,-23.1244
2020-03-20,-23.1244
2020-03-21,-23.1244
2020-03-22,-23.1244
2020-03-23,-23.1244
2020-03-24,-23.1244
2020-03-25,-23.1244
2020-03-26,-23.1244
2020-03-27,-23.1244
2020-03-28,-23.1244
2020-03-29,-23.1244
2020-03-30,-23.1244
2020-03-31,-17.9389
2020-04-01,-17.9389
2020-04-02,-17.9389
2020-04-03,-17.9389
2020-04-04,-17.9389
2020-04-05,-17.9389
2020-04-06,-17.9389
2020-04-07,-17.9389
2020-04-08,-17.9389
2020-04-09,-17.9389
2020-04-10,-17.9389
2020-04-11,-17.9389
2020-04-12,-17.9389
2020-04-13,-17.9389
2020-04-14,-17.9389
2020-04-15,-17.9389
2020-04-16,-17.9389
2020-04-17,-17.9389
2020-04-18,-17.9389
2020-04-19,-17.9389
2020-04-20,-17.9389
2020-04-21,-17.9389
2020-04-22,-17.9389
2020-04-23,-17.9389
2020-04-24,-17.9389
2020-04-25,-17.9389
2020-04-26,-17.9389
2020-04-27,-17.9389
2020-04-28,-17.9389
2020-04-29,-17.9389
2020-04-30,-17.9389
2020-05-01,-17.9389
2020-05-02,-17.9389
2020-05-03,-17.9389
2020-05-04,-17.9389
2020-05-05,-17.9389
2020-05-06,-17.9389
2020-05-07,-17.9389
2020-05-08,-17.9389
2020-05-09,-17.9389
2020-05-10,-17.9389
2020-05-11,-17.9389
2020-05-12,-17.9389
2020-05-13,-17.9389
2020-05-14,-17.9389
2020-05-15,-17.9389
2020-05-16,-17.9389
2020-05-17,-17.9389
2020-05-18,-17.9389
2020-05-19,-17.9389
2020-05-20,-17.9389
2020-05-21,-17.9389
2020-05-22,-17.9389
2020-05-23,-17.9389
2020-05-24,-17.9389
2020-05-25,-17.9389
2020-05-26,-17.9389
2020-05-27,-17.9389
2020-05-28,-17.9389
2020-05-29,-17.9389
2020-05-30,-17.9389
2020-05-31,-17.9389
2020-06-01,-17.9389
2020-06-02,-17.9389
2020-06-03,-17.9389
2020-06-04,-17.9389
2020-06-05,-17.9389
2020-06-06,-17.9389
2020-06-07,-17.9389
2020-06-08,-17.9389
2020-06-09,-17.9389
2020-06-10,-17.9389
2020-06-11,-17.9389
2020-06-12,-17.9389
2020-06-13,-17.9389
2020-06-14,-17.9389
2020-06-15,-17.9389
2020-06-16,-17.9389
2020-06-17,-17.9389
2020-06-18,-17.9389
2020-06-19,-17.9389
2020-06-20,-17.9389
2020-06-21,-17.9389
2020-06-22,-17.9389
2020-06-23,-17.9389
2020-06-24,-17.9389
2020-06-25,-17.9389
2020-06-26,-17.9389
2020-06-27,-17.9389
2020-06-28,-17.9389
2020-06-29,-17.9389
2020-06-30,-16.4002
2020-07-01,-16.4002
2020-07-02,-16.4002
2020-07-03,-16.4002
2020-07-04,-16.4002
2020-07-05,-16.4002
2020-07-06,-16.4002
2020-07-07,-16.4002
2020-07-08,-16.4002
2020-07-09,-16.4002
2020-07-10,-16.4002
2020-07-11,-16.4002
2020-07-12,-16.4002
2020-07-13,-16.4002
2020-07-14,-16.4002
2020-07-15,-16.4002
2020-07-16,-16.4002
2020-07-17,-16.4002
2020-07-18,-16.4002
2020-07-19,-16.4002
2020-07-20,-16.4002
2020-07-21,-16.4002
2020-07-22,-16.4002
2020-07-23,-16.4002
2020-07-24,-16.4002
2020-07-25,-16.4002
2020-07-26,-16.4002
2020-07-27,-16.4002
2020-07-28,-16.4002
2020-07-29,-16.4002
2020-07-30,-16.4002
2020-07-31,-16.4002
2020-08-01,-16.4002
2020-08-02,-16.4002
2020-08-03,-16.4002
2020-08-04,-16.4002
2020-08-05,-16.4002
2020-08-06,-16.4002
2020-08-07,-16.4002
2020-08-08,-16.4002
2020-08-09,-16.4002
2020-08-10,-16.4002
2020-08-11,-16.4002
2020-08-12,-16.4002
2020-08-13,-16.4002
2020-08-14,-16.4002
2020-08-15,-16.4002
2020-08-16,-16.4002
2020-08-17,-16.4002
2020-08-18,-16.4002
2020-08-19,-16.4002
2020-08-20,-16.4002
2020-08-21,-16.4002
2020-08-22,-16.4002
2020-08-23,-16.4002
2020-08-24,-16.4002
2020-08-25,-16.4002
2020-08-26,-16.4002
2020-08-27,-16.4002
2020-08-28,-16.4002
2020-08-29,-16.4002
2020-08-30,-16.4002
2020-08-31,-16.4002
2020-09-01,-16.4002
2020-09-02,-16.4002
2020-09-03,-16.4002
2020-09-04,-16.4002
2020-09-05,-16.4002
2020-09-06,-16.4002
2020-09-07,-16.4002
2020-09-08,-16.4002
2020-09-09,-16.4002
2020-09-10,-16.4002
2020-09-11,-16.4002
2020-09-12,-16.4002
2020-09-13,-16.4002
2020-09-14,-16.4002
2020-09-15,-16.4002
2020-09-16,-16.4002
