,EFX US Equity
,RETURN_COM_EQY
2020-01-01,-13.7943
2020-01-02,-13.7943
2020-01-03,-13.7943
2020-01-04,-13.7943
2020-01-05,-13.7943
2020-01-06,-13.7943
2020-01-07,-13.7943
2020-01-08,-13.7943
2020-01-09,-13.7943
2020-01-10,-13.7943
2020-01-11,-13.7943
2020-01-12,-13.7943
2020-01-13,-13.7943
2020-01-14,-13.7943
2020-01-15,-13.7943
2020-01-16,-13.7943
2020-01-17,-13.7943
2020-01-18,-13.7943
2020-01-19,-13.7943
2020-01-20,-13.7943
2020-01-21,-13.7943
2020-01-22,-13.7943
2020-01-23,-13.7943
2020-01-24,-13.7943
2020-01-25,-13.7943
2020-01-26,-13.7943
2020-01-27,-13.7943
2020-01-28,-13.7943
2020-01-29,-13.7943
2020-01-30,-13.7943
2020-01-31,-13.7943
2020-02-01,-13.7943
2020-02-02,-13.7943
2020-02-03,-13.7943
2020-02-04,-13.7943
2020-02-05,-13.7943
2020-02-06,-13.7943
2020-02-07,-13.7943
2020-02-08,-13.7943
2020-02-09,-13.7943
2020-02-10,-13.7943
2020-02-11,-13.7943
2020-02-12,-13.7943
2020-02-13,-13.7943
2020-02-14,-13.7943
2020-02-15,-13.7943
2020-02-16,-13.7943
2020-02-17,-13.7943
2020-02-18,-13.7943
2020-02-19,-13.7943
2020-02-20,-13.7943
2020-02-21,-13.7943
2020-02-22,-13.7943
2020-02-23,-13.7943
2020-02-24,-13.7943
2020-02-25,-13.7943
2020-02-26,-13.7943
2020-02-27,-13.7943
2020-02-28,-13.7943
2020-02-29,-13.7943
2020-03-01,-13.7943
2020-03-02,-13.7943
2020-03-03,-13.7943
2020-03-04,-13.7943
2020-03-05,-13.7943
2020-03-06,-13.7943
2020-03-07,-13.7943
2020-03-08,-13.7943
2020-03-09,-13.7943
2020-03-10,-13.7943
2020-03-11,-13.7943
2020-03-12,-13.7943
2020-03-13,-13.7943
2020-03-14,-13.7943
2020-03-15,-13.7943
2020-03-16,-13.7943
2020-03-17,-13.7943
2020-03-18,-13.7943
2020-03-19,-13.7943
2020-03-20,-13.7943
2020-03-21,-13.7943
2020-03-22,-13.7943
2020-03-23,-13.7943
2020-03-24,-13.7943
2020-03-25,-13.7943
2020-03-26,-13.7943
2020-03-27,-13.7943
2020-03-28,-13.7943
2020-03-29,-13.7943
2020-03-30,-13.7943
2020-03-31,11.3415
2020-04-01,11.3415
2020-04-02,11.3415
2020-04-03,11.3415
2020-04-04,11.3415
2020-04-05,11.3415
2020-04-06,11.3415
2020-04-07,11.3415
2020-04-08,11.3415
2020-04-09,11.3415
2020-04-10,11.3415
2020-04-11,11.3415
