,ALK US Equity
,RETURN_COM_EQY
2020-01-01,19.0299
2020-01-02,19.0299
2020-01-03,19.0299
2020-01-04,19.0299
2020-01-05,19.0299
2020-01-06,19.0299
2020-01-07,19.0299
2020-01-08,19.0299
2020-01-09,19.0299
2020-01-10,19.0299
2020-01-11,19.0299
2020-01-12,19.0299
2020-01-13,19.0299
2020-01-14,19.0299
2020-01-15,19.0299
2020-01-16,19.0299
2020-01-17,19.0299
2020-01-18,19.0299
2020-01-19,19.0299
2020-01-20,19.0299
2020-01-21,19.0299
2020-01-22,19.0299
2020-01-23,19.0299
2020-01-24,19.0299
2020-01-25,19.0299
2020-01-26,19.0299
2020-01-27,19.0299
2020-01-28,19.0299
2020-01-29,19.0299
2020-01-30,19.0299
2020-01-31,19.0299
2020-02-01,19.0299
2020-02-02,19.0299
2020-02-03,19.0299
2020-02-04,19.0299
2020-02-05,19.0299
2020-02-06,19.0299
2020-02-07,19.0299
2020-02-08,19.0299
2020-02-09,19.0299
2020-02-10,19.0299
2020-02-11,19.0299
2020-02-12,19.0299
2020-02-13,19.0299
2020-02-14,19.0299
2020-02-15,19.0299
2020-02-16,19.0299
2020-02-17,19.0299
2020-02-18,19.0299
2020-02-19,19.0299
2020-02-20,19.0299
2020-02-21,19.0299
2020-02-22,19.0299
2020-02-23,19.0299
2020-02-24,19.0299
2020-02-25,19.0299
2020-02-26,19.0299
2020-02-27,19.0299
2020-02-28,19.0299
2020-02-29,19.0299
2020-03-01,19.0299
2020-03-02,19.0299
2020-03-03,19.0299
2020-03-04,19.0299
2020-03-05,19.0299
2020-03-06,19.0299
2020-03-07,19.0299
2020-03-08,19.0299
2020-03-09,19.0299
2020-03-10,19.0299
2020-03-11,19.0299
2020-03-12,19.0299
2020-03-13,19.0299
2020-03-14,19.0299
2020-03-15,19.0299
2020-03-16,19.0299
2020-03-17,19.0299
2020-03-18,19.0299
2020-03-19,19.0299
2020-03-20,19.0299
2020-03-21,19.0299
2020-03-22,19.0299
2020-03-23,19.0299
2020-03-24,19.0299
2020-03-25,19.0299
2020-03-26,19.0299
2020-03-27,19.0299
2020-03-28,19.0299
2020-03-29,19.0299
2020-03-30,19.0299
2020-03-31,13.7353
2020-04-01,13.7353
2020-04-02,13.7353
2020-04-03,13.7353
2020-04-04,13.7353
2020-04-05,13.7353
2020-04-06,13.7353
2020-04-07,13.7353
2020-04-08,13.7353
2020-04-09,13.7353
2020-04-10,13.7353
2020-04-11,13.7353
2020-04-12,13.7353
2020-04-13,13.7353
2020-04-14,13.7353
2020-04-15,13.7353
2020-04-16,13.7353
2020-04-17,13.7353
2020-04-18,13.7353
2020-04-19,13.7353
2020-04-20,13.7353
2020-04-21,13.7353
2020-04-22,13.7353
2020-04-23,13.7353
2020-04-24,13.7353
2020-04-25,13.7353
2020-04-26,13.7353
2020-04-27,13.7353
2020-04-28,13.7353
2020-04-29,13.7353
2020-04-30,13.7353
2020-05-01,13.7353
2020-05-02,13.7353
2020-05-03,13.7353
2020-05-04,13.7353
2020-05-05,13.7353
2020-05-06,13.7353
2020-05-07,13.7353
2020-05-08,13.7353
2020-05-09,13.7353
2020-05-10,13.7353
2020-05-11,13.7353
2020-05-12,13.7353
2020-05-13,13.7353
2020-05-14,13.7353
2020-05-15,13.7353
2020-05-16,13.7353
2020-05-17,13.7353
