,K US Equity
,RETURN_COM_EQY
2020-01-01,35.9013
2020-01-02,35.9013
2020-01-03,35.9013
2020-01-04,35.9013
2020-01-05,35.9013
2020-01-06,35.9013
2020-01-07,35.9013
2020-01-08,35.9013
2020-01-09,35.9013
2020-01-10,35.9013
2020-01-11,35.9013
2020-01-12,35.9013
2020-01-13,35.9013
2020-01-14,35.9013
2020-01-15,35.9013
2020-01-16,35.9013
2020-01-17,35.9013
2020-01-18,35.9013
2020-01-19,35.9013
2020-01-20,35.9013
2020-01-21,35.9013
2020-01-22,35.9013
2020-01-23,35.9013
2020-01-24,35.9013
2020-01-25,35.9013
2020-01-26,35.9013
2020-01-27,35.9013
2020-01-28,35.9013
2020-01-29,35.9013
2020-01-30,35.9013
2020-01-31,35.9013
2020-02-01,35.9013
2020-02-02,35.9013
2020-02-03,35.9013
2020-02-04,35.9013
2020-02-05,35.9013
2020-02-06,35.9013
2020-02-07,35.9013
2020-02-08,35.9013
2020-02-09,35.9013
2020-02-10,35.9013
2020-02-11,35.9013
2020-02-12,35.9013
2020-02-13,35.9013
2020-02-14,35.9013
2020-02-15,35.9013
2020-02-16,35.9013
2020-02-17,35.9013
2020-02-18,35.9013
2020-02-19,35.9013
2020-02-20,35.9013
2020-02-21,35.9013
2020-02-22,35.9013
2020-02-23,35.9013
2020-02-24,35.9013
2020-02-25,35.9013
2020-02-26,35.9013
2020-02-27,35.9013
2020-02-28,35.9013
2020-02-29,35.9013
2020-03-01,35.9013
2020-03-02,35.9013
2020-03-03,35.9013
2020-03-04,35.9013
2020-03-05,35.9013
2020-03-06,35.9013
2020-03-07,35.9013
2020-03-08,35.9013
2020-03-09,35.9013
2020-03-10,35.9013
2020-03-11,35.9013
2020-03-12,35.9013
2020-03-13,35.9013
2020-03-14,35.9013
2020-03-15,35.9013
2020-03-16,35.9013
2020-03-17,35.9013
2020-03-18,35.9013
2020-03-19,35.9013
2020-03-20,35.9013
2020-03-21,35.9013
2020-03-22,35.9013
2020-03-23,35.9013
2020-03-24,35.9013
2020-03-25,35.9013
2020-03-26,35.9013
2020-03-27,35.9013
2020-03-28,39.3701
2020-03-29,39.3701
2020-03-30,39.3701
2020-03-31,39.3701
2020-04-01,39.3701
