,BBY US Equity
,RETURN_COM_EQY
2020-01-01,49.8941
2020-01-02,49.8941
2020-01-03,49.8941
2020-01-04,49.8941
2020-01-05,49.8941
2020-01-06,49.8941
2020-01-07,49.8941
2020-01-08,49.8941
2020-01-09,49.8941
2020-01-10,49.8941
2020-01-11,49.8941
2020-01-12,49.8941
2020-01-13,49.8941
2020-01-14,49.8941
2020-01-15,49.8941
2020-01-16,49.8941
2020-01-17,49.8941
2020-01-18,49.8941
2020-01-19,49.8941
2020-01-20,49.8941
2020-01-21,49.8941
2020-01-22,49.8941
2020-01-23,49.8941
2020-01-24,49.8941
2020-01-25,49.8941
2020-01-26,49.8941
2020-01-27,49.8941
2020-01-28,49.8941
2020-01-29,49.8941
2020-01-30,49.8941
2020-01-31,49.8941
2020-02-01,45.4237
2020-02-02,45.4237
2020-02-03,45.4237
2020-02-04,45.4237
2020-02-05,45.4237
2020-02-06,45.4237
2020-02-07,45.4237
2020-02-08,45.4237
2020-02-09,45.4237
2020-02-10,45.4237
2020-02-11,45.4237
2020-02-12,45.4237
2020-02-13,45.4237
2020-02-14,45.4237
2020-02-15,45.4237
2020-02-16,45.4237
2020-02-17,45.4237
2020-02-18,45.4237
2020-02-19,45.4237
2020-02-20,45.4237
2020-02-21,45.4237
2020-02-22,45.4237
2020-02-23,45.4237
2020-02-24,45.4237
2020-02-25,45.4237
2020-02-26,45.4237
2020-02-27,45.4237
2020-02-28,45.4237
2020-02-29,45.4237
2020-03-01,45.4237
2020-03-02,45.4237
2020-03-03,45.4237
2020-03-04,45.4237
2020-03-05,45.4237
2020-03-06,45.4237
2020-03-07,45.4237
2020-03-08,45.4237
2020-03-09,45.4237
2020-03-10,45.4237
2020-03-11,45.4237
2020-03-12,45.4237
2020-03-13,45.4237
2020-03-14,45.4237
2020-03-15,45.4237
2020-03-16,45.4237
2020-03-17,45.4237
2020-03-18,45.4237
2020-03-19,45.4237
2020-03-20,45.4237
2020-03-21,45.4237
2020-03-22,45.4237
2020-03-23,45.4237
2020-03-24,45.4237
2020-03-25,45.4237
2020-03-26,45.4237
2020-03-27,45.4237
2020-03-28,45.4237
2020-03-29,45.4237
2020-03-30,45.4237
2020-03-31,45.4237
2020-04-01,45.4237
2020-04-02,45.4237
2020-04-03,45.4237
2020-04-04,45.4237
2020-04-05,45.4237
2020-04-06,45.4237
2020-04-07,45.4237
2020-04-08,45.4237
2020-04-09,45.4237
2020-04-10,45.4237
2020-04-11,45.4237
2020-04-12,45.4237
2020-04-13,45.4237
2020-04-14,45.4237
2020-04-15,45.4237
2020-04-16,45.4237
2020-04-17,45.4237
2020-04-18,45.4237
2020-04-19,45.4237
2020-04-20,45.4237
2020-04-21,45.4237
2020-04-22,45.4237
2020-04-23,45.4237
2020-04-24,45.4237
2020-04-25,45.4237
2020-04-26,45.4237
2020-04-27,45.4237
2020-04-28,45.4237
2020-04-29,45.4237
2020-04-30,45.4237
2020-05-01,45.4237
2020-05-02,42.4305
2020-05-03,42.4305
2020-05-04,42.4305
2020-05-05,42.4305
2020-05-06,42.4305
2020-05-07,42.4305
2020-05-08,42.4305
2020-05-09,42.4305
2020-05-10,42.4305
2020-05-11,42.4305
2020-05-12,42.4305
2020-05-13,42.4305
2020-05-14,42.4305
2020-05-15,42.4305
2020-05-16,42.4305
2020-05-17,42.4305
2020-05-18,42.4305
2020-05-19,42.4305
2020-05-20,42.4305
2020-05-21,42.4305
2020-05-22,42.4305
2020-05-23,42.4305
2020-05-24,42.4305
2020-05-25,42.4305
2020-05-26,42.4305
2020-05-27,42.4305
2020-05-28,42.4305
2020-05-29,42.4305
2020-05-30,42.4305
2020-05-31,42.4305
2020-06-01,42.4305
2020-06-02,42.4305
2020-06-03,42.4305
2020-06-04,42.4305
2020-06-05,42.4305
2020-06-06,42.4305
2020-06-07,42.4305
2020-06-08,42.4305
2020-06-09,42.4305
2020-06-10,42.4305
2020-06-11,42.4305
2020-06-12,42.4305
2020-06-13,42.4305
2020-06-14,42.4305
2020-06-15,42.4305
2020-06-16,42.4305
2020-06-17,42.4305
2020-06-18,42.4305
2020-06-19,42.4305
2020-06-20,42.4305
2020-06-21,42.4305
2020-06-22,42.4305
2020-06-23,42.4305
2020-06-24,42.4305
2020-06-25,42.4305
2020-06-26,42.4305
2020-06-27,42.4305
2020-06-28,42.4305
2020-06-29,42.4305
2020-06-30,42.4305
2020-07-01,42.4305
2020-07-02,42.4305
2020-07-03,42.4305
2020-07-04,42.4305
2020-07-05,42.4305
2020-07-06,42.4305
2020-07-07,42.4305
2020-07-08,42.4305
