,LH US Equity
,RETURN_COM_EQY
2020-01-01,11.3327
2020-01-02,11.3327
2020-01-03,11.3327
2020-01-04,11.3327
2020-01-05,11.3327
2020-01-06,11.3327
2020-01-07,11.3327
2020-01-08,11.3327
2020-01-09,11.3327
2020-01-10,11.3327
2020-01-11,11.3327
2020-01-12,11.3327
2020-01-13,11.3327
2020-01-14,11.3327
2020-01-15,11.3327
2020-01-16,11.3327
2020-01-17,11.3327
2020-01-18,11.3327
2020-01-19,11.3327
2020-01-20,11.3327
2020-01-21,11.3327
2020-01-22,11.3327
2020-01-23,11.3327
2020-01-24,11.3327
2020-01-25,11.3327
2020-01-26,11.3327
2020-01-27,11.3327
2020-01-28,11.3327
2020-01-29,11.3327
2020-01-30,11.3327
2020-01-31,11.3327
2020-02-01,11.3327
2020-02-02,11.3327
2020-02-03,11.3327
2020-02-04,11.3327
2020-02-05,11.3327
2020-02-06,11.3327
2020-02-07,11.3327
2020-02-08,11.3327
2020-02-09,11.3327
2020-02-10,11.3327
2020-02-11,11.3327
2020-02-12,11.3327
2020-02-13,11.3327
2020-02-14,11.3327
2020-02-15,11.3327
2020-02-16,11.3327
2020-02-17,11.3327
2020-02-18,11.3327
2020-02-19,11.3327
2020-02-20,11.3327
2020-02-21,11.3327
2020-02-22,11.3327
2020-02-23,11.3327
2020-02-24,11.3327
2020-02-25,11.3327
2020-02-26,11.3327
2020-02-27,11.3327
2020-02-28,11.3327
2020-02-29,11.3327
2020-03-01,11.3327
2020-03-02,11.3327
2020-03-03,11.3327
2020-03-04,11.3327
2020-03-05,11.3327
2020-03-06,11.3327
2020-03-07,11.3327
2020-03-08,11.3327
2020-03-09,11.3327
2020-03-10,11.3327
2020-03-11,11.3327
2020-03-12,11.3327
2020-03-13,11.3327
2020-03-14,11.3327
2020-03-15,11.3327
2020-03-16,11.3327
2020-03-17,11.3327
2020-03-18,11.3327
2020-03-19,11.3327
2020-03-20,11.3327
2020-03-21,11.3327
2020-03-22,11.3327
2020-03-23,11.3327
2020-03-24,11.3327
2020-03-25,11.3327
2020-03-26,11.3327
2020-03-27,11.3327
2020-03-28,11.3327
2020-03-29,11.3327
2020-03-30,11.3327
2020-03-31,4.5431
2020-04-01,4.5431
2020-04-02,4.5431
2020-04-03,4.5431
2020-04-04,4.5431
2020-04-05,4.5431
2020-04-06,4.5431
2020-04-07,4.5431
2020-04-08,4.5431
2020-04-09,4.5431
2020-04-10,4.5431
2020-04-11,4.5431
2020-04-12,4.5431
2020-04-13,4.5431
2020-04-14,4.5431
2020-04-15,4.5431
2020-04-16,4.5431
2020-04-17,4.5431
2020-04-18,4.5431
2020-04-19,4.5431
2020-04-20,4.5431
2020-04-21,4.5431
2020-04-22,4.5431
2020-04-23,4.5431
2020-04-24,4.5431
2020-04-25,4.5431
2020-04-26,4.5431
2020-04-27,4.5431
2020-04-28,4.5431
2020-04-29,4.5431
2020-04-30,4.5431
2020-05-01,4.5431
2020-05-02,4.5431
2020-05-03,4.5431
2020-05-04,4.5431
2020-05-05,4.5431
2020-05-06,4.5431
2020-05-07,4.5431
2020-05-08,4.5431
2020-05-09,4.5431
2020-05-10,4.5431
2020-05-11,4.5431
2020-05-12,4.5431
2020-05-13,4.5431
2020-05-14,4.5431
2020-05-15,4.5431
2020-05-16,4.5431
2020-05-17,4.5431
2020-05-18,4.5431
2020-05-19,4.5431
2020-05-20,4.5431
2020-05-21,4.5431
2020-05-22,4.5431
2020-05-23,4.5431
2020-05-24,4.5431
2020-05-25,4.5431
2020-05-26,4.5431
2020-05-27,4.5431
2020-05-28,4.5431
2020-05-29,4.5431
