,GWW US Equity
,RETURN_COM_EQY
2020-01-01,44.5445
2020-01-02,44.5445
2020-01-03,44.5445
2020-01-04,44.5445
2020-01-05,44.5445
2020-01-06,44.5445
2020-01-07,44.5445
2020-01-08,44.5445
2020-01-09,44.5445
2020-01-10,44.5445
2020-01-11,44.5445
2020-01-12,44.5445
2020-01-13,44.5445
2020-01-14,44.5445
2020-01-15,44.5445
2020-01-16,44.5445
2020-01-17,44.5445
2020-01-18,44.5445
2020-01-19,44.5445
2020-01-20,44.5445
2020-01-21,44.5445
2020-01-22,44.5445
2020-01-23,44.5445
2020-01-24,44.5445
2020-01-25,44.5445
2020-01-26,44.5445
2020-01-27,44.5445
2020-01-28,44.5445
2020-01-29,44.5445
2020-01-30,44.5445
2020-01-31,44.5445
2020-02-01,44.5445
2020-02-02,44.5445
2020-02-03,44.5445
2020-02-04,44.5445
2020-02-05,44.5445
2020-02-06,44.5445
2020-02-07,44.5445
2020-02-08,44.5445
2020-02-09,44.5445
2020-02-10,44.5445
2020-02-11,44.5445
2020-02-12,44.5445
2020-02-13,44.5445
2020-02-14,44.5445
2020-02-15,44.5445
2020-02-16,44.5445
2020-02-17,44.5445
2020-02-18,44.5445
2020-02-19,44.5445
2020-02-20,44.5445
2020-02-21,44.5445
2020-02-22,44.5445
2020-02-23,44.5445
2020-02-24,44.5445
2020-02-25,44.5445
2020-02-26,44.5445
2020-02-27,44.5445
2020-02-28,44.5445
2020-02-29,44.5445
2020-03-01,44.5445
2020-03-02,44.5445
2020-03-03,44.5445
2020-03-04,44.5445
2020-03-05,44.5445
2020-03-06,44.5445
2020-03-07,44.5445
2020-03-08,44.5445
2020-03-09,44.5445
2020-03-10,44.5445
2020-03-11,44.5445
2020-03-12,44.5445
2020-03-13,44.5445
2020-03-14,44.5445
2020-03-15,44.5445
2020-03-16,44.5445
2020-03-17,44.5445
2020-03-18,44.5445
2020-03-19,44.5445
2020-03-20,44.5445
2020-03-21,44.5445
2020-03-22,44.5445
2020-03-23,44.5445
2020-03-24,44.5445
2020-03-25,44.5445
2020-03-26,44.5445
2020-03-27,44.5445
2020-03-28,44.5445
2020-03-29,44.5445
2020-03-30,44.5445
2020-03-31,40.3068
