,FL US Equity
,RETURN_COM_EQY
2020-01-01,21.1152
2020-01-02,21.1152
2020-01-03,21.1152
2020-01-04,21.1152
2020-01-05,21.1152
2020-01-06,21.1152
2020-01-07,21.1152
2020-01-08,21.1152
2020-01-09,21.1152
2020-01-10,21.1152
2020-01-11,21.1152
2020-01-12,21.1152
2020-01-13,21.1152
2020-01-14,21.1152
2020-01-15,21.1152
2020-01-16,21.1152
2020-01-17,21.1152
2020-01-18,21.1152
2020-01-19,21.1152
2020-01-20,21.1152
2020-01-21,21.1152
2020-01-22,21.1152
2020-01-23,21.1152
2020-01-24,21.1152
2020-01-25,21.1152
2020-01-26,21.1152
2020-01-27,21.1152
2020-01-28,21.1152
2020-01-29,21.1152
2020-01-30,21.1152
2020-01-31,21.1152
2020-02-01,19.7228
2020-02-02,19.7228
2020-02-03,19.7228
2020-02-04,19.7228
2020-02-05,19.7228
2020-02-06,19.7228
2020-02-07,19.7228
2020-02-08,19.7228
2020-02-09,19.7228
2020-02-10,19.7228
2020-02-11,19.7228
2020-02-12,19.7228
2020-02-13,19.7228
2020-02-14,19.7228
2020-02-15,19.7228
2020-02-16,19.7228
2020-02-17,19.7228
2020-02-18,19.7228
2020-02-19,19.7228
2020-02-20,19.7228
2020-02-21,19.7228
2020-02-22,19.7228
2020-02-23,19.7228
2020-02-24,19.7228
2020-02-25,19.7228
2020-02-26,19.7228
2020-02-27,19.7228
2020-02-28,19.7228
2020-02-29,19.7228
2020-03-01,19.7228
2020-03-02,19.7228
2020-03-03,19.7228
2020-03-04,19.7228
2020-03-05,19.7228
2020-03-06,19.7228
2020-03-07,19.7228
2020-03-08,19.7228
2020-03-09,19.7228
2020-03-10,19.7228
2020-03-11,19.7228
2020-03-12,19.7228
2020-03-13,19.7228
2020-03-14,19.7228
2020-03-15,19.7228
2020-03-16,19.7228
2020-03-17,19.7228
2020-03-18,19.7228
2020-03-19,19.7228
2020-03-20,19.7228
2020-03-21,19.7228
2020-03-22,19.7228
2020-03-23,19.7228
2020-03-24,19.7228
2020-03-25,19.7228
2020-03-26,19.7228
2020-03-27,19.7228
2020-03-28,19.7228
2020-03-29,19.7228
2020-03-30,19.7228
2020-03-31,19.7228
2020-04-01,19.7228
2020-04-02,19.7228
2020-04-03,19.7228
2020-04-04,19.7228
2020-04-05,19.7228
2020-04-06,19.7228
2020-04-07,19.7228
2020-04-08,19.7228
2020-04-09,19.7228
2020-04-10,19.7228
2020-04-11,19.7228
2020-04-12,19.7228
2020-04-13,19.7228
2020-04-14,19.7228
2020-04-15,19.7228
2020-04-16,19.7228
2020-04-17,19.7228
2020-04-18,19.7228
2020-04-19,19.7228
2020-04-20,19.7228
2020-04-21,19.7228
2020-04-22,19.7228
2020-04-23,19.7228
2020-04-24,19.7228
2020-04-25,19.7228
2020-04-26,19.7228
2020-04-27,19.7228
2020-04-28,19.7228
2020-04-29,19.7228
2020-04-30,19.7228
2020-05-01,19.7228
2020-05-02,8.5028
2020-05-03,8.5028
2020-05-04,8.5028
2020-05-05,8.5028
2020-05-06,8.5028
2020-05-07,8.5028
2020-05-08,8.5028
2020-05-09,8.5028
2020-05-10,8.5028
2020-05-11,8.5028
2020-05-12,8.5028
2020-05-13,8.5028
2020-05-14,8.5028
2020-05-15,8.5028
2020-05-16,8.5028
2020-05-17,8.5028
2020-05-18,8.5028
2020-05-19,8.5028
2020-05-20,8.5028
2020-05-21,8.5028
2020-05-22,8.5028
2020-05-23,8.5028
2020-05-24,8.5028
2020-05-25,8.5028
2020-05-26,8.5028
2020-05-27,8.5028
2020-05-28,8.5028
2020-05-29,8.5028
2020-05-30,8.5028
2020-05-31,8.5028
2020-06-01,8.5028
2020-06-02,8.5028
2020-06-03,8.5028
2020-06-04,8.5028
2020-06-05,8.5028
2020-06-06,8.5028
2020-06-07,8.5028
2020-06-08,8.5028
2020-06-09,8.5028
2020-06-10,8.5028
2020-06-11,8.5028
2020-06-12,8.5028
2020-06-13,8.5028
2020-06-14,8.5028
2020-06-15,8.5028
2020-06-16,8.5028
2020-06-17,8.5028
2020-06-18,8.5028
2020-06-19,8.5028
2020-06-20,8.5028
2020-06-21,8.5028
2020-06-22,8.5028
2020-06-23,8.5028
2020-06-24,8.5028
2020-06-25,8.5028
2020-06-26,8.5028
2020-06-27,8.5028
2020-06-28,8.5028
2020-06-29,8.5028
2020-06-30,8.5028
2020-07-01,8.5028
2020-07-02,8.5028
2020-07-03,8.5028
