,SYY US Equity
,RETURN_COM_EQY
2020-01-01,77.2301
2020-01-02,77.2301
2020-01-03,77.2301
2020-01-04,77.2301
2020-01-05,77.2301
2020-01-06,77.2301
2020-01-07,77.2301
2020-01-08,77.2301
2020-01-09,77.2301
2020-01-10,77.2301
2020-01-11,77.2301
2020-01-12,77.2301
2020-01-13,77.2301
2020-01-14,77.2301
2020-01-15,77.2301
2020-01-16,77.2301
2020-01-17,77.2301
2020-01-18,77.2301
2020-01-19,77.2301
2020-01-20,77.2301
2020-01-21,77.2301
2020-01-22,77.2301
2020-01-23,77.2301
2020-01-24,77.2301
2020-01-25,77.2301
2020-01-26,77.2301
2020-01-27,77.2301
2020-01-28,77.2301
2020-01-29,77.2301
2020-01-30,77.2301
2020-01-31,77.2301
2020-02-01,77.2301
2020-02-02,77.2301
2020-02-03,77.2301
2020-02-04,77.2301
2020-02-05,77.2301
2020-02-06,77.2301
2020-02-07,77.2301
2020-02-08,77.2301
2020-02-09,77.2301
2020-02-10,77.2301
2020-02-11,77.2301
2020-02-12,77.2301
2020-02-13,77.2301
2020-02-14,77.2301
2020-02-15,77.2301
2020-02-16,77.2301
2020-02-17,77.2301
2020-02-18,77.2301
2020-02-19,77.2301
2020-02-20,77.2301
2020-02-21,77.2301
2020-02-22,77.2301
2020-02-23,77.2301
2020-02-24,77.2301
2020-02-25,77.2301
2020-02-26,77.2301
2020-02-27,77.2301
2020-02-28,77.2301
2020-02-29,77.2301
2020-03-01,77.2301
2020-03-02,77.2301
2020-03-03,77.2301
2020-03-04,77.2301
2020-03-05,77.2301
2020-03-06,77.2301
2020-03-07,77.2301
2020-03-08,77.2301
2020-03-09,77.2301
2020-03-10,77.2301
2020-03-11,77.2301
2020-03-12,77.2301
2020-03-13,77.2301
2020-03-14,77.2301
2020-03-15,77.2301
2020-03-16,77.2301
2020-03-17,77.2301
2020-03-18,77.2301
2020-03-19,77.2301
2020-03-20,77.2301
2020-03-21,77.2301
2020-03-22,77.2301
2020-03-23,77.2301
2020-03-24,77.2301
2020-03-25,77.2301
2020-03-26,77.2301
2020-03-27,77.2301
2020-03-28,62.3879
2020-03-29,62.3879
2020-03-30,62.3879
2020-03-31,62.3879
2020-04-01,62.3879
2020-04-02,62.3879
2020-04-03,62.3879
2020-04-04,62.3879
2020-04-05,62.3879
2020-04-06,62.3879
2020-04-07,62.3879
2020-04-08,62.3879
2020-04-09,62.3879
2020-04-10,62.3879
2020-04-11,62.3879
2020-04-12,62.3879
2020-04-13,62.3879
2020-04-14,62.3879
2020-04-15,62.3879
2020-04-16,62.3879
2020-04-17,62.3879
2020-04-18,62.3879
2020-04-19,62.3879
2020-04-20,62.3879
2020-04-21,62.3879
2020-04-22,62.3879
2020-04-23,62.3879
2020-04-24,62.3879
2020-04-25,62.3879
2020-04-26,62.3879
2020-04-27,62.3879
2020-04-28,62.3879
2020-04-29,62.3879
2020-04-30,62.3879
2020-05-01,62.3879
2020-05-02,62.3879
2020-05-03,62.3879
2020-05-04,62.3879
2020-05-05,62.3879
2020-05-06,62.3879
2020-05-07,62.3879
2020-05-08,62.3879
2020-05-09,62.3879
2020-05-10,62.3879
2020-05-11,62.3879
2020-05-12,62.3879
2020-05-13,62.3879
2020-05-14,62.3879
2020-05-15,62.3879
2020-05-16,62.3879
2020-05-17,62.3879
2020-05-18,62.3879
2020-05-19,62.3879
2020-05-20,62.3879
2020-05-21,62.3879
2020-05-22,62.3879
2020-05-23,62.3879
2020-05-24,62.3879
2020-05-25,62.3879
2020-05-26,62.3879
2020-05-27,62.3879
2020-05-28,62.3879
2020-05-29,62.3879
2020-05-30,62.3879
2020-05-31,62.3879
2020-06-01,62.3879
2020-06-02,62.3879
2020-06-03,62.3879
2020-06-04,62.3879
2020-06-05,62.3879
2020-06-06,62.3879
2020-06-07,62.3879
2020-06-08,62.3879
2020-06-09,62.3879
2020-06-10,62.3879
2020-06-11,62.3879
2020-06-12,62.3879
2020-06-13,62.3879
2020-06-14,62.3879
2020-06-15,62.3879
2020-06-16,62.3879
2020-06-17,62.3879
2020-06-18,62.3879
2020-06-19,62.3879
2020-06-20,62.3879
2020-06-21,62.3879
2020-06-22,62.3879
2020-06-23,62.3879
2020-06-24,62.3879
2020-06-25,62.3879
2020-06-26,62.3879
2020-06-27,11.7707
2020-06-28,11.7707
2020-06-29,11.7707
2020-06-30,11.7707
2020-07-01,11.7707
2020-07-02,11.7707
2020-07-03,11.7707
2020-07-04,11.7707
2020-07-05,11.7707
2020-07-06,11.7707
2020-07-07,11.7707
2020-07-08,11.7707
2020-07-09,11.7707
2020-07-10,11.7707
2020-07-11,11.7707
2020-07-12,11.7707
2020-07-13,11.7707
2020-07-14,11.7707
2020-07-15,11.7707
2020-07-16,11.7707
2020-07-17,11.7707
2020-07-18,11.7707
2020-07-19,11.7707
2020-07-20,11.7707
2020-07-21,11.7707
2020-07-22,11.7707
2020-07-23,11.7707
2020-07-24,11.7707
2020-07-25,11.7707
2020-07-26,11.7707
2020-07-27,11.7707
2020-07-28,11.7707
2020-07-29,11.7707
2020-07-30,11.7707
2020-07-31,11.7707
2020-08-01,11.7707
2020-08-02,11.7707
2020-08-03,11.7707
2020-08-04,11.7707
2020-08-05,11.7707
2020-08-06,11.7707
2020-08-07,11.7707
2020-08-08,11.7707
2020-08-09,11.7707
2020-08-10,11.7707
2020-08-11,11.7707
2020-08-12,11.7707
2020-08-13,11.7707
2020-08-14,11.7707
2020-08-15,11.7707
2020-08-16,11.7707
2020-08-17,11.7707
2020-08-18,11.7707
2020-08-19,11.7707
2020-08-20,11.7707
2020-08-21,11.7707
2020-08-22,11.7707
2020-08-23,11.7707
2020-08-24,11.7707
2020-08-25,11.7707
2020-08-26,11.7707
2020-08-27,11.7707
2020-08-28,11.7707
2020-08-29,11.7707
2020-08-30,11.7707
2020-08-31,11.7707
2020-09-01,11.7707
2020-09-02,11.7707
2020-09-03,11.7707
2020-09-04,11.7707
2020-09-05,11.7707
2020-09-06,11.7707
