,SEIC US Equity
,RETURN_COM_EQY
2020-01-01,30.0983
2020-01-02,30.0983
2020-01-03,30.0983
2020-01-04,30.0983
2020-01-05,30.0983
2020-01-06,30.0983
2020-01-07,30.0983
2020-01-08,30.0983
2020-01-09,30.0983
2020-01-10,30.0983
2020-01-11,30.0983
2020-01-12,30.0983
2020-01-13,30.0983
2020-01-14,30.0983
2020-01-15,30.0983
2020-01-16,30.0983
2020-01-17,30.0983
2020-01-18,30.0983
2020-01-19,30.0983
2020-01-20,30.0983
2020-01-21,30.0983
2020-01-22,30.0983
2020-01-23,30.0983
2020-01-24,30.0983
2020-01-25,30.0983
2020-01-26,30.0983
2020-01-27,30.0983
2020-01-28,30.0983
2020-01-29,30.0983
2020-01-30,30.0983
2020-01-31,30.0983
2020-02-01,30.0983
2020-02-02,30.0983
2020-02-03,30.0983
2020-02-04,30.0983
2020-02-05,30.0983
2020-02-06,30.0983
2020-02-07,30.0983
2020-02-08,30.0983
2020-02-09,30.0983
2020-02-10,30.0983
2020-02-11,30.0983
2020-02-12,30.0983
2020-02-13,30.0983
2020-02-14,30.0983
2020-02-15,30.0983
2020-02-16,30.0983
2020-02-17,30.0983
2020-02-18,30.0983
2020-02-19,30.0983
2020-02-20,30.0983
2020-02-21,30.0983
2020-02-22,30.0983
2020-02-23,30.0983
2020-02-24,30.0983
2020-02-25,30.0983
2020-02-26,30.0983
2020-02-27,30.0983
2020-02-28,30.0983
2020-02-29,30.0983
2020-03-01,30.0983
2020-03-02,30.0983
2020-03-03,30.0983
2020-03-04,30.0983
2020-03-05,30.0983
2020-03-06,30.0983
2020-03-07,30.0983
2020-03-08,30.0983
2020-03-09,30.0983
2020-03-10,30.0983
2020-03-11,30.0983
2020-03-12,30.0983
2020-03-13,30.0983
2020-03-14,30.0983
2020-03-15,30.0983
2020-03-16,30.0983
2020-03-17,30.0983
2020-03-18,30.0983
2020-03-19,30.0983
2020-03-20,30.0983
2020-03-21,30.0983
2020-03-22,30.0983
2020-03-23,30.0983
2020-03-24,30.0983
2020-03-25,30.0983
2020-03-26,30.0983
2020-03-27,30.0983
2020-03-28,30.0983
2020-03-29,30.0983
2020-03-30,30.0983
2020-03-31,29.4698
2020-04-01,29.4698
2020-04-02,29.4698
2020-04-03,29.4698
2020-04-04,29.4698
2020-04-05,29.4698
2020-04-06,29.4698
2020-04-07,29.4698
2020-04-08,29.4698
2020-04-09,29.4698
2020-04-10,29.4698
2020-04-11,29.4698
2020-04-12,29.4698
2020-04-13,29.4698
2020-04-14,29.4698
2020-04-15,29.4698
2020-04-16,29.4698
2020-04-17,29.4698
2020-04-18,29.4698
2020-04-19,29.4698
2020-04-20,29.4698
2020-04-21,29.4698
2020-04-22,29.4698
2020-04-23,29.4698
2020-04-24,29.4698
2020-04-25,29.4698
2020-04-26,29.4698
2020-04-27,29.4698
2020-04-28,29.4698
2020-04-29,29.4698
2020-04-30,29.4698
2020-05-01,29.4698
2020-05-02,29.4698
2020-05-03,29.4698
2020-05-04,29.4698
2020-05-05,29.4698
2020-05-06,29.4698
2020-05-07,29.4698
2020-05-08,29.4698
2020-05-09,29.4698
2020-05-10,29.4698
2020-05-11,29.4698
2020-05-12,29.4698
2020-05-13,29.4698
2020-05-14,29.4698
2020-05-15,29.4698
2020-05-16,29.4698
2020-05-17,29.4698
2020-05-18,29.4698
2020-05-19,29.4698
2020-05-20,29.4698
2020-05-21,29.4698
2020-05-22,29.4698
2020-05-23,29.4698
2020-05-24,29.4698
2020-05-25,29.4698
2020-05-26,29.4698
2020-05-27,29.4698
2020-05-28,29.4698
2020-05-29,29.4698
2020-05-30,29.4698
2020-05-31,29.4698
2020-06-01,29.4698
2020-06-02,29.4698
2020-06-03,29.4698
2020-06-04,29.4698
2020-06-05,29.4698
2020-06-06,29.4698
2020-06-07,29.4698
2020-06-08,29.4698
2020-06-09,29.4698
2020-06-10,29.4698
2020-06-11,29.4698
2020-06-12,29.4698
2020-06-13,29.4698
2020-06-14,29.4698
2020-06-15,29.4698
2020-06-16,29.4698
2020-06-17,29.4698
2020-06-18,29.4698
2020-06-19,29.4698
2020-06-20,29.4698
2020-06-21,29.4698
2020-06-22,29.4698
2020-06-23,29.4698
2020-06-24,29.4698
2020-06-25,29.4698
2020-06-26,29.4698
2020-06-27,29.4698
2020-06-28,29.4698
2020-06-29,29.4698
2020-06-30,28.19
2020-07-01,28.19
2020-07-02,28.19
2020-07-03,28.19
2020-07-04,28.19
2020-07-05,28.19
2020-07-06,28.19
2020-07-07,28.19
2020-07-08,28.19
2020-07-09,28.19
2020-07-10,28.19
2020-07-11,28.19
2020-07-12,28.19
2020-07-13,28.19
2020-07-14,28.19
2020-07-15,28.19
2020-07-16,28.19
2020-07-17,28.19
2020-07-18,28.19
2020-07-19,28.19
2020-07-20,28.19
2020-07-21,28.19
2020-07-22,28.19
2020-07-23,28.19
2020-07-24,28.19
2020-07-25,28.19
2020-07-26,28.19
2020-07-27,28.19
2020-07-28,28.19
2020-07-29,28.19
2020-07-30,28.19
2020-07-31,28.19
2020-08-01,28.19
2020-08-02,28.19
2020-08-03,28.19
2020-08-04,28.19
2020-08-05,28.19
2020-08-06,28.19
2020-08-07,28.19
2020-08-08,28.19
2020-08-09,28.19
2020-08-10,28.19
2020-08-11,28.19
2020-08-12,28.19
2020-08-13,28.19
2020-08-14,28.19
2020-08-15,28.19
2020-08-16,28.19
2020-08-17,28.19
2020-08-18,28.19
2020-08-19,28.19
2020-08-20,28.19
2020-08-21,28.19
2020-08-22,28.19
2020-08-23,28.19
2020-08-24,28.19
2020-08-25,28.19
2020-08-26,28.19
2020-08-27,28.19
2020-08-28,28.19
2020-08-29,28.19
2020-08-30,28.19
2020-08-31,28.19
2020-09-01,28.19
2020-09-02,28.19
2020-09-03,28.19
2020-09-04,28.19
2020-09-05,28.19
2020-09-06,28.19
2020-09-07,28.19
2020-09-08,28.19
2020-09-09,28.19
2020-09-10,28.19
2020-09-11,28.19
2020-09-12,28.19
2020-09-13,28.19
2020-09-14,28.19
2020-09-15,28.19
2020-09-16,28.19
2020-09-17,28.19
2020-09-18,28.19
2020-09-19,28.19
2020-09-20,28.19
2020-09-21,28.19
2020-09-22,28.19
2020-09-23,28.19
2020-09-24,28.19
2020-09-25,28.19
2020-09-26,28.19
2020-09-27,28.19
2020-09-28,28.19
2020-09-29,28.19
2020-09-30,26.2263
2020-10-01,26.2263
2020-10-02,26.2263
2020-10-03,26.2263
2020-10-04,26.2263
2020-10-05,26.2263
2020-10-06,26.2263
2020-10-07,26.2263
2020-10-08,26.2263
2020-10-09,26.2263
2020-10-10,26.2263
2020-10-11,26.2263
2020-10-12,26.2263
2020-10-13,26.2263
2020-10-14,26.2263
2020-10-15,26.2263
2020-10-16,26.2263
2020-10-17,26.2263
2020-10-18,26.2263
2020-10-19,26.2263
2020-10-20,26.2263
2020-10-21,26.2263
2020-10-22,26.2263
2020-10-23,26.2263
2020-10-24,26.2263
2020-10-25,26.2263
2020-10-26,26.2263
2020-10-27,26.2263
2020-10-28,26.2263
2020-10-29,26.2263
2020-10-30,26.2263
2020-10-31,26.2263
2020-11-01,26.2263
2020-11-02,26.2263
2020-11-03,26.2263
2020-11-04,26.2263
2020-11-05,26.2263
2020-11-06,26.2263
2020-11-07,26.2263
2020-11-08,26.2263
2020-11-09,26.2263
2020-11-10,26.2263
2020-11-11,26.2263
2020-11-12,26.2263
2020-11-13,26.2263
2020-11-14,26.2263
2020-11-15,26.2263
2020-11-16,26.2263
2020-11-17,26.2263
2020-11-18,26.2263
2020-11-19,26.2263
2020-11-20,26.2263
2020-11-21,26.2263
2020-11-22,26.2263
2020-11-23,26.2263
2020-11-24,26.2263
2020-11-25,26.2263
2020-11-26,26.2263
2020-11-27,26.2263
2020-11-28,26.2263
2020-11-29,26.2263
2020-11-30,26.2263
2020-12-01,26.2263
2020-12-02,26.2263
2020-12-03,26.2263
2020-12-04,26.2263
2020-12-05,26.2263
2020-12-06,26.2263
2020-12-07,26.2263
2020-12-08,26.2263
2020-12-09,26.2263
2020-12-10,26.2263
