,BOOM US Equity
,RETURN_COM_EQY
2020-01-01,22.218
2020-01-02,22.218
2020-01-03,22.218
2020-01-04,22.218
2020-01-05,22.218
2020-01-06,22.218
2020-01-07,22.218
2020-01-08,22.218
2020-01-09,22.218
2020-01-10,22.218
2020-01-11,22.218
2020-01-12,22.218
2020-01-13,22.218
2020-01-14,22.218
2020-01-15,22.218
2020-01-16,22.218
2020-01-17,22.218
2020-01-18,22.218
2020-01-19,22.218
2020-01-20,22.218
2020-01-21,22.218
2020-01-22,22.218
2020-01-23,22.218
2020-01-24,22.218
2020-01-25,22.218
2020-01-26,22.218
2020-01-27,22.218
2020-01-28,22.218
2020-01-29,22.218
2020-01-30,22.218
2020-01-31,22.218
2020-02-01,22.218
2020-02-02,22.218
2020-02-03,22.218
2020-02-04,22.218
2020-02-05,22.218
2020-02-06,22.218
2020-02-07,22.218
2020-02-08,22.218
2020-02-09,22.218
2020-02-10,22.218
2020-02-11,22.218
2020-02-12,22.218
2020-02-13,22.218
2020-02-14,22.218
2020-02-15,22.218
2020-02-16,22.218
2020-02-17,22.218
2020-02-18,22.218
2020-02-19,22.218
2020-02-20,22.218
2020-02-21,22.218
2020-02-22,22.218
2020-02-23,22.218
2020-02-24,22.218
2020-02-25,22.218
2020-02-26,22.218
2020-02-27,22.218
2020-02-28,22.218
2020-02-29,22.218
2020-03-01,22.218
2020-03-02,22.218
2020-03-03,22.218
2020-03-04,22.218
2020-03-05,22.218
2020-03-06,22.218
2020-03-07,22.218
2020-03-08,22.218
2020-03-09,22.218
2020-03-10,22.218
2020-03-11,22.218
2020-03-12,22.218
2020-03-13,22.218
2020-03-14,22.218
2020-03-15,22.218
2020-03-16,22.218
2020-03-17,22.218
2020-03-18,22.218
2020-03-19,22.218
2020-03-20,22.218
2020-03-21,22.218
2020-03-22,22.218
2020-03-23,22.218
2020-03-24,22.218
2020-03-25,22.218
2020-03-26,22.218
2020-03-27,22.218
2020-03-28,22.218
2020-03-29,22.218
2020-03-30,22.218
2020-03-31,14.2753
2020-04-01,14.2753
2020-04-02,14.2753
2020-04-03,14.2753
2020-04-04,14.2753
2020-04-05,14.2753
2020-04-06,14.2753
2020-04-07,14.2753
2020-04-08,14.2753
2020-04-09,14.2753
2020-04-10,14.2753
2020-04-11,14.2753
2020-04-12,14.2753
2020-04-13,14.2753
2020-04-14,14.2753
2020-04-15,14.2753
2020-04-16,14.2753
2020-04-17,14.2753
2020-04-18,14.2753
2020-04-19,14.2753
2020-04-20,14.2753
2020-04-21,14.2753
2020-04-22,14.2753
2020-04-23,14.2753
2020-04-24,14.2753
2020-04-25,14.2753
2020-04-26,14.2753
2020-04-27,14.2753
2020-04-28,14.2753
2020-04-29,14.2753
2020-04-30,14.2753
2020-05-01,14.2753
2020-05-02,14.2753
2020-05-03,14.2753
2020-05-04,14.2753
2020-05-05,14.2753
2020-05-06,14.2753
2020-05-07,14.2753
2020-05-08,14.2753
2020-05-09,14.2753
2020-05-10,14.2753
2020-05-11,14.2753
2020-05-12,14.2753
2020-05-13,14.2753
2020-05-14,14.2753
2020-05-15,14.2753
2020-05-16,14.2753
2020-05-17,14.2753
2020-05-18,14.2753
2020-05-19,14.2753
2020-05-20,14.2753
2020-05-21,14.2753
2020-05-22,14.2753
2020-05-23,14.2753
2020-05-24,14.2753
2020-05-25,14.2753
2020-05-26,14.2753
2020-05-27,14.2753
2020-05-28,14.2753
2020-05-29,14.2753
2020-05-30,14.2753
2020-05-31,14.2753
2020-06-01,14.2753
2020-06-02,14.2753
2020-06-03,14.2753
2020-06-04,14.2753
2020-06-05,14.2753
2020-06-06,14.2753
2020-06-07,14.2753
2020-06-08,14.2753
2020-06-09,14.2753
2020-06-10,14.2753
2020-06-11,14.2753
2020-06-12,14.2753
2020-06-13,14.2753
2020-06-14,14.2753
2020-06-15,14.2753
2020-06-16,14.2753
2020-06-17,14.2753
2020-06-18,14.2753
2020-06-19,14.2753
2020-06-20,14.2753
2020-06-21,14.2753
2020-06-22,14.2753
2020-06-23,14.2753
2020-06-24,14.2753
2020-06-25,14.2753
2020-06-26,14.2753
2020-06-27,14.2753
2020-06-28,14.2753
2020-06-29,14.2753
2020-06-30,0.0803
2020-07-01,0.0803
2020-07-02,0.0803
2020-07-03,0.0803
2020-07-04,0.0803
2020-07-05,0.0803
2020-07-06,0.0803
2020-07-07,0.0803
2020-07-08,0.0803
2020-07-09,0.0803
2020-07-10,0.0803
2020-07-11,0.0803
2020-07-12,0.0803
2020-07-13,0.0803
2020-07-14,0.0803
2020-07-15,0.0803
2020-07-16,0.0803
2020-07-17,0.0803
2020-07-18,0.0803
2020-07-19,0.0803
2020-07-20,0.0803
2020-07-21,0.0803
2020-07-22,0.0803
2020-07-23,0.0803
2020-07-24,0.0803
2020-07-25,0.0803
2020-07-26,0.0803
2020-07-27,0.0803
2020-07-28,0.0803
2020-07-29,0.0803
2020-07-30,0.0803
2020-07-31,0.0803
2020-08-01,0.0803
2020-08-02,0.0803
2020-08-03,0.0803
2020-08-04,0.0803
2020-08-05,0.0803
2020-08-06,0.0803
2020-08-07,0.0803
2020-08-08,0.0803
2020-08-09,0.0803
2020-08-10,0.0803
2020-08-11,0.0803
2020-08-12,0.0803
2020-08-13,0.0803
2020-08-14,0.0803
2020-08-15,0.0803
2020-08-16,0.0803
2020-08-17,0.0803
2020-08-18,0.0803
2020-08-19,0.0803
2020-08-20,0.0803
2020-08-21,0.0803
2020-08-22,0.0803
2020-08-23,0.0803
2020-08-24,0.0803
2020-08-25,0.0803
2020-08-26,0.0803
2020-08-27,0.0803
2020-08-28,0.0803
2020-08-29,0.0803
2020-08-30,0.0803
2020-08-31,0.0803
2020-09-01,0.0803
2020-09-02,0.0803
2020-09-03,0.0803
2020-09-04,0.0803
2020-09-05,0.0803
2020-09-06,0.0803
2020-09-07,0.0803
2020-09-08,0.0803
2020-09-09,0.0803
2020-09-10,0.0803
2020-09-11,0.0803
2020-09-12,0.0803
2020-09-13,0.0803
2020-09-14,0.0803
2020-09-15,0.0803
2020-09-16,0.0803
2020-09-17,0.0803
2020-09-18,0.0803
2020-09-19,0.0803
2020-09-20,0.0803
2020-09-21,0.0803
2020-09-22,0.0803
2020-09-23,0.0803
2020-09-24,0.0803
2020-09-25,0.0803
2020-09-26,0.0803
2020-09-27,0.0803
2020-09-28,0.0803
2020-09-29,0.0803
2020-09-30,-3.4258
2020-10-01,-3.4258
2020-10-02,-3.4258
2020-10-03,-3.4258
2020-10-04,-3.4258
2020-10-05,-3.4258
2020-10-06,-3.4258
2020-10-07,-3.4258
2020-10-08,-3.4258
2020-10-09,-3.4258
2020-10-10,-3.4258
2020-10-11,-3.4258
2020-10-12,-3.4258
2020-10-13,-3.4258
2020-10-14,-3.4258
2020-10-15,-3.4258
2020-10-16,-3.4258
2020-10-17,-3.4258
2020-10-18,-3.4258
2020-10-19,-3.4258
2020-10-20,-3.4258
2020-10-21,-3.4258
2020-10-22,-3.4258
2020-10-23,-3.4258
2020-10-24,-3.4258
2020-10-25,-3.4258
2020-10-26,-3.4258
2020-10-27,-3.4258
2020-10-28,-3.4258
2020-10-29,-3.4258
2020-10-30,-3.4258
2020-10-31,-3.4258
2020-11-01,-3.4258
2020-11-02,-3.4258
2020-11-03,-3.4258
2020-11-04,-3.4258
2020-11-05,-3.4258
2020-11-06,-3.4258
2020-11-07,-3.4258
2020-11-08,-3.4258
2020-11-09,-3.4258
2020-11-10,-3.4258
2020-11-11,-3.4258
2020-11-12,-3.4258
2020-11-13,-3.4258
2020-11-14,-3.4258
2020-11-15,-3.4258
2020-11-16,-3.4258
2020-11-17,-3.4258
2020-11-18,-3.4258
2020-11-19,-3.4258
2020-11-20,-3.4258
2020-11-21,-3.4258
2020-11-22,-3.4258
2020-11-23,-3.4258
2020-11-24,-3.4258
2020-11-25,-3.4258
2020-11-26,-3.4258
2020-11-27,-3.4258
2020-11-28,-3.4258
2020-11-29,-3.4258
2020-11-30,-3.4258
2020-12-01,-3.4258
2020-12-02,-3.4258
2020-12-03,-3.4258
2020-12-04,-3.4258
2020-12-05,-3.4258
2020-12-06,-3.4258
2020-12-07,-3.4258
2020-12-08,-3.4258
2020-12-09,-3.4258
2020-12-10,-3.4258
2020-12-11,-3.4258
2020-12-12,-3.4258
2020-12-13,-3.4258
2020-12-14,-3.4258
2020-12-15,-3.4258
2020-12-16,-3.4258
2020-12-17,-3.4258
2020-12-18,-3.4258
2020-12-19,-3.4258
2020-12-20,-3.4258
2020-12-21,-3.4258
2020-12-22,-3.4258
2020-12-23,-3.4258
2020-12-24,-3.4258
2020-12-25,-3.4258
2020-12-26,-3.4258
2020-12-27,-3.4258
2020-12-28,-3.4258
2020-12-29,-3.4258
2020-12-30,-3.4258
2020-12-31,-0.7652
2021-01-01,-0.7652
2021-01-02,-0.7652
2021-01-03,-0.7652
2021-01-04,-0.7652
2021-01-05,-0.7652
2021-01-06,-0.7652
2021-01-07,-0.7652
2021-01-08,-0.7652
2021-01-09,-0.7652
2021-01-10,-0.7652
2021-01-11,-0.7652
2021-01-12,-0.7652
2021-01-13,-0.7652
2021-01-14,-0.7652
2021-01-15,-0.7652
2021-01-16,-0.7652
2021-01-17,-0.7652
2021-01-18,-0.7652
2021-01-19,-0.7652
2021-01-20,-0.7652
2021-01-21,-0.7652
2021-01-22,-0.7652
2021-01-23,-0.7652
2021-01-24,-0.7652
2021-01-25,-0.7652
2021-01-26,-0.7652
