,MBUU US Equity
,RETURN_COM_EQY
2020-01-01,37.7216
2020-01-02,37.7216
2020-01-03,37.7216
2020-01-04,37.7216
2020-01-05,37.7216
2020-01-06,37.7216
2020-01-07,37.7216
2020-01-08,37.7216
2020-01-09,37.7216
2020-01-10,37.7216
2020-01-11,37.7216
2020-01-12,37.7216
2020-01-13,37.7216
2020-01-14,37.7216
2020-01-15,37.7216
2020-01-16,37.7216
2020-01-17,37.7216
2020-01-18,37.7216
2020-01-19,37.7216
2020-01-20,37.7216
2020-01-21,37.7216
2020-01-22,37.7216
2020-01-23,37.7216
2020-01-24,37.7216
2020-01-25,37.7216
2020-01-26,37.7216
2020-01-27,37.7216
2020-01-28,37.7216
2020-01-29,37.7216
2020-01-30,37.7216
2020-01-31,37.7216
2020-02-01,37.7216
2020-02-02,37.7216
2020-02-03,37.7216
2020-02-04,37.7216
2020-02-05,37.7216
2020-02-06,37.7216
2020-02-07,37.7216
2020-02-08,37.7216
2020-02-09,37.7216
2020-02-10,37.7216
2020-02-11,37.7216
2020-02-12,37.7216
2020-02-13,37.7216
2020-02-14,37.7216
2020-02-15,37.7216
2020-02-16,37.7216
2020-02-17,37.7216
2020-02-18,37.7216
2020-02-19,37.7216
2020-02-20,37.7216
2020-02-21,37.7216
2020-02-22,37.7216
2020-02-23,37.7216
2020-02-24,37.7216
2020-02-25,37.7216
2020-02-26,37.7216
2020-02-27,37.7216
2020-02-28,37.7216
2020-02-29,37.7216
2020-03-01,37.7216
2020-03-02,37.7216
2020-03-03,37.7216
2020-03-04,37.7216
2020-03-05,37.7216
2020-03-06,37.7216
2020-03-07,37.7216
2020-03-08,37.7216
2020-03-09,37.7216
2020-03-10,37.7216
2020-03-11,37.7216
2020-03-12,37.7216
2020-03-13,37.7216
2020-03-14,37.7216
2020-03-15,37.7216
2020-03-16,37.7216
2020-03-17,37.7216
2020-03-18,37.7216
2020-03-19,37.7216
2020-03-20,37.7216
2020-03-21,37.7216
2020-03-22,37.7216
2020-03-23,37.7216
2020-03-24,37.7216
2020-03-25,37.7216
2020-03-26,37.7216
2020-03-27,37.7216
2020-03-28,37.7216
2020-03-29,37.7216
2020-03-30,37.7216
2020-03-31,34.829
2020-04-01,34.829
2020-04-02,34.829
2020-04-03,34.829
2020-04-04,34.829
2020-04-05,34.829
2020-04-06,34.829
2020-04-07,34.829
2020-04-08,34.829
2020-04-09,34.829
2020-04-10,34.829
2020-04-11,34.829
2020-04-12,34.829
2020-04-13,34.829
2020-04-14,34.829
2020-04-15,34.829
2020-04-16,34.829
2020-04-17,34.829
2020-04-18,34.829
2020-04-19,34.829
2020-04-20,34.829
2020-04-21,34.829
2020-04-22,34.829
2020-04-23,34.829
2020-04-24,34.829
2020-04-25,34.829
2020-04-26,34.829
2020-04-27,34.829
2020-04-28,34.829
2020-04-29,34.829
2020-04-30,34.829
2020-05-01,34.829
2020-05-02,34.829
2020-05-03,34.829
2020-05-04,34.829
2020-05-05,34.829
2020-05-06,34.829
2020-05-07,34.829
2020-05-08,34.829
2020-05-09,34.829
2020-05-10,34.829
2020-05-11,34.829
2020-05-12,34.829
2020-05-13,34.829
2020-05-14,34.829
2020-05-15,34.829
2020-05-16,34.829
2020-05-17,34.829
2020-05-18,34.829
2020-05-19,34.829
2020-05-20,34.829
2020-05-21,34.829
2020-05-22,34.829
2020-05-23,34.829
2020-05-24,34.829
2020-05-25,34.829
2020-05-26,34.829
2020-05-27,34.829
2020-05-28,34.829
2020-05-29,34.829
2020-05-30,34.829
2020-05-31,34.829
2020-06-01,34.829
2020-06-02,34.829
2020-06-03,34.829
2020-06-04,34.829
2020-06-05,34.829
2020-06-06,34.829
2020-06-07,34.829
2020-06-08,34.829
2020-06-09,34.829
2020-06-10,34.829
2020-06-11,34.829
2020-06-12,34.829
2020-06-13,34.829
2020-06-14,34.829
2020-06-15,34.829
2020-06-16,34.829
2020-06-17,34.829
2020-06-18,34.829
2020-06-19,34.829
2020-06-20,34.829
2020-06-21,34.829
2020-06-22,34.829
2020-06-23,34.829
2020-06-24,34.829
2020-06-25,34.829
2020-06-26,34.829
2020-06-27,34.829
2020-06-28,34.829
2020-06-29,34.829
2020-06-30,26.8352
2020-07-01,26.8352
2020-07-02,26.8352
2020-07-03,26.8352
2020-07-04,26.8352
2020-07-05,26.8352
2020-07-06,26.8352
2020-07-07,26.8352
2020-07-08,26.8352
2020-07-09,26.8352
2020-07-10,26.8352
2020-07-11,26.8352
2020-07-12,26.8352
2020-07-13,26.8352
2020-07-14,26.8352
2020-07-15,26.8352
2020-07-16,26.8352
2020-07-17,26.8352
2020-07-18,26.8352
2020-07-19,26.8352
2020-07-20,26.8352
2020-07-21,26.8352
2020-07-22,26.8352
2020-07-23,26.8352
2020-07-24,26.8352
2020-07-25,26.8352
2020-07-26,26.8352
2020-07-27,26.8352
2020-07-28,26.8352
2020-07-29,26.8352
2020-07-30,26.8352
2020-07-31,26.8352
2020-08-01,26.8352
2020-08-02,26.8352
2020-08-03,26.8352
2020-08-04,26.8352
2020-08-05,26.8352
2020-08-06,26.8352
2020-08-07,26.8352
2020-08-08,26.8352
2020-08-09,26.8352
2020-08-10,26.8352
2020-08-11,26.8352
2020-08-12,26.8352
2020-08-13,26.8352
2020-08-14,26.8352
2020-08-15,26.8352
2020-08-16,26.8352
2020-08-17,26.8352
2020-08-18,26.8352
2020-08-19,26.8352
2020-08-20,26.8352
2020-08-21,26.8352
2020-08-22,26.8352
2020-08-23,26.8352
2020-08-24,26.8352
2020-08-25,26.8352
2020-08-26,26.8352
2020-08-27,26.8352
2020-08-28,26.8352
2020-08-29,26.8352
2020-08-30,26.8352
2020-08-31,26.8352
2020-09-01,26.8352
2020-09-02,26.8352
2020-09-03,26.8352
2020-09-04,26.8352
2020-09-05,26.8352
2020-09-06,26.8352
2020-09-07,26.8352
2020-09-08,26.8352
2020-09-09,26.8352
2020-09-10,26.8352
2020-09-11,26.8352
2020-09-12,26.8352
2020-09-13,26.8352
2020-09-14,26.8352
2020-09-15,26.8352
2020-09-16,26.8352
2020-09-17,26.8352
2020-09-18,26.8352
2020-09-19,26.8352
2020-09-20,26.8352
2020-09-21,26.8352
2020-09-22,26.8352
2020-09-23,26.8352
2020-09-24,26.8352
2020-09-25,26.8352
2020-09-26,26.8352
2020-09-27,26.8352
2020-09-28,26.8352
2020-09-29,26.8352
2020-09-30,27.5508
2020-10-01,27.5508
2020-10-02,27.5508
2020-10-03,27.5508
2020-10-04,27.5508
2020-10-05,27.5508
2020-10-06,27.5508
2020-10-07,27.5508
2020-10-08,27.5508
2020-10-09,27.5508
2020-10-10,27.5508
2020-10-11,27.5508
2020-10-12,27.5508
2020-10-13,27.5508
2020-10-14,27.5508
2020-10-15,27.5508
2020-10-16,27.5508
2020-10-17,27.5508
2020-10-18,27.5508
2020-10-19,27.5508
2020-10-20,27.5508
2020-10-21,27.5508
2020-10-22,27.5508
2020-10-23,27.5508
2020-10-24,27.5508
2020-10-25,27.5508
2020-10-26,27.5508
2020-10-27,27.5508
2020-10-28,27.5508
2020-10-29,27.5508
2020-10-30,27.5508
2020-10-31,27.5508
2020-11-01,27.5508
2020-11-02,27.5508
2020-11-03,27.5508
2020-11-04,27.5508
2020-11-05,27.5508
2020-11-06,27.5508
2020-11-07,27.5508
2020-11-08,27.5508
2020-11-09,27.5508
2020-11-10,27.5508
2020-11-11,27.5508
2020-11-12,27.5508
2020-11-13,27.5508
2020-11-14,27.5508
2020-11-15,27.5508
2020-11-16,27.5508
2020-11-17,27.5508
2020-11-18,27.5508
2020-11-19,27.5508
2020-11-20,27.5508
2020-11-21,27.5508
2020-11-22,27.5508
2020-11-23,27.5508
2020-11-24,27.5508
2020-11-25,27.5508
2020-11-26,27.5508
2020-11-27,27.5508
2020-11-28,27.5508
2020-11-29,27.5508
2020-11-30,27.5508
2020-12-01,27.5508
2020-12-02,27.5508
2020-12-03,27.5508
2020-12-04,27.5508
2020-12-05,27.5508
2020-12-06,27.5508
2020-12-07,27.5508
2020-12-08,27.5508
2020-12-09,27.5508
2020-12-10,27.5508
2020-12-11,27.5508
2020-12-12,27.5508
2020-12-13,27.5508
2020-12-14,27.5508
2020-12-15,27.5508
2020-12-16,27.5508
2020-12-17,27.5508
2020-12-18,27.5508
2020-12-19,27.5508
2020-12-20,27.5508
2020-12-21,27.5508
2020-12-22,27.5508
2020-12-23,27.5508
2020-12-24,27.5508
2020-12-25,27.5508
2020-12-26,27.5508
2020-12-27,27.5508
2020-12-28,27.5508
2020-12-29,27.5508
