,BBDC US Equity
,RETURN_COM_EQY
2020-01-01,10.2645
2020-01-02,10.2645
2020-01-03,10.2645
2020-01-04,10.2645
2020-01-05,10.2645
2020-01-06,10.2645
2020-01-07,10.2645
2020-01-08,10.2645
2020-01-09,10.2645
2020-01-10,10.2645
2020-01-11,10.2645
2020-01-12,10.2645
2020-01-13,10.2645
2020-01-14,10.2645
2020-01-15,10.2645
2020-01-16,10.2645
2020-01-17,10.2645
2020-01-18,10.2645
2020-01-19,10.2645
2020-01-20,10.2645
2020-01-21,10.2645
2020-01-22,10.2645
2020-01-23,10.2645
2020-01-24,10.2645
2020-01-25,10.2645
2020-01-26,10.2645
2020-01-27,10.2645
2020-01-28,10.2645
2020-01-29,10.2645
2020-01-30,10.2645
2020-01-31,10.2645
2020-02-01,10.2645
2020-02-02,10.2645
2020-02-03,10.2645
2020-02-04,10.2645
2020-02-05,10.2645
2020-02-06,10.2645
2020-02-07,10.2645
2020-02-08,10.2645
2020-02-09,10.2645
2020-02-10,10.2645
2020-02-11,10.2645
2020-02-12,10.2645
2020-02-13,10.2645
2020-02-14,10.2645
2020-02-15,10.2645
2020-02-16,10.2645
2020-02-17,10.2645
2020-02-18,10.2645
2020-02-19,10.2645
2020-02-20,10.2645
2020-02-21,10.2645
2020-02-22,10.2645
2020-02-23,10.2645
2020-02-24,10.2645
2020-02-25,10.2645
2020-02-26,10.2645
2020-02-27,10.2645
2020-02-28,10.2645
2020-02-29,10.2645
2020-03-01,10.2645
2020-03-02,10.2645
2020-03-03,10.2645
2020-03-04,10.2645
2020-03-05,10.2645
2020-03-06,10.2645
2020-03-07,10.2645
2020-03-08,10.2645
2020-03-09,10.2645
2020-03-10,10.2645
2020-03-11,10.2645
2020-03-12,10.2645
2020-03-13,10.2645
2020-03-14,10.2645
2020-03-15,10.2645
2020-03-16,10.2645
2020-03-17,10.2645
2020-03-18,10.2645
2020-03-19,10.2645
2020-03-20,10.2645
2020-03-21,10.2645
2020-03-22,10.2645
2020-03-23,10.2645
2020-03-24,10.2645
2020-03-25,10.2645
2020-03-26,10.2645
2020-03-27,10.2645
2020-03-28,10.2645
2020-03-29,10.2645
2020-03-30,10.2645
2020-03-31,-16.9904
2020-04-01,-16.9904
2020-04-02,-16.9904
2020-04-03,-16.9904
2020-04-04,-16.9904
2020-04-05,-16.9904
2020-04-06,-16.9904
2020-04-07,-16.9904
2020-04-08,-16.9904
2020-04-09,-16.9904
2020-04-10,-16.9904
2020-04-11,-16.9904
2020-04-12,-16.9904
2020-04-13,-16.9904
2020-04-14,-16.9904
2020-04-15,-16.9904
2020-04-16,-16.9904
2020-04-17,-16.9904
2020-04-18,-16.9904
2020-04-19,-16.9904
2020-04-20,-16.9904
2020-04-21,-16.9904
2020-04-22,-16.9904
2020-04-23,-16.9904
2020-04-24,-16.9904
2020-04-25,-16.9904
2020-04-26,-16.9904
2020-04-27,-16.9904
2020-04-28,-16.9904
2020-04-29,-16.9904
2020-04-30,-16.9904
2020-05-01,-16.9904
2020-05-02,-16.9904
2020-05-03,-16.9904
2020-05-04,-16.9904
2020-05-05,-16.9904
2020-05-06,-16.9904
2020-05-07,-16.9904
2020-05-08,-16.9904
2020-05-09,-16.9904
2020-05-10,-16.9904
2020-05-11,-16.9904
2020-05-12,-16.9904
2020-05-13,-16.9904
2020-05-14,-16.9904
2020-05-15,-16.9904
2020-05-16,-16.9904
2020-05-17,-16.9904
2020-05-18,-16.9904
2020-05-19,-16.9904
2020-05-20,-16.9904
2020-05-21,-16.9904
2020-05-22,-16.9904
2020-05-23,-16.9904
2020-05-24,-16.9904
2020-05-25,-16.9904
2020-05-26,-16.9904
2020-05-27,-16.9904
2020-05-28,-16.9904
2020-05-29,-16.9904
2020-05-30,-16.9904
2020-05-31,-16.9904
2020-06-01,-16.9904
2020-06-02,-16.9904
2020-06-03,-16.9904
2020-06-04,-16.9904
2020-06-05,-16.9904
2020-06-06,-16.9904
2020-06-07,-16.9904
2020-06-08,-16.9904
2020-06-09,-16.9904
2020-06-10,-16.9904
2020-06-11,-16.9904
2020-06-12,-16.9904
2020-06-13,-16.9904
2020-06-14,-16.9904
2020-06-15,-16.9904
2020-06-16,-16.9904
2020-06-17,-16.9904
2020-06-18,-16.9904
2020-06-19,-16.9904
2020-06-20,-16.9904
2020-06-21,-16.9904
2020-06-22,-16.9904
2020-06-23,-16.9904
2020-06-24,-16.9904
2020-06-25,-16.9904
2020-06-26,-16.9904
2020-06-27,-16.9904
2020-06-28,-16.9904
2020-06-29,-16.9904
2020-06-30,-7.8228
2020-07-01,-7.8228
2020-07-02,-7.8228
2020-07-03,-7.8228
2020-07-04,-7.8228
2020-07-05,-7.8228
2020-07-06,-7.8228
2020-07-07,-7.8228
2020-07-08,-7.8228
2020-07-09,-7.8228
2020-07-10,-7.8228
2020-07-11,-7.8228
2020-07-12,-7.8228
2020-07-13,-7.8228
2020-07-14,-7.8228
2020-07-15,-7.8228
2020-07-16,-7.8228
2020-07-17,-7.8228
2020-07-18,-7.8228
2020-07-19,-7.8228
2020-07-20,-7.8228
2020-07-21,-7.8228
2020-07-22,-7.8228
2020-07-23,-7.8228
2020-07-24,-7.8228
2020-07-25,-7.8228
2020-07-26,-7.8228
2020-07-27,-7.8228
2020-07-28,-7.8228
2020-07-29,-7.8228
2020-07-30,-7.8228
2020-07-31,-7.8228
2020-08-01,-7.8228
2020-08-02,-7.8228
2020-08-03,-7.8228
2020-08-04,-7.8228
2020-08-05,-7.8228
2020-08-06,-7.8228
2020-08-07,-7.8228
2020-08-08,-7.8228
2020-08-09,-7.8228
2020-08-10,-7.8228
2020-08-11,-7.8228
2020-08-12,-7.8228
2020-08-13,-7.8228
2020-08-14,-7.8228
2020-08-15,-7.8228
2020-08-16,-7.8228
2020-08-17,-7.8228
2020-08-18,-7.8228
2020-08-19,-7.8228
2020-08-20,-7.8228
2020-08-21,-7.8228
2020-08-22,-7.8228
2020-08-23,-7.8228
2020-08-24,-7.8228
2020-08-25,-7.8228
2020-08-26,-7.8228
2020-08-27,-7.8228
2020-08-28,-7.8228
2020-08-29,-7.8228
2020-08-30,-7.8228
2020-08-31,-7.8228
2020-09-01,-7.8228
2020-09-02,-7.8228
2020-09-03,-7.8228
2020-09-04,-7.8228
2020-09-05,-7.8228
2020-09-06,-7.8228
2020-09-07,-7.8228
2020-09-08,-7.8228
2020-09-09,-7.8228
2020-09-10,-7.8228
2020-09-11,-7.8228
2020-09-12,-7.8228
2020-09-13,-7.8228
2020-09-14,-7.8228
2020-09-15,-7.8228
2020-09-16,-7.8228
2020-09-17,-7.8228
2020-09-18,-7.8228
2020-09-19,-7.8228
2020-09-20,-7.8228
2020-09-21,-7.8228
2020-09-22,-7.8228
2020-09-23,-7.8228
2020-09-24,-7.8228
2020-09-25,-7.8228
2020-09-26,-7.8228
2020-09-27,-7.8228
2020-09-28,-7.8228
2020-09-29,-7.8228
2020-09-30,-0.7299
2020-10-01,-0.7299
2020-10-02,-0.7299
2020-10-03,-0.7299
2020-10-04,-0.7299
2020-10-05,-0.7299
2020-10-06,-0.7299
2020-10-07,-0.7299
2020-10-08,-0.7299
2020-10-09,-0.7299
2020-10-10,-0.7299
2020-10-11,-0.7299
2020-10-12,-0.7299
2020-10-13,-0.7299
2020-10-14,-0.7299
2020-10-15,-0.7299
2020-10-16,-0.7299
2020-10-17,-0.7299
2020-10-18,-0.7299
2020-10-19,-0.7299
2020-10-20,-0.7299
2020-10-21,-0.7299
2020-10-22,-0.7299
2020-10-23,-0.7299
2020-10-24,-0.7299
2020-10-25,-0.7299
2020-10-26,-0.7299
2020-10-27,-0.7299
2020-10-28,-0.7299
2020-10-29,-0.7299
2020-10-30,-0.7299
2020-10-31,-0.7299
2020-11-01,-0.7299
2020-11-02,-0.7299
2020-11-03,-0.7299
2020-11-04,-0.7299
2020-11-05,-0.7299
2020-11-06,-0.7299
2020-11-07,-0.7299
2020-11-08,-0.7299
2020-11-09,-0.7299
2020-11-10,-0.7299
2020-11-11,-0.7299
2020-11-12,-0.7299
2020-11-13,-0.7299
2020-11-14,-0.7299
2020-11-15,-0.7299
2020-11-16,-0.7299
2020-11-17,-0.7299
2020-11-18,-0.7299
2020-11-19,-0.7299
2020-11-20,-0.7299
2020-11-21,-0.7299
2020-11-22,-0.7299
2020-11-23,-0.7299
2020-11-24,-0.7299
2020-11-25,-0.7299
2020-11-26,-0.7299
2020-11-27,-0.7299
2020-11-28,-0.7299
2020-11-29,-0.7299
2020-11-30,-0.7299
2020-12-01,-0.7299
2020-12-02,-0.7299
2020-12-03,-0.7299
2020-12-04,-0.7299
2020-12-05,-0.7299
2020-12-06,-0.7299
2020-12-07,-0.7299
2020-12-08,-0.7299
2020-12-09,-0.7299
2020-12-10,-0.7299
2020-12-11,-0.7299
2020-12-12,-0.7299
2020-12-13,-0.7299
2020-12-14,-0.7299
2020-12-15,-0.7299
2020-12-16,-0.7299
2020-12-17,-0.7299
2020-12-18,-0.7299
2020-12-19,-0.7299
2020-12-20,-0.7299
2020-12-21,-0.7299
2020-12-22,-0.7299
2020-12-23,-0.7299
2020-12-24,-0.7299
2020-12-25,-0.7299
2020-12-26,-0.7299
2020-12-27,-0.7299
2020-12-28,-0.7299
2020-12-29,-0.7299
2020-12-30,-0.7299
2020-12-31,1.269
2021-01-01,1.269
2021-01-02,1.269
2021-01-03,1.269
2021-01-04,1.269
2021-01-05,1.269
2021-01-06,1.269
2021-01-07,1.269
2021-01-08,1.269
2021-01-09,1.269
2021-01-10,1.269
2021-01-11,1.269
2021-01-12,1.269
2021-01-13,1.269
2021-01-14,1.269
2021-01-15,1.269
2021-01-16,1.269
2021-01-17,1.269
2021-01-18,1.269
2021-01-19,1.269
2021-01-20,1.269
2021-01-21,1.269
2021-01-22,1.269
2021-01-23,1.269
2021-01-24,1.269
2021-01-25,1.269
2021-01-26,1.269
2021-01-27,1.269
2021-01-28,1.269
