,REGI US Equity
,RETURN_COM_EQY
2020-01-01,-64.1245
2020-01-02,-64.1245
2020-01-03,-64.1245
2020-01-04,-64.1245
2020-01-05,-64.1245
2020-01-06,-64.1245
2020-01-07,-64.1245
2020-01-08,-64.1245
2020-01-09,-64.1245
2020-01-10,-64.1245
2020-01-11,-64.1245
2020-01-12,-64.1245
2020-01-13,-64.1245
2020-01-14,-64.1245
2020-01-15,-64.1245
2020-01-16,-64.1245
2020-01-17,-64.1245
2020-01-18,-64.1245
2020-01-19,-64.1245
2020-01-20,-64.1245
2020-01-21,-64.1245
2020-01-22,-64.1245
2020-01-23,-64.1245
2020-01-24,-64.1245
2020-01-25,-64.1245
2020-01-26,-64.1245
2020-01-27,-64.1245
2020-01-28,-64.1245
2020-01-29,-64.1245
2020-01-30,-64.1245
2020-01-31,-64.1245
2020-02-01,-64.1245
2020-02-02,-64.1245
2020-02-03,-64.1245
2020-02-04,-64.1245
2020-02-05,-64.1245
2020-02-06,-64.1245
2020-02-07,-64.1245
2020-02-08,-64.1245
2020-02-09,-64.1245
2020-02-10,-64.1245
2020-02-11,-64.1245
2020-02-12,-64.1245
2020-02-13,-64.1245
2020-02-14,-64.1245
2020-02-15,-64.1245
2020-02-16,-64.1245
2020-02-17,-64.1245
2020-02-18,-64.1245
2020-02-19,-64.1245
2020-02-20,-64.1245
2020-02-21,-64.1245
2020-02-22,-64.1245
2020-02-23,-64.1245
2020-02-24,-64.1245
2020-02-25,-64.1245
2020-02-26,-64.1245
2020-02-27,-64.1245
2020-02-28,-64.1245
2020-02-29,-64.1245
2020-03-01,-64.1245
2020-03-02,-64.1245
2020-03-03,-64.1245
2020-03-04,-64.1245
2020-03-05,-64.1245
2020-03-06,-64.1245
2020-03-07,-64.1245
2020-03-08,-64.1245
2020-03-09,-64.1245
2020-03-10,-64.1245
2020-03-11,-64.1245
2020-03-12,-64.1245
2020-03-13,-64.1245
2020-03-14,-64.1245
2020-03-15,-64.1245
2020-03-16,-64.1245
2020-03-17,-64.1245
2020-03-18,-64.1245
2020-03-19,-64.1245
2020-03-20,-64.1245
2020-03-21,-64.1245
2020-03-22,-64.1245
2020-03-23,-64.1245
2020-03-24,-64.1245
2020-03-25,-64.1245
2020-03-26,-64.1245
2020-03-27,-64.1245
2020-03-28,-64.1245
2020-03-29,-64.1245
2020-03-30,-64.1245
2020-03-31,-50.5549
2020-04-01,-50.5549
2020-04-02,-50.5549
2020-04-03,-50.5549
2020-04-04,-50.5549
2020-04-05,-50.5549
2020-04-06,-50.5549
2020-04-07,-50.5549
2020-04-08,-50.5549
2020-04-09,-50.5549
2020-04-10,-50.5549
2020-04-11,-50.5549
2020-04-12,-50.5549
