,SPGI US Equity
,RETURN_COM_EQY
2020-01-01,383.5592
2020-01-02,383.5592
2020-01-03,383.5592
2020-01-04,383.5592
2020-01-05,383.5592
2020-01-06,383.5592
2020-01-07,383.5592
2020-01-08,383.5592
2020-01-09,383.5592
2020-01-10,383.5592
2020-01-11,383.5592
2020-01-12,383.5592
2020-01-13,383.5592
2020-01-14,383.5592
2020-01-15,383.5592
2020-01-16,383.5592
2020-01-17,383.5592
2020-01-18,383.5592
2020-01-19,383.5592
2020-01-20,383.5592
2020-01-21,383.5592
2020-01-22,383.5592
2020-01-23,383.5592
2020-01-24,383.5592
2020-01-25,383.5592
2020-01-26,383.5592
2020-01-27,383.5592
2020-01-28,383.5592
2020-01-29,383.5592
2020-01-30,383.5592
2020-01-31,383.5592
2020-02-01,383.5592
2020-02-02,383.5592
2020-02-03,383.5592
2020-02-04,383.5592
2020-02-05,383.5592
2020-02-06,383.5592
2020-02-07,383.5592
2020-02-08,383.5592
2020-02-09,383.5592
2020-02-10,383.5592
2020-02-11,383.5592
2020-02-12,383.5592
2020-02-13,383.5592
2020-02-14,383.5592
2020-02-15,383.5592
2020-02-16,383.5592
2020-02-17,383.5592
2020-02-18,383.5592
2020-02-19,383.5592
2020-02-20,383.5592
2020-02-21,383.5592
2020-02-22,383.5592
2020-02-23,383.5592
2020-02-24,383.5592
2020-02-25,383.5592
2020-02-26,383.5592
2020-02-27,383.5592
2020-02-28,383.5592
2020-02-29,383.5592
2020-03-01,383.5592
2020-03-02,383.5592
2020-03-03,383.5592
2020-03-04,383.5592
2020-03-05,383.5592
2020-03-06,383.5592
2020-03-07,383.5592
2020-03-08,383.5592
2020-03-09,383.5592
2020-03-10,383.5592
2020-03-11,383.5592
2020-03-12,383.5592
2020-03-13,383.5592
2020-03-14,383.5592
2020-03-15,383.5592
2020-03-16,383.5592
2020-03-17,383.5592
2020-03-18,383.5592
2020-03-19,383.5592
2020-03-20,383.5592
2020-03-21,383.5592
2020-03-22,383.5592
2020-03-23,383.5592
2020-03-24,383.5592
2020-03-25,383.5592
2020-03-26,383.5592
2020-03-27,383.5592
2020-03-28,383.5592
2020-03-29,383.5592
2020-03-30,383.5592
2020-03-31,383.5592
2020-04-01,383.5592
2020-04-02,383.5592
2020-04-03,383.5592
2020-04-04,383.5592
2020-04-05,383.5592
2020-04-06,383.5592
2020-04-07,383.5592
2020-04-08,383.5592
2020-04-09,383.5592
2020-04-10,383.5592
2020-04-11,383.5592
2020-04-12,383.5592
2020-04-13,383.5592
