,ROK US Equity
,RETURN_COM_EQY
2020-01-01,92.9242
2020-01-02,92.9242
2020-01-03,92.9242
2020-01-04,92.9242
2020-01-05,92.9242
2020-01-06,92.9242
2020-01-07,92.9242
2020-01-08,92.9242
2020-01-09,92.9242
2020-01-10,92.9242
2020-01-11,92.9242
2020-01-12,92.9242
2020-01-13,92.9242
2020-01-14,92.9242
2020-01-15,92.9242
2020-01-16,92.9242
2020-01-17,92.9242
2020-01-18,92.9242
2020-01-19,92.9242
2020-01-20,92.9242
2020-01-21,92.9242
2020-01-22,92.9242
2020-01-23,92.9242
2020-01-24,92.9242
2020-01-25,92.9242
2020-01-26,92.9242
2020-01-27,92.9242
2020-01-28,92.9242
2020-01-29,92.9242
2020-01-30,92.9242
2020-01-31,92.9242
2020-02-01,92.9242
2020-02-02,92.9242
2020-02-03,92.9242
2020-02-04,92.9242
2020-02-05,92.9242
2020-02-06,92.9242
2020-02-07,92.9242
2020-02-08,92.9242
2020-02-09,92.9242
2020-02-10,92.9242
2020-02-11,92.9242
2020-02-12,92.9242
2020-02-13,92.9242
2020-02-14,92.9242
2020-02-15,92.9242
2020-02-16,92.9242
2020-02-17,92.9242
2020-02-18,92.9242
2020-02-19,92.9242
2020-02-20,92.9242
2020-02-21,92.9242
2020-02-22,92.9242
2020-02-23,92.9242
2020-02-24,92.9242
2020-02-25,92.9242
2020-02-26,92.9242
2020-02-27,92.9242
2020-02-28,92.9242
2020-02-29,92.9242
2020-03-01,92.9242
2020-03-02,92.9242
2020-03-03,92.9242
2020-03-04,92.9242
2020-03-05,92.9242
2020-03-06,92.9242
2020-03-07,92.9242
2020-03-08,92.9242
2020-03-09,92.9242
2020-03-10,92.9242
2020-03-11,92.9242
2020-03-12,92.9242
2020-03-13,92.9242
2020-03-14,92.9242
2020-03-15,92.9242
2020-03-16,92.9242
2020-03-17,92.9242
2020-03-18,92.9242
2020-03-19,92.9242
2020-03-20,92.9242
2020-03-21,92.9242
2020-03-22,92.9242
2020-03-23,92.9242
2020-03-24,92.9242
2020-03-25,92.9242
2020-03-26,92.9242
2020-03-27,92.9242
2020-03-28,92.9242
2020-03-29,92.9242
2020-03-30,92.9242
2020-03-31,72.7403
2020-04-01,72.7403
2020-04-02,72.7403
2020-04-03,72.7403
2020-04-04,72.7403
2020-04-05,72.7403
2020-04-06,72.7403
2020-04-07,72.7403
2020-04-08,72.7403
2020-04-09,72.7403
2020-04-10,72.7403
2020-04-11,72.7403
2020-04-12,72.7403
2020-04-13,72.7403
2020-04-14,72.7403
2020-04-15,72.7403
