,USB US Equity
,RETURN_COM_EQY
2020-01-01,14.5432
2020-01-02,14.5432
2020-01-03,14.5432
2020-01-04,14.5432
2020-01-05,14.5432
2020-01-06,14.5432
2020-01-07,14.5432
2020-01-08,14.5432
2020-01-09,14.5432
2020-01-10,14.5432
2020-01-11,14.5432
2020-01-12,14.5432
2020-01-13,14.5432
2020-01-14,14.5432
2020-01-15,14.5432
2020-01-16,14.5432
2020-01-17,14.5432
2020-01-18,14.5432
2020-01-19,14.5432
2020-01-20,14.5432
2020-01-21,14.5432
2020-01-22,14.5432
2020-01-23,14.5432
2020-01-24,14.5432
2020-01-25,14.5432
2020-01-26,14.5432
2020-01-27,14.5432
2020-01-28,14.5432
2020-01-29,14.5432
2020-01-30,14.5432
2020-01-31,14.5432
2020-02-01,14.5432
2020-02-02,14.5432
2020-02-03,14.5432
2020-02-04,14.5432
2020-02-05,14.5432
2020-02-06,14.5432
2020-02-07,14.5432
2020-02-08,14.5432
2020-02-09,14.5432
2020-02-10,14.5432
2020-02-11,14.5432
2020-02-12,14.5432
2020-02-13,14.5432
2020-02-14,14.5432
2020-02-15,14.5432
2020-02-16,14.5432
2020-02-17,14.5432
2020-02-18,14.5432
2020-02-19,14.5432
2020-02-20,14.5432
2020-02-21,14.5432
2020-02-22,14.5432
2020-02-23,14.5432
2020-02-24,14.5432
2020-02-25,14.5432
2020-02-26,14.5432
2020-02-27,14.5432
2020-02-28,14.5432
2020-02-29,14.5432
2020-03-01,14.5432
2020-03-02,14.5432
2020-03-03,14.5432
2020-03-04,14.5432
2020-03-05,14.5432
2020-03-06,14.5432
2020-03-07,14.5432
2020-03-08,14.5432
2020-03-09,14.5432
2020-03-10,14.5432
2020-03-11,14.5432
2020-03-12,14.5432
2020-03-13,14.5432
2020-03-14,14.5432
2020-03-15,14.5432
2020-03-16,14.5432
2020-03-17,14.5432
2020-03-18,14.5432
2020-03-19,14.5432
2020-03-20,14.5432
2020-03-21,14.5432
2020-03-22,14.5432
2020-03-23,14.5432
2020-03-24,14.5432
2020-03-25,14.5432
2020-03-26,14.5432
2020-03-27,14.5432
2020-03-28,14.5432
2020-03-29,14.5432
2020-03-30,14.5432
2020-03-31,13.2797
2020-04-01,13.2797
2020-04-02,13.2797
2020-04-03,13.2797
2020-04-04,13.2797
2020-04-05,13.2797
2020-04-06,13.2797
2020-04-07,13.2797
2020-04-08,13.2797
2020-04-09,13.2797
2020-04-10,13.2797
2020-04-11,13.2797
2020-04-12,13.2797
2020-04-13,13.2797
2020-04-14,13.2797
2020-04-15,13.2797
2020-04-16,13.2797
2020-04-17,13.2797
2020-04-18,13.2797
2020-04-19,13.2797
2020-04-20,13.2797
2020-04-21,13.2797
2020-04-22,13.2797
2020-04-23,13.2797
2020-04-24,13.2797
2020-04-25,13.2797
2020-04-26,13.2797
2020-04-27,13.2797
2020-04-28,13.2797
2020-04-29,13.2797
2020-04-30,13.2797
2020-05-01,13.2797
2020-05-02,13.2797
2020-05-03,13.2797
2020-05-04,13.2797
2020-05-05,13.2797
2020-05-06,13.2797
2020-05-07,13.2797
2020-05-08,13.2797
2020-05-09,13.2797
2020-05-10,13.2797
2020-05-11,13.2797
2020-05-12,13.2797
2020-05-13,13.2797
2020-05-14,13.2797
2020-05-15,13.2797
2020-05-16,13.2797
2020-05-17,13.2797
2020-05-18,13.2797
2020-05-19,13.2797
2020-05-20,13.2797
2020-05-21,13.2797
2020-05-22,13.2797
2020-05-23,13.2797
2020-05-24,13.2797
2020-05-25,13.2797
2020-05-26,13.2797
2020-05-27,13.2797
2020-05-28,13.2797
2020-05-29,13.2797
2020-05-30,13.2797
2020-05-31,13.2797
2020-06-01,13.2797
2020-06-02,13.2797
2020-06-03,13.2797
2020-06-04,13.2797
2020-06-05,13.2797
2020-06-06,13.2797
2020-06-07,13.2797
2020-06-08,13.2797
2020-06-09,13.2797
2020-06-10,13.2797
2020-06-11,13.2797
2020-06-12,13.2797
2020-06-13,13.2797
2020-06-14,13.2797
2020-06-15,13.2797
2020-06-16,13.2797
2020-06-17,13.2797
2020-06-18,13.2797
2020-06-19,13.2797
2020-06-20,13.2797
2020-06-21,13.2797
2020-06-22,13.2797
2020-06-23,13.2797
2020-06-24,13.2797
2020-06-25,13.2797
2020-06-26,13.2797
2020-06-27,13.2797
2020-06-28,13.2797
2020-06-29,13.2797
2020-06-30,10.6719
2020-07-01,10.6719
2020-07-02,10.6719
2020-07-03,10.6719
2020-07-04,10.6719
2020-07-05,10.6719
2020-07-06,10.6719
2020-07-07,10.6719
2020-07-08,10.6719
2020-07-09,10.6719
2020-07-10,10.6719
2020-07-11,10.6719
2020-07-12,10.6719
2020-07-13,10.6719
2020-07-14,10.6719
2020-07-15,10.6719
2020-07-16,10.6719
2020-07-17,10.6719
2020-07-18,10.6719
2020-07-19,10.6719
2020-07-20,10.6719
2020-07-21,10.6719
2020-07-22,10.6719
2020-07-23,10.6719
2020-07-24,10.6719
2020-07-25,10.6719
2020-07-26,10.6719
2020-07-27,10.6719
2020-07-28,10.6719
2020-07-29,10.6719
2020-07-30,10.6719
2020-07-31,10.6719
2020-08-01,10.6719
2020-08-02,10.6719
2020-08-03,10.6719
2020-08-04,10.6719
2020-08-05,10.6719
2020-08-06,10.6719
2020-08-07,10.6719
2020-08-08,10.6719
2020-08-09,10.6719
2020-08-10,10.6719
2020-08-11,10.6719
2020-08-12,10.6719
2020-08-13,10.6719
2020-08-14,10.6719
2020-08-15,10.6719
2020-08-16,10.6719
2020-08-17,10.6719
2020-08-18,10.6719
2020-08-19,10.6719
2020-08-20,10.6719
2020-08-21,10.6719
2020-08-22,10.6719
2020-08-23,10.6719
2020-08-24,10.6719
2020-08-25,10.6719
2020-08-26,10.6719
2020-08-27,10.6719
2020-08-28,10.6719
2020-08-29,10.6719
2020-08-30,10.6719
2020-08-31,10.6719
2020-09-01,10.6719
2020-09-02,10.6719
2020-09-03,10.6719
2020-09-04,10.6719
2020-09-05,10.6719
2020-09-06,10.6719
2020-09-07,10.6719
2020-09-08,10.6719
2020-09-09,10.6719
2020-09-10,10.6719
2020-09-11,10.6719
2020-09-12,10.6719
2020-09-13,10.6719
2020-09-14,10.6719
2020-09-15,10.6719
2020-09-16,10.6719
2020-09-17,10.6719
2020-09-18,10.6719
2020-09-19,10.6719
2020-09-20,10.6719
2020-09-21,10.6719
2020-09-22,10.6719
2020-09-23,10.6719
2020-09-24,10.6719
2020-09-25,10.6719
2020-09-26,10.6719
2020-09-27,10.6719
2020-09-28,10.6719
2020-09-29,10.6719
2020-09-30,9.824
2020-10-01,9.824
2020-10-02,9.824
2020-10-03,9.824
2020-10-04,9.824
2020-10-05,9.824
2020-10-06,9.824
2020-10-07,9.824
2020-10-08,9.824
2020-10-09,9.824
2020-10-10,9.824
2020-10-11,9.824
2020-10-12,9.824
2020-10-13,9.824
2020-10-14,9.824
2020-10-15,9.824
2020-10-16,9.824
2020-10-17,9.824
2020-10-18,9.824
2020-10-19,9.824
