,AON US Equity
,RETURN_COM_EQY
2020-01-01,40.7122
2020-01-02,40.7122
2020-01-03,40.7122
2020-01-04,40.7122
2020-01-05,40.7122
2020-01-06,40.7122
2020-01-07,40.7122
2020-01-08,40.7122
2020-01-09,40.7122
2020-01-10,40.7122
2020-01-11,40.7122
2020-01-12,40.7122
2020-01-13,40.7122
2020-01-14,40.7122
2020-01-15,40.7122
2020-01-16,40.7122
2020-01-17,40.7122
2020-01-18,40.7122
2020-01-19,40.7122
2020-01-20,40.7122
2020-01-21,40.7122
2020-01-22,40.7122
2020-01-23,40.7122
2020-01-24,40.7122
2020-01-25,40.7122
2020-01-26,40.7122
2020-01-27,40.7122
2020-01-28,40.7122
2020-01-29,40.7122
2020-01-30,40.7122
2020-01-31,40.7122
2020-02-01,40.7122
2020-02-02,40.7122
2020-02-03,40.7122
2020-02-04,40.7122
2020-02-05,40.7122
2020-02-06,40.7122
2020-02-07,40.7122
2020-02-08,40.7122
2020-02-09,40.7122
2020-02-10,40.7122
2020-02-11,40.7122
2020-02-12,40.7122
2020-02-13,40.7122
2020-02-14,40.7122
2020-02-15,40.7122
2020-02-16,40.7122
2020-02-17,40.7122
2020-02-18,40.7122
2020-02-19,40.7122
2020-02-20,40.7122
2020-02-21,40.7122
2020-02-22,40.7122
2020-02-23,40.7122
2020-02-24,40.7122
2020-02-25,40.7122
2020-02-26,40.7122
2020-02-27,40.7122
2020-02-28,40.7122
2020-02-29,40.7122
2020-03-01,40.7122
2020-03-02,40.7122
2020-03-03,40.7122
2020-03-04,40.7122
2020-03-05,40.7122
2020-03-06,40.7122
2020-03-07,40.7122
2020-03-08,40.7122
2020-03-09,40.7122
2020-03-10,40.7122
2020-03-11,40.7122
2020-03-12,40.7122
2020-03-13,40.7122
2020-03-14,40.7122
2020-03-15,40.7122
2020-03-16,40.7122
2020-03-17,40.7122
2020-03-18,40.7122
2020-03-19,40.7122
2020-03-20,40.7122
2020-03-21,40.7122
2020-03-22,40.7122
2020-03-23,40.7122
2020-03-24,40.7122
2020-03-25,40.7122
2020-03-26,40.7122
2020-03-27,40.7122
2020-03-28,40.7122
2020-03-29,40.7122
2020-03-30,40.7122
2020-03-31,41.3897
2020-04-01,41.3897
2020-04-02,41.3897
2020-04-03,41.3897
2020-04-04,41.3897
2020-04-05,41.3897
2020-04-06,41.3897
2020-04-07,41.3897
2020-04-08,41.3897
2020-04-09,41.3897
2020-04-10,41.3897
2020-04-11,41.3897
2020-04-12,41.3897
2020-04-13,41.3897
2020-04-14,41.3897
2020-04-15,41.3897
2020-04-16,41.3897
2020-04-17,41.3897
2020-04-18,41.3897
2020-04-19,41.3897
2020-04-20,41.3897
2020-04-21,41.3897
2020-04-22,41.3897
2020-04-23,41.3897
2020-04-24,41.3897
2020-04-25,41.3897
2020-04-26,41.3897
2020-04-27,41.3897
2020-04-28,41.3897
2020-04-29,41.3897
2020-04-30,41.3897
2020-05-01,41.3897
2020-05-02,41.3897
2020-05-03,41.3897
2020-05-04,41.3897
2020-05-05,41.3897
2020-05-06,41.3897
2020-05-07,41.3897
2020-05-08,41.3897
2020-05-09,41.3897
2020-05-10,41.3897
2020-05-11,41.3897
2020-05-12,41.3897
2020-05-13,41.3897
2020-05-14,41.3897
2020-05-15,41.3897
2020-05-16,41.3897
2020-05-17,41.3897
2020-05-18,41.3897
2020-05-19,41.3897
2020-05-20,41.3897
2020-05-21,41.3897
2020-05-22,41.3897
2020-05-23,41.3897
2020-05-24,41.3897
2020-05-25,41.3897
2020-05-26,41.3897
2020-05-27,41.3897
2020-05-28,41.3897
2020-05-29,41.3897
2020-05-30,41.3897
2020-05-31,41.3897
2020-06-01,41.3897
2020-06-02,41.3897
2020-06-03,41.3897
2020-06-04,41.3897
2020-06-05,41.3897
2020-06-06,41.3897
2020-06-07,41.3897
2020-06-08,41.3897
2020-06-09,41.3897
2020-06-10,41.3897
2020-06-11,41.3897
2020-06-12,41.3897
2020-06-13,41.3897
2020-06-14,41.3897
2020-06-15,41.3897
2020-06-16,41.3897
2020-06-17,41.3897
2020-06-18,41.3897
2020-06-19,41.3897
2020-06-20,41.3897
2020-06-21,41.3897
2020-06-22,41.3897
2020-06-23,41.3897
2020-06-24,41.3897
2020-06-25,41.3897
2020-06-26,41.3897
2020-06-27,41.3897
2020-06-28,41.3897
2020-06-29,41.3897
2020-06-30,47.4654
2020-07-01,47.4654
2020-07-02,47.4654
2020-07-03,47.4654
2020-07-04,47.4654
2020-07-05,47.4654
2020-07-06,47.4654
2020-07-07,47.4654
2020-07-08,47.4654
2020-07-09,47.4654
2020-07-10,47.4654
2020-07-11,47.4654
2020-07-12,47.4654
2020-07-13,47.4654
2020-07-14,47.4654
2020-07-15,47.4654
2020-07-16,47.4654
2020-07-17,47.4654
2020-07-18,47.4654
2020-07-19,47.4654
2020-07-20,47.4654
2020-07-21,47.4654
2020-07-22,47.4654
2020-07-23,47.4654
2020-07-24,47.4654
2020-07-25,47.4654
2020-07-26,47.4654
2020-07-27,47.4654
2020-07-28,47.4654
2020-07-29,47.4654
2020-07-30,47.4654
2020-07-31,47.4654
2020-08-01,47.4654
2020-08-02,47.4654
2020-08-03,47.4654
2020-08-04,47.4654
2020-08-05,47.4654
2020-08-06,47.4654
2020-08-07,47.4654
2020-08-08,47.4654
2020-08-09,47.4654
2020-08-10,47.4654
2020-08-11,47.4654
2020-08-12,47.4654
2020-08-13,47.4654
2020-08-14,47.4654
2020-08-15,47.4654
2020-08-16,47.4654
2020-08-17,47.4654
2020-08-18,47.4654
2020-08-19,47.4654
2020-08-20,47.4654
2020-08-21,47.4654
2020-08-22,47.4654
2020-08-23,47.4654
2020-08-24,47.4654
2020-08-25,47.4654
2020-08-26,47.4654
2020-08-27,47.4654
2020-08-28,47.4654
2020-08-29,47.4654
2020-08-30,47.4654
2020-08-31,47.4654
2020-09-01,47.4654
2020-09-02,47.4654
2020-09-03,47.4654
2020-09-04,47.4654
2020-09-05,47.4654
2020-09-06,47.4654
2020-09-07,47.4654
2020-09-08,47.4654
2020-09-09,47.4654
2020-09-10,47.4654
2020-09-11,47.4654
2020-09-12,47.4654
2020-09-13,47.4654
2020-09-14,47.4654
2020-09-15,47.4654
2020-09-16,47.4654
2020-09-17,47.4654
2020-09-18,47.4654
2020-09-19,47.4654
2020-09-20,47.4654
2020-09-21,47.4654
2020-09-22,47.4654
2020-09-23,47.4654
2020-09-24,47.4654
2020-09-25,47.4654
2020-09-26,47.4654
2020-09-27,47.4654
2020-09-28,47.4654
2020-09-29,47.4654
2020-09-30,51.6918
2020-10-01,51.6918
2020-10-02,51.6918
2020-10-03,51.6918
2020-10-04,51.6918
2020-10-05,51.6918
2020-10-06,51.6918
2020-10-07,51.6918
2020-10-08,51.6918
2020-10-09,51.6918
2020-10-10,51.6918
2020-10-11,51.6918
2020-10-12,51.6918
2020-10-13,51.6918
2020-10-14,51.6918
2020-10-15,51.6918
2020-10-16,51.6918
