,EME US Equity
,RETURN_COM_EQY
2020-01-01,17.1231
2020-01-02,17.1231
2020-01-03,17.1231
2020-01-04,17.1231
2020-01-05,17.1231
2020-01-06,17.1231
2020-01-07,17.1231
2020-01-08,17.1231
2020-01-09,17.1231
2020-01-10,17.1231
2020-01-11,17.1231
2020-01-12,17.1231
2020-01-13,17.1231
2020-01-14,17.1231
2020-01-15,17.1231
2020-01-16,17.1231
2020-01-17,17.1231
2020-01-18,17.1231
2020-01-19,17.1231
2020-01-20,17.1231
2020-01-21,17.1231
2020-01-22,17.1231
2020-01-23,17.1231
2020-01-24,17.1231
2020-01-25,17.1231
2020-01-26,17.1231
2020-01-27,17.1231
2020-01-28,17.1231
2020-01-29,17.1231
2020-01-30,17.1231
2020-01-31,17.1231
2020-02-01,17.1231
2020-02-02,17.1231
2020-02-03,17.1231
2020-02-04,17.1231
2020-02-05,17.1231
2020-02-06,17.1231
2020-02-07,17.1231
2020-02-08,17.1231
2020-02-09,17.1231
2020-02-10,17.1231
2020-02-11,17.1231
2020-02-12,17.1231
2020-02-13,17.1231
2020-02-14,17.1231
2020-02-15,17.1231
2020-02-16,17.1231
2020-02-17,17.1231
2020-02-18,17.1231
2020-02-19,17.1231
2020-02-20,17.1231
2020-02-21,17.1231
2020-02-22,17.1231
2020-02-23,17.1231
2020-02-24,17.1231
2020-02-25,17.1231
2020-02-26,17.1231
2020-02-27,17.1231
2020-02-28,17.1231
2020-02-29,17.1231
2020-03-01,17.1231
2020-03-02,17.1231
2020-03-03,17.1231
2020-03-04,17.1231
2020-03-05,17.1231
2020-03-06,17.1231
2020-03-07,17.1231
2020-03-08,17.1231
2020-03-09,17.1231
2020-03-10,17.1231
2020-03-11,17.1231
2020-03-12,17.1231
2020-03-13,17.1231
2020-03-14,17.1231
2020-03-15,17.1231
2020-03-16,17.1231
2020-03-17,17.1231
2020-03-18,17.1231
2020-03-19,17.1231
2020-03-20,17.1231
2020-03-21,17.1231
2020-03-22,17.1231
2020-03-23,17.1231
2020-03-24,17.1231
2020-03-25,17.1231
2020-03-26,17.1231
2020-03-27,17.1231
2020-03-28,17.1231
2020-03-29,17.1231
2020-03-30,17.1231
2020-03-31,17.1141
2020-04-01,17.1141
2020-04-02,17.1141
2020-04-03,17.1141
2020-04-04,17.1141
2020-04-05,17.1141
2020-04-06,17.1141
2020-04-07,17.1141
2020-04-08,17.1141
2020-04-09,17.1141
2020-04-10,17.1141
2020-04-11,17.1141
2020-04-12,17.1141
2020-04-13,17.1141
2020-04-14,17.1141
2020-04-15,17.1141
2020-04-16,17.1141
2020-04-17,17.1141
2020-04-18,17.1141
2020-04-19,17.1141
2020-04-20,17.1141
2020-04-21,17.1141
2020-04-22,17.1141
2020-04-23,17.1141
2020-04-24,17.1141
2020-04-25,17.1141
2020-04-26,17.1141
2020-04-27,17.1141
2020-04-28,17.1141
2020-04-29,17.1141
2020-04-30,17.1141
2020-05-01,17.1141
2020-05-02,17.1141
2020-05-03,17.1141
2020-05-04,17.1141
2020-05-05,17.1141
2020-05-06,17.1141
2020-05-07,17.1141
2020-05-08,17.1141
2020-05-09,17.1141
2020-05-10,17.1141
2020-05-11,17.1141
2020-05-12,17.1141
2020-05-13,17.1141
2020-05-14,17.1141
2020-05-15,17.1141
2020-05-16,17.1141
2020-05-17,17.1141
2020-05-18,17.1141
2020-05-19,17.1141
2020-05-20,17.1141
2020-05-21,17.1141
2020-05-22,17.1141
2020-05-23,17.1141
2020-05-24,17.1141
2020-05-25,17.1141
2020-05-26,17.1141
2020-05-27,17.1141
2020-05-28,17.1141
2020-05-29,17.1141
2020-05-30,17.1141
2020-05-31,17.1141
2020-06-01,17.1141
2020-06-02,17.1141
2020-06-03,17.1141
2020-06-04,17.1141
2020-06-05,17.1141
2020-06-06,17.1141
2020-06-07,17.1141
2020-06-08,17.1141
2020-06-09,17.1141
2020-06-10,17.1141
2020-06-11,17.1141
2020-06-12,17.1141
2020-06-13,17.1141
2020-06-14,17.1141
2020-06-15,17.1141
2020-06-16,17.1141
2020-06-17,17.1141
2020-06-18,17.1141
2020-06-19,17.1141
2020-06-20,17.1141
2020-06-21,17.1141
2020-06-22,17.1141
2020-06-23,17.1141
2020-06-24,17.1141
2020-06-25,17.1141
2020-06-26,17.1141
2020-06-27,17.1141
2020-06-28,17.1141
2020-06-29,17.1141
2020-06-30,8.3763
2020-07-01,8.3763
2020-07-02,8.3763
2020-07-03,8.3763
2020-07-04,8.3763
2020-07-05,8.3763
2020-07-06,8.3763
2020-07-07,8.3763
2020-07-08,8.3763
2020-07-09,8.3763
2020-07-10,8.3763
2020-07-11,8.3763
2020-07-12,8.3763
2020-07-13,8.3763
2020-07-14,8.3763
2020-07-15,8.3763
2020-07-16,8.3763
2020-07-17,8.3763
2020-07-18,8.3763
2020-07-19,8.3763
2020-07-20,8.3763
2020-07-21,8.3763
2020-07-22,8.3763
2020-07-23,8.3763
2020-07-24,8.3763
2020-07-25,8.3763
2020-07-26,8.3763
2020-07-27,8.3763
2020-07-28,8.3763
2020-07-29,8.3763
2020-07-30,8.3763
2020-07-31,8.3763
2020-08-01,8.3763
2020-08-02,8.3763
2020-08-03,8.3763
2020-08-04,8.3763
2020-08-05,8.3763
2020-08-06,8.3763
2020-08-07,8.3763
2020-08-08,8.3763
2020-08-09,8.3763
2020-08-10,8.3763
2020-08-11,8.3763
2020-08-12,8.3763
2020-08-13,8.3763
2020-08-14,8.3763
2020-08-15,8.3763
2020-08-16,8.3763
2020-08-17,8.3763
2020-08-18,8.3763
2020-08-19,8.3763
2020-08-20,8.3763
2020-08-21,8.3763
2020-08-22,8.3763
2020-08-23,8.3763
2020-08-24,8.3763
2020-08-25,8.3763
2020-08-26,8.3763
2020-08-27,8.3763
2020-08-28,8.3763
2020-08-29,8.3763
2020-08-30,8.3763
2020-08-31,8.3763
2020-09-01,8.3763
2020-09-02,8.3763
2020-09-03,8.3763
2020-09-04,8.3763
2020-09-05,8.3763
2020-09-06,8.3763
2020-09-07,8.3763
2020-09-08,8.3763
2020-09-09,8.3763
2020-09-10,8.3763
2020-09-11,8.3763
2020-09-12,8.3763
2020-09-13,8.3763
2020-09-14,8.3763
2020-09-15,8.3763
2020-09-16,8.3763
2020-09-17,8.3763
2020-09-18,8.3763
2020-09-19,8.3763
2020-09-20,8.3763
2020-09-21,8.3763
2020-09-22,8.3763
2020-09-23,8.3763
2020-09-24,8.3763
2020-09-25,8.3763
2020-09-26,8.3763
2020-09-27,8.3763
2020-09-28,8.3763
2020-09-29,8.3763
2020-09-30,7.0352
2020-10-01,7.0352
2020-10-02,7.0352
2020-10-03,7.0352
2020-10-04,7.0352
2020-10-05,7.0352
2020-10-06,7.0352
2020-10-07,7.0352
2020-10-08,7.0352
2020-10-09,7.0352
2020-10-10,7.0352
2020-10-11,7.0352
2020-10-12,7.0352
2020-10-13,7.0352
2020-10-14,7.0352
2020-10-15,7.0352
2020-10-16,7.0352
2020-10-17,7.0352
2020-10-18,7.0352
2020-10-19,7.0352
2020-10-20,7.0352
2020-10-21,7.0352
2020-10-22,7.0352
2020-10-23,7.0352
2020-10-24,7.0352
2020-10-25,7.0352
2020-10-26,7.0352
2020-10-27,7.0352
2020-10-28,7.0352
2020-10-29,7.0352
2020-10-30,7.0352
2020-10-31,7.0352
2020-11-01,7.0352
2020-11-02,7.0352
2020-11-03,7.0352
2020-11-04,7.0352
2020-11-05,7.0352
2020-11-06,7.0352
2020-11-07,7.0352
