,UMBF US Equity
,RETURN_COM_EQY
2020-01-01,10.0767
2020-01-02,10.0767
2020-01-03,10.0767
2020-01-04,10.0767
2020-01-05,10.0767
2020-01-06,10.0767
2020-01-07,10.0767
2020-01-08,10.0767
2020-01-09,10.0767
2020-01-10,10.0767
2020-01-11,10.0767
2020-01-12,10.0767
2020-01-13,10.0767
2020-01-14,10.0767
2020-01-15,10.0767
2020-01-16,10.0767
2020-01-17,10.0767
2020-01-18,10.0767
2020-01-19,10.0767
2020-01-20,10.0767
2020-01-21,10.0767
2020-01-22,10.0767
2020-01-23,10.0767
2020-01-24,10.0767
2020-01-25,10.0767
2020-01-26,10.0767
2020-01-27,10.0767
2020-01-28,10.0767
2020-01-29,10.0767
2020-01-30,10.0767
2020-01-31,10.0767
2020-02-01,10.0767
2020-02-02,10.0767
2020-02-03,10.0767
2020-02-04,10.0767
2020-02-05,10.0767
2020-02-06,10.0767
2020-02-07,10.0767
2020-02-08,10.0767
2020-02-09,10.0767
2020-02-10,10.0767
2020-02-11,10.0767
2020-02-12,10.0767
2020-02-13,10.0767
2020-02-14,10.0767
2020-02-15,10.0767
2020-02-16,10.0767
2020-02-17,10.0767
2020-02-18,10.0767
2020-02-19,10.0767
2020-02-20,10.0767
2020-02-21,10.0767
2020-02-22,10.0767
2020-02-23,10.0767
2020-02-24,10.0767
2020-02-25,10.0767
2020-02-26,10.0767
2020-02-27,10.0767
2020-02-28,10.0767
2020-02-29,10.0767
2020-03-01,10.0767
2020-03-02,10.0767
2020-03-03,10.0767
2020-03-04,10.0767
2020-03-05,10.0767
2020-03-06,10.0767
2020-03-07,10.0767
2020-03-08,10.0767
2020-03-09,10.0767
2020-03-10,10.0767
2020-03-11,10.0767
2020-03-12,10.0767
2020-03-13,10.0767
2020-03-14,10.0767
2020-03-15,10.0767
2020-03-16,10.0767
2020-03-17,10.0767
2020-03-18,10.0767
2020-03-19,10.0767
2020-03-20,10.0767
2020-03-21,10.0767
2020-03-22,10.0767
2020-03-23,10.0767
2020-03-24,10.0767
2020-03-25,10.0767
2020-03-26,10.0767
2020-03-27,10.0767
2020-03-28,10.0767
2020-03-29,10.0767
2020-03-30,10.0767
2020-03-31,7.2759
2020-04-01,7.2759
2020-04-02,7.2759
2020-04-03,7.2759
2020-04-04,7.2759
2020-04-05,7.2759
2020-04-06,7.2759
2020-04-07,7.2759
2020-04-08,7.2759
2020-04-09,7.2759
2020-04-10,7.2759
2020-04-11,7.2759
2020-04-12,7.2759
2020-04-13,7.2759
2020-04-14,7.2759
2020-04-15,7.2759
2020-04-16,7.2759
2020-04-17,7.2759
2020-04-18,7.2759
2020-04-19,7.2759
2020-04-20,7.2759
2020-04-21,7.2759
2020-04-22,7.2759
2020-04-23,7.2759
2020-04-24,7.2759
2020-04-25,7.2759
2020-04-26,7.2759
2020-04-27,7.2759
2020-04-28,7.2759
2020-04-29,7.2759
2020-04-30,7.2759
2020-05-01,7.2759
2020-05-02,7.2759
2020-05-03,7.2759
2020-05-04,7.2759
2020-05-05,7.2759
2020-05-06,7.2759
2020-05-07,7.2759
2020-05-08,7.2759
2020-05-09,7.2759
2020-05-10,7.2759
2020-05-11,7.2759
2020-05-12,7.2759
2020-05-13,7.2759
2020-05-14,7.2759
2020-05-15,7.2759
2020-05-16,7.2759
2020-05-17,7.2759
2020-05-18,7.2759
2020-05-19,7.2759
2020-05-20,7.2759
2020-05-21,7.2759
