,PKG US Equity
,RETURN_COM_EQY
2020-01-01,24.0694
2020-01-02,24.0694
2020-01-03,24.0694
2020-01-04,24.0694
2020-01-05,24.0694
2020-01-06,24.0694
2020-01-07,24.0694
2020-01-08,24.0694
2020-01-09,24.0694
2020-01-10,24.0694
2020-01-11,24.0694
2020-01-12,24.0694
2020-01-13,24.0694
2020-01-14,24.0694
2020-01-15,24.0694
2020-01-16,24.0694
2020-01-17,24.0694
2020-01-18,24.0694
2020-01-19,24.0694
2020-01-20,24.0694
2020-01-21,24.0694
2020-01-22,24.0694
2020-01-23,24.0694
2020-01-24,24.0694
2020-01-25,24.0694
2020-01-26,24.0694
2020-01-27,24.0694
2020-01-28,24.0694
2020-01-29,24.0694
2020-01-30,24.0694
2020-01-31,24.0694
2020-02-01,24.0694
2020-02-02,24.0694
2020-02-03,24.0694
2020-02-04,24.0694
2020-02-05,24.0694
2020-02-06,24.0694
2020-02-07,24.0694
2020-02-08,24.0694
2020-02-09,24.0694
2020-02-10,24.0694
2020-02-11,24.0694
2020-02-12,24.0694
2020-02-13,24.0694
2020-02-14,24.0694
2020-02-15,24.0694
2020-02-16,24.0694
2020-02-17,24.0694
2020-02-18,24.0694
2020-02-19,24.0694
2020-02-20,24.0694
2020-02-21,24.0694
2020-02-22,24.0694
2020-02-23,24.0694
2020-02-24,24.0694
2020-02-25,24.0694
2020-02-26,24.0694
2020-02-27,24.0694
2020-02-28,24.0694
2020-02-29,24.0694
2020-03-01,24.0694
2020-03-02,24.0694
2020-03-03,24.0694
2020-03-04,24.0694
2020-03-05,24.0694
2020-03-06,24.0694
2020-03-07,24.0694
2020-03-08,24.0694
2020-03-09,24.0694
2020-03-10,24.0694
2020-03-11,24.0694
2020-03-12,24.0694
2020-03-13,24.0694
2020-03-14,24.0694
2020-03-15,24.0694
2020-03-16,24.0694
2020-03-17,24.0694
2020-03-18,24.0694
2020-03-19,24.0694
2020-03-20,24.0694
2020-03-21,24.0694
2020-03-22,24.0694
2020-03-23,24.0694
2020-03-24,24.0694
2020-03-25,24.0694
2020-03-26,24.0694
2020-03-27,24.0694
2020-03-28,24.0694
2020-03-29,24.0694
2020-03-30,24.0694
2020-03-31,21.7445
2020-04-01,21.7445
2020-04-02,21.7445
2020-04-03,21.7445
2020-04-04,21.7445
2020-04-05,21.7445
2020-04-06,21.7445
2020-04-07,21.7445
2020-04-08,21.7445
2020-04-09,21.7445
2020-04-10,21.7445
2020-04-11,21.7445
2020-04-12,21.7445
2020-04-13,21.7445
2020-04-14,21.7445
2020-04-15,21.7445
2020-04-16,21.7445
2020-04-17,21.7445
2020-04-18,21.7445
2020-04-19,21.7445
2020-04-20,21.7445
2020-04-21,21.7445
2020-04-22,21.7445
2020-04-23,21.7445
