,ONB US Equity
,RETURN_COM_EQY
2020-01-01,8.5964
2020-01-02,8.5964
2020-01-03,8.5964
2020-01-04,8.5964
2020-01-05,8.5964
2020-01-06,8.5964
2020-01-07,8.5964
2020-01-08,8.5964
2020-01-09,8.5964
2020-01-10,8.5964
2020-01-11,8.5964
2020-01-12,8.5964
2020-01-13,8.5964
2020-01-14,8.5964
2020-01-15,8.5964
2020-01-16,8.5964
2020-01-17,8.5964
2020-01-18,8.5964
2020-01-19,8.5964
2020-01-20,8.5964
2020-01-21,8.5964
2020-01-22,8.5964
2020-01-23,8.5964
2020-01-24,8.5964
2020-01-25,8.5964
2020-01-26,8.5964
2020-01-27,8.5964
2020-01-28,8.5964
2020-01-29,8.5964
2020-01-30,8.5964
2020-01-31,8.5964
2020-02-01,8.5964
2020-02-02,8.5964
2020-02-03,8.5964
2020-02-04,8.5964
2020-02-05,8.5964
2020-02-06,8.5964
2020-02-07,8.5964
2020-02-08,8.5964
2020-02-09,8.5964
2020-02-10,8.5964
2020-02-11,8.5964
2020-02-12,8.5964
2020-02-13,8.5964
2020-02-14,8.5964
2020-02-15,8.5964
2020-02-16,8.5964
2020-02-17,8.5964
2020-02-18,8.5964
2020-02-19,8.5964
2020-02-20,8.5964
2020-02-21,8.5964
2020-02-22,8.5964
2020-02-23,8.5964
2020-02-24,8.5964
2020-02-25,8.5964
2020-02-26,8.5964
2020-02-27,8.5964
2020-02-28,8.5964
2020-02-29,8.5964
2020-03-01,8.5964
2020-03-02,8.5964
2020-03-03,8.5964
2020-03-04,8.5964
2020-03-05,8.5964
2020-03-06,8.5964
2020-03-07,8.5964
2020-03-08,8.5964
2020-03-09,8.5964
2020-03-10,8.5964
2020-03-11,8.5964
2020-03-12,8.5964
2020-03-13,8.5964
2020-03-14,8.5964
2020-03-15,8.5964
2020-03-16,8.5964
2020-03-17,8.5964
2020-03-18,8.5964
2020-03-19,8.5964
2020-03-20,8.5964
2020-03-21,8.5964
2020-03-22,8.5964
2020-03-23,8.5964
2020-03-24,8.5964
2020-03-25,8.5964
2020-03-26,8.5964
2020-03-27,8.5964
2020-03-28,8.5964
2020-03-29,8.5964
2020-03-30,8.5964
2020-03-31,7.3384
2020-04-01,7.3384
2020-04-02,7.3384
2020-04-03,7.3384
2020-04-04,7.3384
2020-04-05,7.3384
2020-04-06,7.3384
2020-04-07,7.3384
2020-04-08,7.3384
2020-04-09,7.3384
2020-04-10,7.3384
2020-04-11,7.3384
2020-04-12,7.3384
2020-04-13,7.3384
2020-04-14,7.3384
2020-04-15,7.3384
2020-04-16,7.3384
2020-04-17,7.3384
2020-04-18,7.3384
2020-04-19,7.3384
2020-04-20,7.3384
2020-04-21,7.3384
2020-04-22,7.3384
2020-04-23,7.3384
2020-04-24,7.3384
2020-04-25,7.3384
2020-04-26,7.3384
2020-04-27,7.3384
2020-04-28,7.3384
2020-04-29,7.3384
2020-04-30,7.3384
2020-05-01,7.3384
2020-05-02,7.3384
2020-05-03,7.3384
2020-05-04,7.3384
2020-05-05,7.3384
2020-05-06,7.3384
2020-05-07,7.3384
2020-05-08,7.3384
2020-05-09,7.3384
2020-05-10,7.3384
2020-05-11,7.3384
2020-05-12,7.3384
2020-05-13,7.3384
2020-05-14,7.3384
2020-05-15,7.3384
2020-05-16,7.3384
2020-05-17,7.3384
2020-05-18,7.3384
2020-05-19,7.3384
2020-05-20,7.3384
2020-05-21,7.3384
2020-05-22,7.3384
2020-05-23,7.3384
2020-05-24,7.3384
2020-05-25,7.3384
2020-05-26,7.3384
2020-05-27,7.3384
2020-05-28,7.3384
2020-05-29,7.3384
2020-05-30,7.3384
2020-05-31,7.3384
2020-06-01,7.3384
2020-06-02,7.3384
2020-06-03,7.3384
2020-06-04,7.3384
2020-06-05,7.3384
2020-06-06,7.3384
2020-06-07,7.3384
2020-06-08,7.3384
2020-06-09,7.3384
2020-06-10,7.3384
2020-06-11,7.3384
2020-06-12,7.3384
2020-06-13,7.3384
2020-06-14,7.3384
2020-06-15,7.3384
2020-06-16,7.3384
2020-06-17,7.3384
2020-06-18,7.3384
2020-06-19,7.3384
2020-06-20,7.3384
2020-06-21,7.3384
2020-06-22,7.3384
2020-06-23,7.3384
2020-06-24,7.3384
2020-06-25,7.3384
2020-06-26,7.3384
2020-06-27,7.3384
2020-06-28,7.3384
2020-06-29,7.3384
2020-06-30,6.8219
2020-07-01,6.8219
2020-07-02,6.8219
2020-07-03,6.8219
2020-07-04,6.8219
2020-07-05,6.8219
2020-07-06,6.8219
2020-07-07,6.8219
2020-07-08,6.8219
2020-07-09,6.8219
2020-07-10,6.8219
2020-07-11,6.8219
2020-07-12,6.8219
2020-07-13,6.8219
2020-07-14,6.8219
2020-07-15,6.8219
2020-07-16,6.8219
