,CRD/B US Equity
,RETURN_COM_EQY
2020-01-01,7.5528
2020-01-02,7.5528
2020-01-03,7.5528
2020-01-04,7.5528
2020-01-05,7.5528
2020-01-06,7.5528
2020-01-07,7.5528
2020-01-08,7.5528
2020-01-09,7.5528
2020-01-10,7.5528
2020-01-11,7.5528
2020-01-12,7.5528
2020-01-13,7.5528
2020-01-14,7.5528
2020-01-15,7.5528
2020-01-16,7.5528
2020-01-17,7.5528
2020-01-18,7.5528
2020-01-19,7.5528
2020-01-20,7.5528
2020-01-21,7.5528
2020-01-22,7.5528
2020-01-23,7.5528
2020-01-24,7.5528
2020-01-25,7.5528
2020-01-26,7.5528
2020-01-27,7.5528
2020-01-28,7.5528
2020-01-29,7.5528
2020-01-30,7.5528
2020-01-31,7.5528
2020-02-01,7.5528
2020-02-02,7.5528
2020-02-03,7.5528
2020-02-04,7.5528
2020-02-05,7.5528
2020-02-06,7.5528
2020-02-07,7.5528
2020-02-08,7.5528
2020-02-09,7.5528
2020-02-10,7.5528
2020-02-11,7.5528
2020-02-12,7.5528
2020-02-13,7.5528
2020-02-14,7.5528
2020-02-15,7.5528
2020-02-16,7.5528
2020-02-17,7.5528
2020-02-18,7.5528
2020-02-19,7.5528
2020-02-20,7.5528
2020-02-21,7.5528
2020-02-22,7.5528
2020-02-23,7.5528
2020-02-24,7.5528
2020-02-25,7.5528
2020-02-26,7.5528
2020-02-27,7.5528
2020-02-28,7.5528
2020-02-29,7.5528
2020-03-01,7.5528
2020-03-02,7.5528
2020-03-03,7.5528
2020-03-04,7.5528
2020-03-05,7.5528
2020-03-06,7.5528
2020-03-07,7.5528
2020-03-08,7.5528
2020-03-09,7.5528
2020-03-10,7.5528
2020-03-11,7.5528
2020-03-12,7.5528
2020-03-13,7.5528
2020-03-14,7.5528
2020-03-15,7.5528
2020-03-16,7.5528
2020-03-17,7.5528
2020-03-18,7.5528
2020-03-19,7.5528
2020-03-20,7.5528
2020-03-21,7.5528
2020-03-22,7.5528
2020-03-23,7.5528
2020-03-24,7.5528
2020-03-25,7.5528
2020-03-26,7.5528
2020-03-27,7.5528
2020-03-28,7.5528
2020-03-29,7.5528
2020-03-30,7.5528
2020-03-31,-3.3107
2020-04-01,-3.3107
2020-04-02,-3.3107
2020-04-03,-3.3107
2020-04-04,-3.3107
2020-04-05,-3.3107
2020-04-06,-3.3107
2020-04-07,-3.3107
2020-04-08,-3.3107
2020-04-09,-3.3107
2020-04-10,-3.3107
2020-04-11,-3.3107
2020-04-12,-3.3107
2020-04-13,-3.3107
2020-04-14,-3.3107
2020-04-15,-3.3107
2020-04-16,-3.3107
2020-04-17,-3.3107
2020-04-18,-3.3107
2020-04-19,-3.3107
2020-04-20,-3.3107
2020-04-21,-3.3107
2020-04-22,-3.3107
2020-04-23,-3.3107
2020-04-24,-3.3107
2020-04-25,-3.3107
2020-04-26,-3.3107
2020-04-27,-3.3107
2020-04-28,-3.3107
2020-04-29,-3.3107
2020-04-30,-3.3107
2020-05-01,-3.3107
2020-05-02,-3.3107
2020-05-03,-3.3107
2020-05-04,-3.3107
2020-05-05,-3.3107
2020-05-06,-3.3107
2020-05-07,-3.3107
2020-05-08,-3.3107
2020-05-09,-3.3107
2020-05-10,-3.3107
2020-05-11,-3.3107
2020-05-12,-3.3107
2020-05-13,-3.3107
2020-05-14,-3.3107
2020-05-15,-3.3107
2020-05-16,-3.3107
2020-05-17,-3.3107
2020-05-18,-3.3107
2020-05-19,-3.3107
2020-05-20,-3.3107
2020-05-21,-3.3107
2020-05-22,-3.3107
2020-05-23,-3.3107
2020-05-24,-3.3107
2020-05-25,-3.3107
2020-05-26,-3.3107
2020-05-27,-3.3107
2020-05-28,-3.3107
2020-05-29,-3.3107
2020-05-30,-3.3107
2020-05-31,-3.3107
2020-06-01,-3.3107
2020-06-02,-3.3107
2020-06-03,-3.3107
2020-06-04,-3.3107
2020-06-05,-3.3107
2020-06-06,-3.3107
2020-06-07,-3.3107
2020-06-08,-3.3107
2020-06-09,-3.3107
2020-06-10,-3.3107
2020-06-11,-3.3107
2020-06-12,-3.3107
2020-06-13,-3.3107
2020-06-14,-3.3107
2020-06-15,-3.3107
2020-06-16,-3.3107
2020-06-17,-3.3107
2020-06-18,-3.3107
2020-06-19,-3.3107
2020-06-20,-3.3107
2020-06-21,-3.3107
2020-06-22,-3.3107
2020-06-23,-3.3107
2020-06-24,-3.3107
2020-06-25,-3.3107
2020-06-26,-3.3107
2020-06-27,-3.3107
2020-06-28,-3.3107
2020-06-29,-3.3107
2020-06-30,-1.1533
2020-07-01,-1.1533
2020-07-02,-1.1533
2020-07-03,-1.1533
2020-07-04,-1.1533
2020-07-05,-1.1533
2020-07-06,-1.1533
2020-07-07,-1.1533
2020-07-08,-1.1533
2020-07-09,-1.1533
2020-07-10,-1.1533
2020-07-11,-1.1533
2020-07-12,-1.1533
2020-07-13,-1.1533
2020-07-14,-1.1533
2020-07-15,-1.1533
2020-07-16,-1.1533
2020-07-17,-1.1533
2020-07-18,-1.1533
2020-07-19,-1.1533
2020-07-20,-1.1533
2020-07-21,-1.1533
2020-07-22,-1.1533
2020-07-23,-1.1533
2020-07-24,-1.1533
2020-07-25,-1.1533
2020-07-26,-1.1533
2020-07-27,-1.1533
2020-07-28,-1.1533
2020-07-29,-1.1533
2020-07-30,-1.1533
2020-07-31,-1.1533
2020-08-01,-1.1533
2020-08-02,-1.1533
2020-08-03,-1.1533
2020-08-04,-1.1533
2020-08-05,-1.1533
2020-08-06,-1.1533
2020-08-07,-1.1533
2020-08-08,-1.1533
2020-08-09,-1.1533
2020-08-10,-1.1533
2020-08-11,-1.1533
2020-08-12,-1.1533
2020-08-13,-1.1533
2020-08-14,-1.1533
2020-08-15,-1.1533
2020-08-16,-1.1533
2020-08-17,-1.1533
2020-08-18,-1.1533
2020-08-19,-1.1533
2020-08-20,-1.1533
2020-08-21,-1.1533
2020-08-22,-1.1533
2020-08-23,-1.1533
2020-08-24,-1.1533
2020-08-25,-1.1533
2020-08-26,-1.1533
2020-08-27,-1.1533
2020-08-28,-1.1533
2020-08-29,-1.1533
2020-08-30,-1.1533
2020-08-31,-1.1533
2020-09-01,-1.1533
2020-09-02,-1.1533
2020-09-03,-1.1533
2020-09-04,-1.1533
2020-09-05,-1.1533
2020-09-06,-1.1533
2020-09-07,-1.1533
2020-09-08,-1.1533
2020-09-09,-1.1533
2020-09-10,-1.1533
2020-09-11,-1.1533
2020-09-12,-1.1533
2020-09-13,-1.1533
2020-09-14,-1.1533
2020-09-15,-1.1533
2020-09-16,-1.1533
2020-09-17,-1.1533
2020-09-18,-1.1533
2020-09-19,-1.1533
2020-09-20,-1.1533
2020-09-21,-1.1533
2020-09-22,-1.1533
2020-09-23,-1.1533
2020-09-24,-1.1533
2020-09-25,-1.1533
2020-09-26,-1.1533
2020-09-27,-1.1533
2020-09-28,-1.1533
2020-09-29,-1.1533
2020-09-30,6.6698
2020-10-01,6.6698
2020-10-02,6.6698
2020-10-03,6.6698
2020-10-04,6.6698
2020-10-05,6.6698
2020-10-06,6.6698
2020-10-07,6.6698
2020-10-08,6.6698
2020-10-09,6.6698
2020-10-10,6.6698
2020-10-11,6.6698
2020-10-12,6.6698
2020-10-13,6.6698
2020-10-14,6.6698
2020-10-15,6.6698
2020-10-16,6.6698
2020-10-17,6.6698
2020-10-18,6.6698
2020-10-19,6.6698
2020-10-20,6.6698
2020-10-21,6.6698
2020-10-22,6.6698
2020-10-23,6.6698
2020-10-24,6.6698
2020-10-25,6.6698
2020-10-26,6.6698
2020-10-27,6.6698
2020-10-28,6.6698
2020-10-29,6.6698
2020-10-30,6.6698
2020-10-31,6.6698
2020-11-01,6.6698
2020-11-02,6.6698
2020-11-03,6.6698
2020-11-04,6.6698
2020-11-05,6.6698
2020-11-06,6.6698
2020-11-07,6.6698
2020-11-08,6.6698
2020-11-09,6.6698
2020-11-10,6.6698
2020-11-11,6.6698
2020-11-12,6.6698
2020-11-13,6.6698
2020-11-14,6.6698
2020-11-15,6.6698
2020-11-16,6.6698
2020-11-17,6.6698
2020-11-18,6.6698
2020-11-19,6.6698
2020-11-20,6.6698
2020-11-21,6.6698
2020-11-22,6.6698
2020-11-23,6.6698
2020-11-24,6.6698
2020-11-25,6.6698
2020-11-26,6.6698
2020-11-27,6.6698
2020-11-28,6.6698
2020-11-29,6.6698
2020-11-30,6.6698
2020-12-01,6.6698
2020-12-02,6.6698
2020-12-03,6.6698
2020-12-04,6.6698
2020-12-05,6.6698
2020-12-06,6.6698
2020-12-07,6.6698
2020-12-08,6.6698
2020-12-09,6.6698
2020-12-10,6.6698
2020-12-11,6.6698
2020-12-12,6.6698
2020-12-13,6.6698
2020-12-14,6.6698
2020-12-15,6.6698
2020-12-16,6.6698
2020-12-17,6.6698
2020-12-18,6.6698
2020-12-19,6.6698
2020-12-20,6.6698
2020-12-21,6.6698
2020-12-22,6.6698
2020-12-23,6.6698
2020-12-24,6.6698
2020-12-25,6.6698
2020-12-26,6.6698
2020-12-27,6.6698
2020-12-28,6.6698
2020-12-29,6.6698
2020-12-30,6.6698
2020-12-31,16.344
2021-01-01,16.344
2021-01-02,16.344
2021-01-03,16.344
2021-01-04,16.344
2021-01-05,16.344
2021-01-06,16.344
2021-01-07,16.344
2021-01-08,16.344
2021-01-09,16.344
2021-01-10,16.344
2021-01-11,16.344
2021-01-12,16.344
2021-01-13,16.344
2021-01-14,16.344
