,CRI US Equity
,RETURN_COM_EQY
2020-01-01,29.8741
2020-01-02,29.8741
2020-01-03,29.8741
2020-01-04,29.8741
2020-01-05,29.8741
2020-01-06,29.8741
2020-01-07,29.8741
2020-01-08,29.8741
2020-01-09,29.8741
2020-01-10,29.8741
2020-01-11,29.8741
2020-01-12,29.8741
2020-01-13,29.8741
2020-01-14,29.8741
2020-01-15,29.8741
2020-01-16,29.8741
2020-01-17,29.8741
2020-01-18,29.8741
2020-01-19,29.8741
2020-01-20,29.8741
2020-01-21,29.8741
2020-01-22,29.8741
2020-01-23,29.8741
2020-01-24,29.8741
2020-01-25,29.8741
2020-01-26,29.8741
2020-01-27,29.8741
2020-01-28,29.8741
2020-01-29,29.8741
2020-01-30,29.8741
2020-01-31,29.8741
2020-02-01,29.8741
2020-02-02,29.8741
2020-02-03,29.8741
2020-02-04,29.8741
2020-02-05,29.8741
2020-02-06,29.8741
2020-02-07,29.8741
2020-02-08,29.8741
2020-02-09,29.8741
2020-02-10,29.8741
2020-02-11,29.8741
2020-02-12,29.8741
2020-02-13,29.8741
2020-02-14,29.8741
2020-02-15,29.8741
2020-02-16,29.8741
2020-02-17,29.8741
2020-02-18,29.8741
2020-02-19,29.8741
2020-02-20,29.8741
2020-02-21,29.8741
2020-02-22,29.8741
2020-02-23,29.8741
2020-02-24,29.8741
2020-02-25,29.8741
2020-02-26,29.8741
2020-02-27,29.8741
2020-02-28,29.8741
2020-02-29,29.8741
2020-03-01,29.8741
2020-03-02,29.8741
2020-03-03,29.8741
2020-03-04,29.8741
2020-03-05,29.8741
2020-03-06,29.8741
2020-03-07,29.8741
2020-03-08,29.8741
2020-03-09,29.8741
2020-03-10,29.8741
2020-03-11,29.8741
2020-03-12,29.8741
2020-03-13,29.8741
2020-03-14,29.8741
2020-03-15,29.8741
2020-03-16,29.8741
2020-03-17,29.8741
2020-03-18,29.8741
2020-03-19,29.8741
2020-03-20,29.8741
2020-03-21,29.8741
2020-03-22,29.8741
2020-03-23,29.8741
2020-03-24,29.8741
2020-03-25,29.8741
2020-03-26,29.8741
2020-03-27,29.8741
2020-03-28,18.9357
2020-03-29,18.9357
2020-03-30,18.9357
2020-03-31,18.9357
2020-04-01,18.9357
2020-04-02,18.9357
2020-04-03,18.9357
2020-04-04,18.9357
2020-04-05,18.9357
2020-04-06,18.9357
2020-04-07,18.9357
2020-04-08,18.9357
2020-04-09,18.9357
2020-04-10,18.9357
2020-04-11,18.9357
2020-04-12,18.9357
2020-04-13,18.9357
2020-04-14,18.9357
2020-04-15,18.9357
2020-04-16,18.9357
2020-04-17,18.9357
2020-04-18,18.9357
2020-04-19,18.9357
