,TNET US Equity
,RETURN_COM_EQY
2020-01-01,49.8824
2020-01-02,49.8824
2020-01-03,49.8824
2020-01-04,49.8824
2020-01-05,49.8824
2020-01-06,49.8824
2020-01-07,49.8824
2020-01-08,49.8824
2020-01-09,49.8824
2020-01-10,49.8824
2020-01-11,49.8824
2020-01-12,49.8824
2020-01-13,49.8824
2020-01-14,49.8824
2020-01-15,49.8824
2020-01-16,49.8824
2020-01-17,49.8824
2020-01-18,49.8824
2020-01-19,49.8824
2020-01-20,49.8824
2020-01-21,49.8824
2020-01-22,49.8824
2020-01-23,49.8824
2020-01-24,49.8824
2020-01-25,49.8824
2020-01-26,49.8824
2020-01-27,49.8824
2020-01-28,49.8824
2020-01-29,49.8824
2020-01-30,49.8824
2020-01-31,49.8824
2020-02-01,49.8824
2020-02-02,49.8824
2020-02-03,49.8824
2020-02-04,49.8824
2020-02-05,49.8824
2020-02-06,49.8824
2020-02-07,49.8824
2020-02-08,49.8824
2020-02-09,49.8824
2020-02-10,49.8824
2020-02-11,49.8824
2020-02-12,49.8824
2020-02-13,49.8824
2020-02-14,49.8824
2020-02-15,49.8824
2020-02-16,49.8824
2020-02-17,49.8824
2020-02-18,49.8824
2020-02-19,49.8824
2020-02-20,49.8824
2020-02-21,49.8824
2020-02-22,49.8824
2020-02-23,49.8824
2020-02-24,49.8824
2020-02-25,49.8824
2020-02-26,49.8824
2020-02-27,49.8824
2020-02-28,49.8824
2020-02-29,49.8824
2020-03-01,49.8824
2020-03-02,49.8824
2020-03-03,49.8824
2020-03-04,49.8824
2020-03-05,49.8824
2020-03-06,49.8824
2020-03-07,49.8824
2020-03-08,49.8824
2020-03-09,49.8824
2020-03-10,49.8824
2020-03-11,49.8824
2020-03-12,49.8824
2020-03-13,49.8824
2020-03-14,49.8824
2020-03-15,49.8824
2020-03-16,49.8824
2020-03-17,49.8824
2020-03-18,49.8824
2020-03-19,49.8824
2020-03-20,49.8824
2020-03-21,49.8824
2020-03-22,49.8824
2020-03-23,49.8824
2020-03-24,49.8824
2020-03-25,49.8824
2020-03-26,49.8824
2020-03-27,49.8824
2020-03-28,49.8824
2020-03-29,49.8824
2020-03-30,49.8824
2020-03-31,51.1182
2020-04-01,51.1182
2020-04-02,51.1182
2020-04-03,51.1182
2020-04-04,51.1182
2020-04-05,51.1182
2020-04-06,51.1182
2020-04-07,51.1182
2020-04-08,51.1182
2020-04-09,51.1182
2020-04-10,51.1182
2020-04-11,51.1182
2020-04-12,51.1182
2020-04-13,51.1182
2020-04-14,51.1182
2020-04-15,51.1182
2020-04-16,51.1182
2020-04-17,51.1182
2020-04-18,51.1182
2020-04-19,51.1182
2020-04-20,51.1182
2020-04-21,51.1182
2020-04-22,51.1182
2020-04-23,51.1182
2020-04-24,51.1182
2020-04-25,51.1182
2020-04-26,51.1182
2020-04-27,51.1182
2020-04-28,51.1182
2020-04-29,51.1182
2020-04-30,51.1182
2020-05-01,51.1182
2020-05-02,51.1182
2020-05-03,51.1182
2020-05-04,51.1182
2020-05-05,51.1182
2020-05-06,51.1182
2020-05-07,51.1182
2020-05-08,51.1182
2020-05-09,51.1182
2020-05-10,51.1182
2020-05-11,51.1182
2020-05-12,51.1182
2020-05-13,51.1182
2020-05-14,51.1182
2020-05-15,51.1182
2020-05-16,51.1182
2020-05-17,51.1182
2020-05-18,51.1182
2020-05-19,51.1182
2020-05-20,51.1182
2020-05-21,51.1182
2020-05-22,51.1182
2020-05-23,51.1182
2020-05-24,51.1182
2020-05-25,51.1182
2020-05-26,51.1182
2020-05-27,51.1182
2020-05-28,51.1182
2020-05-29,51.1182
2020-05-30,51.1182
2020-05-31,51.1182
2020-06-01,51.1182
2020-06-02,51.1182
2020-06-03,51.1182
2020-06-04,51.1182
2020-06-05,51.1182
2020-06-06,51.1182
2020-06-07,51.1182
2020-06-08,51.1182
2020-06-09,51.1182
2020-06-10,51.1182
2020-06-11,51.1182
2020-06-12,51.1182
2020-06-13,51.1182
2020-06-14,51.1182
2020-06-15,51.1182
2020-06-16,51.1182
2020-06-17,51.1182
2020-06-18,51.1182
2020-06-19,51.1182
2020-06-20,51.1182
2020-06-21,51.1182
2020-06-22,51.1182
2020-06-23,51.1182
2020-06-24,51.1182
2020-06-25,51.1182
2020-06-26,51.1182
2020-06-27,51.1182
2020-06-28,51.1182
2020-06-29,51.1182
2020-06-30,60.6635
2020-07-01,60.6635
2020-07-02,60.6635
2020-07-03,60.6635
2020-07-04,60.6635
2020-07-05,60.6635
2020-07-06,60.6635
2020-07-07,60.6635
2020-07-08,60.6635
2020-07-09,60.6635
2020-07-10,60.6635
2020-07-11,60.6635
2020-07-12,60.6635
2020-07-13,60.6635
2020-07-14,60.6635
2020-07-15,60.6635
2020-07-16,60.6635
2020-07-17,60.6635
2020-07-18,60.6635
2020-07-19,60.6635
2020-07-20,60.6635
2020-07-21,60.6635
2020-07-22,60.6635
2020-07-23,60.6635
2020-07-24,60.6635
2020-07-25,60.6635
2020-07-26,60.6635
2020-07-27,60.6635
2020-07-28,60.6635
2020-07-29,60.6635
2020-07-30,60.6635
2020-07-31,60.6635
2020-08-01,60.6635
2020-08-02,60.6635
2020-08-03,60.6635
2020-08-04,60.6635
2020-08-05,60.6635
2020-08-06,60.6635
2020-08-07,60.6635
2020-08-08,60.6635
2020-08-09,60.6635
2020-08-10,60.6635
2020-08-11,60.6635
2020-08-12,60.6635
2020-08-13,60.6635
2020-08-14,60.6635
2020-08-15,60.6635
2020-08-16,60.6635
2020-08-17,60.6635
2020-08-18,60.6635
2020-08-19,60.6635
2020-08-20,60.6635
2020-08-21,60.6635
2020-08-22,60.6635
2020-08-23,60.6635
2020-08-24,60.6635
2020-08-25,60.6635
2020-08-26,60.6635
2020-08-27,60.6635
2020-08-28,60.6635
2020-08-29,60.6635
2020-08-30,60.6635
2020-08-31,60.6635
2020-09-01,60.6635
2020-09-02,60.6635
2020-09-03,60.6635
2020-09-04,60.6635
2020-09-05,60.6635
2020-09-06,60.6635
2020-09-07,60.6635
2020-09-08,60.6635
2020-09-09,60.6635
2020-09-10,60.6635
2020-09-11,60.6635
2020-09-12,60.6635
2020-09-13,60.6635
2020-09-14,60.6635
2020-09-15,60.6635
2020-09-16,60.6635
2020-09-17,60.6635
2020-09-18,60.6635
2020-09-19,60.6635
2020-09-20,60.6635
2020-09-21,60.6635
2020-09-22,60.6635
2020-09-23,60.6635
2020-09-24,60.6635
2020-09-25,60.6635
