,MAT US Equity
,RETURN_COM_EQY
2020-01-01,-36.8521
2020-01-02,-36.8521
2020-01-03,-36.8521
2020-01-04,-36.8521
2020-01-05,-36.8521
2020-01-06,-36.8521
2020-01-07,-36.8521
2020-01-08,-36.8521
2020-01-09,-36.8521
2020-01-10,-36.8521
2020-01-11,-36.8521
2020-01-12,-36.8521
2020-01-13,-36.8521
2020-01-14,-36.8521
2020-01-15,-36.8521
2020-01-16,-36.8521
2020-01-17,-36.8521
2020-01-18,-36.8521
2020-01-19,-36.8521
2020-01-20,-36.8521
2020-01-21,-36.8521
2020-01-22,-36.8521
2020-01-23,-36.8521
2020-01-24,-36.8521
2020-01-25,-36.8521
2020-01-26,-36.8521
2020-01-27,-36.8521
2020-01-28,-36.8521
2020-01-29,-36.8521
2020-01-30,-36.8521
2020-01-31,-36.8521
2020-02-01,-36.8521
2020-02-02,-36.8521
2020-02-03,-36.8521
2020-02-04,-36.8521
2020-02-05,-36.8521
2020-02-06,-36.8521
2020-02-07,-36.8521
2020-02-08,-36.8521
2020-02-09,-36.8521
2020-02-10,-36.8521
2020-02-11,-36.8521
2020-02-12,-36.8521
2020-02-13,-36.8521
2020-02-14,-36.8521
2020-02-15,-36.8521
2020-02-16,-36.8521
2020-02-17,-36.8521
2020-02-18,-36.8521
2020-02-19,-36.8521
2020-02-20,-36.8521
2020-02-21,-36.8521
2020-02-22,-36.8521
2020-02-23,-36.8521
2020-02-24,-36.8521
2020-02-25,-36.8521
2020-02-26,-36.8521
2020-02-27,-36.8521
2020-02-28,-36.8521
2020-02-29,-36.8521
2020-03-01,-36.8521
2020-03-02,-36.8521
2020-03-03,-36.8521
2020-03-04,-36.8521
2020-03-05,-36.8521
2020-03-06,-36.8521
2020-03-07,-36.8521
2020-03-08,-36.8521
2020-03-09,-36.8521
2020-03-10,-36.8521
2020-03-11,-36.8521
2020-03-12,-36.8521
2020-03-13,-36.8521
2020-03-14,-36.8521
2020-03-15,-36.8521
2020-03-16,-36.8521
2020-03-17,-36.8521
2020-03-18,-36.8521
2020-03-19,-36.8521
2020-03-20,-36.8521
2020-03-21,-36.8521
2020-03-22,-36.8521
2020-03-23,-36.8521
2020-03-24,-36.8521
2020-03-25,-36.8521
2020-03-26,-36.8521
2020-03-27,-36.8521
2020-03-28,-36.8521
2020-03-29,-36.8521
2020-03-30,-36.8521
2020-03-31,-72.7865
2020-04-01,-72.7865
2020-04-02,-72.7865
2020-04-03,-72.7865
2020-04-04,-72.7865
2020-04-05,-72.7865
2020-04-06,-72.7865
2020-04-07,-72.7865
2020-04-08,-72.7865
2020-04-09,-72.7865
2020-04-10,-72.7865
2020-04-11,-72.7865
2020-04-12,-72.7865
2020-04-13,-72.7865
2020-04-14,-72.7865
2020-04-15,-72.7865
2020-04-16,-72.7865
2020-04-17,-72.7865
2020-04-18,-72.7865
2020-04-19,-72.7865
2020-04-20,-72.7865
2020-04-21,-72.7865
2020-04-22,-72.7865
2020-04-23,-72.7865
2020-04-24,-72.7865
2020-04-25,-72.7865
2020-04-26,-72.7865
2020-04-27,-72.7865
2020-04-28,-72.7865
2020-04-29,-72.7865
2020-04-30,-72.7865
2020-05-01,-72.7865
2020-05-02,-72.7865
2020-05-03,-72.7865
2020-05-04,-72.7865
2020-05-05,-72.7865
2020-05-06,-72.7865
2020-05-07,-72.7865
2020-05-08,-72.7865
2020-05-09,-72.7865
2020-05-10,-72.7865
2020-05-11,-72.7865
2020-05-12,-72.7865
2020-05-13,-72.7865
2020-05-14,-72.7865
2020-05-15,-72.7865
2020-05-16,-72.7865
2020-05-17,-72.7865
2020-05-18,-72.7865
2020-05-19,-72.7865
2020-05-20,-72.7865
2020-05-21,-72.7865
2020-05-22,-72.7865
2020-05-23,-72.7865
2020-05-24,-72.7865
2020-05-25,-72.7865
2020-05-26,-72.7865
2020-05-27,-72.7865
2020-05-28,-72.7865
2020-05-29,-72.7865
2020-05-30,-72.7865
2020-05-31,-72.7865
2020-06-01,-72.7865
2020-06-02,-72.7865
2020-06-03,-72.7865
2020-06-04,-72.7865
2020-06-05,-72.7865
2020-06-06,-72.7865
2020-06-07,-72.7865
2020-06-08,-72.7865
2020-06-09,-72.7865
2020-06-10,-72.7865
2020-06-11,-72.7865
2020-06-12,-72.7865
2020-06-13,-72.7865
2020-06-14,-72.7865
2020-06-15,-72.7865
2020-06-16,-72.7865
2020-06-17,-72.7865
2020-06-18,-72.7865
2020-06-19,-72.7865
2020-06-20,-72.7865
2020-06-21,-72.7865
2020-06-22,-72.7865
2020-06-23,-72.7865
2020-06-24,-72.7865
2020-06-25,-72.7865
2020-06-26,-72.7865
2020-06-27,-72.7865
2020-06-28,-72.7865
2020-06-29,-72.7865
2020-06-30,-95.1977
2020-07-01,-95.1977
2020-07-02,-95.1977
2020-07-03,-95.1977
2020-07-04,-95.1977
2020-07-05,-95.1977
2020-07-06,-95.1977
2020-07-07,-95.1977
