,NVR US Equity
,RETURN_COM_EQY
2020-01-01,42.3412
2020-01-02,42.3412
2020-01-03,42.3412
2020-01-04,42.3412
2020-01-05,42.3412
2020-01-06,42.3412
2020-01-07,42.3412
2020-01-08,42.3412
2020-01-09,42.3412
2020-01-10,42.3412
2020-01-11,42.3412
2020-01-12,42.3412
2020-01-13,42.3412
2020-01-14,42.3412
2020-01-15,42.3412
2020-01-16,42.3412
2020-01-17,42.3412
2020-01-18,42.3412
2020-01-19,42.3412
2020-01-20,42.3412
2020-01-21,42.3412
2020-01-22,42.3412
2020-01-23,42.3412
2020-01-24,42.3412
2020-01-25,42.3412
2020-01-26,42.3412
2020-01-27,42.3412
2020-01-28,42.3412
2020-01-29,42.3412
2020-01-30,42.3412
2020-01-31,42.3412
2020-02-01,42.3412
2020-02-02,42.3412
2020-02-03,42.3412
2020-02-04,42.3412
2020-02-05,42.3412
2020-02-06,42.3412
2020-02-07,42.3412
2020-02-08,42.3412
2020-02-09,42.3412
2020-02-10,42.3412
2020-02-11,42.3412
2020-02-12,42.3412
2020-02-13,42.3412
2020-02-14,42.3412
2020-02-15,42.3412
2020-02-16,42.3412
2020-02-17,42.3412
2020-02-18,42.3412
2020-02-19,42.3412
2020-02-20,42.3412
2020-02-21,42.3412
2020-02-22,42.3412
2020-02-23,42.3412
2020-02-24,42.3412
2020-02-25,42.3412
2020-02-26,42.3412
2020-02-27,42.3412
2020-02-28,42.3412
2020-02-29,42.3412
2020-03-01,42.3412
2020-03-02,42.3412
2020-03-03,42.3412
2020-03-04,42.3412
2020-03-05,42.3412
2020-03-06,42.3412
2020-03-07,42.3412
2020-03-08,42.3412
2020-03-09,42.3412
2020-03-10,42.3412
2020-03-11,42.3412
2020-03-12,42.3412
2020-03-13,42.3412
2020-03-14,42.3412
2020-03-15,42.3412
2020-03-16,42.3412
2020-03-17,42.3412
2020-03-18,42.3412
2020-03-19,42.3412
2020-03-20,42.3412
2020-03-21,42.3412
2020-03-22,42.3412
2020-03-23,42.3412
2020-03-24,42.3412
2020-03-25,42.3412
2020-03-26,42.3412
2020-03-27,42.3412
2020-03-28,42.3412
2020-03-29,42.3412
2020-03-30,42.3412
2020-03-31,40.125
2020-04-01,40.125
2020-04-02,40.125
2020-04-03,40.125
2020-04-04,40.125
2020-04-05,40.125
2020-04-06,40.125
2020-04-07,40.125
2020-04-08,40.125
2020-04-09,40.125
2020-04-10,40.125
2020-04-11,40.125
2020-04-12,40.125
2020-04-13,40.125
2020-04-14,40.125
2020-04-15,40.125
2020-04-16,40.125
2020-04-17,40.125
2020-04-18,40.125
2020-04-19,40.125
2020-04-20,40.125
2020-04-21,40.125
2020-04-22,40.125
2020-04-23,40.125
2020-04-24,40.125
2020-04-25,40.125
2020-04-26,40.125
2020-04-27,40.125
2020-04-28,40.125
2020-04-29,40.125
2020-04-30,40.125
2020-05-01,40.125
2020-05-02,40.125
2020-05-03,40.125
2020-05-04,40.125
2020-05-05,40.125
2020-05-06,40.125
2020-05-07,40.125
2020-05-08,40.125
2020-05-09,40.125
2020-05-10,40.125
2020-05-11,40.125
2020-05-12,40.125
2020-05-13,40.125
2020-05-14,40.125
2020-05-15,40.125
2020-05-16,40.125
2020-05-17,40.125
2020-05-18,40.125
2020-05-19,40.125
2020-05-20,40.125
2020-05-21,40.125
2020-05-22,40.125
2020-05-23,40.125
2020-05-24,40.125
2020-05-25,40.125
2020-05-26,40.125
2020-05-27,40.125
2020-05-28,40.125
2020-05-29,40.125
2020-05-30,40.125
2020-05-31,40.125
2020-06-01,40.125
2020-06-02,40.125
2020-06-03,40.125
2020-06-04,40.125
2020-06-05,40.125
2020-06-06,40.125
2020-06-07,40.125
2020-06-08,40.125
2020-06-09,40.125
2020-06-10,40.125
2020-06-11,40.125
2020-06-12,40.125
2020-06-13,40.125
2020-06-14,40.125
2020-06-15,40.125
2020-06-16,40.125
2020-06-17,40.125
2020-06-18,40.125
2020-06-19,40.125
2020-06-20,40.125
2020-06-21,40.125
2020-06-22,40.125
2020-06-23,40.125
2020-06-24,40.125
2020-06-25,40.125
2020-06-26,40.125
2020-06-27,40.125
2020-06-28,40.125
2020-06-29,40.125
2020-06-30,34.6461
2020-07-01,34.6461
2020-07-02,34.6461
2020-07-03,34.6461
2020-07-04,34.6461
2020-07-05,34.6461
2020-07-06,34.6461
2020-07-07,34.6461
2020-07-08,34.6461
2020-07-09,34.6461
2020-07-10,34.6461
2020-07-11,34.6461
2020-07-12,34.6461
2020-07-13,34.6461
2020-07-14,34.6461
2020-07-15,34.6461
2020-07-16,34.6461
2020-07-17,34.6461
2020-07-18,34.6461
2020-07-19,34.6461
2020-07-20,34.6461
2020-07-21,34.6461
2020-07-22,34.6461
2020-07-23,34.6461
2020-07-24,34.6461
2020-07-25,34.6461
2020-07-26,34.6461
2020-07-27,34.6461
2020-07-28,34.6461
2020-07-29,34.6461
2020-07-30,34.6461
2020-07-31,34.6461
2020-08-01,34.6461
2020-08-02,34.6461
2020-08-03,34.6461
2020-08-04,34.6461
2020-08-05,34.6461
2020-08-06,34.6461
2020-08-07,34.6461
2020-08-08,34.6461
2020-08-09,34.6461
2020-08-10,34.6461
2020-08-11,34.6461
2020-08-12,34.6461
2020-08-13,34.6461
2020-08-14,34.6461
2020-08-15,34.6461
2020-08-16,34.6461
2020-08-17,34.6461
2020-08-18,34.6461
2020-08-19,34.6461
2020-08-20,34.6461
2020-08-21,34.6461
2020-08-22,34.6461
2020-08-23,34.6461
2020-08-24,34.6461
2020-08-25,34.6461
2020-08-26,34.6461
2020-08-27,34.6461
2020-08-28,34.6461
2020-08-29,34.6461
2020-08-30,34.6461
2020-08-31,34.6461
2020-09-01,34.6461
2020-09-02,34.6461
2020-09-03,34.6461
2020-09-04,34.6461
2020-09-05,34.6461
2020-09-06,34.6461
2020-09-07,34.6461
2020-09-08,34.6461
2020-09-09,34.6461
2020-09-10,34.6461
2020-09-11,34.6461
2020-09-12,34.6461
2020-09-13,34.6461
2020-09-14,34.6461
2020-09-15,34.6461
2020-09-16,34.6461
2020-09-17,34.6461
2020-09-18,34.6461
2020-09-19,34.6461
2020-09-20,34.6461
2020-09-21,34.6461
2020-09-22,34.6461
2020-09-23,34.6461
2020-09-24,34.6461
2020-09-25,34.6461
2020-09-26,34.6461
2020-09-27,34.6461
2020-09-28,34.6461
2020-09-29,34.6461
2020-09-30,32.2234
2020-10-01,32.2234
2020-10-02,32.2234
2020-10-03,32.2234
2020-10-04,32.2234
2020-10-05,32.2234
2020-10-06,32.2234
2020-10-07,32.2234
2020-10-08,32.2234
2020-10-09,32.2234
2020-10-10,32.2234
2020-10-11,32.2234
2020-10-12,32.2234
2020-10-13,32.2234
2020-10-14,32.2234
2020-10-15,32.2234
2020-10-16,32.2234
2020-10-17,32.2234
2020-10-18,32.2234
2020-10-19,32.2234
2020-10-20,32.2234
2020-10-21,32.2234
2020-10-22,32.2234
2020-10-23,32.2234
2020-10-24,32.2234
2020-10-25,32.2234
2020-10-26,32.2234
2020-10-27,32.2234
2020-10-28,32.2234
2020-10-29,32.2234
2020-10-30,32.2234
2020-10-31,32.2234
2020-11-01,32.2234
2020-11-02,32.2234
2020-11-03,32.2234
2020-11-04,32.2234
2020-11-05,32.2234
2020-11-06,32.2234
2020-11-07,32.2234
2020-11-08,32.2234
2020-11-09,32.2234
2020-11-10,32.2234
2020-11-11,32.2234
2020-11-12,32.2234
2020-11-13,32.2234
2020-11-14,32.2234
2020-11-15,32.2234
2020-11-16,32.2234
2020-11-17,32.2234
2020-11-18,32.2234
2020-11-19,32.2234
2020-11-20,32.2234
2020-11-21,32.2234
2020-11-22,32.2234
2020-11-23,32.2234
2020-11-24,32.2234
2020-11-25,32.2234
2020-11-26,32.2234
2020-11-27,32.2234
2020-11-28,32.2234
2020-11-29,32.2234
2020-11-30,32.2234
2020-12-01,32.2234
2020-12-02,32.2234
2020-12-03,32.2234
2020-12-04,32.2234
2020-12-05,32.2234
2020-12-06,32.2234
2020-12-07,32.2234
2020-12-08,32.2234
2020-12-09,32.2234
2020-12-10,32.2234
2020-12-11,32.2234
2020-12-12,32.2234
2020-12-13,32.2234
