,CSX US Equity
,RETURN_COM_EQY
2020-01-01,27.291
2020-01-02,27.291
2020-01-03,27.291
2020-01-04,27.291
2020-01-05,27.291
2020-01-06,27.291
2020-01-07,27.291
2020-01-08,27.291
2020-01-09,27.291
2020-01-10,27.291
2020-01-11,27.291
2020-01-12,27.291
2020-01-13,27.291
2020-01-14,27.291
2020-01-15,27.291
2020-01-16,27.291
2020-01-17,27.291
2020-01-18,27.291
2020-01-19,27.291
2020-01-20,27.291
2020-01-21,27.291
2020-01-22,27.291
2020-01-23,27.291
2020-01-24,27.291
2020-01-25,27.291
2020-01-26,27.291
2020-01-27,27.291
2020-01-28,27.291
2020-01-29,27.291
2020-01-30,27.291
2020-01-31,27.291
2020-02-01,27.291
2020-02-02,27.291
2020-02-03,27.291
2020-02-04,27.291
2020-02-05,27.291
2020-02-06,27.291
2020-02-07,27.291
2020-02-08,27.291
2020-02-09,27.291
2020-02-10,27.291
2020-02-11,27.291
2020-02-12,27.291
2020-02-13,27.291
2020-02-14,27.291
2020-02-15,27.291
2020-02-16,27.291
2020-02-17,27.291
2020-02-18,27.291
2020-02-19,27.291
2020-02-20,27.291
2020-02-21,27.291
2020-02-22,27.291
2020-02-23,27.291
2020-02-24,27.291
2020-02-25,27.291
2020-02-26,27.291
2020-02-27,27.291
2020-02-28,27.291
2020-02-29,27.291
2020-03-01,27.291
2020-03-02,27.291
2020-03-03,27.291
2020-03-04,27.291
2020-03-05,27.291
2020-03-06,27.291
2020-03-07,27.291
2020-03-08,27.291
2020-03-09,27.291
2020-03-10,27.291
2020-03-11,27.291
2020-03-12,27.291
2020-03-13,27.291
2020-03-14,27.291
2020-03-15,27.291
2020-03-16,27.291
2020-03-17,27.291
2020-03-18,27.291
2020-03-19,27.291
2020-03-20,27.291
2020-03-21,27.291
2020-03-22,27.291
2020-03-23,27.291
2020-03-24,27.291
2020-03-25,27.291
2020-03-26,27.291
2020-03-27,27.291
2020-03-28,27.291
2020-03-29,27.291
2020-03-30,27.291
2020-03-31,26.89
2020-04-01,26.89
2020-04-02,26.89
2020-04-03,26.89
2020-04-04,26.89
2020-04-05,26.89
2020-04-06,26.89
2020-04-07,26.89
2020-04-08,26.89
2020-04-09,26.89
2020-04-10,26.89
2020-04-11,26.89
2020-04-12,26.89
2020-04-13,26.89
2020-04-14,26.89
2020-04-15,26.89
2020-04-16,26.89
2020-04-17,26.89
2020-04-18,26.89
2020-04-19,26.89
2020-04-20,26.89
2020-04-21,26.89
2020-04-22,26.89
2020-04-23,26.89
2020-04-24,26.89
2020-04-25,26.89
2020-04-26,26.89
2020-04-27,26.89
2020-04-28,26.89
2020-04-29,26.89
2020-04-30,26.89
2020-05-01,26.89
2020-05-02,26.89
2020-05-03,26.89
2020-05-04,26.89
2020-05-05,26.89
2020-05-06,26.89
2020-05-07,26.89
2020-05-08,26.89
2020-05-09,26.89
2020-05-10,26.89
2020-05-11,26.89
2020-05-12,26.89
2020-05-13,26.89
2020-05-14,26.89
2020-05-15,26.89
2020-05-16,26.89
2020-05-17,26.89
2020-05-18,26.89
2020-05-19,26.89
2020-05-20,26.89
2020-05-21,26.89
2020-05-22,26.89
2020-05-23,26.89
2020-05-24,26.89
2020-05-25,26.89
2020-05-26,26.89
2020-05-27,26.89
2020-05-28,26.89
2020-05-29,26.89
2020-05-30,26.89
2020-05-31,26.89
2020-06-01,26.89
2020-06-02,26.89
2020-06-03,26.89
2020-06-04,26.89
2020-06-05,26.89
2020-06-06,26.89
2020-06-07,26.89
2020-06-08,26.89
2020-06-09,26.89
2020-06-10,26.89
2020-06-11,26.89
2020-06-12,26.89
2020-06-13,26.89
2020-06-14,26.89
2020-06-15,26.89
2020-06-16,26.89
2020-06-17,26.89
2020-06-18,26.89
2020-06-19,26.89
2020-06-20,26.89
2020-06-21,26.89
2020-06-22,26.89
2020-06-23,26.89
2020-06-24,26.89
2020-06-25,26.89
2020-06-26,26.89
2020-06-27,26.89
2020-06-28,26.89
2020-06-29,26.89
2020-06-30,23.7124
2020-07-01,23.7124
2020-07-02,23.7124
2020-07-03,23.7124
2020-07-04,23.7124
2020-07-05,23.7124
2020-07-06,23.7124
2020-07-07,23.7124
2020-07-08,23.7124
2020-07-09,23.7124
2020-07-10,23.7124
2020-07-11,23.7124
2020-07-12,23.7124
2020-07-13,23.7124
2020-07-14,23.7124
2020-07-15,23.7124
2020-07-16,23.7124
2020-07-17,23.7124
2020-07-18,23.7124
2020-07-19,23.7124
2020-07-20,23.7124
2020-07-21,23.7124
2020-07-22,23.7124
2020-07-23,23.7124
2020-07-24,23.7124
2020-07-25,23.7124
2020-07-26,23.7124
2020-07-27,23.7124
2020-07-28,23.7124
2020-07-29,23.7124
2020-07-30,23.7124
2020-07-31,23.7124
2020-08-01,23.7124
2020-08-02,23.7124
2020-08-03,23.7124
2020-08-04,23.7124
2020-08-05,23.7124
2020-08-06,23.7124
2020-08-07,23.7124
2020-08-08,23.7124
2020-08-09,23.7124
2020-08-10,23.7124
2020-08-11,23.7124
2020-08-12,23.7124
2020-08-13,23.7124
2020-08-14,23.7124
2020-08-15,23.7124
2020-08-16,23.7124
2020-08-17,23.7124
2020-08-18,23.7124
2020-08-19,23.7124
2020-08-20,23.7124
2020-08-21,23.7124
2020-08-22,23.7124
2020-08-23,23.7124
2020-08-24,23.7124
2020-08-25,23.7124
2020-08-26,23.7124
2020-08-27,23.7124
2020-08-28,23.7124
2020-08-29,23.7124
2020-08-30,23.7124
2020-08-31,23.7124
2020-09-01,23.7124
2020-09-02,23.7124
2020-09-03,23.7124
2020-09-04,23.7124
2020-09-05,23.7124
2020-09-06,23.7124
2020-09-07,23.7124
2020-09-08,23.7124
2020-09-09,23.7124
2020-09-10,23.7124
2020-09-11,23.7124
2020-09-12,23.7124
2020-09-13,23.7124
2020-09-14,23.7124
2020-09-15,23.7124
2020-09-16,23.7124
2020-09-17,23.7124
2020-09-18,23.7124
2020-09-19,23.7124
2020-09-20,23.7124
2020-09-21,23.7124
2020-09-22,23.7124
2020-09-23,23.7124
2020-09-24,23.7124
2020-09-25,23.7124
2020-09-26,23.7124
2020-09-27,23.7124
2020-09-28,23.7124
2020-09-29,23.7124
2020-09-30,22.5902
2020-10-01,22.5902
2020-10-02,22.5902
2020-10-03,22.5902
2020-10-04,22.5902
2020-10-05,22.5902
2020-10-06,22.5902
2020-10-07,22.5902
2020-10-08,22.5902
2020-10-09,22.5902
2020-10-10,22.5902
2020-10-11,22.5902
2020-10-12,22.5902
2020-10-13,22.5902
2020-10-14,22.5902
2020-10-15,22.5902
2020-10-16,22.5902
2020-10-17,22.5902
2020-10-18,22.5902
2020-10-19,22.5902
2020-10-20,22.5902
2020-10-21,22.5902
2020-10-22,22.5902
2020-10-23,22.5902
2020-10-24,22.5902
2020-10-25,22.5902
2020-10-26,22.5902
2020-10-27,22.5902
2020-10-28,22.5902
2020-10-29,22.5902
2020-10-30,22.5902
2020-10-31,22.5902
2020-11-01,22.5902
2020-11-02,22.5902
2020-11-03,22.5902
2020-11-04,22.5902
2020-11-05,22.5902
2020-11-06,22.5902
2020-11-07,22.5902
2020-11-08,22.5902
2020-11-09,22.5902
2020-11-10,22.5902
2020-11-11,22.5902
2020-11-12,22.5902
2020-11-13,22.5902
2020-11-14,22.5902
2020-11-15,22.5902
2020-11-16,22.5902
2020-11-17,22.5902
2020-11-18,22.5902
2020-11-19,22.5902
2020-11-20,22.5902
2020-11-21,22.5902
2020-11-22,22.5902
2020-11-23,22.5902
2020-11-24,22.5902
2020-11-25,22.5902
2020-11-26,22.5902
2020-11-27,22.5902
2020-11-28,22.5902
2020-11-29,22.5902
2020-11-30,22.5902
2020-12-01,22.5902
2020-12-02,22.5902
2020-12-03,22.5902
2020-12-04,22.5902
2020-12-05,22.5902
2020-12-06,22.5902
2020-12-07,22.5902
2020-12-08,22.5902
2020-12-09,22.5902
2020-12-10,22.5902
2020-12-11,22.5902
2020-12-12,22.5902
2020-12-13,22.5902
2020-12-14,22.5902
2020-12-15,22.5902
2020-12-16,22.5902
2020-12-17,22.5902
2020-12-18,22.5902
2020-12-19,22.5902
2020-12-20,22.5902
2020-12-21,22.5902
2020-12-22,22.5902
2020-12-23,22.5902
2020-12-24,22.5902
2020-12-25,22.5902
2020-12-26,22.5902
2020-12-27,22.5902
2020-12-28,22.5902
2020-12-29,22.5902
2020-12-30,22.5902
2020-12-31,22.1652
2021-01-01,22.1652
2021-01-02,22.1652
2021-01-03,22.1652
2021-01-04,22.1652
2021-01-05,22.1652
2021-01-06,22.1652
2021-01-07,22.1652
2021-01-08,22.1652
2021-01-09,22.1652
2021-01-10,22.1652
2021-01-11,22.1652
2021-01-12,22.1652
2021-01-13,22.1652
2021-01-14,22.1652
2021-01-15,22.1652
2021-01-16,22.1652
2021-01-17,22.1652
2021-01-18,22.1652
2021-01-19,22.1652
2021-01-20,22.1652
2021-01-21,22.1652
2021-01-22,22.1652
2021-01-23,22.1652
2021-01-24,22.1652
2021-01-25,22.1652
2021-01-26,22.1652
2021-01-27,22.1652
2021-01-28,22.1652
2021-01-29,22.1652
2021-01-30,22.1652
2021-01-31,22.1652
2021-02-01,22.1652
2021-02-02,22.1652
2021-02-03,22.1652
2021-02-04,22.1652
2021-02-05,22.1652
2021-02-06,22.1652
2021-02-07,22.1652
2021-02-08,22.1652
