,PLCE US Equity
,RETURN_COM_EQY
2020-01-01,20.433
2020-01-02,20.433
2020-01-03,20.433
2020-01-04,20.433
2020-01-05,20.433
2020-01-06,20.433
2020-01-07,20.433
2020-01-08,20.433
2020-01-09,20.433
2020-01-10,20.433
2020-01-11,20.433
2020-01-12,20.433
2020-01-13,20.433
2020-01-14,20.433
2020-01-15,20.433
2020-01-16,20.433
2020-01-17,20.433
2020-01-18,20.433
2020-01-19,20.433
2020-01-20,20.433
2020-01-21,20.433
2020-01-22,20.433
2020-01-23,20.433
2020-01-24,20.433
2020-01-25,20.433
2020-01-26,20.433
2020-01-27,20.433
2020-01-28,20.433
2020-01-29,20.433
2020-01-30,20.433
2020-01-31,20.433
2020-02-01,26.6735
2020-02-02,26.6735
2020-02-03,26.6735
2020-02-04,26.6735
2020-02-05,26.6735
2020-02-06,26.6735
2020-02-07,26.6735
2020-02-08,26.6735
2020-02-09,26.6735
2020-02-10,26.6735
2020-02-11,26.6735
2020-02-12,26.6735
2020-02-13,26.6735
2020-02-14,26.6735
2020-02-15,26.6735
2020-02-16,26.6735
2020-02-17,26.6735
2020-02-18,26.6735
2020-02-19,26.6735
2020-02-20,26.6735
2020-02-21,26.6735
2020-02-22,26.6735
2020-02-23,26.6735
2020-02-24,26.6735
2020-02-25,26.6735
2020-02-26,26.6735
2020-02-27,26.6735
2020-02-28,26.6735
2020-02-29,26.6735
2020-03-01,26.6735
2020-03-02,26.6735
2020-03-03,26.6735
2020-03-04,26.6735
2020-03-05,26.6735
2020-03-06,26.6735
2020-03-07,26.6735
2020-03-08,26.6735
2020-03-09,26.6735
2020-03-10,26.6735
2020-03-11,26.6735
2020-03-12,26.6735
2020-03-13,26.6735
2020-03-14,26.6735
2020-03-15,26.6735
2020-03-16,26.6735
2020-03-17,26.6735
2020-03-18,26.6735
2020-03-19,26.6735
2020-03-20,26.6735
2020-03-21,26.6735
2020-03-22,26.6735
2020-03-23,26.6735
2020-03-24,26.6735
2020-03-25,26.6735
2020-03-26,26.6735
2020-03-27,26.6735
2020-03-28,26.6735
2020-03-29,26.6735
2020-03-30,26.6735
2020-03-31,26.6735
2020-04-01,26.6735
2020-04-02,26.6735
2020-04-03,26.6735
2020-04-04,26.6735
2020-04-05,26.6735
2020-04-06,26.6735
2020-04-07,26.6735
2020-04-08,26.6735
2020-04-09,26.6735
2020-04-10,26.6735
2020-04-11,26.6735
2020-04-12,26.6735
2020-04-13,26.6735
2020-04-14,26.6735
2020-04-15,26.6735
2020-04-16,26.6735
2020-04-17,26.6735
2020-04-18,26.6735
2020-04-19,26.6735
2020-04-20,26.6735
2020-04-21,26.6735
2020-04-22,26.6735
2020-04-23,26.6735
2020-04-24,26.6735
2020-04-25,26.6735
2020-04-26,26.6735
2020-04-27,26.6735
2020-04-28,26.6735
2020-04-29,26.6735
2020-04-30,26.6735
2020-05-01,26.6735
2020-05-02,-23.8697
2020-05-03,-23.8697
2020-05-04,-23.8697
2020-05-05,-23.8697
2020-05-06,-23.8697
2020-05-07,-23.8697
2020-05-08,-23.8697
2020-05-09,-23.8697
2020-05-10,-23.8697
2020-05-11,-23.8697
2020-05-12,-23.8697
2020-05-13,-23.8697
2020-05-14,-23.8697
2020-05-15,-23.8697
2020-05-16,-23.8697
2020-05-17,-23.8697
2020-05-18,-23.8697
2020-05-19,-23.8697
2020-05-20,-23.8697
2020-05-21,-23.8697
2020-05-22,-23.8697
2020-05-23,-23.8697
2020-05-24,-23.8697
2020-05-25,-23.8697
2020-05-26,-23.8697
2020-05-27,-23.8697
2020-05-28,-23.8697
2020-05-29,-23.8697
2020-05-30,-23.8697
2020-05-31,-23.8697
2020-06-01,-23.8697
2020-06-02,-23.8697
2020-06-03,-23.8697
2020-06-04,-23.8697
2020-06-05,-23.8697
2020-06-06,-23.8697
2020-06-07,-23.8697
2020-06-08,-23.8697
2020-06-09,-23.8697
2020-06-10,-23.8697
2020-06-11,-23.8697
2020-06-12,-23.8697
2020-06-13,-23.8697
2020-06-14,-23.8697
2020-06-15,-23.8697
2020-06-16,-23.8697
2020-06-17,-23.8697
2020-06-18,-23.8697
2020-06-19,-23.8697
2020-06-20,-23.8697
2020-06-21,-23.8697
2020-06-22,-23.8697
2020-06-23,-23.8697
2020-06-24,-23.8697
2020-06-25,-23.8697
2020-06-26,-23.8697
2020-06-27,-23.8697
2020-06-28,-23.8697
2020-06-29,-23.8697
2020-06-30,-23.8697
2020-07-01,-23.8697
2020-07-02,-23.8697
2020-07-03,-23.8697
2020-07-04,-23.8697
2020-07-05,-23.8697
2020-07-06,-23.8697
2020-07-07,-23.8697
2020-07-08,-23.8697
2020-07-09,-23.8697
2020-07-10,-23.8697
2020-07-11,-23.8697
2020-07-12,-23.8697
2020-07-13,-23.8697
2020-07-14,-23.8697
2020-07-15,-23.8697
2020-07-16,-23.8697
2020-07-17,-23.8697
2020-07-18,-23.8697
2020-07-19,-23.8697
2020-07-20,-23.8697
2020-07-21,-23.8697
2020-07-22,-23.8697
2020-07-23,-23.8697
2020-07-24,-23.8697
2020-07-25,-23.8697
2020-07-26,-23.8697
2020-07-27,-23.8697
2020-07-28,-23.8697
2020-07-29,-23.8697
2020-07-30,-23.8697
2020-07-31,-23.8697
2020-08-01,-60.5977
2020-08-02,-60.5977
2020-08-03,-60.5977
2020-08-04,-60.5977
2020-08-05,-60.5977
2020-08-06,-60.5977
2020-08-07,-60.5977
2020-08-08,-60.5977
2020-08-09,-60.5977
2020-08-10,-60.5977
2020-08-11,-60.5977
2020-08-12,-60.5977
2020-08-13,-60.5977
2020-08-14,-60.5977
2020-08-15,-60.5977
2020-08-16,-60.5977
2020-08-17,-60.5977
2020-08-18,-60.5977
2020-08-19,-60.5977
2020-08-20,-60.5977
2020-08-21,-60.5977
2020-08-22,-60.5977
2020-08-23,-60.5977
2020-08-24,-60.5977
2020-08-25,-60.5977
2020-08-26,-60.5977
2020-08-27,-60.5977
2020-08-28,-60.5977
2020-08-29,-60.5977
2020-08-30,-60.5977
2020-08-31,-60.5977
2020-09-01,-60.5977
2020-09-02,-60.5977
2020-09-03,-60.5977
2020-09-04,-60.5977
2020-09-05,-60.5977
2020-09-06,-60.5977
2020-09-07,-60.5977
2020-09-08,-60.5977
2020-09-09,-60.5977
2020-09-10,-60.5977
2020-09-11,-60.5977
2020-09-12,-60.5977
2020-09-13,-60.5977
2020-09-14,-60.5977
2020-09-15,-60.5977
2020-09-16,-60.5977
2020-09-17,-60.5977
2020-09-18,-60.5977
2020-09-19,-60.5977
2020-09-20,-60.5977
2020-09-21,-60.5977
2020-09-22,-60.5977
2020-09-23,-60.5977
2020-09-24,-60.5977
2020-09-25,-60.5977
2020-09-26,-60.5977
2020-09-27,-60.5977
2020-09-28,-60.5977
2020-09-29,-60.5977
2020-09-30,-60.5977
2020-10-01,-60.5977
2020-10-02,-60.5977
2020-10-03,-60.5977
2020-10-04,-60.5977
2020-10-05,-60.5977
2020-10-06,-60.5977
2020-10-07,-60.5977
2020-10-08,-60.5977
2020-10-09,-60.5977
2020-10-10,-60.5977
2020-10-11,-60.5977
2020-10-12,-60.5977
2020-10-13,-60.5977
2020-10-14,-60.5977
2020-10-15,-60.5977
2020-10-16,-60.5977
2020-10-17,-60.5977
2020-10-18,-60.5977
2020-10-19,-60.5977
2020-10-20,-60.5977
2020-10-21,-60.5977
2020-10-22,-60.5977
2020-10-23,-60.5977
2020-10-24,-60.5977
2020-10-25,-60.5977
2020-10-26,-60.5977
2020-10-27,-60.5977
2020-10-28,-60.5977
2020-10-29,-60.5977
2020-10-30,-60.5977
2020-10-31,-74.6745
2020-11-01,-74.6745
2020-11-02,-74.6745
2020-11-03,-74.6745
2020-11-04,-74.6745
2020-11-05,-74.6745
2020-11-06,-74.6745
2020-11-07,-74.6745
