,PUMP US Equity
,RETURN_COM_EQY
2020-01-01,18.454
2020-01-02,18.454
2020-01-03,18.454
2020-01-04,18.454
2020-01-05,18.454
2020-01-06,18.454
2020-01-07,18.454
2020-01-08,18.454
2020-01-09,18.454
2020-01-10,18.454
2020-01-11,18.454
2020-01-12,18.454
2020-01-13,18.454
2020-01-14,18.454
2020-01-15,18.454
2020-01-16,18.454
2020-01-17,18.454
2020-01-18,18.454
2020-01-19,18.454
2020-01-20,18.454
2020-01-21,18.454
2020-01-22,18.454
2020-01-23,18.454
2020-01-24,18.454
2020-01-25,18.454
2020-01-26,18.454
2020-01-27,18.454
2020-01-28,18.454
2020-01-29,18.454
2020-01-30,18.454
2020-01-31,18.454
2020-02-01,18.454
2020-02-02,18.454
2020-02-03,18.454
2020-02-04,18.454
2020-02-05,18.454
2020-02-06,18.454
2020-02-07,18.454
2020-02-08,18.454
2020-02-09,18.454
2020-02-10,18.454
2020-02-11,18.454
2020-02-12,18.454
2020-02-13,18.454
2020-02-14,18.454
2020-02-15,18.454
2020-02-16,18.454
2020-02-17,18.454
2020-02-18,18.454
2020-02-19,18.454
2020-02-20,18.454
2020-02-21,18.454
2020-02-22,18.454
2020-02-23,18.454
2020-02-24,18.454
2020-02-25,18.454
2020-02-26,18.454
2020-02-27,18.454
2020-02-28,18.454
2020-02-29,18.454
2020-03-01,18.454
2020-03-02,18.454
2020-03-03,18.454
2020-03-04,18.454
2020-03-05,18.454
2020-03-06,18.454
2020-03-07,18.454
2020-03-08,18.454
2020-03-09,18.454
2020-03-10,18.454
2020-03-11,18.454
2020-03-12,18.454
2020-03-13,18.454
2020-03-14,18.454
2020-03-15,18.454
2020-03-16,18.454
2020-03-17,18.454
2020-03-18,18.454
2020-03-19,18.454
2020-03-20,18.454
2020-03-21,18.454
2020-03-22,18.454
2020-03-23,18.454
2020-03-24,18.454
2020-03-25,18.454
2020-03-26,18.454
2020-03-27,18.454
2020-03-28,18.454
2020-03-29,18.454
2020-03-30,18.454
2020-03-31,9.3281
2020-04-01,9.3281
2020-04-02,9.3281
2020-04-03,9.3281
2020-04-04,9.3281
2020-04-05,9.3281
2020-04-06,9.3281
2020-04-07,9.3281
2020-04-08,9.3281
2020-04-09,9.3281
2020-04-10,9.3281
2020-04-11,9.3281
2020-04-12,9.3281
2020-04-13,9.3281
2020-04-14,9.3281
2020-04-15,9.3281
2020-04-16,9.3281
2020-04-17,9.3281
2020-04-18,9.3281
2020-04-19,9.3281
2020-04-20,9.3281
2020-04-21,9.3281
2020-04-22,9.3281
2020-04-23,9.3281
2020-04-24,9.3281
2020-04-25,9.3281
2020-04-26,9.3281
2020-04-27,9.3281
2020-04-28,9.3281
2020-04-29,9.3281
2020-04-30,9.3281
2020-05-01,9.3281
2020-05-02,9.3281
2020-05-03,9.3281
2020-05-04,9.3281
2020-05-05,9.3281
2020-05-06,9.3281
2020-05-07,9.3281
2020-05-08,9.3281
2020-05-09,9.3281
2020-05-10,9.3281
2020-05-11,9.3281
2020-05-12,9.3281
2020-05-13,9.3281
2020-05-14,9.3281
2020-05-15,9.3281
2020-05-16,9.3281
2020-05-17,9.3281
2020-05-18,9.3281
2020-05-19,9.3281
2020-05-20,9.3281
2020-05-21,9.3281
2020-05-22,9.3281
2020-05-23,9.3281
2020-05-24,9.3281
2020-05-25,9.3281
2020-05-26,9.3281
2020-05-27,9.3281
2020-05-28,9.3281
2020-05-29,9.3281
2020-05-30,9.3281
2020-05-31,9.3281
2020-06-01,9.3281
2020-06-02,9.3281
2020-06-03,9.3281
2020-06-04,9.3281
2020-06-05,9.3281
2020-06-06,9.3281
2020-06-07,9.3281
2020-06-08,9.3281
2020-06-09,9.3281
2020-06-10,9.3281
2020-06-11,9.3281
2020-06-12,9.3281
2020-06-13,9.3281
2020-06-14,9.3281
2020-06-15,9.3281
2020-06-16,9.3281
2020-06-17,9.3281
2020-06-18,9.3281
2020-06-19,9.3281
2020-06-20,9.3281
2020-06-21,9.3281
2020-06-22,9.3281
2020-06-23,9.3281
2020-06-24,9.3281
2020-06-25,9.3281
2020-06-26,9.3281
2020-06-27,9.3281
2020-06-28,9.3281
2020-06-29,9.3281
2020-06-30,2.5276
2020-07-01,2.5276
2020-07-02,2.5276
2020-07-03,2.5276
2020-07-04,2.5276
2020-07-05,2.5276
2020-07-06,2.5276
2020-07-07,2.5276
2020-07-08,2.5276
2020-07-09,2.5276
2020-07-10,2.5276
2020-07-11,2.5276
2020-07-12,2.5276
2020-07-13,2.5276
2020-07-14,2.5276
2020-07-15,2.5276
2020-07-16,2.5276
2020-07-17,2.5276
2020-07-18,2.5276
2020-07-19,2.5276
2020-07-20,2.5276
2020-07-21,2.5276
2020-07-22,2.5276
2020-07-23,2.5276
2020-07-24,2.5276
2020-07-25,2.5276
2020-07-26,2.5276
2020-07-27,2.5276
2020-07-28,2.5276
2020-07-29,2.5276
2020-07-30,2.5276
2020-07-31,2.5276
2020-08-01,2.5276
