,CE US Equity
,RETURN_COM_EQY
2020-01-01,31.0326
2020-01-02,31.0326
2020-01-03,31.0326
2020-01-04,31.0326
2020-01-05,31.0326
2020-01-06,31.0326
2020-01-07,31.0326
2020-01-08,31.0326
2020-01-09,31.0326
2020-01-10,31.0326
2020-01-11,31.0326
2020-01-12,31.0326
2020-01-13,31.0326
2020-01-14,31.0326
2020-01-15,31.0326
2020-01-16,31.0326
2020-01-17,31.0326
2020-01-18,31.0326
2020-01-19,31.0326
2020-01-20,31.0326
2020-01-21,31.0326
2020-01-22,31.0326
2020-01-23,31.0326
2020-01-24,31.0326
2020-01-25,31.0326
2020-01-26,31.0326
2020-01-27,31.0326
2020-01-28,31.0326
2020-01-29,31.0326
2020-01-30,31.0326
2020-01-31,31.0326
2020-02-01,31.0326
2020-02-02,31.0326
2020-02-03,31.0326
2020-02-04,31.0326
2020-02-05,31.0326
2020-02-06,31.0326
2020-02-07,31.0326
2020-02-08,31.0326
2020-02-09,31.0326
2020-02-10,31.0326
2020-02-11,31.0326
2020-02-12,31.0326
2020-02-13,31.0326
2020-02-14,31.0326
2020-02-15,31.0326
2020-02-16,31.0326
2020-02-17,31.0326
2020-02-18,31.0326
2020-02-19,31.0326
2020-02-20,31.0326
2020-02-21,31.0326
2020-02-22,31.0326
2020-02-23,31.0326
2020-02-24,31.0326
2020-02-25,31.0326
2020-02-26,31.0326
2020-02-27,31.0326
2020-02-28,31.0326
2020-02-29,31.0326
2020-03-01,31.0326
2020-03-02,31.0326
2020-03-03,31.0326
2020-03-04,31.0326
2020-03-05,31.0326
2020-03-06,31.0326
2020-03-07,31.0326
2020-03-08,31.0326
2020-03-09,31.0326
2020-03-10,31.0326
2020-03-11,31.0326
2020-03-12,31.0326
2020-03-13,31.0326
2020-03-14,31.0326
2020-03-15,31.0326
2020-03-16,31.0326
2020-03-17,31.0326
2020-03-18,31.0326
2020-03-19,31.0326
2020-03-20,31.0326
2020-03-21,31.0326
2020-03-22,31.0326
2020-03-23,31.0326
2020-03-24,31.0326
2020-03-25,31.0326
2020-03-26,31.0326
2020-03-27,31.0326
2020-03-28,31.0326
2020-03-29,31.0326
2020-03-30,31.0326
2020-03-31,26.6788
2020-04-01,26.6788
2020-04-02,26.6788
2020-04-03,26.6788
2020-04-04,26.6788
2020-04-05,26.6788
2020-04-06,26.6788
2020-04-07,26.6788
2020-04-08,26.6788
2020-04-09,26.6788
2020-04-10,26.6788
2020-04-11,26.6788
2020-04-12,26.6788
2020-04-13,26.6788
2020-04-14,26.6788
2020-04-15,26.6788
2020-04-16,26.6788
2020-04-17,26.6788
2020-04-18,26.6788
2020-04-19,26.6788
2020-04-20,26.6788
2020-04-21,26.6788
2020-04-22,26.6788
2020-04-23,26.6788
2020-04-24,26.6788
2020-04-25,26.6788
2020-04-26,26.6788
2020-04-27,26.6788
2020-04-28,26.6788
2020-04-29,26.6788
2020-04-30,26.6788
2020-05-01,26.6788
2020-05-02,26.6788
2020-05-03,26.6788
2020-05-04,26.6788
2020-05-05,26.6788
2020-05-06,26.6788
2020-05-07,26.6788
2020-05-08,26.6788
2020-05-09,26.6788
2020-05-10,26.6788
2020-05-11,26.6788
2020-05-12,26.6788
2020-05-13,26.6788
2020-05-14,26.6788
2020-05-15,26.6788
2020-05-16,26.6788
2020-05-17,26.6788
2020-05-18,26.6788
2020-05-19,26.6788
2020-05-20,26.6788
2020-05-21,26.6788
2020-05-22,26.6788
2020-05-23,26.6788
2020-05-24,26.6788
2020-05-25,26.6788
2020-05-26,26.6788
2020-05-27,26.6788
2020-05-28,26.6788
2020-05-29,26.6788
2020-05-30,26.6788
2020-05-31,26.6788
2020-06-01,26.6788
2020-06-02,26.6788
2020-06-03,26.6788
2020-06-04,26.6788
2020-06-05,26.6788
2020-06-06,26.6788
2020-06-07,26.6788
2020-06-08,26.6788
2020-06-09,26.6788
2020-06-10,26.6788
2020-06-11,26.6788
2020-06-12,26.6788
2020-06-13,26.6788
2020-06-14,26.6788
2020-06-15,26.6788
2020-06-16,26.6788
2020-06-17,26.6788
2020-06-18,26.6788
2020-06-19,26.6788
2020-06-20,26.6788
2020-06-21,26.6788
2020-06-22,26.6788
2020-06-23,26.6788
2020-06-24,26.6788
2020-06-25,26.6788
2020-06-26,26.6788
2020-06-27,26.6788
2020-06-28,26.6788
2020-06-29,26.6788
2020-06-30,23.5844
2020-07-01,23.5844
2020-07-02,23.5844
2020-07-03,23.5844
2020-07-04,23.5844
2020-07-05,23.5844
2020-07-06,23.5844
2020-07-07,23.5844
2020-07-08,23.5844
2020-07-09,23.5844
2020-07-10,23.5844
2020-07-11,23.5844
2020-07-12,23.5844
2020-07-13,23.5844
2020-07-14,23.5844
2020-07-15,23.5844
2020-07-16,23.5844
2020-07-17,23.5844
2020-07-18,23.5844
2020-07-19,23.5844
2020-07-20,23.5844
2020-07-21,23.5844
2020-07-22,23.5844
2020-07-23,23.5844
2020-07-24,23.5844
2020-07-25,23.5844
2020-07-26,23.5844
2020-07-27,23.5844
2020-07-28,23.5844
2020-07-29,23.5844
2020-07-30,23.5844
2020-07-31,23.5844
2020-08-01,23.5844
2020-08-02,23.5844
2020-08-03,23.5844
2020-08-04,23.5844
2020-08-05,23.5844
2020-08-06,23.5844
2020-08-07,23.5844
2020-08-08,23.5844
2020-08-09,23.5844
2020-08-10,23.5844
2020-08-11,23.5844
2020-08-12,23.5844
2020-08-13,23.5844
2020-08-14,23.5844
2020-08-15,23.5844
2020-08-16,23.5844
2020-08-17,23.5844
2020-08-18,23.5844
2020-08-19,23.5844
2020-08-20,23.5844
2020-08-21,23.5844
2020-08-22,23.5844
2020-08-23,23.5844
2020-08-24,23.5844
2020-08-25,23.5844
2020-08-26,23.5844
