,RS US Equity
,RETURN_COM_EQY
2020-01-01,14.203
2020-01-02,14.203
2020-01-03,14.203
2020-01-04,14.203
2020-01-05,14.203
2020-01-06,14.203
2020-01-07,14.203
2020-01-08,14.203
2020-01-09,14.203
2020-01-10,14.203
2020-01-11,14.203
2020-01-12,14.203
2020-01-13,14.203
2020-01-14,14.203
2020-01-15,14.203
2020-01-16,14.203
2020-01-17,14.203
2020-01-18,14.203
2020-01-19,14.203
2020-01-20,14.203
2020-01-21,14.203
2020-01-22,14.203
2020-01-23,14.203
2020-01-24,14.203
2020-01-25,14.203
2020-01-26,14.203
2020-01-27,14.203
2020-01-28,14.203
2020-01-29,14.203
2020-01-30,14.203
2020-01-31,14.203
2020-02-01,14.203
2020-02-02,14.203
2020-02-03,14.203
2020-02-04,14.203
2020-02-05,14.203
2020-02-06,14.203
2020-02-07,14.203
2020-02-08,14.203
2020-02-09,14.203
2020-02-10,14.203
2020-02-11,14.203
2020-02-12,14.203
2020-02-13,14.203
2020-02-14,14.203
2020-02-15,14.203
2020-02-16,14.203
2020-02-17,14.203
2020-02-18,14.203
2020-02-19,14.203
2020-02-20,14.203
2020-02-21,14.203
2020-02-22,14.203
2020-02-23,14.203
2020-02-24,14.203
2020-02-25,14.203
2020-02-26,14.203
2020-02-27,14.203
2020-02-28,14.203
2020-02-29,14.203
2020-03-01,14.203
2020-03-02,14.203
2020-03-03,14.203
2020-03-04,14.203
2020-03-05,14.203
2020-03-06,14.203
2020-03-07,14.203
2020-03-08,14.203
2020-03-09,14.203
2020-03-10,14.203
2020-03-11,14.203
2020-03-12,14.203
2020-03-13,14.203
2020-03-14,14.203
2020-03-15,14.203
2020-03-16,14.203
2020-03-17,14.203
2020-03-18,14.203
2020-03-19,14.203
2020-03-20,14.203
2020-03-21,14.203
2020-03-22,14.203
2020-03-23,14.203
2020-03-24,14.203
2020-03-25,14.203
2020-03-26,14.203
2020-03-27,14.203
2020-03-28,14.203
2020-03-29,14.203
2020-03-30,14.203
2020-03-31,11.7898
2020-04-01,11.7898
2020-04-02,11.7898
2020-04-03,11.7898
2020-04-04,11.7898
2020-04-05,11.7898
2020-04-06,11.7898
2020-04-07,11.7898
2020-04-08,11.7898
2020-04-09,11.7898
2020-04-10,11.7898
2020-04-11,11.7898
2020-04-12,11.7898
2020-04-13,11.7898
2020-04-14,11.7898
2020-04-15,11.7898
2020-04-16,11.7898
2020-04-17,11.7898
2020-04-18,11.7898
2020-04-19,11.7898
2020-04-20,11.7898
2020-04-21,11.7898
2020-04-22,11.7898
2020-04-23,11.7898
2020-04-24,11.7898
2020-04-25,11.7898
2020-04-26,11.7898
2020-04-27,11.7898
2020-04-28,11.7898
2020-04-29,11.7898
2020-04-30,11.7898
2020-05-01,11.7898
2020-05-02,11.7898
2020-05-03,11.7898
2020-05-04,11.7898
2020-05-05,11.7898
2020-05-06,11.7898
2020-05-07,11.7898
2020-05-08,11.7898
2020-05-09,11.7898
2020-05-10,11.7898
2020-05-11,11.7898
2020-05-12,11.7898
2020-05-13,11.7898
2020-05-14,11.7898
2020-05-15,11.7898
2020-05-16,11.7898
2020-05-17,11.7898
2020-05-18,11.7898
2020-05-19,11.7898
2020-05-20,11.7898
2020-05-21,11.7898
2020-05-22,11.7898
2020-05-23,11.7898
2020-05-24,11.7898
2020-05-25,11.7898
2020-05-26,11.7898
2020-05-27,11.7898
2020-05-28,11.7898
2020-05-29,11.7898
2020-05-30,11.7898
2020-05-31,11.7898
2020-06-01,11.7898
2020-06-02,11.7898
2020-06-03,11.7898
2020-06-04,11.7898
2020-06-05,11.7898
2020-06-06,11.7898
2020-06-07,11.7898
2020-06-08,11.7898
2020-06-09,11.7898
2020-06-10,11.7898
2020-06-11,11.7898
2020-06-12,11.7898
2020-06-13,11.7898
2020-06-14,11.7898
2020-06-15,11.7898
2020-06-16,11.7898
2020-06-17,11.7898
2020-06-18,11.7898
2020-06-19,11.7898
2020-06-20,11.7898
2020-06-21,11.7898
2020-06-22,11.7898
2020-06-23,11.7898
2020-06-24,11.7898
2020-06-25,11.7898
2020-06-26,11.7898
2020-06-27,11.7898
2020-06-28,11.7898
2020-06-29,11.7898
2020-06-30,9.5039
2020-07-01,9.5039
2020-07-02,9.5039
2020-07-03,9.5039
2020-07-04,9.5039
2020-07-05,9.5039
2020-07-06,9.5039
2020-07-07,9.5039
2020-07-08,9.5039
2020-07-09,9.5039
2020-07-10,9.5039
2020-07-11,9.5039
2020-07-12,9.5039
2020-07-13,9.5039
2020-07-14,9.5039
2020-07-15,9.5039
2020-07-16,9.5039
2020-07-17,9.5039
2020-07-18,9.5039
2020-07-19,9.5039
2020-07-20,9.5039
2020-07-21,9.5039
2020-07-22,9.5039
2020-07-23,9.5039
2020-07-24,9.5039
2020-07-25,9.5039
2020-07-26,9.5039
2020-07-27,9.5039
2020-07-28,9.5039
2020-07-29,9.5039
2020-07-30,9.5039
2020-07-31,9.5039
2020-08-01,9.5039
2020-08-02,9.5039
2020-08-03,9.5039
2020-08-04,9.5039
2020-08-05,9.5039
2020-08-06,9.5039
2020-08-07,9.5039
2020-08-08,9.5039
2020-08-09,9.5039
2020-08-10,9.5039
2020-08-11,9.5039
2020-08-12,9.5039
2020-08-13,9.5039
2020-08-14,9.5039
2020-08-15,9.5039
2020-08-16,9.5039
2020-08-17,9.5039
2020-08-18,9.5039
2020-08-19,9.5039
2020-08-20,9.5039
2020-08-21,9.5039
2020-08-22,9.5039
2020-08-23,9.5039
2020-08-24,9.5039
2020-08-25,9.5039
2020-08-26,9.5039
2020-08-27,9.5039
2020-08-28,9.5039
2020-08-29,9.5039
2020-08-30,9.5039
2020-08-31,9.5039
2020-09-01,9.5039
2020-09-02,9.5039
2020-09-03,9.5039
2020-09-04,9.5039
2020-09-05,9.5039
2020-09-06,9.5039
2020-09-07,9.5039
2020-09-08,9.5039
2020-09-09,9.5039
2020-09-10,9.5039
2020-09-11,9.5039
2020-09-12,9.5039
2020-09-13,9.5039
2020-09-14,9.5039
2020-09-15,9.5039
2020-09-16,9.5039
2020-09-17,9.5039
2020-09-18,9.5039
2020-09-19,9.5039
2020-09-20,9.5039
2020-09-21,9.5039
2020-09-22,9.5039
2020-09-23,9.5039
2020-09-24,9.5039
2020-09-25,9.5039
2020-09-26,9.5039
2020-09-27,9.5039
2020-09-28,9.5039
2020-09-29,9.5039
2020-09-30,8.0113
2020-10-01,8.0113
2020-10-02,8.0113
2020-10-03,8.0113
2020-10-04,8.0113
2020-10-05,8.0113
2020-10-06,8.0113
2020-10-07,8.0113
2020-10-08,8.0113
2020-10-09,8.0113
2020-10-10,8.0113
2020-10-11,8.0113
2020-10-12,8.0113
2020-10-13,8.0113
2020-10-14,8.0113
2020-10-15,8.0113
2020-10-16,8.0113
2020-10-17,8.0113
2020-10-18,8.0113
2020-10-19,8.0113
2020-10-20,8.0113
2020-10-21,8.0113
2020-10-22,8.0113
2020-10-23,8.0113
2020-10-24,8.0113
2020-10-25,8.0113
2020-10-26,8.0113
2020-10-27,8.0113
2020-10-28,8.0113
2020-10-29,8.0113
2020-10-30,8.0113
2020-10-31,8.0113
2020-11-01,8.0113
2020-11-02,8.0113
2020-11-03,8.0113
2020-11-04,8.0113
2020-11-05,8.0113
2020-11-06,8.0113
2020-11-07,8.0113
2020-11-08,8.0113
2020-11-09,8.0113
2020-11-10,8.0113
2020-11-11,8.0113
2020-11-12,8.0113
2020-11-13,8.0113
2020-11-14,8.0113
2020-11-15,8.0113
2020-11-16,8.0113
2020-11-17,8.0113
2020-11-18,8.0113
2020-11-19,8.0113
2020-11-20,8.0113
2020-11-21,8.0113
2020-11-22,8.0113
2020-11-23,8.0113
2020-11-24,8.0113
2020-11-25,8.0113
2020-11-26,8.0113
2020-11-27,8.0113
2020-11-28,8.0113
2020-11-29,8.0113
2020-11-30,8.0113
2020-12-01,8.0113
2020-12-02,8.0113
2020-12-03,8.0113
2020-12-04,8.0113
2020-12-05,8.0113
2020-12-06,8.0113
2020-12-07,8.0113
2020-12-08,8.0113
2020-12-09,8.0113
2020-12-10,8.0113
2020-12-11,8.0113
2020-12-12,8.0113
2020-12-13,8.0113
2020-12-14,8.0113
2020-12-15,8.0113
2020-12-16,8.0113
2020-12-17,8.0113
2020-12-18,8.0113
2020-12-19,8.0113
2020-12-20,8.0113
2020-12-21,8.0113
2020-12-22,8.0113
2020-12-23,8.0113
2020-12-24,8.0113
2020-12-25,8.0113
2020-12-26,8.0113
2020-12-27,8.0113
2020-12-28,8.0113
2020-12-29,8.0113
2020-12-30,8.0113
2020-12-31,7.1517
2021-01-01,7.1517
2021-01-02,7.1517
2021-01-03,7.1517
2021-01-04,7.1517
2021-01-05,7.1517
2021-01-06,7.1517
2021-01-07,7.1517
2021-01-08,7.1517
2021-01-09,7.1517
2021-01-10,7.1517
2021-01-11,7.1517
2021-01-12,7.1517
2021-01-13,7.1517
2021-01-14,7.1517
2021-01-15,7.1517
2021-01-16,7.1517
2021-01-17,7.1517
2021-01-18,7.1517
2021-01-19,7.1517
2021-01-20,7.1517
2021-01-21,7.1517
2021-01-22,7.1517
2021-01-23,7.1517
2021-01-24,7.1517
2021-01-25,7.1517
2021-01-26,7.1517
2021-01-27,7.1517
2021-01-28,7.1517
2021-01-29,7.1517
2021-01-30,7.1517
2021-01-31,7.1517
2021-02-01,7.1517
2021-02-02,7.1517
2021-02-03,7.1517
2021-02-04,7.1517
2021-02-05,7.1517
2021-02-06,7.1517
2021-02-07,7.1517
2021-02-08,7.1517
2021-02-09,7.1517
2021-02-10,7.1517
2021-02-11,7.1517
2021-02-12,7.1517
2021-02-13,7.1517
2021-02-14,7.1517
2021-02-15,7.1517
2021-02-16,7.1517
2021-02-17,7.1517
2021-02-18,7.1517
2021-02-19,7.1517
2021-02-20,7.1517
2021-02-21,7.1517
2021-02-22,7.1517
2021-02-23,7.1517
2021-02-24,7.1517
2021-02-25,7.1517
2021-02-26,7.1517
2021-02-27,7.1517
2021-02-28,7.1517
2021-03-01,7.1517
2021-03-02,7.1517
2021-03-03,7.1517
2021-03-04,7.1517
2021-03-05,7.1517
2021-03-06,7.1517
2021-03-07,7.1517
2021-03-08,7.1517
2021-03-09,7.1517
2021-03-10,7.1517
2021-03-11,7.1517
2021-03-12,7.1517
2021-03-13,7.1517
2021-03-14,7.1517
2021-03-15,7.1517
2021-03-16,7.1517
2021-03-17,7.1517
2021-03-18,7.1517
2021-03-19,7.1517
2021-03-20,7.1517
2021-03-21,7.1517
2021-03-22,7.1517
2021-03-23,7.1517
2021-03-24,7.1517
2021-03-25,7.1517
2021-03-26,7.1517
2021-03-27,7.1517
2021-03-28,7.1517
2021-03-29,7.1517
2021-03-30,7.1517
2021-03-31,11.2223
2021-04-01,11.2223
2021-04-02,11.2223
2021-04-03,11.2223
2021-04-04,11.2223
2021-04-05,11.2223
2021-04-06,11.2223
2021-04-07,11.2223
2021-04-08,11.2223
2021-04-09,11.2223
2021-04-10,11.2223
2021-04-11,11.2223
2021-04-12,11.2223
2021-04-13,11.2223
2021-04-14,11.2223
2021-04-15,11.2223
2021-04-16,11.2223
2021-04-17,11.2223
2021-04-18,11.2223
2021-04-19,11.2223
2021-04-20,11.2223
2021-04-21,11.2223
2021-04-22,11.2223
2021-04-23,11.2223
2021-04-24,11.2223
2021-04-25,11.2223
2021-04-26,11.2223
2021-04-27,11.2223
2021-04-28,11.2223
2021-04-29,11.2223
2021-04-30,11.2223
2021-05-01,11.2223
2021-05-02,11.2223
2021-05-03,11.2223
2021-05-04,11.2223
2021-05-05,11.2223
2021-05-06,11.2223
2021-05-07,11.2223
2021-05-08,11.2223
2021-05-09,11.2223
2021-05-10,11.2223
2021-05-11,11.2223
2021-05-12,11.2223
2021-05-13,11.2223
2021-05-14,11.2223
2021-05-15,11.2223
2021-05-16,11.2223
2021-05-17,11.2223
2021-05-18,11.2223
2021-05-19,11.2223
2021-05-20,11.2223
2021-05-21,11.2223
2021-05-22,11.2223
2021-05-23,11.2223
2021-05-24,11.2223
2021-05-25,11.2223
2021-05-26,11.2223
2021-05-27,11.2223
2021-05-28,11.2223
2021-05-29,11.2223
2021-05-30,11.2223
2021-05-31,11.2223
2021-06-01,11.2223
2021-06-02,11.2223
2021-06-03,11.2223
2021-06-04,11.2223
2021-06-05,11.2223
2021-06-06,11.2223
2021-06-07,11.2223
2021-06-08,11.2223
2021-06-09,11.2223
2021-06-10,11.2223
2021-06-11,11.2223
2021-06-12,11.2223
2021-06-13,11.2223
2021-06-14,11.2223
2021-06-15,11.2223
2021-06-16,11.2223
2021-06-17,11.2223
2021-06-18,11.2223
2021-06-19,11.2223
2021-06-20,11.2223
2021-06-21,11.2223
2021-06-22,11.2223
2021-06-23,11.2223
2021-06-24,11.2223
2021-06-25,11.2223
2021-06-26,11.2223
2021-06-27,11.2223
2021-06-28,11.2223
2021-06-29,11.2223
2021-06-30,15.5532
2021-07-01,15.5532
2021-07-02,15.5532
2021-07-03,15.5532
2021-07-04,15.5532
2021-07-05,15.5532
2021-07-06,15.5532
2021-07-07,15.5532
2021-07-08,15.5532
2021-07-09,15.5532
2021-07-10,15.5532
2021-07-11,15.5532
2021-07-12,15.5532
2021-07-13,15.5532
2021-07-14,15.5532
2021-07-15,15.5532
2021-07-16,15.5532
2021-07-17,15.5532
2021-07-18,15.5532
2021-07-19,15.5532
2021-07-20,15.5532
2021-07-21,15.5532
2021-07-22,15.5532
2021-07-23,15.5532
2021-07-24,15.5532
2021-07-25,15.5532
2021-07-26,15.5532
2021-07-27,15.5532
2021-07-28,15.5532
2021-07-29,15.5532
2021-07-30,15.5532
2021-07-31,15.5532
2021-08-01,15.5532
2021-08-02,15.5532
2021-08-03,15.5532
2021-08-04,15.5532
2021-08-05,15.5532
2021-08-06,15.5532
2021-08-07,15.5532
2021-08-08,15.5532
2021-08-09,15.5532
2021-08-10,15.5532
2021-08-11,15.5532
2021-08-12,15.5532
2021-08-13,15.5532
2021-08-14,15.5532
2021-08-15,15.5532
2021-08-16,15.5532
2021-08-17,15.5532
2021-08-18,15.5532
2021-08-19,15.5532
2021-08-20,15.5532
2021-08-21,15.5532
2021-08-22,15.5532
2021-08-23,15.5532
2021-08-24,15.5532
2021-08-25,15.5532
2021-08-26,15.5532
2021-08-27,15.5532
2021-08-28,15.5532
2021-08-29,15.5532
2021-08-30,15.5532
2021-08-31,15.5532
2021-09-01,15.5532
2021-09-02,15.5532
2021-09-03,15.5532
2021-09-04,15.5532
2021-09-05,15.5532
2021-09-06,15.5532
2021-09-07,15.5532
2021-09-08,15.5532
2021-09-09,15.5532
2021-09-10,15.5532
2021-09-11,15.5532
2021-09-12,15.5532
2021-09-13,15.5532
2021-09-14,15.5532
2021-09-15,15.5532
2021-09-16,15.5532
2021-09-17,15.5532
2021-09-18,15.5532
2021-09-19,15.5532
2021-09-20,15.5532
2021-09-21,15.5532
2021-09-22,15.5532
2021-09-23,15.5532
2021-09-24,15.5532
2021-09-25,15.5532
2021-09-26,15.5532
2021-09-27,15.5532
2021-09-28,15.5532
2021-09-29,15.5532
2021-09-30,20.5734
2021-10-01,20.5734
2021-10-02,20.5734
2021-10-03,20.5734
2021-10-04,20.5734
2021-10-05,20.5734
2021-10-06,20.5734
2021-10-07,20.5734
2021-10-08,20.5734
2021-10-09,20.5734
