,QTWO US Equity
,RETURN_COM_EQY
2020-01-01,-26.3331
2020-01-02,-26.3331
2020-01-03,-26.3331
2020-01-04,-26.3331
2020-01-05,-26.3331
2020-01-06,-26.3331
2020-01-07,-26.3331
2020-01-08,-26.3331
2020-01-09,-26.3331
2020-01-10,-26.3331
2020-01-11,-26.3331
2020-01-12,-26.3331
2020-01-13,-26.3331
2020-01-14,-26.3331
2020-01-15,-26.3331
2020-01-16,-26.3331
2020-01-17,-26.3331
2020-01-18,-26.3331
2020-01-19,-26.3331
2020-01-20,-26.3331
2020-01-21,-26.3331
2020-01-22,-26.3331
2020-01-23,-26.3331
2020-01-24,-26.3331
2020-01-25,-26.3331
2020-01-26,-26.3331
2020-01-27,-26.3331
2020-01-28,-26.3331
2020-01-29,-26.3331
2020-01-30,-26.3331
2020-01-31,-26.3331
2020-02-01,-26.3331
2020-02-02,-26.3331
2020-02-03,-26.3331
2020-02-04,-26.3331
2020-02-05,-26.3331
2020-02-06,-26.3331
2020-02-07,-26.3331
2020-02-08,-26.3331
2020-02-09,-26.3331
2020-02-10,-26.3331
2020-02-11,-26.3331
2020-02-12,-26.3331
2020-02-13,-26.3331
2020-02-14,-26.3331
2020-02-15,-26.3331
2020-02-16,-26.3331
2020-02-17,-26.3331
2020-02-18,-26.3331
2020-02-19,-26.3331
2020-02-20,-26.3331
2020-02-21,-26.3331
2020-02-22,-26.3331
2020-02-23,-26.3331
2020-02-24,-26.3331
2020-02-25,-26.3331
2020-02-26,-26.3331
2020-02-27,-26.3331
2020-02-28,-26.3331
2020-02-29,-26.3331
2020-03-01,-26.3331
2020-03-02,-26.3331
2020-03-03,-26.3331
2020-03-04,-26.3331
2020-03-05,-26.3331
2020-03-06,-26.3331
2020-03-07,-26.3331
2020-03-08,-26.3331
2020-03-09,-26.3331
2020-03-10,-26.3331
2020-03-11,-26.3331
2020-03-12,-26.3331
2020-03-13,-26.3331
2020-03-14,-26.3331
2020-03-15,-26.3331
2020-03-16,-26.3331
2020-03-17,-26.3331
2020-03-18,-26.3331
2020-03-19,-26.3331
2020-03-20,-26.3331
2020-03-21,-26.3331
2020-03-22,-26.3331
2020-03-23,-26.3331
2020-03-24,-26.3331
2020-03-25,-26.3331
2020-03-26,-26.3331
2020-03-27,-26.3331
2020-03-28,-26.3331
2020-03-29,-26.3331
2020-03-30,-26.3331
2020-03-31,-33.3815
2020-04-01,-33.3815
2020-04-02,-33.3815
2020-04-03,-33.3815
2020-04-04,-33.3815
2020-04-05,-33.3815
2020-04-06,-33.3815
2020-04-07,-33.3815
2020-04-08,-33.3815
2020-04-09,-33.3815
2020-04-10,-33.3815
2020-04-11,-33.3815
2020-04-12,-33.3815
2020-04-13,-33.3815
2020-04-14,-33.3815
2020-04-15,-33.3815
2020-04-16,-33.3815
2020-04-17,-33.3815
2020-04-18,-33.3815
2020-04-19,-33.3815
2020-04-20,-33.3815
2020-04-21,-33.3815
2020-04-22,-33.3815
2020-04-23,-33.3815
2020-04-24,-33.3815
2020-04-25,-33.3815
2020-04-26,-33.3815
2020-04-27,-33.3815
2020-04-28,-33.3815
2020-04-29,-33.3815
2020-04-30,-33.3815
2020-05-01,-33.3815
2020-05-02,-33.3815
2020-05-03,-33.3815
2020-05-04,-33.3815
2020-05-05,-33.3815
2020-05-06,-33.3815
2020-05-07,-33.3815
2020-05-08,-33.3815
2020-05-09,-33.3815
2020-05-10,-33.3815
2020-05-11,-33.3815
2020-05-12,-33.3815
2020-05-13,-33.3815
2020-05-14,-33.3815
2020-05-15,-33.3815
2020-05-16,-33.3815
2020-05-17,-33.3815
2020-05-18,-33.3815
2020-05-19,-33.3815
2020-05-20,-33.3815
2020-05-21,-33.3815
2020-05-22,-33.3815
2020-05-23,-33.3815
2020-05-24,-33.3815
2020-05-25,-33.3815
2020-05-26,-33.3815
2020-05-27,-33.3815
2020-05-28,-33.3815
2020-05-29,-33.3815
2020-05-30,-33.3815
2020-05-31,-33.3815
2020-06-01,-33.3815
2020-06-02,-33.3815
2020-06-03,-33.3815
2020-06-04,-33.3815
2020-06-05,-33.3815
2020-06-06,-33.3815
2020-06-07,-33.3815
2020-06-08,-33.3815
2020-06-09,-33.3815
2020-06-10,-33.3815
2020-06-11,-33.3815
2020-06-12,-33.3815
2020-06-13,-33.3815
2020-06-14,-33.3815
2020-06-15,-33.3815
2020-06-16,-33.3815
2020-06-17,-33.3815
2020-06-18,-33.3815
2020-06-19,-33.3815
2020-06-20,-33.3815
2020-06-21,-33.3815
2020-06-22,-33.3815
2020-06-23,-33.3815
2020-06-24,-33.3815
2020-06-25,-33.3815
2020-06-26,-33.3815
2020-06-27,-33.3815
2020-06-28,-33.3815
2020-06-29,-33.3815
2020-06-30,-20.77
2020-07-01,-20.77
2020-07-02,-20.77
2020-07-03,-20.77
2020-07-04,-20.77
2020-07-05,-20.77
2020-07-06,-20.77
2020-07-07,-20.77
2020-07-08,-20.77
2020-07-09,-20.77
2020-07-10,-20.77
2020-07-11,-20.77
2020-07-12,-20.77
2020-07-13,-20.77
2020-07-14,-20.77
2020-07-15,-20.77
2020-07-16,-20.77
2020-07-17,-20.77
2020-07-18,-20.77
2020-07-19,-20.77
2020-07-20,-20.77
2020-07-21,-20.77
2020-07-22,-20.77
2020-07-23,-20.77
2020-07-24,-20.77
2020-07-25,-20.77
2020-07-26,-20.77
2020-07-27,-20.77
2020-07-28,-20.77
2020-07-29,-20.77
2020-07-30,-20.77
2020-07-31,-20.77
2020-08-01,-20.77
2020-08-02,-20.77
2020-08-03,-20.77
2020-08-04,-20.77
2020-08-05,-20.77
2020-08-06,-20.77
2020-08-07,-20.77
2020-08-08,-20.77
2020-08-09,-20.77
2020-08-10,-20.77
2020-08-11,-20.77
2020-08-12,-20.77
2020-08-13,-20.77
2020-08-14,-20.77
2020-08-15,-20.77
2020-08-16,-20.77
2020-08-17,-20.77
2020-08-18,-20.77
2020-08-19,-20.77
2020-08-20,-20.77
2020-08-21,-20.77
2020-08-22,-20.77
2020-08-23,-20.77
2020-08-24,-20.77
2020-08-25,-20.77
2020-08-26,-20.77
2020-08-27,-20.77
2020-08-28,-20.77
2020-08-29,-20.77
2020-08-30,-20.77
2020-08-31,-20.77
2020-09-01,-20.77
2020-09-02,-20.77
2020-09-03,-20.77
2020-09-04,-20.77
2020-09-05,-20.77
2020-09-06,-20.77
2020-09-07,-20.77
2020-09-08,-20.77
2020-09-09,-20.77
2020-09-10,-20.77
2020-09-11,-20.77
2020-09-12,-20.77
2020-09-13,-20.77
2020-09-14,-20.77
2020-09-15,-20.77
2020-09-16,-20.77
2020-09-17,-20.77
2020-09-18,-20.77
2020-09-19,-20.77
2020-09-20,-20.77
2020-09-21,-20.77
2020-09-22,-20.77
2020-09-23,-20.77
2020-09-24,-20.77
2020-09-25,-20.77
2020-09-26,-20.77
2020-09-27,-20.77
2020-09-28,-20.77
2020-09-29,-20.77
2020-09-30,-22.6602
2020-10-01,-22.6602
2020-10-02,-22.6602
2020-10-03,-22.6602
2020-10-04,-22.6602
2020-10-05,-22.6602
2020-10-06,-22.6602
2020-10-07,-22.6602
2020-10-08,-22.6602
2020-10-09,-22.6602
2020-10-10,-22.6602
2020-10-11,-22.6602
2020-10-12,-22.6602
2020-10-13,-22.6602
2020-10-14,-22.6602
2020-10-15,-22.6602
2020-10-16,-22.6602
2020-10-17,-22.6602
2020-10-18,-22.6602
2020-10-19,-22.6602
2020-10-20,-22.6602
2020-10-21,-22.6602
2020-10-22,-22.6602
2020-10-23,-22.6602
2020-10-24,-22.6602
2020-10-25,-22.6602
2020-10-26,-22.6602
2020-10-27,-22.6602
2020-10-28,-22.6602
2020-10-29,-22.6602
2020-10-30,-22.6602
2020-10-31,-22.6602
2020-11-01,-22.6602
2020-11-02,-22.6602
2020-11-03,-22.6602
2020-11-04,-22.6602
2020-11-05,-22.6602
2020-11-06,-22.6602
2020-11-07,-22.6602
2020-11-08,-22.6602
2020-11-09,-22.6602
2020-11-10,-22.6602
2020-11-11,-22.6602
2020-11-12,-22.6602
2020-11-13,-22.6602
2020-11-14,-22.6602
2020-11-15,-22.6602
2020-11-16,-22.6602
2020-11-17,-22.6602
2020-11-18,-22.6602
2020-11-19,-22.6602
2020-11-20,-22.6602
2020-11-21,-22.6602
2020-11-22,-22.6602
2020-11-23,-22.6602
2020-11-24,-22.6602
2020-11-25,-22.6602
2020-11-26,-22.6602
2020-11-27,-22.6602
2020-11-28,-22.6602
2020-11-29,-22.6602
2020-11-30,-22.6602
2020-12-01,-22.6602
2020-12-02,-22.6602
2020-12-03,-22.6602
2020-12-04,-22.6602
2020-12-05,-22.6602
2020-12-06,-22.6602
2020-12-07,-22.6602
2020-12-08,-22.6602
2020-12-09,-22.6602
2020-12-10,-22.6602
2020-12-11,-22.6602
2020-12-12,-22.6602
2020-12-13,-22.6602
2020-12-14,-22.6602
2020-12-15,-22.6602
2020-12-16,-22.6602
2020-12-17,-22.6602
2020-12-18,-22.6602
2020-12-19,-22.6602
2020-12-20,-22.6602
2020-12-21,-22.6602
2020-12-22,-22.6602
2020-12-23,-22.6602
2020-12-24,-22.6602
2020-12-25,-22.6602
2020-12-26,-22.6602
2020-12-27,-22.6602
2020-12-28,-22.6602
2020-12-29,-22.6602
2020-12-30,-22.6602
2020-12-31,-26.9111
2021-01-01,-26.9111
2021-01-02,-26.9111
2021-01-03,-26.9111
2021-01-04,-26.9111
2021-01-05,-26.9111
2021-01-06,-26.9111
2021-01-07,-26.9111
2021-01-08,-26.9111
2021-01-09,-26.9111
2021-01-10,-26.9111
2021-01-11,-26.9111
2021-01-12,-26.9111
2021-01-13,-26.9111
2021-01-14,-26.9111
2021-01-15,-26.9111
2021-01-16,-26.9111
2021-01-17,-26.9111
2021-01-18,-26.9111
2021-01-19,-26.9111
2021-01-20,-26.9111
2021-01-21,-26.9111
2021-01-22,-26.9111
2021-01-23,-26.9111
2021-01-24,-26.9111
2021-01-25,-26.9111
2021-01-26,-26.9111
2021-01-27,-26.9111
2021-01-28,-26.9111
2021-01-29,-26.9111
2021-01-30,-26.9111
2021-01-31,-26.9111
2021-02-01,-26.9111
2021-02-02,-26.9111
2021-02-03,-26.9111
2021-02-04,-26.9111
2021-02-05,-26.9111
2021-02-06,-26.9111
2021-02-07,-26.9111
2021-02-08,-26.9111
2021-02-09,-26.9111
2021-02-10,-26.9111
2021-02-11,-26.9111
2021-02-12,-26.9111
2021-02-13,-26.9111
2021-02-14,-26.9111
