,CLX US Equity
,RETURN_COM_EQY
2020-01-01,125.8288
2020-01-02,125.8288
2020-01-03,125.8288
2020-01-04,125.8288
2020-01-05,125.8288
2020-01-06,125.8288
2020-01-07,125.8288
2020-01-08,125.8288
2020-01-09,125.8288
2020-01-10,125.8288
2020-01-11,125.8288
2020-01-12,125.8288
2020-01-13,125.8288
2020-01-14,125.8288
2020-01-15,125.8288
2020-01-16,125.8288
2020-01-17,125.8288
2020-01-18,125.8288
2020-01-19,125.8288
2020-01-20,125.8288
2020-01-21,125.8288
2020-01-22,125.8288
2020-01-23,125.8288
2020-01-24,125.8288
2020-01-25,125.8288
2020-01-26,125.8288
2020-01-27,125.8288
2020-01-28,125.8288
2020-01-29,125.8288
2020-01-30,125.8288
2020-01-31,125.8288
2020-02-01,125.8288
2020-02-02,125.8288
2020-02-03,125.8288
2020-02-04,125.8288
2020-02-05,125.8288
2020-02-06,125.8288
2020-02-07,125.8288
2020-02-08,125.8288
2020-02-09,125.8288
2020-02-10,125.8288
2020-02-11,125.8288
2020-02-12,125.8288
2020-02-13,125.8288
2020-02-14,125.8288
2020-02-15,125.8288
2020-02-16,125.8288
2020-02-17,125.8288
2020-02-18,125.8288
2020-02-19,125.8288
2020-02-20,125.8288
2020-02-21,125.8288
2020-02-22,125.8288
2020-02-23,125.8288
2020-02-24,125.8288
2020-02-25,125.8288
2020-02-26,125.8288
2020-02-27,125.8288
2020-02-28,125.8288
2020-02-29,125.8288
2020-03-01,125.8288
2020-03-02,125.8288
2020-03-03,125.8288
2020-03-04,125.8288
2020-03-05,125.8288
2020-03-06,125.8288
2020-03-07,125.8288
2020-03-08,125.8288
2020-03-09,125.8288
2020-03-10,125.8288
2020-03-11,125.8288
2020-03-12,125.8288
2020-03-13,125.8288
2020-03-14,125.8288
2020-03-15,125.8288
2020-03-16,125.8288
2020-03-17,125.8288
2020-03-18,125.8288
2020-03-19,125.8288
2020-03-20,125.8288
2020-03-21,125.8288
2020-03-22,125.8288
2020-03-23,125.8288
2020-03-24,125.8288
2020-03-25,125.8288
2020-03-26,125.8288
2020-03-27,125.8288
2020-03-28,125.8288
2020-03-29,125.8288
2020-03-30,125.8288
2020-03-31,117.8862
2020-04-01,117.8862
2020-04-02,117.8862
2020-04-03,117.8862
2020-04-04,117.8862
2020-04-05,117.8862
2020-04-06,117.8862
2020-04-07,117.8862
2020-04-08,117.8862
2020-04-09,117.8862
2020-04-10,117.8862
2020-04-11,117.8862
2020-04-12,117.8862
2020-04-13,117.8862
2020-04-14,117.8862
2020-04-15,117.8862
2020-04-16,117.8862
2020-04-17,117.8862
2020-04-18,117.8862
2020-04-19,117.8862
2020-04-20,117.8862
2020-04-21,117.8862
2020-04-22,117.8862
2020-04-23,117.8862
2020-04-24,117.8862
2020-04-25,117.8862
2020-04-26,117.8862
2020-04-27,117.8862
2020-04-28,117.8862
2020-04-29,117.8862
2020-04-30,117.8862
2020-05-01,117.8862
2020-05-02,117.8862
2020-05-03,117.8862
2020-05-04,117.8862
2020-05-05,117.8862
2020-05-06,117.8862
2020-05-07,117.8862
2020-05-08,117.8862
2020-05-09,117.8862
2020-05-10,117.8862
2020-05-11,117.8862
2020-05-12,117.8862
2020-05-13,117.8862
2020-05-14,117.8862
2020-05-15,117.8862
2020-05-16,117.8862
2020-05-17,117.8862
2020-05-18,117.8862
2020-05-19,117.8862
2020-05-20,117.8862
2020-05-21,117.8862
2020-05-22,117.8862
2020-05-23,117.8862
2020-05-24,117.8862
2020-05-25,117.8862
2020-05-26,117.8862
2020-05-27,117.8862
2020-05-28,117.8862
2020-05-29,117.8862
2020-05-30,117.8862
2020-05-31,117.8862
2020-06-01,117.8862
2020-06-02,117.8862
2020-06-03,117.8862
2020-06-04,117.8862
2020-06-05,117.8862
2020-06-06,117.8862
2020-06-07,117.8862
2020-06-08,117.8862
2020-06-09,117.8862
2020-06-10,117.8862
2020-06-11,117.8862
2020-06-12,117.8862
2020-06-13,117.8862
2020-06-14,117.8862
2020-06-15,117.8862
2020-06-16,117.8862
2020-06-17,117.8862
2020-06-18,117.8862
2020-06-19,117.8862
2020-06-20,117.8862
2020-06-21,117.8862
2020-06-22,117.8862
2020-06-23,117.8862
2020-06-24,117.8862
2020-06-25,117.8862
2020-06-26,117.8862
2020-06-27,117.8862
2020-06-28,117.8862
2020-06-29,117.8862
2020-06-30,128.0164
2020-07-01,128.0164
2020-07-02,128.0164
2020-07-03,128.0164
2020-07-04,128.0164
2020-07-05,128.0164
2020-07-06,128.0164
2020-07-07,128.0164
2020-07-08,128.0164
2020-07-09,128.0164
2020-07-10,128.0164
2020-07-11,128.0164
2020-07-12,128.0164
2020-07-13,128.0164
2020-07-14,128.0164
2020-07-15,128.0164
2020-07-16,128.0164
2020-07-17,128.0164
2020-07-18,128.0164
2020-07-19,128.0164
2020-07-20,128.0164
2020-07-21,128.0164
2020-07-22,128.0164
2020-07-23,128.0164
2020-07-24,128.0164
2020-07-25,128.0164
2020-07-26,128.0164
2020-07-27,128.0164
2020-07-28,128.0164
2020-07-29,128.0164
2020-07-30,128.0164
2020-07-31,128.0164
2020-08-01,128.0164
2020-08-02,128.0164
2020-08-03,128.0164
2020-08-04,128.0164
2020-08-05,128.0164
2020-08-06,128.0164
2020-08-07,128.0164
