,OXM US Equity
,RETURN_COM_EQY
2020-01-01,14.2217
2020-01-02,14.2217
2020-01-03,14.2217
2020-01-04,14.2217
2020-01-05,14.2217
2020-01-06,14.2217
2020-01-07,14.2217
2020-01-08,14.2217
2020-01-09,14.2217
2020-01-10,14.2217
2020-01-11,14.2217
2020-01-12,14.2217
2020-01-13,14.2217
2020-01-14,14.2217
2020-01-15,14.2217
2020-01-16,14.2217
2020-01-17,14.2217
2020-01-18,14.2217
2020-01-19,14.2217
2020-01-20,14.2217
2020-01-21,14.2217
2020-01-22,14.2217
2020-01-23,14.2217
2020-01-24,14.2217
2020-01-25,14.2217
2020-01-26,14.2217
2020-01-27,14.2217
2020-01-28,14.2217
2020-01-29,14.2217
2020-01-30,14.2217
2020-01-31,14.2217
2020-02-01,13.604
2020-02-02,13.604
2020-02-03,13.604
2020-02-04,13.604
2020-02-05,13.604
2020-02-06,13.604
2020-02-07,13.604
2020-02-08,13.604
2020-02-09,13.604
2020-02-10,13.604
2020-02-11,13.604
2020-02-12,13.604
2020-02-13,13.604
2020-02-14,13.604
2020-02-15,13.604
2020-02-16,13.604
2020-02-17,13.604
2020-02-18,13.604
2020-02-19,13.604
2020-02-20,13.604
2020-02-21,13.604
2020-02-22,13.604
2020-02-23,13.604
2020-02-24,13.604
2020-02-25,13.604
2020-02-26,13.604
2020-02-27,13.604
2020-02-28,13.604
2020-02-29,13.604
2020-03-01,13.604
2020-03-02,13.604
2020-03-03,13.604
2020-03-04,13.604
2020-03-05,13.604
2020-03-06,13.604
2020-03-07,13.604
2020-03-08,13.604
2020-03-09,13.604
2020-03-10,13.604
2020-03-11,13.604
2020-03-12,13.604
2020-03-13,13.604
2020-03-14,13.604
2020-03-15,13.604
2020-03-16,13.604
2020-03-17,13.604
2020-03-18,13.604
2020-03-19,13.604
2020-03-20,13.604
2020-03-21,13.604
2020-03-22,13.604
2020-03-23,13.604
2020-03-24,13.604
2020-03-25,13.604
2020-03-26,13.604
2020-03-27,13.604
2020-03-28,13.604
2020-03-29,13.604
2020-03-30,13.604
2020-03-31,13.604
2020-04-01,13.604
2020-04-02,13.604
2020-04-03,13.604
2020-04-04,13.604
2020-04-05,13.604
2020-04-06,13.604
2020-04-07,13.604
2020-04-08,13.604
2020-04-09,13.604
2020-04-10,13.604
2020-04-11,13.604
2020-04-12,13.604
2020-04-13,13.604
2020-04-14,13.604
2020-04-15,13.604
2020-04-16,13.604
2020-04-17,13.604
2020-04-18,13.604
2020-04-19,13.604
2020-04-20,13.604
2020-04-21,13.604
2020-04-22,13.604
2020-04-23,13.604
2020-04-24,13.604
2020-04-25,13.604
2020-04-26,13.604
2020-04-27,13.604
2020-04-28,13.604
2020-04-29,13.604
2020-04-30,13.604
2020-05-01,13.604
2020-05-02,-4.2813
2020-05-03,-4.2813
2020-05-04,-4.2813
2020-05-05,-4.2813
2020-05-06,-4.2813
2020-05-07,-4.2813
2020-05-08,-4.2813
2020-05-09,-4.2813
2020-05-10,-4.2813
2020-05-11,-4.2813
2020-05-12,-4.2813
2020-05-13,-4.2813
2020-05-14,-4.2813
2020-05-15,-4.2813
2020-05-16,-4.2813
2020-05-17,-4.2813
2020-05-18,-4.2813
2020-05-19,-4.2813
2020-05-20,-4.2813
2020-05-21,-4.2813
2020-05-22,-4.2813
2020-05-23,-4.2813
2020-05-24,-4.2813
2020-05-25,-4.2813
2020-05-26,-4.2813
2020-05-27,-4.2813
2020-05-28,-4.2813
2020-05-29,-4.2813
2020-05-30,-4.2813
2020-05-31,-4.2813
2020-06-01,-4.2813
2020-06-02,-4.2813
2020-06-03,-4.2813
2020-06-04,-4.2813
2020-06-05,-4.2813
2020-06-06,-4.2813
2020-06-07,-4.2813
2020-06-08,-4.2813
2020-06-09,-4.2813
2020-06-10,-4.2813
2020-06-11,-4.2813
2020-06-12,-4.2813
2020-06-13,-4.2813
2020-06-14,-4.2813
2020-06-15,-4.2813
2020-06-16,-4.2813
2020-06-17,-4.2813
2020-06-18,-4.2813
2020-06-19,-4.2813
2020-06-20,-4.2813
2020-06-21,-4.2813
2020-06-22,-4.2813
2020-06-23,-4.2813
2020-06-24,-4.2813
2020-06-25,-4.2813
2020-06-26,-4.2813
2020-06-27,-4.2813
2020-06-28,-4.2813
2020-06-29,-4.2813
2020-06-30,-4.2813
2020-07-01,-4.2813
2020-07-02,-4.2813
2020-07-03,-4.2813
2020-07-04,-4.2813
2020-07-05,-4.2813
2020-07-06,-4.2813
2020-07-07,-4.2813
2020-07-08,-4.2813
2020-07-09,-4.2813
2020-07-10,-4.2813
2020-07-11,-4.2813
2020-07-12,-4.2813
2020-07-13,-4.2813
2020-07-14,-4.2813
2020-07-15,-4.2813
2020-07-16,-4.2813
2020-07-17,-4.2813
2020-07-18,-4.2813
2020-07-19,-4.2813
2020-07-20,-4.2813
2020-07-21,-4.2813
2020-07-22,-4.2813
2020-07-23,-4.2813
2020-07-24,-4.2813
2020-07-25,-4.2813
2020-07-26,-4.2813
2020-07-27,-4.2813
2020-07-28,-4.2813
2020-07-29,-4.2813
2020-07-30,-4.2813
2020-07-31,-4.2813
2020-08-01,-11.7561
2020-08-02,-11.7561
2020-08-03,-11.7561
2020-08-04,-11.7561
2020-08-05,-11.7561
2020-08-06,-11.7561
2020-08-07,-11.7561
2020-08-08,-11.7561
2020-08-09,-11.7561
2020-08-10,-11.7561
2020-08-11,-11.7561
2020-08-12,-11.7561
2020-08-13,-11.7561
2020-08-14,-11.7561
2020-08-15,-11.7561
2020-08-16,-11.7561
2020-08-17,-11.7561
2020-08-18,-11.7561
2020-08-19,-11.7561
2020-08-20,-11.7561
2020-08-21,-11.7561
2020-08-22,-11.7561
2020-08-23,-11.7561
2020-08-24,-11.7561
2020-08-25,-11.7561
2020-08-26,-11.7561
2020-08-27,-11.7561
2020-08-28,-11.7561
2020-08-29,-11.7561
2020-08-30,-11.7561
2020-08-31,-11.7561
2020-09-01,-11.7561
2020-09-02,-11.7561
2020-09-03,-11.7561
2020-09-04,-11.7561
2020-09-05,-11.7561
2020-09-06,-11.7561
2020-09-07,-11.7561
2020-09-08,-11.7561
2020-09-09,-11.7561
2020-09-10,-11.7561
2020-09-11,-11.7561
2020-09-12,-11.7561
2020-09-13,-11.7561
2020-09-14,-11.7561
2020-09-15,-11.7561
2020-09-16,-11.7561
2020-09-17,-11.7561
2020-09-18,-11.7561
2020-09-19,-11.7561
