,MAIN US Equity
,RETURN_COM_EQY
2020-01-01,8.6024
2020-01-02,8.6024
2020-01-03,8.6024
2020-01-04,8.6024
2020-01-05,8.6024
2020-01-06,8.6024
2020-01-07,8.6024
2020-01-08,8.6024
2020-01-09,8.6024
2020-01-10,8.6024
2020-01-11,8.6024
2020-01-12,8.6024
2020-01-13,8.6024
2020-01-14,8.6024
2020-01-15,8.6024
2020-01-16,8.6024
2020-01-17,8.6024
2020-01-18,8.6024
2020-01-19,8.6024
2020-01-20,8.6024
2020-01-21,8.6024
2020-01-22,8.6024
2020-01-23,8.6024
2020-01-24,8.6024
2020-01-25,8.6024
2020-01-26,8.6024
2020-01-27,8.6024
2020-01-28,8.6024
2020-01-29,8.6024
2020-01-30,8.6024
2020-01-31,8.6024
2020-02-01,8.6024
2020-02-02,8.6024
2020-02-03,8.6024
2020-02-04,8.6024
2020-02-05,8.6024
2020-02-06,8.6024
2020-02-07,8.6024
2020-02-08,8.6024
2020-02-09,8.6024
2020-02-10,8.6024
2020-02-11,8.6024
2020-02-12,8.6024
2020-02-13,8.6024
2020-02-14,8.6024
2020-02-15,8.6024
2020-02-16,8.6024
2020-02-17,8.6024
2020-02-18,8.6024
2020-02-19,8.6024
2020-02-20,8.6024
2020-02-21,8.6024
2020-02-22,8.6024
2020-02-23,8.6024
2020-02-24,8.6024
2020-02-25,8.6024
2020-02-26,8.6024
2020-02-27,8.6024
2020-02-28,8.6024
2020-02-29,8.6024
2020-03-01,8.6024
2020-03-02,8.6024
2020-03-03,8.6024
2020-03-04,8.6024
2020-03-05,8.6024
2020-03-06,8.6024
2020-03-07,8.6024
2020-03-08,8.6024
2020-03-09,8.6024
2020-03-10,8.6024
2020-03-11,8.6024
2020-03-12,8.6024
2020-03-13,8.6024
2020-03-14,8.6024
2020-03-15,8.6024
2020-03-16,8.6024
2020-03-17,8.6024
2020-03-18,8.6024
2020-03-19,8.6024
2020-03-20,8.6024
2020-03-21,8.6024
2020-03-22,8.6024
2020-03-23,8.6024
2020-03-24,8.6024
2020-03-25,8.6024
2020-03-26,8.6024
2020-03-27,8.6024
2020-03-28,8.6024
2020-03-29,8.6024
2020-03-30,8.6024
2020-03-31,-5.8257
2020-04-01,-5.8257
2020-04-02,-5.8257
2020-04-03,-5.8257
2020-04-04,-5.8257
2020-04-05,-5.8257
2020-04-06,-5.8257
2020-04-07,-5.8257
2020-04-08,-5.8257
2020-04-09,-5.8257
2020-04-10,-5.8257
2020-04-11,-5.8257
2020-04-12,-5.8257
2020-04-13,-5.8257
2020-04-14,-5.8257
2020-04-15,-5.8257
2020-04-16,-5.8257
2020-04-17,-5.8257
2020-04-18,-5.8257
2020-04-19,-5.8257
2020-04-20,-5.8257
2020-04-21,-5.8257
2020-04-22,-5.8257
2020-04-23,-5.8257
2020-04-24,-5.8257
2020-04-25,-5.8257
2020-04-26,-5.8257
2020-04-27,-5.8257
2020-04-28,-5.8257
2020-04-29,-5.8257
2020-04-30,-5.8257
2020-05-01,-5.8257
2020-05-02,-5.8257
2020-05-03,-5.8257
2020-05-04,-5.8257
2020-05-05,-5.8257
2020-05-06,-5.8257
2020-05-07,-5.8257
2020-05-08,-5.8257
2020-05-09,-5.8257
2020-05-10,-5.8257
2020-05-11,-5.8257
2020-05-12,-5.8257
2020-05-13,-5.8257
2020-05-14,-5.8257
