,DRI US Equity
,RETURN_COM_EQY
2020-01-01,27.7144
2020-01-02,27.7144
2020-01-03,27.7144
2020-01-04,27.7144
2020-01-05,27.7144
2020-01-06,27.7144
2020-01-07,27.7144
2020-01-08,27.7144
2020-01-09,27.7144
2020-01-10,27.7144
2020-01-11,27.7144
2020-01-12,27.7144
2020-01-13,27.7144
2020-01-14,27.7144
2020-01-15,27.7144
2020-01-16,27.7144
2020-01-17,27.7144
2020-01-18,27.7144
2020-01-19,27.7144
2020-01-20,27.7144
2020-01-21,27.7144
2020-01-22,27.7144
2020-01-23,27.7144
2020-01-24,27.7144
2020-01-25,27.7144
2020-01-26,27.7144
2020-01-27,27.7144
2020-01-28,27.7144
2020-01-29,27.7144
2020-01-30,27.7144
2020-01-31,27.7144
2020-02-01,27.7144
2020-02-02,27.7144
2020-02-03,27.7144
2020-02-04,27.7144
2020-02-05,27.7144
2020-02-06,27.7144
2020-02-07,27.7144
2020-02-08,27.7144
2020-02-09,27.7144
2020-02-10,27.7144
2020-02-11,27.7144
2020-02-12,27.7144
2020-02-13,27.7144
2020-02-14,27.7144
2020-02-15,27.7144
2020-02-16,27.7144
2020-02-17,27.7144
2020-02-18,27.7144
2020-02-19,27.7144
2020-02-20,27.7144
2020-02-21,27.7144
2020-02-22,27.7144
2020-02-23,27.2971
2020-02-24,27.2971
2020-02-25,27.2971
2020-02-26,27.2971
2020-02-27,27.2971
2020-02-28,27.2971
2020-02-29,27.2971
2020-03-01,27.2971
2020-03-02,27.2971
2020-03-03,27.2971
2020-03-04,27.2971
2020-03-05,27.2971
2020-03-06,27.2971
2020-03-07,27.2971
2020-03-08,27.2971
2020-03-09,27.2971
2020-03-10,27.2971
2020-03-11,27.2971
2020-03-12,27.2971
2020-03-13,27.2971
2020-03-14,27.2971
2020-03-15,27.2971
2020-03-16,27.2971
2020-03-17,27.2971
2020-03-18,27.2971
2020-03-19,27.2971
2020-03-20,27.2971
2020-03-21,27.2971
2020-03-22,27.2971
2020-03-23,27.2971
2020-03-24,27.2971
2020-03-25,27.2971
2020-03-26,27.2971
2020-03-27,27.2971
2020-03-28,27.2971
2020-03-29,27.2971
2020-03-30,27.2971
2020-03-31,27.2971
2020-04-01,27.2971
2020-04-02,27.2971
2020-04-03,27.2971
2020-04-04,27.2971
2020-04-05,27.2971
2020-04-06,27.2971
2020-04-07,27.2971
2020-04-08,27.2971
2020-04-09,27.2971
2020-04-10,27.2971
2020-04-11,27.2971
2020-04-12,27.2971
2020-04-13,27.2971
2020-04-14,27.2971
2020-04-15,27.2971
2020-04-16,27.2971
2020-04-17,27.2971
2020-04-18,27.2971
2020-04-19,27.2971
2020-04-20,27.2971
2020-04-21,27.2971
2020-04-22,27.2971
2020-04-23,27.2971
2020-04-24,27.2971
2020-04-25,27.2971
2020-04-26,27.2971
2020-04-27,27.2971
2020-04-28,27.2971
2020-04-29,27.2971
2020-04-30,27.2971
2020-05-01,27.2971
2020-05-02,27.2971
2020-05-03,27.2971
2020-05-04,27.2971
2020-05-05,27.2971
2020-05-06,27.2971
2020-05-07,27.2971
2020-05-08,27.2971
2020-05-09,27.2971
2020-05-10,27.2971
2020-05-11,27.2971
2020-05-12,27.2971
2020-05-13,27.2971
2020-05-14,27.2971
2020-05-15,27.2971
2020-05-16,27.2971
2020-05-17,27.2971
2020-05-18,27.2971
2020-05-19,27.2971
2020-05-20,27.2971
2020-05-21,27.2971
2020-05-22,27.2971
2020-05-23,27.2971
2020-05-24,27.2971
2020-05-25,27.2971
2020-05-26,27.2971
2020-05-27,27.2971
2020-05-28,27.2971
2020-05-29,27.2971
2020-05-30,27.2971
2020-05-31,-2.2186
2020-06-01,-2.2186
2020-06-02,-2.2186
2020-06-03,-2.2186
2020-06-04,-2.2186
2020-06-05,-2.2186
2020-06-06,-2.2186
2020-06-07,-2.2186
2020-06-08,-2.2186
2020-06-09,-2.2186
2020-06-10,-2.2186
2020-06-11,-2.2186
2020-06-12,-2.2186
2020-06-13,-2.2186
2020-06-14,-2.2186
2020-06-15,-2.2186
2020-06-16,-2.2186
2020-06-17,-2.2186
2020-06-18,-2.2186
2020-06-19,-2.2186
2020-06-20,-2.2186
2020-06-21,-2.2186
2020-06-22,-2.2186
2020-06-23,-2.2186
2020-06-24,-2.2186
2020-06-25,-2.2186
2020-06-26,-2.2186
2020-06-27,-2.2186
2020-06-28,-2.2186
2020-06-29,-2.2186
2020-06-30,-2.2186
2020-07-01,-2.2186
2020-07-02,-2.2186
2020-07-03,-2.2186
2020-07-04,-2.2186
2020-07-05,-2.2186
2020-07-06,-2.2186
2020-07-07,-2.2186
2020-07-08,-2.2186
2020-07-09,-2.2186
2020-07-10,-2.2186
2020-07-11,-2.2186
2020-07-12,-2.2186
2020-07-13,-2.2186
2020-07-14,-2.2186
2020-07-15,-2.2186
2020-07-16,-2.2186
2020-07-17,-2.2186
2020-07-18,-2.2186
2020-07-19,-2.2186
2020-07-20,-2.2186
2020-07-21,-2.2186
2020-07-22,-2.2186
2020-07-23,-2.2186
2020-07-24,-2.2186
2020-07-25,-2.2186
2020-07-26,-2.2186
2020-07-27,-2.2186
2020-07-28,-2.2186
2020-07-29,-2.2186
2020-07-30,-2.2186
2020-07-31,-2.2186
2020-08-01,-2.2186
2020-08-02,-2.2186
2020-08-03,-2.2186
2020-08-04,-2.2186
2020-08-05,-2.2186
2020-08-06,-2.2186
2020-08-07,-2.2186
2020-08-08,-2.2186
2020-08-09,-2.2186
2020-08-10,-2.2186
2020-08-11,-2.2186
2020-08-12,-2.2186
2020-08-13,-2.2186
2020-08-14,-2.2186
2020-08-15,-2.2186
2020-08-16,-2.2186
2020-08-17,-2.2186
2020-08-18,-2.2186
2020-08-19,-2.2186
2020-08-20,-2.2186
2020-08-21,-2.2186
2020-08-22,-2.2186
2020-08-23,-2.2186
2020-08-24,-2.2186
2020-08-25,-2.2186
2020-08-26,-2.2186
2020-08-27,-2.2186
2020-08-28,-2.2186
2020-08-29,-2.2186
2020-08-30,-7.8591
2020-08-31,-7.8591
2020-09-01,-7.8591
2020-09-02,-7.8591
2020-09-03,-7.8591
2020-09-04,-7.8591
2020-09-05,-7.8591
2020-09-06,-7.8591
2020-09-07,-7.8591
2020-09-08,-7.8591
2020-09-09,-7.8591
