,LOW US Equity
,RETURN_COM_EQY
2020-01-01,74.758
2020-01-02,74.758
2020-01-03,74.758
2020-01-04,74.758
2020-01-05,74.758
2020-01-06,74.758
2020-01-07,74.758
2020-01-08,74.758
2020-01-09,74.758
2020-01-10,74.758
2020-01-11,74.758
2020-01-12,74.758
2020-01-13,74.758
2020-01-14,74.758
2020-01-15,74.758
2020-01-16,74.758
2020-01-17,74.758
2020-01-18,74.758
2020-01-19,74.758
2020-01-20,74.758
2020-01-21,74.758
2020-01-22,74.758
2020-01-23,74.758
2020-01-24,74.758
2020-01-25,74.758
2020-01-26,74.758
2020-01-27,74.758
2020-01-28,74.758
2020-01-29,74.758
2020-01-30,74.758
2020-01-31,151.9943
2020-02-01,151.9943
2020-02-02,151.9943
2020-02-03,151.9943
2020-02-04,151.9943
2020-02-05,151.9943
2020-02-06,151.9943
2020-02-07,151.9943
2020-02-08,151.9943
2020-02-09,151.9943
2020-02-10,151.9943
2020-02-11,151.9943
2020-02-12,151.9943
2020-02-13,151.9943
2020-02-14,151.9943
2020-02-15,151.9943
2020-02-16,151.9943
2020-02-17,151.9943
2020-02-18,151.9943
2020-02-19,151.9943
2020-02-20,151.9943
2020-02-21,151.9943
2020-02-22,151.9943
2020-02-23,151.9943
2020-02-24,151.9943
2020-02-25,151.9943
2020-02-26,151.9943
2020-02-27,151.9943
2020-02-28,151.9943
2020-02-29,151.9943
2020-03-01,151.9943
2020-03-02,151.9943
2020-03-03,151.9943
2020-03-04,151.9943
2020-03-05,151.9943
2020-03-06,151.9943
2020-03-07,151.9943
2020-03-08,151.9943
2020-03-09,151.9943
2020-03-10,151.9943
2020-03-11,151.9943
2020-03-12,151.9943
2020-03-13,151.9943
2020-03-14,151.9943
2020-03-15,151.9943
2020-03-16,151.9943
2020-03-17,151.9943
2020-03-18,151.9943
2020-03-19,151.9943
2020-03-20,151.9943
2020-03-21,151.9943
2020-03-22,151.9943
2020-03-23,151.9943
2020-03-24,151.9943
2020-03-25,151.9943
2020-03-26,151.9943
2020-03-27,151.9943
2020-03-28,151.9943
2020-03-29,151.9943
2020-03-30,151.9943
2020-03-31,151.9943
2020-04-01,151.9943
2020-04-02,151.9943
2020-04-03,151.9943
2020-04-04,151.9943
2020-04-05,151.9943
2020-04-06,151.9943
2020-04-07,151.9943
2020-04-08,151.9943
2020-04-09,151.9943
2020-04-10,151.9943
2020-04-11,151.9943
2020-04-12,151.9943
2020-04-13,151.9943
2020-04-14,151.9943
2020-04-15,151.9943
2020-04-16,151.9943
2020-04-17,151.9943
2020-04-18,151.9943
2020-04-19,151.9943
2020-04-20,151.9943
2020-04-21,151.9943
2020-04-22,151.9943
2020-04-23,151.9943
2020-04-24,151.9943
2020-04-25,151.9943
2020-04-26,151.9943
2020-04-27,151.9943
2020-04-28,151.9943
2020-04-29,151.9943
2020-04-30,151.9943
2020-05-01,184.0872
2020-05-02,184.0872
2020-05-03,184.0872
2020-05-04,184.0872
2020-05-05,184.0872
2020-05-06,184.0872
2020-05-07,184.0872
2020-05-08,184.0872
2020-05-09,184.0872
2020-05-10,184.0872
2020-05-11,184.0872
2020-05-12,184.0872
2020-05-13,184.0872
2020-05-14,184.0872
2020-05-15,184.0872
2020-05-16,184.0872
2020-05-17,184.0872
2020-05-18,184.0872
2020-05-19,184.0872
2020-05-20,184.0872
2020-05-21,184.0872
2020-05-22,184.0872
2020-05-23,184.0872
2020-05-24,184.0872
2020-05-25,184.0872
2020-05-26,184.0872
2020-05-27,184.0872
2020-05-28,184.0872
2020-05-29,184.0872
2020-05-30,184.0872
2020-05-31,184.0872
2020-06-01,184.0872
2020-06-02,184.0872
2020-06-03,184.0872
2020-06-04,184.0872
2020-06-05,184.0872
2020-06-06,184.0872
2020-06-07,184.0872
2020-06-08,184.0872
2020-06-09,184.0872
2020-06-10,184.0872
2020-06-11,184.0872
2020-06-12,184.0872
2020-06-13,184.0872
2020-06-14,184.0872
2020-06-15,184.0872
2020-06-16,184.0872
2020-06-17,184.0872
2020-06-18,184.0872
2020-06-19,184.0872
2020-06-20,184.0872
2020-06-21,184.0872
2020-06-22,184.0872
2020-06-23,184.0872
2020-06-24,184.0872
2020-06-25,184.0872
2020-06-26,184.0872
2020-06-27,184.0872
2020-06-28,184.0872
2020-06-29,184.0872
2020-06-30,184.0872
2020-07-01,184.0872
2020-07-02,184.0872
2020-07-03,184.0872
2020-07-04,184.0872
2020-07-05,184.0872
2020-07-06,184.0872
2020-07-07,184.0872
2020-07-08,184.0872
2020-07-09,184.0872
2020-07-10,184.0872
2020-07-11,184.0872
2020-07-12,184.0872
2020-07-13,184.0872
2020-07-14,184.0872
2020-07-15,184.0872
2020-07-16,184.0872
2020-07-17,184.0872
2020-07-18,184.0872
2020-07-19,184.0872
2020-07-20,184.0872
2020-07-21,184.0872
2020-07-22,184.0872
2020-07-23,184.0872
2020-07-24,184.0872
2020-07-25,184.0872
2020-07-26,184.0872
2020-07-27,184.0872
2020-07-28,184.0872
2020-07-29,184.0872
2020-07-30,184.0872
2020-07-31,163.0646
2020-08-01,163.0646
2020-08-02,163.0646
2020-08-03,163.0646
2020-08-04,163.0646
2020-08-05,163.0646
2020-08-06,163.0646
2020-08-07,163.0646
2020-08-08,163.0646
2020-08-09,163.0646
2020-08-10,163.0646
2020-08-11,163.0646
2020-08-12,163.0646
2020-08-13,163.0646
2020-08-14,163.0646
2020-08-15,163.0646
2020-08-16,163.0646
2020-08-17,163.0646
2020-08-18,163.0646
2020-08-19,163.0646
2020-08-20,163.0646
2020-08-21,163.0646
2020-08-22,163.0646
2020-08-23,163.0646
2020-08-24,163.0646
2020-08-25,163.0646
2020-08-26,163.0646
2020-08-27,163.0646
2020-08-28,163.0646
2020-08-29,163.0646
2020-08-30,163.0646
2020-08-31,163.0646
2020-09-01,163.0646
2020-09-02,163.0646
2020-09-03,163.0646
2020-09-04,163.0646
2020-09-05,163.0646
2020-09-06,163.0646
2020-09-07,163.0646
2020-09-08,163.0646
2020-09-09,163.0646
2020-09-10,163.0646
2020-09-11,163.0646
2020-09-12,163.0646
2020-09-13,163.0646
2020-09-14,163.0646
2020-09-15,163.0646
2020-09-16,163.0646
2020-09-17,163.0646
2020-09-18,163.0646
2020-09-19,163.0646
2020-09-20,163.0646
2020-09-21,163.0646
2020-09-22,163.0646
2020-09-23,163.0646
2020-09-24,163.0646
2020-09-25,163.0646
2020-09-26,163.0646
2020-09-27,163.0646
2020-09-28,163.0646
2020-09-29,163.0646
2020-09-30,163.0646
2020-10-01,163.0646
2020-10-02,163.0646
2020-10-03,163.0646
2020-10-04,163.0646
2020-10-05,163.0646
2020-10-06,163.0646
2020-10-07,163.0646
2020-10-08,163.0646
2020-10-09,163.0646
2020-10-10,163.0646
2020-10-11,163.0646
2020-10-12,163.0646
2020-10-13,163.0646
2020-10-14,163.0646
2020-10-15,163.0646
2020-10-16,163.0646
2020-10-17,163.0646
2020-10-18,163.0646
2020-10-19,163.0646
2020-10-20,163.0646
2020-10-21,163.0646
2020-10-22,163.0646
2020-10-23,163.0646
2020-10-24,163.0646
2020-10-25,163.0646
2020-10-26,163.0646
2020-10-27,163.0646
2020-10-28,163.0646
2020-10-29,163.0646
2020-10-30,163.7422
2020-10-31,163.7422
2020-11-01,163.7422
2020-11-02,163.7422
2020-11-03,163.7422
2020-11-04,163.7422
2020-11-05,163.7422
2020-11-06,163.7422
2020-11-07,163.7422
2020-11-08,163.7422
2020-11-09,163.7422
2020-11-10,163.7422
2020-11-11,163.7422
2020-11-12,163.7422
2020-11-13,163.7422
2020-11-14,163.7422
2020-11-15,163.7422
2020-11-16,163.7422
2020-11-17,163.7422
2020-11-18,163.7422
2020-11-19,163.7422
2020-11-20,163.7422
2020-11-21,163.7422
2020-11-22,163.7422
2020-11-23,163.7422
2020-11-24,163.7422
2020-11-25,163.7422
2020-11-26,163.7422
2020-11-27,163.7422
2020-11-28,163.7422
2020-11-29,163.7422
2020-11-30,163.7422
2020-12-01,163.7422
2020-12-02,163.7422
2020-12-03,163.7422
2020-12-04,163.7422
2020-12-05,163.7422
2020-12-06,163.7422
2020-12-07,163.7422
2020-12-08,163.7422
2020-12-09,163.7422
2020-12-10,163.7422
2020-12-11,163.7422
2020-12-12,163.7422
2020-12-13,163.7422
2020-12-14,163.7422
2020-12-15,163.7422
2020-12-16,163.7422
2020-12-17,163.7422
2020-12-18,163.7422
2020-12-19,163.7422
2020-12-20,163.7422
2020-12-21,163.7422
2020-12-22,163.7422
2020-12-23,163.7422
2020-12-24,163.7422
2020-12-25,163.7422
2020-12-26,163.7422
2020-12-27,163.7422
2020-12-28,163.7422
2020-12-29,163.7422
2020-12-30,163.7422
2020-12-31,163.7422
2021-01-01,163.7422
2021-01-02,163.7422
2021-01-03,163.7422
2021-01-04,163.7422
2021-01-05,163.7422
2021-01-06,163.7422
2021-01-07,163.7422
2021-01-08,163.7422
2021-01-09,163.7422
2021-01-10,163.7422
2021-01-11,163.7422
2021-01-12,163.7422
2021-01-13,163.7422
2021-01-14,163.7422
2021-01-15,163.7422
2021-01-16,163.7422
2021-01-17,163.7422
2021-01-18,163.7422
2021-01-19,163.7422
2021-01-20,163.7422
2021-01-21,163.7422
2021-01-22,163.7422
2021-01-23,163.7422
2021-01-24,163.7422
2021-01-25,163.7422
2021-01-26,163.7422
2021-01-27,163.7422
2021-01-28,163.7422
2021-01-29,341.2144
2021-01-30,341.2144
2021-01-31,341.2144
2021-02-01,341.2144
2021-02-02,341.2144
2021-02-03,341.2144
2021-02-04,341.2144
2021-02-05,341.2144
2021-02-06,341.2144
2021-02-07,341.2144
2021-02-08,341.2144
2021-02-09,341.2144
2021-02-10,341.2144
2021-02-11,341.2144
2021-02-12,341.2144
2021-02-13,341.2144
2021-02-14,341.2144
2021-02-15,341.2144
2021-02-16,341.2144
2021-02-17,341.2144
2021-02-18,341.2144
2021-02-19,341.2144
2021-02-20,341.2144
2021-02-21,341.2144
2021-02-22,341.2144
2021-02-23,341.2144
2021-02-24,341.2144
2021-02-25,341.2144
2021-02-26,341.2144
2021-02-27,341.2144
2021-02-28,341.2144
2021-03-01,341.2144
2021-03-02,341.2144
2021-03-03,341.2144
2021-03-04,341.2144
2021-03-05,341.2144
2021-03-06,341.2144
2021-03-07,341.2144
2021-03-08,341.2144
2021-03-09,341.2144
2021-03-10,341.2144
2021-03-11,341.2144
2021-03-12,341.2144
2021-03-13,341.2144
2021-03-14,341.2144
2021-03-15,341.2144
2021-03-16,341.2144
2021-03-17,341.2144
2021-03-18,341.2144
2021-03-19,341.2144
2021-03-20,341.2144
2021-03-21,341.2144
2021-03-22,341.2144
2021-03-23,341.2144
2021-03-24,341.2144
2021-03-25,341.2144
2021-03-26,341.2144
2021-03-27,341.2144
2021-03-28,341.2144
2021-03-29,341.2144
2021-03-30,341.2144
2021-03-31,341.2144
2021-04-01,341.2144
2021-04-02,341.2144
2021-04-03,341.2144
2021-04-04,341.2144
2021-04-05,341.2144
2021-04-06,341.2144
2021-04-07,341.2144
2021-04-08,341.2144
2021-04-09,341.2144
2021-04-10,341.2144
2021-04-11,341.2144
2021-04-12,341.2144
2021-04-13,341.2144
2021-04-14,341.2144
2021-04-15,341.2144
2021-04-16,341.2144
2021-04-17,341.2144
2021-04-18,341.2144
2021-04-19,341.2144
2021-04-20,341.2144
2021-04-21,341.2144
2021-04-22,341.2144
2021-04-23,341.2144
2021-04-24,341.2144
2021-04-25,341.2144
2021-04-26,341.2144
2021-04-27,341.2144
2021-04-28,341.2144
2021-04-29,341.2144
2021-04-30,628.8755
2021-05-01,628.8755
2021-05-02,628.8755
2021-05-03,628.8755
2021-05-04,628.8755
2021-05-05,628.8755
2021-05-06,628.8755
2021-05-07,628.8755
2021-05-08,628.8755
2021-05-09,628.8755
2021-05-10,628.8755
2021-05-11,628.8755
2021-05-12,628.8755
2021-05-13,628.8755
2021-05-14,628.8755
2021-05-15,628.8755
2021-05-16,628.8755
2021-05-17,628.8755
2021-05-18,628.8755
2021-05-19,628.8755
2021-05-20,628.8755
2021-05-21,628.8755
2021-05-22,628.8755
2021-05-23,628.8755
2021-05-24,628.8755
2021-05-25,628.8755
2021-05-26,628.8755
2021-05-27,628.8755
