,BLMN US Equity
,RETURN_COM_EQY
2020-01-01,120.8606
2020-01-02,120.8606
2020-01-03,120.8606
2020-01-04,120.8606
2020-01-05,120.8606
2020-01-06,120.8606
2020-01-07,120.8606
2020-01-08,120.8606
2020-01-09,120.8606
2020-01-10,120.8606
2020-01-11,120.8606
2020-01-12,120.8606
2020-01-13,120.8606
2020-01-14,120.8606
2020-01-15,120.8606
2020-01-16,120.8606
2020-01-17,120.8606
2020-01-18,120.8606
2020-01-19,120.8606
2020-01-20,120.8606
2020-01-21,120.8606
2020-01-22,120.8606
2020-01-23,120.8606
2020-01-24,120.8606
2020-01-25,120.8606
2020-01-26,120.8606
2020-01-27,120.8606
2020-01-28,120.8606
2020-01-29,120.8606
2020-01-30,120.8606
2020-01-31,120.8606
2020-02-01,120.8606
2020-02-02,120.8606
2020-02-03,120.8606
2020-02-04,120.8606
2020-02-05,120.8606
2020-02-06,120.8606
2020-02-07,120.8606
2020-02-08,120.8606
2020-02-09,120.8606
2020-02-10,120.8606
2020-02-11,120.8606
2020-02-12,120.8606
2020-02-13,120.8606
2020-02-14,120.8606
2020-02-15,120.8606
2020-02-16,120.8606
2020-02-17,120.8606
2020-02-18,120.8606
2020-02-19,120.8606
2020-02-20,120.8606
2020-02-21,120.8606
2020-02-22,120.8606
2020-02-23,120.8606
2020-02-24,120.8606
2020-02-25,120.8606
2020-02-26,120.8606
2020-02-27,120.8606
2020-02-28,120.8606
2020-02-29,120.8606
2020-03-01,120.8606
2020-03-02,120.8606
2020-03-03,120.8606
2020-03-04,120.8606
2020-03-05,120.8606
2020-03-06,120.8606
2020-03-07,120.8606
2020-03-08,120.8606
2020-03-09,120.8606
2020-03-10,120.8606
2020-03-11,120.8606
2020-03-12,120.8606
2020-03-13,120.8606
2020-03-14,120.8606
2020-03-15,120.8606
2020-03-16,120.8606
2020-03-17,120.8606
2020-03-18,120.8606
2020-03-19,120.8606
2020-03-20,120.8606
2020-03-21,120.8606
2020-03-22,120.8606
2020-03-23,120.8606
2020-03-24,120.8606
2020-03-25,120.8606
2020-03-26,120.8606
2020-03-27,120.8606
2020-03-28,120.8606
