,RUTH US Equity
,RETURN_COM_EQY
2020-01-01,45.8071
2020-01-02,45.8071
2020-01-03,45.8071
2020-01-04,45.8071
2020-01-05,45.8071
2020-01-06,45.8071
2020-01-07,45.8071
2020-01-08,45.8071
2020-01-09,45.8071
2020-01-10,45.8071
2020-01-11,45.8071
2020-01-12,45.8071
2020-01-13,45.8071
2020-01-14,45.8071
2020-01-15,45.8071
2020-01-16,45.8071
2020-01-17,45.8071
2020-01-18,45.8071
2020-01-19,45.8071
2020-01-20,45.8071
2020-01-21,45.8071
2020-01-22,45.8071
2020-01-23,45.8071
2020-01-24,45.8071
2020-01-25,45.8071
2020-01-26,45.8071
2020-01-27,45.8071
2020-01-28,45.8071
2020-01-29,45.8071
2020-01-30,45.8071
2020-01-31,45.8071
2020-02-01,45.8071
2020-02-02,45.8071
2020-02-03,45.8071
2020-02-04,45.8071
2020-02-05,45.8071
2020-02-06,45.8071
2020-02-07,45.8071
2020-02-08,45.8071
2020-02-09,45.8071
2020-02-10,45.8071
2020-02-11,45.8071
2020-02-12,45.8071
2020-02-13,45.8071
2020-02-14,45.8071
2020-02-15,45.8071
2020-02-16,45.8071
2020-02-17,45.8071
2020-02-18,45.8071
2020-02-19,45.8071
2020-02-20,45.8071
2020-02-21,45.8071
2020-02-22,45.8071
2020-02-23,45.8071
2020-02-24,45.8071
2020-02-25,45.8071
2020-02-26,45.8071
2020-02-27,45.8071
2020-02-28,45.8071
2020-02-29,45.8071
2020-03-01,45.8071
2020-03-02,45.8071
2020-03-03,45.8071
2020-03-04,45.8071
2020-03-05,45.8071
2020-03-06,45.8071
2020-03-07,45.8071
2020-03-08,45.8071
2020-03-09,45.8071
2020-03-10,45.8071
2020-03-11,45.8071
2020-03-12,45.8071
2020-03-13,45.8071
2020-03-14,45.8071
2020-03-15,45.8071
2020-03-16,45.8071
2020-03-17,45.8071
2020-03-18,45.8071
2020-03-19,45.8071
2020-03-20,45.8071
2020-03-21,45.8071
2020-03-22,45.8071
2020-03-23,45.8071
2020-03-24,45.8071
2020-03-25,45.8071
2020-03-26,45.8071
2020-03-27,45.8071
2020-03-28,45.8071
2020-03-29,28.3413
2020-03-30,28.3413
2020-03-31,28.3413
2020-04-01,28.3413
2020-04-02,28.3413
2020-04-03,28.3413
