,HOG US Equity
,RETURN_COM_EQY
2020-01-01,23.6803
2020-01-02,23.6803
2020-01-03,23.6803
2020-01-04,23.6803
2020-01-05,23.6803
2020-01-06,23.6803
2020-01-07,23.6803
2020-01-08,23.6803
2020-01-09,23.6803
2020-01-10,23.6803
2020-01-11,23.6803
2020-01-12,23.6803
2020-01-13,23.6803
2020-01-14,23.6803
2020-01-15,23.6803
2020-01-16,23.6803
2020-01-17,23.6803
2020-01-18,23.6803
2020-01-19,23.6803
2020-01-20,23.6803
2020-01-21,23.6803
2020-01-22,23.6803
2020-01-23,23.6803
2020-01-24,23.6803
2020-01-25,23.6803
2020-01-26,23.6803
2020-01-27,23.6803
2020-01-28,23.6803
2020-01-29,23.6803
2020-01-30,23.6803
2020-01-31,23.6803
2020-02-01,23.6803
2020-02-02,23.6803
2020-02-03,23.6803
2020-02-04,23.6803
2020-02-05,23.6803
2020-02-06,23.6803
2020-02-07,23.6803
2020-02-08,23.6803
2020-02-09,23.6803
2020-02-10,23.6803
2020-02-11,23.6803
2020-02-12,23.6803
2020-02-13,23.6803
2020-02-14,23.6803
2020-02-15,23.6803
2020-02-16,23.6803
2020-02-17,23.6803
2020-02-18,23.6803
2020-02-19,23.6803
2020-02-20,23.6803
2020-02-21,23.6803
2020-02-22,23.6803
2020-02-23,23.6803
2020-02-24,23.6803
2020-02-25,23.6803
2020-02-26,23.6803
2020-02-27,23.6803
2020-02-28,23.6803
2020-02-29,23.6803
2020-03-01,23.6803
2020-03-02,23.6803
2020-03-03,23.6803
2020-03-04,23.6803
2020-03-05,23.6803
2020-03-06,23.6803
2020-03-07,23.6803
2020-03-08,23.6803
2020-03-09,23.6803
2020-03-10,23.6803
2020-03-11,23.6803
2020-03-12,23.6803
2020-03-13,23.6803
2020-03-14,23.6803
2020-03-15,23.6803
2020-03-16,23.6803
2020-03-17,23.6803
2020-03-18,23.6803
2020-03-19,23.6803
2020-03-20,23.6803
2020-03-21,23.6803
2020-03-22,23.6803
2020-03-23,23.6803
2020-03-24,23.6803
2020-03-25,23.6803
2020-03-26,23.6803
2020-03-27,23.6803
2020-03-28,23.6803
2020-03-29,20.9414
2020-03-30,20.9414
2020-03-31,20.9414
2020-04-01,20.9414
2020-04-02,20.9414
2020-04-03,20.9414
2020-04-04,20.9414
2020-04-05,20.9414
2020-04-06,20.9414
2020-04-07,20.9414
2020-04-08,20.9414
2020-04-09,20.9414
2020-04-10,20.9414
2020-04-11,20.9414
2020-04-12,20.9414
2020-04-13,20.9414
2020-04-14,20.9414
2020-04-15,20.9414
2020-04-16,20.9414
2020-04-17,20.9414
2020-04-18,20.9414
2020-04-19,20.9414
2020-04-20,20.9414
2020-04-21,20.9414
2020-04-22,20.9414
2020-04-23,20.9414
2020-04-24,20.9414
2020-04-25,20.9414
2020-04-26,20.9414
2020-04-27,20.9414
2020-04-28,20.9414
2020-04-29,20.9414
2020-04-30,20.9414
2020-05-01,20.9414
2020-05-02,20.9414
2020-05-03,20.9414
2020-05-04,20.9414
2020-05-05,20.9414
2020-05-06,20.9414
2020-05-07,20.9414
2020-05-08,20.9414
2020-05-09,20.9414
2020-05-10,20.9414
2020-05-11,20.9414
2020-05-12,20.9414
2020-05-13,20.9414
2020-05-14,20.9414
2020-05-15,20.9414
2020-05-16,20.9414
2020-05-17,20.9414
2020-05-18,20.9414
2020-05-19,20.9414
2020-05-20,20.9414
2020-05-21,20.9414
2020-05-22,20.9414
2020-05-23,20.9414
2020-05-24,20.9414
2020-05-25,20.9414
2020-05-26,20.9414
2020-05-27,20.9414
2020-05-28,20.9414
2020-05-29,20.9414
2020-05-30,20.9414
2020-05-31,20.9414
2020-06-01,20.9414
2020-06-02,20.9414
2020-06-03,20.9414
2020-06-04,20.9414
2020-06-05,20.9414
2020-06-06,20.9414
2020-06-07,20.9414
2020-06-08,20.9414
2020-06-09,20.9414
2020-06-10,20.9414
2020-06-11,20.9414
2020-06-12,20.9414
2020-06-13,20.9414
2020-06-14,20.9414
2020-06-15,20.9414
2020-06-16,20.9414
2020-06-17,20.9414
2020-06-18,20.9414
2020-06-19,20.9414
2020-06-20,20.9414
2020-06-21,20.9414
2020-06-22,20.9414
2020-06-23,20.9414
2020-06-24,20.9414
2020-06-25,20.9414
2020-06-26,20.9414
2020-06-27,20.9414
2020-06-28,4.3876
2020-06-29,4.3876
2020-06-30,4.3876
2020-07-01,4.3876
2020-07-02,4.3876
2020-07-03,4.3876
2020-07-04,4.3876
2020-07-05,4.3876
2020-07-06,4.3876
2020-07-07,4.3876
2020-07-08,4.3876
2020-07-09,4.3876
2020-07-10,4.3876
2020-07-11,4.3876
2020-07-12,4.3876
2020-07-13,4.3876
2020-07-14,4.3876
2020-07-15,4.3876
2020-07-16,4.3876
2020-07-17,4.3876
2020-07-18,4.3876
2020-07-19,4.3876
2020-07-20,4.3876
2020-07-21,4.3876
2020-07-22,4.3876
2020-07-23,4.3876
2020-07-24,4.3876
2020-07-25,4.3876
2020-07-26,4.3876
2020-07-27,4.3876
2020-07-28,4.3876
2020-07-29,4.3876
2020-07-30,4.3876
2020-07-31,4.3876
2020-08-01,4.3876
2020-08-02,4.3876
2020-08-03,4.3876
2020-08-04,4.3876
2020-08-05,4.3876
2020-08-06,4.3876
2020-08-07,4.3876
2020-08-08,4.3876
2020-08-09,4.3876
2020-08-10,4.3876
2020-08-11,4.3876
2020-08-12,4.3876
2020-08-13,4.3876
2020-08-14,4.3876
2020-08-15,4.3876
2020-08-16,4.3876
2020-08-17,4.3876
2020-08-18,4.3876
2020-08-19,4.3876
2020-08-20,4.3876
2020-08-21,4.3876
2020-08-22,4.3876
2020-08-23,4.3876
2020-08-24,4.3876
2020-08-25,4.3876
2020-08-26,4.3876
2020-08-27,4.3876
2020-08-28,4.3876
2020-08-29,4.3876
2020-08-30,4.3876
2020-08-31,4.3876
2020-09-01,4.3876
2020-09-02,4.3876
2020-09-03,4.3876
2020-09-04,4.3876
2020-09-05,4.3876
2020-09-06,4.3876
2020-09-07,4.3876
2020-09-08,4.3876
2020-09-09,4.3876
2020-09-10,4.3876
2020-09-11,4.3876
2020-09-12,4.3876
2020-09-13,4.3876
2020-09-14,4.3876
2020-09-15,4.3876
2020-09-16,4.3876
2020-09-17,4.3876
2020-09-18,4.3876
2020-09-19,4.3876
2020-09-20,4.3876
2020-09-21,4.3876
2020-09-22,4.3876
2020-09-23,4.3876
2020-09-24,4.3876
2020-09-25,4.3876
2020-09-26,4.3876
2020-09-27,6.1669
2020-09-28,6.1669
2020-09-29,6.1669
2020-09-30,6.1669
2020-10-01,6.1669
2020-10-02,6.1669
2020-10-03,6.1669
2020-10-04,6.1669
2020-10-05,6.1669
2020-10-06,6.1669
2020-10-07,6.1669
2020-10-08,6.1669
2020-10-09,6.1669
2020-10-10,6.1669
2020-10-11,6.1669
2020-10-12,6.1669
2020-10-13,6.1669
2020-10-14,6.1669
2020-10-15,6.1669
2020-10-16,6.1669
2020-10-17,6.1669
2020-10-18,6.1669
2020-10-19,6.1669
2020-10-20,6.1669
2020-10-21,6.1669
2020-10-22,6.1669
2020-10-23,6.1669
2020-10-24,6.1669
2020-10-25,6.1669
2020-10-26,6.1669
2020-10-27,6.1669
2020-10-28,6.1669
2020-10-29,6.1669
2020-10-30,6.1669
2020-10-31,6.1669
2020-11-01,6.1669
2020-11-02,6.1669
2020-11-03,6.1669
2020-11-04,6.1669
2020-11-05,6.1669
2020-11-06,6.1669
2020-11-07,6.1669
2020-11-08,6.1669
2020-11-09,6.1669
2020-11-10,6.1669
2020-11-11,6.1669
2020-11-12,6.1669
2020-11-13,6.1669
2020-11-14,6.1669
2020-11-15,6.1669
2020-11-16,6.1669
2020-11-17,6.1669
2020-11-18,6.1669
2020-11-19,6.1669
2020-11-20,6.1669
2020-11-21,6.1669
2020-11-22,6.1669
2020-11-23,6.1669
2020-11-24,6.1669
2020-11-25,6.1669
2020-11-26,6.1669
2020-11-27,6.1669
2020-11-28,6.1669
2020-11-29,6.1669
2020-11-30,6.1669
2020-12-01,6.1669
2020-12-02,6.1669
2020-12-03,6.1669
2020-12-04,6.1669
2020-12-05,6.1669
2020-12-06,6.1669
2020-12-07,6.1669
2020-12-08,6.1669
2020-12-09,6.1669
2020-12-10,6.1669
2020-12-11,6.1669
2020-12-12,6.1669
2020-12-13,6.1669
2020-12-14,6.1669
2020-12-15,6.1669
2020-12-16,6.1669
2020-12-17,6.1669
2020-12-18,6.1669
2020-12-19,6.1669
2020-12-20,6.1669
2020-12-21,6.1669
2020-12-22,6.1669
2020-12-23,6.1669
2020-12-24,6.1669
2020-12-25,6.1669
2020-12-26,6.1669
2020-12-27,6.1669
2020-12-28,6.1669
2020-12-29,6.1669
2020-12-30,6.1669
2020-12-31,0.0736
2021-01-01,0.0736
2021-01-02,0.0736
2021-01-03,0.0736
2021-01-04,0.0736
2021-01-05,0.0736
2021-01-06,0.0736
2021-01-07,0.0736
2021-01-08,0.0736
2021-01-09,0.0736
2021-01-10,0.0736
2021-01-11,0.0736
2021-01-12,0.0736
2021-01-13,0.0736
2021-01-14,0.0736
2021-01-15,0.0736
2021-01-16,0.0736
2021-01-17,0.0736
2021-01-18,0.0736
2021-01-19,0.0736
2021-01-20,0.0736
2021-01-21,0.0736
2021-01-22,0.0736
2021-01-23,0.0736
2021-01-24,0.0736
2021-01-25,0.0736
2021-01-26,0.0736
2021-01-27,0.0736
2021-01-28,0.0736
2021-01-29,0.0736
