,LECO US Equity
,RETURN_COM_EQY
2020-01-01,34.38
2020-01-02,34.38
2020-01-03,34.38
2020-01-04,34.38
2020-01-05,34.38
2020-01-06,34.38
2020-01-07,34.38
2020-01-08,34.38
2020-01-09,34.38
2020-01-10,34.38
2020-01-11,34.38
2020-01-12,34.38
2020-01-13,34.38
2020-01-14,34.38
2020-01-15,34.38
2020-01-16,34.38
2020-01-17,34.38
2020-01-18,34.38
2020-01-19,34.38
2020-01-20,34.38
2020-01-21,34.38
2020-01-22,34.38
2020-01-23,34.38
2020-01-24,34.38
2020-01-25,34.38
2020-01-26,34.38
2020-01-27,34.38
2020-01-28,34.38
2020-01-29,34.38
2020-01-30,34.38
2020-01-31,34.38
2020-02-01,34.38
2020-02-02,34.38
2020-02-03,34.38
2020-02-04,34.38
2020-02-05,34.38
2020-02-06,34.38
2020-02-07,34.38
2020-02-08,34.38
2020-02-09,34.38
2020-02-10,34.38
2020-02-11,34.38
2020-02-12,34.38
2020-02-13,34.38
2020-02-14,34.38
2020-02-15,34.38
2020-02-16,34.38
2020-02-17,34.38
2020-02-18,34.38
2020-02-19,34.38
2020-02-20,34.38
2020-02-21,34.38
2020-02-22,34.38
2020-02-23,34.38
2020-02-24,34.38
2020-02-25,34.38
2020-02-26,34.38
2020-02-27,34.38
2020-02-28,34.38
2020-02-29,34.38
2020-03-01,34.38
2020-03-02,34.38
2020-03-03,34.38
2020-03-04,34.38
2020-03-05,34.38
2020-03-06,34.38
2020-03-07,34.38
2020-03-08,34.38
2020-03-09,34.38
2020-03-10,34.38
2020-03-11,34.38
2020-03-12,34.38
2020-03-13,34.38
2020-03-14,34.38
2020-03-15,34.38
2020-03-16,34.38
2020-03-17,34.38
2020-03-18,34.38
2020-03-19,34.38
2020-03-20,34.38
2020-03-21,34.38
2020-03-22,34.38
2020-03-23,34.38
2020-03-24,34.38
2020-03-25,34.38
2020-03-26,34.38
2020-03-27,34.38
2020-03-28,34.38
2020-03-29,34.38
2020-03-30,34.38
2020-03-31,36.2082
2020-04-01,36.2082
2020-04-02,36.2082
2020-04-03,36.2082
2020-04-04,36.2082
2020-04-05,36.2082
2020-04-06,36.2082
2020-04-07,36.2082
2020-04-08,36.2082
2020-04-09,36.2082
2020-04-10,36.2082
2020-04-11,36.2082
2020-04-12,36.2082
2020-04-13,36.2082
2020-04-14,36.2082
2020-04-15,36.2082
2020-04-16,36.2082
2020-04-17,36.2082
2020-04-18,36.2082
2020-04-19,36.2082
2020-04-20,36.2082
2020-04-21,36.2082
2020-04-22,36.2082
2020-04-23,36.2082
2020-04-24,36.2082
2020-04-25,36.2082
2020-04-26,36.2082
2020-04-27,36.2082
2020-04-28,36.2082
2020-04-29,36.2082
2020-04-30,36.2082
2020-05-01,36.2082
2020-05-02,36.2082
2020-05-03,36.2082
2020-05-04,36.2082
2020-05-05,36.2082
2020-05-06,36.2082
2020-05-07,36.2082
2020-05-08,36.2082
2020-05-09,36.2082
2020-05-10,36.2082
2020-05-11,36.2082
2020-05-12,36.2082
2020-05-13,36.2082
2020-05-14,36.2082
2020-05-15,36.2082
2020-05-16,36.2082
2020-05-17,36.2082
2020-05-18,36.2082
2020-05-19,36.2082
2020-05-20,36.2082
2020-05-21,36.2082
2020-05-22,36.2082
2020-05-23,36.2082
2020-05-24,36.2082
2020-05-25,36.2082
2020-05-26,36.2082
2020-05-27,36.2082
