,INTC US Equity
,RETURN_COM_EQY
2020-01-01,27.5784
2020-01-02,27.5784
2020-01-03,27.5784
2020-01-04,27.5784
2020-01-05,27.5784
2020-01-06,27.5784
2020-01-07,27.5784
2020-01-08,27.5784
2020-01-09,27.5784
2020-01-10,27.5784
2020-01-11,27.5784
2020-01-12,27.5784
2020-01-13,27.5784
2020-01-14,27.5784
2020-01-15,27.5784
2020-01-16,27.5784
2020-01-17,27.5784
2020-01-18,27.5784
2020-01-19,27.5784
2020-01-20,27.5784
2020-01-21,27.5784
2020-01-22,27.5784
2020-01-23,27.5784
2020-01-24,27.5784
2020-01-25,27.5784
2020-01-26,27.5784
2020-01-27,27.5784
2020-01-28,27.5784
2020-01-29,27.5784
2020-01-30,27.5784
2020-01-31,27.5784
2020-02-01,27.5784
2020-02-02,27.5784
2020-02-03,27.5784
2020-02-04,27.5784
2020-02-05,27.5784
2020-02-06,27.5784
2020-02-07,27.5784
2020-02-08,27.5784
2020-02-09,27.5784
2020-02-10,27.5784
2020-02-11,27.5784
2020-02-12,27.5784
2020-02-13,27.5784
2020-02-14,27.5784
2020-02-15,27.5784
2020-02-16,27.5784
2020-02-17,27.5784
2020-02-18,27.5784
2020-02-19,27.5784
2020-02-20,27.5784
2020-02-21,27.5784
2020-02-22,27.5784
2020-02-23,27.5784
2020-02-24,27.5784
2020-02-25,27.5784
2020-02-26,27.5784
2020-02-27,27.5784
2020-02-28,27.5784
2020-02-29,27.5784
2020-03-01,27.5784
2020-03-02,27.5784
2020-03-03,27.5784
2020-03-04,27.5784
2020-03-05,27.5784
2020-03-06,27.5784
2020-03-07,27.5784
2020-03-08,27.5784
2020-03-09,27.5784
2020-03-10,27.5784
2020-03-11,27.5784
2020-03-12,27.5784
2020-03-13,27.5784
2020-03-14,27.5784
2020-03-15,27.5784
2020-03-16,27.5784
2020-03-17,27.5784
2020-03-18,27.5784
2020-03-19,27.5784
2020-03-20,27.5784
2020-03-21,27.5784
2020-03-22,27.5784
2020-03-23,27.5784
2020-03-24,27.5784
2020-03-25,27.5784
2020-03-26,27.5784
2020-03-27,27.5784
2020-03-28,30.2548
2020-03-29,30.2548
2020-03-30,30.2548
2020-03-31,30.2548
2020-04-01,30.2548
2020-04-02,30.2548
2020-04-03,30.2548
2020-04-04,30.2548
2020-04-05,30.2548
2020-04-06,30.2548
2020-04-07,30.2548
2020-04-08,30.2548
2020-04-09,30.2548
2020-04-10,30.2548
2020-04-11,30.2548
2020-04-12,30.2548
2020-04-13,30.2548
2020-04-14,30.2548
2020-04-15,30.2548
2020-04-16,30.2548
2020-04-17,30.2548
2020-04-18,30.2548
2020-04-19,30.2548
2020-04-20,30.2548
2020-04-21,30.2548
2020-04-22,30.2548
2020-04-23,30.2548
2020-04-24,30.2548
2020-04-25,30.2548
2020-04-26,30.2548
2020-04-27,30.2548
2020-04-28,30.2548
2020-04-29,30.2548
2020-04-30,30.2548
2020-05-01,30.2548
2020-05-02,30.2548
2020-05-03,30.2548
2020-05-04,30.2548
2020-05-05,30.2548
2020-05-06,30.2548
2020-05-07,30.2548
2020-05-08,30.2548
