,PHM US Equity
,RETURN_COM_EQY
2020-01-01,19.5893
2020-01-02,19.5893
2020-01-03,19.5893
2020-01-04,19.5893
2020-01-05,19.5893
2020-01-06,19.5893
2020-01-07,19.5893
2020-01-08,19.5893
2020-01-09,19.5893
2020-01-10,19.5893
2020-01-11,19.5893
2020-01-12,19.5893
2020-01-13,19.5893
2020-01-14,19.5893
2020-01-15,19.5893
2020-01-16,19.5893
2020-01-17,19.5893
2020-01-18,19.5893
2020-01-19,19.5893
2020-01-20,19.5893
2020-01-21,19.5893
2020-01-22,19.5893
2020-01-23,19.5893
2020-01-24,19.5893
2020-01-25,19.5893
2020-01-26,19.5893
2020-01-27,19.5893
2020-01-28,19.5893
2020-01-29,19.5893
2020-01-30,19.5893
2020-01-31,19.5893
2020-02-01,19.5893
2020-02-02,19.5893
2020-02-03,19.5893
2020-02-04,19.5893
2020-02-05,19.5893
2020-02-06,19.5893
2020-02-07,19.5893
2020-02-08,19.5893
2020-02-09,19.5893
2020-02-10,19.5893
2020-02-11,19.5893
2020-02-12,19.5893
2020-02-13,19.5893
2020-02-14,19.5893
2020-02-15,19.5893
2020-02-16,19.5893
2020-02-17,19.5893
2020-02-18,19.5893
2020-02-19,19.5893
2020-02-20,19.5893
2020-02-21,19.5893
2020-02-22,19.5893
2020-02-23,19.5893
2020-02-24,19.5893
2020-02-25,19.5893
2020-02-26,19.5893
2020-02-27,19.5893
2020-02-28,19.5893
2020-02-29,19.5893
2020-03-01,19.5893
2020-03-02,19.5893
2020-03-03,19.5893
2020-03-04,19.5893
2020-03-05,19.5893
2020-03-06,19.5893
2020-03-07,19.5893
2020-03-08,19.5893
2020-03-09,19.5893
2020-03-10,19.5893
2020-03-11,19.5893
2020-03-12,19.5893
2020-03-13,19.5893
2020-03-14,19.5893
2020-03-15,19.5893
2020-03-16,19.5893
2020-03-17,19.5893
2020-03-18,19.5893
2020-03-19,19.5893
2020-03-20,19.5893
2020-03-21,19.5893
2020-03-22,19.5893
2020-03-23,19.5893
2020-03-24,19.5893
2020-03-25,19.5893
2020-03-26,19.5893
2020-03-27,19.5893
2020-03-28,19.5893
2020-03-29,19.5893
2020-03-30,19.5893
2020-03-31,19.9767
2020-04-01,19.9767
2020-04-02,19.9767
2020-04-03,19.9767
2020-04-04,19.9767
2020-04-05,19.9767
