,FHI US Equity
,RETURN_COM_EQY
2020-09-10,28.9275
2020-09-11,28.9275
2020-09-12,28.9275
2020-09-13,28.9275
2020-09-14,28.9275
2020-09-15,28.9275
2020-09-16,28.9275
2020-09-17,28.9275
2020-09-18,28.9275
2020-09-19,28.9275
2020-09-20,28.9275
2020-09-21,28.9275
2020-09-22,28.9275
2020-09-23,28.9275
2020-09-24,28.9275
2020-09-25,28.9275
2020-09-26,28.9275
2020-09-27,28.9275
2020-09-28,28.9275
2020-09-29,28.9275
2020-09-30,28.6779
2020-10-01,28.6779
2020-10-02,28.6779
2020-10-03,28.6779
2020-10-04,28.6779
2020-10-05,28.6779
2020-10-06,28.6779
2020-10-07,28.6779
2020-10-08,28.6779
2020-10-09,28.6779
2020-10-10,28.6779
2020-10-11,28.6779
2020-10-12,28.6779
2020-10-13,28.6779
2020-10-14,28.6779
2020-10-15,28.6779
2020-10-16,28.6779
2020-10-17,28.6779
2020-10-18,28.6779
2020-10-19,28.6779
2020-10-20,28.6779
2020-10-21,28.6779
2020-10-22,28.6779
2020-10-23,28.6779
2020-10-24,28.6779
2020-10-25,28.6779
2020-10-26,28.6779
2020-10-27,28.6779
2020-10-28,28.6779
2020-10-29,28.6779
2020-10-30,28.6779
2020-10-31,28.6779
2020-11-01,28.6779
2020-11-02,28.6779
2020-11-03,28.6779
2020-11-04,28.6779
2020-11-05,28.6779
2020-11-06,28.6779
2020-11-07,28.6779
2020-11-08,28.6779
2020-11-09,28.6779
2020-11-10,28.6779
2020-11-11,28.6779
2020-11-12,28.6779
2020-11-13,28.6779
2020-11-14,28.6779
2020-11-15,28.6779
2020-11-16,28.6779
2020-11-17,28.6779
2020-11-18,28.6779
2020-11-19,28.6779
2020-11-20,28.6779
2020-11-21,28.6779
2020-11-22,28.6779
2020-11-23,28.6779
2020-11-24,28.6779
2020-11-25,28.6779
2020-11-26,28.6779
2020-11-27,28.6779
2020-11-28,28.6779
2020-11-29,28.6779
2020-11-30,28.6779
2020-12-01,28.6779
2020-12-02,28.6779
2020-12-03,28.6779
2020-12-04,28.6779
2020-12-05,28.6779
2020-12-06,28.6779
2020-12-07,28.6779
2020-12-08,28.6779
2020-12-09,28.6779
2020-12-10,28.6779
2020-12-11,28.6779
2020-12-12,28.6779
2020-12-13,28.6779
2020-12-14,28.6779
2020-12-15,28.6779
2020-12-16,28.6779
2020-12-17,28.6779
2020-12-18,28.6779
2020-12-19,28.6779
2020-12-20,28.6779
2020-12-21,28.6779
2020-12-22,28.6779
2020-12-23,28.6779
2020-12-24,28.6779
2020-12-25,28.6779
2020-12-26,28.6779
2020-12-27,28.6779
2020-12-28,28.6779
2020-12-29,28.6779
2020-12-30,28.6779
2020-12-31,28.681
2021-01-01,28.681
2021-01-02,28.681
2021-01-03,28.681
2021-01-04,28.681
2021-01-05,28.681
2021-01-06,28.681
2021-01-07,28.681
2021-01-08,28.681
2021-01-09,28.681
2021-01-10,28.681
2021-01-11,28.681
2021-01-12,28.681
2021-01-13,28.681
2021-01-14,28.681
2021-01-15,28.681
2021-01-16,28.681
2021-01-17,28.681
2021-01-18,28.681
2021-01-19,28.681
2021-01-20,28.681
2021-01-21,28.681
2021-01-22,28.681
2021-01-23,28.681
2021-01-24,28.681
2021-01-25,28.681
2021-01-26,28.681
2021-01-27,28.681
2021-01-28,28.681
2021-01-29,28.681
2021-01-30,28.681
2021-01-31,28.681
2021-02-01,28.681
2021-02-02,28.681
2021-02-03,28.681
2021-02-04,28.681
2021-02-05,28.681
2021-02-06,28.681
2021-02-07,28.681
2021-02-08,28.681
2021-02-09,28.681
2021-02-10,28.681
2021-02-11,28.681
2021-02-12,28.681
2021-02-13,28.681
2021-02-14,28.681
2021-02-15,28.681
2021-02-16,28.681
2021-02-17,28.681
2021-02-18,28.681
2021-02-19,28.681
2021-02-20,28.681
2021-02-21,28.681
2021-02-22,28.681
2021-02-23,28.681
2021-02-24,28.681
2021-02-25,28.681
2021-02-26,28.681
2021-02-27,28.681
2021-02-28,28.681
2021-03-01,28.681
2021-03-02,28.681
2021-03-03,28.681
2021-03-04,28.681
2021-03-05,28.681
2021-03-06,28.681
2021-03-07,28.681
2021-03-08,28.681
2021-03-09,28.681
2021-03-10,28.681
2021-03-11,28.681
2021-03-12,28.681
2021-03-13,28.681
2021-03-14,28.681
2021-03-15,28.681
2021-03-16,28.681
2021-03-17,28.681
2021-03-18,28.681
2021-03-19,28.681
2021-03-20,28.681
2021-03-21,28.681
2021-03-22,28.681
2021-03-23,28.681
2021-03-24,28.681
2021-03-25,28.681
2021-03-26,28.681
2021-03-27,28.681
2021-03-28,28.681
2021-03-29,28.681
2021-03-30,28.681
2021-03-31,29.307
2021-04-01,29.307
2021-04-02,29.307
2021-04-03,29.307
2021-04-04,29.307
2021-04-05,29.307
2021-04-06,29.307
2021-04-07,29.307
2021-04-08,29.307
2021-04-09,29.307
2021-04-10,29.307
2021-04-11,29.307
2021-04-12,29.307
2021-04-13,29.307
2021-04-14,29.307
2021-04-15,29.307
2021-04-16,29.307
2021-04-17,29.307
2021-04-18,29.307
2021-04-19,29.307
2021-04-20,29.307
2021-04-21,29.307
2021-04-22,29.307
2021-04-23,29.307
2021-04-24,29.307
2021-04-25,29.307
2021-04-26,29.307
2021-04-27,29.307
2021-04-28,29.307
2021-04-29,29.307
2021-04-30,29.307
2021-05-01,29.307
2021-05-02,29.307
2021-05-03,29.307
2021-05-04,29.307
2021-05-05,29.307
2021-05-06,29.307
2021-05-07,29.307
2021-05-08,29.307
2021-05-09,29.307
2021-05-10,29.307
2021-05-11,29.307
2021-05-12,29.307
2021-05-13,29.307
2021-05-14,29.307
2021-05-15,29.307
2021-05-16,29.307
2021-05-17,29.307
2021-05-18,29.307
2021-05-19,29.307
2021-05-20,29.307
2021-05-21,29.307
2021-05-22,29.307
2021-05-23,29.307
2021-05-24,29.307
2021-05-25,29.307
2021-05-26,29.307
2021-05-27,29.307
2021-05-28,29.307
2021-05-29,29.307
2021-05-30,29.307
2021-05-31,29.307
2021-06-01,29.307
2021-06-02,29.307
2021-06-03,29.307
2021-06-04,29.307
2021-06-05,29.307
2021-06-06,29.307
2021-06-07,29.307
2021-06-08,29.307
2021-06-09,29.307
2021-06-10,29.307
2021-06-11,29.307
2021-06-12,29.307
2021-06-13,29.307
2021-06-14,29.307
2021-06-15,29.307
2021-06-16,29.307
2021-06-17,29.307
2021-06-18,29.307
2021-06-19,29.307
2021-06-20,29.307
2021-06-21,29.307
2021-06-22,29.307
2021-06-23,29.307
2021-06-24,29.307
2021-06-25,29.307
2021-06-26,29.307
2021-06-27,29.307
2021-06-28,29.307
2021-06-29,29.307
2021-06-30,26.4681
2021-07-01,26.4681
2021-07-02,26.4681
2021-07-03,26.4681
2021-07-04,26.4681
2021-07-05,26.4681
2021-07-06,26.4681
2021-07-07,26.4681
2021-07-08,26.4681
2021-07-09,26.4681
2021-07-10,26.4681
2021-07-11,26.4681
2021-07-12,26.4681
2021-07-13,26.4681
2021-07-14,26.4681
2021-07-15,26.4681
2021-07-16,26.4681
2021-07-17,26.4681
2021-07-18,26.4681
2021-07-19,26.4681
2021-07-20,26.4681
2021-07-21,26.4681
2021-07-22,26.4681
2021-07-23,26.4681
2021-07-24,26.4681
2021-07-25,26.4681
2021-07-26,26.4681
2021-07-27,26.4681
2021-07-28,26.4681
2021-07-29,26.4681
2021-07-30,26.4681
2021-07-31,26.4681
2021-08-01,26.4681
2021-08-02,26.4681
2021-08-03,26.4681
2021-08-04,26.4681
2021-08-05,26.4681
2021-08-06,26.4681
2021-08-07,26.4681
2021-08-08,26.4681
2021-08-09,26.4681
2021-08-10,26.4681
2021-08-11,26.4681
2021-08-12,26.4681
2021-08-13,26.4681
2021-08-14,26.4681
2021-08-15,26.4681
2021-08-16,26.4681
2021-08-17,26.4681
2021-08-18,26.4681
2021-08-19,26.4681
2021-08-20,26.4681
2021-08-21,26.4681
2021-08-22,26.4681
2021-08-23,26.4681
2021-08-24,26.4681
2021-08-25,26.4681
2021-08-26,26.4681
2021-08-27,26.4681
2021-08-28,26.4681
2021-08-29,26.4681
2021-08-30,26.4681
2021-08-31,26.4681
2021-09-01,26.4681
2021-09-02,26.4681
2021-09-03,26.4681
2021-09-04,26.4681
2021-09-05,26.4681
2021-09-06,26.4681
2021-09-07,26.4681
2021-09-08,26.4681
2021-09-09,26.4681
2021-09-10,26.4681
2021-09-11,26.4681
2021-09-12,26.4681
2021-09-13,26.4681
2021-09-14,26.4681
2021-09-15,26.4681
2021-09-16,26.4681
2021-09-17,26.4681
2021-09-18,26.4681
2021-09-19,26.4681
2021-09-20,26.4681
2021-09-21,26.4681
2021-09-22,26.4681
2021-09-23,26.4681
2021-09-24,26.4681
2021-09-25,26.4681
2021-09-26,26.4681
2021-09-27,26.4681
2021-09-28,26.4681
2021-09-29,26.4681
2021-09-30,24.0617
2021-10-01,24.0617
2021-10-02,24.0617
2021-10-03,24.0617
2021-10-04,24.0617
2021-10-05,24.0617
2021-10-06,24.0617
2021-10-07,24.0617
2021-10-08,24.0617
2021-10-09,24.0617
2021-10-10,24.0617
2021-10-11,24.0617
2021-10-12,24.0617
2021-10-13,24.0617
2021-10-14,24.0617
2021-10-15,24.0617
2021-10-16,24.0617
2021-10-17,24.0617
2021-10-18,24.0617
2021-10-19,24.0617
2021-10-20,24.0617
2021-10-21,24.0617
2021-10-22,24.0617
2021-10-23,24.0617
2021-10-24,24.0617
2021-10-25,24.0617
2021-10-26,24.0617
2021-10-27,24.0617
2021-10-28,24.0617
2021-10-29,24.0617
2021-10-30,24.0617
2021-10-31,24.0617
2021-11-01,24.0617
2021-11-02,24.0617
2021-11-03,24.0617
2021-11-04,24.0617
2021-11-05,24.0617
2021-11-06,24.0617
2021-11-07,24.0617
2021-11-08,24.0617
2021-11-09,24.0617
2021-11-10,24.0617
2021-11-11,24.0617
2021-11-12,24.0617
2021-11-13,24.0617
2021-11-14,24.0617
2021-11-15,24.0617
2021-11-16,24.0617
2021-11-17,24.0617
2021-11-18,24.0617
2021-11-19,24.0617
2021-11-20,24.0617
2021-11-21,24.0617
2021-11-22,24.0617
2021-11-23,24.0617
2021-11-24,24.0617
2021-11-25,24.0617
2021-11-26,24.0617
2021-11-27,24.0617
2021-11-28,24.0617
2021-11-29,24.0617
2021-11-30,24.0617
2021-12-01,24.0617
2021-12-02,24.0617
2021-12-03,24.0617
2021-12-04,24.0617
2021-12-05,24.0617
2021-12-06,24.0617
2021-12-07,24.0617
