,ZUMZ US Equity
,RETURN_COM_EQY
2020-01-01,14.7331
2020-01-02,14.7331
2020-01-03,14.7331
2020-01-04,14.7331
2020-01-05,14.7331
2020-01-06,14.7331
2020-01-07,14.7331
2020-01-08,14.7331
2020-01-09,14.7331
2020-01-10,14.7331
2020-01-11,14.7331
2020-01-12,14.7331
2020-01-13,14.7331
2020-01-14,14.7331
2020-01-15,14.7331
2020-01-16,14.7331
2020-01-17,14.7331
2020-01-18,14.7331
2020-01-19,14.7331
2020-01-20,14.7331
2020-01-21,14.7331
2020-01-22,14.7331
2020-01-23,14.7331
2020-01-24,14.7331
2020-01-25,14.7331
2020-01-26,14.7331
2020-01-27,14.7331
2020-01-28,14.7331
2020-01-29,14.7331
2020-01-30,14.7331
2020-01-31,14.7331
2020-02-01,15.4365
2020-02-02,15.4365
2020-02-03,15.4365
2020-02-04,15.4365
2020-02-05,15.4365
2020-02-06,15.4365
2020-02-07,15.4365
2020-02-08,15.4365
2020-02-09,15.4365
2020-02-10,15.4365
2020-02-11,15.4365
2020-02-12,15.4365
2020-02-13,15.4365
2020-02-14,15.4365
2020-02-15,15.4365
2020-02-16,15.4365
2020-02-17,15.4365
2020-02-18,15.4365
2020-02-19,15.4365
2020-02-20,15.4365
2020-02-21,15.4365
2020-02-22,15.4365
2020-02-23,15.4365
2020-02-24,15.4365
2020-02-25,15.4365
2020-02-26,15.4365
2020-02-27,15.4365
2020-02-28,15.4365
2020-02-29,15.4365
2020-03-01,15.4365
2020-03-02,15.4365
2020-03-03,15.4365
2020-03-04,15.4365
2020-03-05,15.4365
2020-03-06,15.4365
2020-03-07,15.4365
2020-03-08,15.4365
2020-03-09,15.4365
2020-03-10,15.4365
2020-03-11,15.4365
2020-03-12,15.4365
2020-03-13,15.4365
2020-03-14,15.4365
2020-03-15,15.4365
2020-03-16,15.4365
2020-03-17,15.4365
2020-03-18,15.4365
2020-03-19,15.4365
2020-03-20,15.4365
2020-03-21,15.4365
2020-03-22,15.4365
2020-03-23,15.4365
2020-03-24,15.4365
2020-03-25,15.4365
