,AAWW US Equity
,RETURN_COM_EQY
2020-01-01,-15.1866
2020-01-02,-15.1866
2020-01-03,-15.1866
2020-01-04,-15.1866
2020-01-05,-15.1866
2020-01-06,-15.1866
2020-01-07,-15.1866
2020-01-08,-15.1866
2020-01-09,-15.1866
2020-01-10,-15.1866
2020-01-11,-15.1866
2020-01-12,-15.1866
2020-01-13,-15.1866
2020-01-14,-15.1866
2020-01-15,-15.1866
2020-01-16,-15.1866
2020-01-17,-15.1866
2020-01-18,-15.1866
2020-01-19,-15.1866
2020-01-20,-15.1866
2020-01-21,-15.1866
2020-01-22,-15.1866
2020-01-23,-15.1866
2020-01-24,-15.1866
2020-01-25,-15.1866
2020-01-26,-15.1866
2020-01-27,-15.1866
2020-01-28,-15.1866
2020-01-29,-15.1866
2020-01-30,-15.1866
2020-01-31,-15.1866
2020-02-01,-15.1866
2020-02-02,-15.1866
2020-02-03,-15.1866
2020-02-04,-15.1866
2020-02-05,-15.1866
2020-02-06,-15.1866
2020-02-07,-15.1866
2020-02-08,-15.1866
2020-02-09,-15.1866
2020-02-10,-15.1866
2020-02-11,-15.1866
2020-02-12,-15.1866
2020-02-13,-15.1866
2020-02-14,-15.1866
2020-02-15,-15.1866
2020-02-16,-15.1866
2020-02-17,-15.1866
2020-02-18,-15.1866
2020-02-19,-15.1866
2020-02-20,-15.1866
2020-02-21,-15.1866
2020-02-22,-15.1866
2020-02-23,-15.1866
2020-02-24,-15.1866
2020-02-25,-15.1866
2020-02-26,-15.1866
2020-02-27,-15.1866
2020-02-28,-15.1866
2020-02-29,-15.1866
2020-03-01,-15.1866
2020-03-02,-15.1866
2020-03-03,-15.1866
2020-03-04,-15.1866
2020-03-05,-15.1866
2020-03-06,-15.1866
2020-03-07,-15.1866
2020-03-08,-15.1866
2020-03-09,-15.1866
2020-03-10,-15.1866
2020-03-11,-15.1866
2020-03-12,-15.1866
2020-03-13,-15.1866
2020-03-14,-15.1866
2020-03-15,-15.1866
2020-03-16,-15.1866
2020-03-17,-15.1866
2020-03-18,-15.1866
2020-03-19,-15.1866
2020-03-20,-15.1866
2020-03-21,-15.1866
2020-03-22,-15.1866
2020-03-23,-15.1866
2020-03-24,-15.1866
2020-03-25,-15.1866
2020-03-26,-15.1866
2020-03-27,-15.1866
2020-03-28,-15.1866
2020-03-29,-15.1866
2020-03-30,-15.1866
2020-03-31,-12.4131
2020-04-01,-12.4131
2020-04-02,-12.4131
2020-04-03,-12.4131
2020-04-04,-12.4131
2020-04-05,-12.4131
2020-04-06,-12.4131
2020-04-07,-12.4131
2020-04-08,-12.4131
2020-04-09,-12.4131
2020-04-10,-12.4131
2020-04-11,-12.4131
2020-04-12,-12.4131
2020-04-13,-12.4131
2020-04-14,-12.4131
2020-04-15,-12.4131
2020-04-16,-12.4131
2020-04-17,-12.4131
2020-04-18,-12.4131
2020-04-19,-12.4131
2020-04-20,-12.4131
2020-04-21,-12.4131
2020-04-22,-12.4131
2020-04-23,-12.4131
2020-04-24,-12.4131
2020-04-25,-12.4131
2020-04-26,-12.4131
2020-04-27,-12.4131
2020-04-28,-12.4131
2020-04-29,-12.4131
2020-04-30,-12.4131
2020-05-01,-12.4131
2020-05-02,-12.4131
2020-05-03,-12.4131
2020-05-04,-12.4131
2020-05-05,-12.4131
2020-05-06,-12.4131
2020-05-07,-12.4131
2020-05-08,-12.4131
2020-05-09,-12.4131
2020-05-10,-12.4131
2020-05-11,-12.4131
2020-05-12,-12.4131
2020-05-13,-12.4131
2020-05-14,-12.4131
2020-05-15,-12.4131
2020-05-16,-12.4131
2020-05-17,-12.4131
2020-05-18,-12.4131
2020-05-19,-12.4131
2020-05-20,-12.4131
2020-05-21,-12.4131
2020-05-22,-12.4131
2020-05-23,-12.4131
2020-05-24,-12.4131
2020-05-25,-12.4131
2020-05-26,-12.4131
2020-05-27,-12.4131
2020-05-28,-12.4131
2020-05-29,-12.4131
2020-05-30,-12.4131
2020-05-31,-12.4131
2020-06-01,-12.4131
2020-06-02,-12.4131
2020-06-03,-12.4131
2020-06-04,-12.4131
2020-06-05,-12.4131
2020-06-06,-12.4131
2020-06-07,-12.4131
2020-06-08,-12.4131
2020-06-09,-12.4131
2020-06-10,-12.4131
2020-06-11,-12.4131
2020-06-12,-12.4131
2020-06-13,-12.4131
2020-06-14,-12.4131
2020-06-15,-12.4131
2020-06-16,-12.4131
2020-06-17,-12.4131
2020-06-18,-12.4131
2020-06-19,-12.4131
2020-06-20,-12.4131
2020-06-21,-12.4131
2020-06-22,-12.4131
2020-06-23,-12.4131
2020-06-24,-12.4131
2020-06-25,-12.4131
2020-06-26,-12.4131
2020-06-27,-12.4131
2020-06-28,-12.4131
2020-06-29,-12.4131
2020-06-30,-12.2246
2020-07-01,-12.2246
2020-07-02,-12.2246
2020-07-03,-12.2246
2020-07-04,-12.2246
2020-07-05,-12.2246
2020-07-06,-12.2246
2020-07-07,-12.2246
2020-07-08,-12.2246
2020-07-09,-12.2246
2020-07-10,-12.2246
2020-07-11,-12.2246
2020-07-12,-12.2246
2020-07-13,-12.2246
2020-07-14,-12.2246
2020-07-15,-12.2246
2020-07-16,-12.2246
2020-07-17,-12.2246
2020-07-18,-12.2246
2020-07-19,-12.2246
2020-07-20,-12.2246
2020-07-21,-12.2246
2020-07-22,-12.2246
2020-07-23,-12.2246
2020-07-24,-12.2246
2020-07-25,-12.2246
2020-07-26,-12.2246
2020-07-27,-12.2246
2020-07-28,-12.2246
2020-07-29,-12.2246
2020-07-30,-12.2246
2020-07-31,-12.2246
2020-08-01,-12.2246
2020-08-02,-12.2246
2020-08-03,-12.2246
2020-08-04,-12.2246
2020-08-05,-12.2246
2020-08-06,-12.2246
2020-08-07,-12.2246
2020-08-08,-12.2246
2020-08-09,-12.2246
2020-08-10,-12.2246
2020-08-11,-12.2246
2020-08-12,-12.2246
2020-08-13,-12.2246
2020-08-14,-12.2246
2020-08-15,-12.2246
2020-08-16,-12.2246
2020-08-17,-12.2246
2020-08-18,-12.2246
2020-08-19,-12.2246
2020-08-20,-12.2246
2020-08-21,-12.2246
2020-08-22,-12.2246
2020-08-23,-12.2246
2020-08-24,-12.2246
2020-08-25,-12.2246
2020-08-26,-12.2246
2020-08-27,-12.2246
2020-08-28,-12.2246
2020-08-29,-12.2246
2020-08-30,-12.2246
2020-08-31,-12.2246
2020-09-01,-12.2246
2020-09-02,-12.2246
2020-09-03,-12.2246
2020-09-04,-12.2246
2020-09-05,-12.2246
2020-09-06,-12.2246
2020-09-07,-12.2246
2020-09-08,-12.2246
2020-09-09,-12.2246
2020-09-10,-12.2246
2020-09-11,-12.2246
2020-09-12,-12.2246
2020-09-13,-12.2246
2020-09-14,-12.2246
2020-09-15,-12.2246
2020-09-16,-12.2246
2020-09-17,-12.2246
2020-09-18,-12.2246
2020-09-19,-12.2246
2020-09-20,-12.2246
2020-09-21,-12.2246
2020-09-22,-12.2246
2020-09-23,-12.2246
2020-09-24,-12.2246
2020-09-25,-12.2246
2020-09-26,-12.2246
2020-09-27,-12.2246
2020-09-28,-12.2246
2020-09-29,-12.2246
2020-09-30,-11.111
2020-10-01,-11.111
2020-10-02,-11.111
2020-10-03,-11.111
2020-10-04,-11.111
2020-10-05,-11.111
2020-10-06,-11.111
2020-10-07,-11.111
2020-10-08,-11.111
2020-10-09,-11.111
2020-10-10,-11.111
2020-10-11,-11.111
2020-10-12,-11.111
2020-10-13,-11.111
2020-10-14,-11.111
2020-10-15,-11.111
2020-10-16,-11.111
2020-10-17,-11.111
2020-10-18,-11.111
2020-10-19,-11.111
2020-10-20,-11.111
2020-10-21,-11.111
2020-10-22,-11.111
2020-10-23,-11.111
2020-10-24,-11.111
2020-10-25,-11.111
2020-10-26,-11.111
2020-10-27,-11.111
2020-10-28,-11.111
2020-10-29,-11.111
2020-10-30,-11.111
2020-10-31,-11.111
2020-11-01,-11.111
2020-11-02,-11.111
2020-11-03,-11.111
2020-11-04,-11.111
2020-11-05,-11.111
2020-11-06,-11.111
2020-11-07,-11.111
2020-11-08,-11.111
2020-11-09,-11.111
2020-11-10,-11.111
2020-11-11,-11.111
2020-11-12,-11.111
2020-11-13,-11.111
2020-11-14,-11.111
2020-11-15,-11.111
2020-11-16,-11.111
2020-11-17,-11.111
2020-11-18,-11.111
2020-11-19,-11.111
2020-11-20,-11.111
2020-11-21,-11.111
2020-11-22,-11.111
2020-11-23,-11.111
2020-11-24,-11.111
2020-11-25,-11.111
2020-11-26,-11.111
2020-11-27,-11.111
2020-11-28,-11.111
2020-11-29,-11.111
2020-11-30,-11.111
2020-12-01,-11.111
2020-12-02,-11.111
2020-12-03,-11.111
2020-12-04,-11.111
2020-12-05,-11.111
2020-12-06,-11.111
2020-12-07,-11.111
2020-12-08,-11.111
2020-12-09,-11.111
2020-12-10,-11.111
2020-12-11,-11.111
2020-12-12,-11.111
2020-12-13,-11.111
2020-12-14,-11.111
2020-12-15,-11.111
2020-12-16,-11.111
2020-12-17,-11.111
2020-12-18,-11.111
2020-12-19,-11.111
2020-12-20,-11.111
2020-12-21,-11.111
2020-12-22,-11.111
2020-12-23,-11.111
2020-12-24,-11.111
2020-12-25,-11.111
2020-12-26,-11.111
2020-12-27,-11.111
2020-12-28,-11.111
2020-12-29,-11.111
2020-12-30,-11.111
2020-12-31,17.7756
2021-01-01,17.7756
2021-01-02,17.7756
2021-01-03,17.7756
2021-01-04,17.7756
2021-01-05,17.7756
2021-01-06,17.7756
2021-01-07,17.7756
2021-01-08,17.7756
2021-01-09,17.7756
2021-01-10,17.7756
2021-01-11,17.7756
2021-01-12,17.7756
2021-01-13,17.7756
2021-01-14,17.7756
2021-01-15,17.7756
2021-01-16,17.7756
2021-01-17,17.7756
2021-01-18,17.7756
2021-01-19,17.7756
2021-01-20,17.7756
2021-01-21,17.7756
2021-01-22,17.7756
2021-01-23,17.7756
2021-01-24,17.7756
2021-01-25,17.7756
2021-01-26,17.7756
2021-01-27,17.7756
2021-01-28,17.7756
2021-01-29,17.7756
2021-01-30,17.7756
2021-01-31,17.7756
2021-02-01,17.7756
2021-02-02,17.7756
2021-02-03,17.7756
2021-02-04,17.7756
2021-02-05,17.7756
2021-02-06,17.7756
2021-02-07,17.7756
2021-02-08,17.7756
2021-02-09,17.7756
2021-02-10,17.7756
2021-02-11,17.7756
2021-02-12,17.7756
2021-02-13,17.7756
2021-02-14,17.7756
2021-02-15,17.7756
2021-02-16,17.7756
2021-02-17,17.7756
2021-02-18,17.7756
2021-02-19,17.7756
2021-02-20,17.7756
2021-02-21,17.7756
2021-02-22,17.7756
2021-02-23,17.7756
2021-02-24,17.7756
2021-02-25,17.7756
2021-02-26,17.7756
2021-02-27,17.7756
2021-02-28,17.7756
2021-03-01,17.7756
2021-03-02,17.7756
2021-03-03,17.7756
2021-03-04,17.7756
2021-03-05,17.7756
2021-03-06,17.7756
2021-03-07,17.7756
2021-03-08,17.7756
2021-03-09,17.7756
2021-03-10,17.7756
2021-03-11,17.7756
2021-03-12,17.7756
2021-03-13,17.7756
2021-03-14,17.7756
2021-03-15,17.7756
2021-03-16,17.7756
2021-03-17,17.7756
2021-03-18,17.7756
2021-03-19,17.7756
2021-03-20,17.7756
2021-03-21,17.7756
2021-03-22,17.7756
2021-03-23,17.7756
2021-03-24,17.7756
2021-03-25,17.7756
2021-03-26,17.7756
2021-03-27,17.7756
2021-03-28,17.7756
2021-03-29,17.7756
2021-03-30,17.7756
2021-03-31,20.2501
2021-04-01,20.2501
2021-04-02,20.2501
2021-04-03,20.2501
2021-04-04,20.2501
2021-04-05,20.2501
2021-04-06,20.2501
2021-04-07,20.2501
2021-04-08,20.2501
2021-04-09,20.2501
2021-04-10,20.2501
2021-04-11,20.2501
2021-04-12,20.2501
2021-04-13,20.2501
2021-04-14,20.2501
2021-04-15,20.2501
2021-04-16,20.2501
2021-04-17,20.2501
2021-04-18,20.2501
2021-04-19,20.2501
2021-04-20,20.2501
2021-04-21,20.2501
2021-04-22,20.2501
2021-04-23,20.2501
2021-04-24,20.2501
2021-04-25,20.2501
2021-04-26,20.2501
2021-04-27,20.2501
2021-04-28,20.2501
2021-04-29,20.2501
2021-04-30,20.2501
2021-05-01,20.2501
2021-05-02,20.2501
2021-05-03,20.2501
2021-05-04,20.2501
2021-05-05,20.2501
2021-05-06,20.2501
2021-05-07,20.2501
2021-05-08,20.2501
2021-05-09,20.2501
2021-05-10,20.2501
2021-05-11,20.2501
2021-05-12,20.2501
2021-05-13,20.2501
2021-05-14,20.2501
2021-05-15,20.2501
2021-05-16,20.2501
2021-05-17,20.2501
2021-05-18,20.2501
2021-05-19,20.2501
2021-05-20,20.2501
2021-05-21,20.2501
2021-05-22,20.2501
2021-05-23,20.2501
2021-05-24,20.2501
2021-05-25,20.2501
2021-05-26,20.2501
2021-05-27,20.2501
2021-05-28,20.2501
2021-05-29,20.2501
2021-05-30,20.2501
2021-05-31,20.2501
2021-06-01,20.2501
2021-06-02,20.2501
2021-06-03,20.2501
2021-06-04,20.2501
2021-06-05,20.2501
2021-06-06,20.2501
2021-06-07,20.2501
2021-06-08,20.2501
2021-06-09,20.2501
2021-06-10,20.2501
2021-06-11,20.2501
2021-06-12,20.2501
2021-06-13,20.2501
2021-06-14,20.2501
2021-06-15,20.2501
2021-06-16,20.2501
