,DFS US Equity
,RETURN_COM_EQY
2020-01-01,26.5916
2020-01-02,26.5916
2020-01-03,26.5916
2020-01-04,26.5916
2020-01-05,26.5916
2020-01-06,26.5916
2020-01-07,26.5916
2020-01-08,26.5916
2020-01-09,26.5916
2020-01-10,26.5916
2020-01-11,26.5916
2020-01-12,26.5916
2020-01-13,26.5916
2020-01-14,26.5916
2020-01-15,26.5916
2020-01-16,26.5916
2020-01-17,26.5916
2020-01-18,26.5916
2020-01-19,26.5916
2020-01-20,26.5916
2020-01-21,26.5916
2020-01-22,26.5916
2020-01-23,26.5916
2020-01-24,26.5916
2020-01-25,26.5916
2020-01-26,26.5916
2020-01-27,26.5916
2020-01-28,26.5916
2020-01-29,26.5916
2020-01-30,26.5916
2020-01-31,26.5916
2020-02-01,26.5916
2020-02-02,26.5916
2020-02-03,26.5916
2020-02-04,26.5916
2020-02-05,26.5916
2020-02-06,26.5916
2020-02-07,26.5916
2020-02-08,26.5916
2020-02-09,26.5916
2020-02-10,26.5916
2020-02-11,26.5916
2020-02-12,26.5916
2020-02-13,26.5916
2020-02-14,26.5916
2020-02-15,26.5916
2020-02-16,26.5916
2020-02-17,26.5916
2020-02-18,26.5916
2020-02-19,26.5916
2020-02-20,26.5916
2020-02-21,26.5916
2020-02-22,26.5916
2020-02-23,26.5916
2020-02-24,26.5916
2020-02-25,26.5916
2020-02-26,26.5916
2020-02-27,26.5916
2020-02-28,26.5916
2020-02-29,26.5916
2020-03-01,26.5916
2020-03-02,26.5916
2020-03-03,26.5916
2020-03-04,26.5916
2020-03-05,26.5916
2020-03-06,26.5916
2020-03-07,26.5916
2020-03-08,26.5916
2020-03-09,26.5916
2020-03-10,26.5916
2020-03-11,26.5916
2020-03-12,26.5916
2020-03-13,26.5916
2020-03-14,26.5916
2020-03-15,26.5916
2020-03-16,26.5916
2020-03-17,26.5916
2020-03-18,26.5916
2020-03-19,26.5916
2020-03-20,26.5916
2020-03-21,26.5916
2020-03-22,26.5916
2020-03-23,26.5916
2020-03-24,26.5916
2020-03-25,26.5916
2020-03-26,26.5916
2020-03-27,26.5916
2020-03-28,26.5916
2020-03-29,26.5916
2020-03-30,26.5916
2020-03-31,21.4517
2020-04-01,21.4517
2020-04-02,21.4517
2020-04-03,21.4517
2020-04-04,21.4517
2020-04-05,21.4517
2020-04-06,21.4517
2020-04-07,21.4517
2020-04-08,21.4517
2020-04-09,21.4517
2020-04-10,21.4517
2020-04-11,21.4517
2020-04-12,21.4517
2020-04-13,21.4517
2020-04-14,21.4517
2020-04-15,21.4517
2020-04-16,21.4517
2020-04-17,21.4517
2020-04-18,21.4517
2020-04-19,21.4517
2020-04-20,21.4517
2020-04-21,21.4517
2020-04-22,21.4517
2020-04-23,21.4517
2020-04-24,21.4517
2020-04-25,21.4517
2020-04-26,21.4517
2020-04-27,21.4517
2020-04-28,21.4517
2020-04-29,21.4517
2020-04-30,21.4517
2020-05-01,21.4517
2020-05-02,21.4517
2020-05-03,21.4517
2020-05-04,21.4517
2020-05-05,21.4517
2020-05-06,21.4517
2020-05-07,21.4517
2020-05-08,21.4517
2020-05-09,21.4517
2020-05-10,21.4517
2020-05-11,21.4517
2020-05-12,21.4517
2020-05-13,21.4517
2020-05-14,21.4517
2020-05-15,21.4517
2020-05-16,21.4517
2020-05-17,21.4517
2020-05-18,21.4517
2020-05-19,21.4517
2020-05-20,21.4517
2020-05-21,21.4517
2020-05-22,21.4517
2020-05-23,21.4517
2020-05-24,21.4517
2020-05-25,21.4517
2020-05-26,21.4517
2020-05-27,21.4517
2020-05-28,21.4517
2020-05-29,21.4517
2020-05-30,21.4517
2020-05-31,21.4517
2020-06-01,21.4517
2020-06-02,21.4517
2020-06-03,21.4517
2020-06-04,21.4517
2020-06-05,21.4517
2020-06-06,21.4517
2020-06-07,21.4517
2020-06-08,21.4517
2020-06-09,21.4517
2020-06-10,21.4517
2020-06-11,21.4517
2020-06-12,21.4517
2020-06-13,21.4517
2020-06-14,21.4517
2020-06-15,21.4517
2020-06-16,21.4517
2020-06-17,21.4517
2020-06-18,21.4517
2020-06-19,21.4517
2020-06-20,21.4517
2020-06-21,21.4517
2020-06-22,21.4517
2020-06-23,21.4517
2020-06-24,21.4517
2020-06-25,21.4517
2020-06-26,21.4517
2020-06-27,21.4517
2020-06-28,21.4517
2020-06-29,21.4517
2020-06-30,10.2831
2020-07-01,10.2831
2020-07-02,10.2831
2020-07-03,10.2831
2020-07-04,10.2831
2020-07-05,10.2831
2020-07-06,10.2831
2020-07-07,10.2831
2020-07-08,10.2831
2020-07-09,10.2831
2020-07-10,10.2831
2020-07-11,10.2831
2020-07-12,10.2831
2020-07-13,10.2831
2020-07-14,10.2831
2020-07-15,10.2831
2020-07-16,10.2831
2020-07-17,10.2831
2020-07-18,10.2831
2020-07-19,10.2831
2020-07-20,10.2831
2020-07-21,10.2831
2020-07-22,10.2831
2020-07-23,10.2831
2020-07-24,10.2831
2020-07-25,10.2831
2020-07-26,10.2831
2020-07-27,10.2831
2020-07-28,10.2831
2020-07-29,10.2831
2020-07-30,10.2831
2020-07-31,10.2831
2020-08-01,10.2831
2020-08-02,10.2831
2020-08-03,10.2831
2020-08-04,10.2831
2020-08-05,10.2831
2020-08-06,10.2831
2020-08-07,10.2831
2020-08-08,10.2831
2020-08-09,10.2831
2020-08-10,10.2831
2020-08-11,10.2831
2020-08-12,10.2831
2020-08-13,10.2831
2020-08-14,10.2831
2020-08-15,10.2831
2020-08-16,10.2831
2020-08-17,10.2831
2020-08-18,10.2831
2020-08-19,10.2831
2020-08-20,10.2831
2020-08-21,10.2831
2020-08-22,10.2831
2020-08-23,10.2831
2020-08-24,10.2831
2020-08-25,10.2831
2020-08-26,10.2831
2020-08-27,10.2831
2020-08-28,10.2831
2020-08-29,10.2831
2020-08-30,10.2831
2020-08-31,10.2831
2020-09-01,10.2831
2020-09-02,10.2831
2020-09-03,10.2831
2020-09-04,10.2831
2020-09-05,10.2831
2020-09-06,10.2831
2020-09-07,10.2831
2020-09-08,10.2831
2020-09-09,10.2831
2020-09-10,10.2831
2020-09-11,10.2831
2020-09-12,10.2831
2020-09-13,10.2831
2020-09-14,10.2831
2020-09-15,10.2831
2020-09-16,10.2831
2020-09-17,10.2831
2020-09-18,10.2831
2020-09-19,10.2831
2020-09-20,10.2831
2020-09-21,10.2831
2020-09-22,10.2831
2020-09-23,10.2831
2020-09-24,10.2831
2020-09-25,10.2831
2020-09-26,10.2831
2020-09-27,10.2831
2020-09-28,10.2831
2020-09-29,10.2831
2020-09-30,9.9169
2020-10-01,9.9169
2020-10-02,9.9169
2020-10-03,9.9169
2020-10-04,9.9169
2020-10-05,9.9169
2020-10-06,9.9169
2020-10-07,9.9169
2020-10-08,9.9169
2020-10-09,9.9169
2020-10-10,9.9169
2020-10-11,9.9169
2020-10-12,9.9169
2020-10-13,9.9169
2020-10-14,9.9169
2020-10-15,9.9169
2020-10-16,9.9169
2020-10-17,9.9169
2020-10-18,9.9169
2020-10-19,9.9169
2020-10-20,9.9169
2020-10-21,9.9169
2020-10-22,9.9169
2020-10-23,9.9169
2020-10-24,9.9169
2020-10-25,9.9169
2020-10-26,9.9169
2020-10-27,9.9169
2020-10-28,9.9169
2020-10-29,9.9169
2020-10-30,9.9169
2020-10-31,9.9169
2020-11-01,9.9169
2020-11-02,9.9169
2020-11-03,9.9169
2020-11-04,9.9169
2020-11-05,9.9169
2020-11-06,9.9169
2020-11-07,9.9169
2020-11-08,9.9169
2020-11-09,9.9169
2020-11-10,9.9169
2020-11-11,9.9169
2020-11-12,9.9169
2020-11-13,9.9169
2020-11-14,9.9169
2020-11-15,9.9169
2020-11-16,9.9169
2020-11-17,9.9169
2020-11-18,9.9169
2020-11-19,9.9169
2020-11-20,9.9169
2020-11-21,9.9169
2020-11-22,9.9169
2020-11-23,9.9169
2020-11-24,9.9169
2020-11-25,9.9169
2020-11-26,9.9169
2020-11-27,9.9169
2020-11-28,9.9169
2020-11-29,9.9169
2020-11-30,9.9169
2020-12-01,9.9169
2020-12-02,9.9169
2020-12-03,9.9169
2020-12-04,9.9169
2020-12-05,9.9169
2020-12-06,9.9169
2020-12-07,9.9169
2020-12-08,9.9169
2020-12-09,9.9169
2020-12-10,9.9169
2020-12-11,9.9169
2020-12-12,9.9169
2020-12-13,9.9169
2020-12-14,9.9169
2020-12-15,9.9169
2020-12-16,9.9169
2020-12-17,9.9169
2020-12-18,9.9169
2020-12-19,9.9169
2020-12-20,9.9169
2020-12-21,9.9169
