,GPS US Equity
,RETURN_COM_EQY
2020-01-01,22.929
2020-01-02,22.929
2020-01-03,22.929
2020-01-04,22.929
2020-01-05,22.929
2020-01-06,22.929
2020-01-07,22.929
2020-01-08,22.929
2020-01-09,22.929
2020-01-10,22.929
2020-01-11,22.929
2020-01-12,22.929
2020-01-13,22.929
2020-01-14,22.929
2020-01-15,22.929
2020-01-16,22.929
2020-01-17,22.929
2020-01-18,22.929
2020-01-19,22.929
2020-01-20,22.929
2020-01-21,22.929
2020-01-22,22.929
2020-01-23,22.929
2020-01-24,22.929
2020-01-25,22.929
2020-01-26,22.929
2020-01-27,22.929
2020-01-28,22.929
2020-01-29,22.929
2020-01-30,22.929
2020-01-31,22.929
2020-02-01,10.2198
2020-02-02,10.2198
2020-02-03,10.2198
2020-02-04,10.2198
2020-02-05,10.2198
2020-02-06,10.2198
2020-02-07,10.2198
2020-02-08,10.2198
2020-02-09,10.2198
2020-02-10,10.2198
2020-02-11,10.2198
2020-02-12,10.2198
2020-02-13,10.2198
2020-02-14,10.2198
2020-02-15,10.2198
2020-02-16,10.2198
2020-02-17,10.2198
2020-02-18,10.2198
2020-02-19,10.2198
2020-02-20,10.2198
2020-02-21,10.2198
2020-02-22,10.2198
2020-02-23,10.2198
2020-02-24,10.2198
2020-02-25,10.2198
2020-02-26,10.2198
2020-02-27,10.2198
2020-02-28,10.2198
2020-02-29,10.2198
2020-03-01,10.2198
2020-03-02,10.2198
2020-03-03,10.2198
2020-03-04,10.2198
2020-03-05,10.2198
2020-03-06,10.2198
2020-03-07,10.2198
2020-03-08,10.2198
2020-03-09,10.2198
2020-03-10,10.2198
2020-03-11,10.2198
2020-03-12,10.2198
2020-03-13,10.2198
2020-03-14,10.2198
2020-03-15,10.2198
2020-03-16,10.2198
2020-03-17,10.2198
2020-03-18,10.2198
2020-03-19,10.2198
2020-03-20,10.2198
2020-03-21,10.2198
2020-03-22,10.2198
2020-03-23,10.2198
2020-03-24,10.2198
2020-03-25,10.2198
2020-03-26,10.2198
2020-03-27,10.2198
2020-03-28,10.2198
2020-03-29,10.2198
2020-03-30,10.2198
2020-03-31,10.2198
2020-04-01,10.2198
2020-04-02,10.2198
2020-04-03,10.2198
2020-04-04,10.2198
2020-04-05,10.2198
2020-04-06,10.2198
2020-04-07,10.2198
2020-04-08,10.2198
2020-04-09,10.2198
2020-04-10,10.2198
2020-04-11,10.2198
2020-04-12,10.2198
2020-04-13,10.2198
2020-04-14,10.2198
2020-04-15,10.2198
2020-04-16,10.2198
2020-04-17,10.2198
2020-04-18,10.2198
2020-04-19,10.2198
2020-04-20,10.2198
2020-04-21,10.2198
2020-04-22,10.2198
2020-04-23,10.2198
2020-04-24,10.2198
2020-04-25,10.2198
2020-04-26,10.2198
2020-04-27,10.2198
2020-04-28,10.2198
2020-04-29,10.2198
2020-04-30,10.2198
2020-05-01,10.2198
2020-05-02,-27.4457
2020-05-03,-27.4457
2020-05-04,-27.4457
2020-05-05,-27.4457
2020-05-06,-27.4457
2020-05-07,-27.4457
2020-05-08,-27.4457
2020-05-09,-27.4457
2020-05-10,-27.4457
2020-05-11,-27.4457
2020-05-12,-27.4457
2020-05-13,-27.4457
2020-05-14,-27.4457
2020-05-15,-27.4457
2020-05-16,-27.4457
2020-05-17,-27.4457
2020-05-18,-27.4457
2020-05-19,-27.4457
2020-05-20,-27.4457
2020-05-21,-27.4457
2020-05-22,-27.4457
2020-05-23,-27.4457
2020-05-24,-27.4457
2020-05-25,-27.4457
2020-05-26,-27.4457
2020-05-27,-27.4457
2020-05-28,-27.4457
2020-05-29,-27.4457
2020-05-30,-27.4457
2020-05-31,-27.4457
2020-06-01,-27.4457
2020-06-02,-27.4457
2020-06-03,-27.4457
2020-06-04,-27.4457
2020-06-05,-27.4457
2020-06-06,-27.4457
2020-06-07,-27.4457
2020-06-08,-27.4457
2020-06-09,-27.4457
2020-06-10,-27.4457
2020-06-11,-27.4457
2020-06-12,-27.4457
2020-06-13,-27.4457
2020-06-14,-27.4457
2020-06-15,-27.4457
2020-06-16,-27.4457
2020-06-17,-27.4457
2020-06-18,-27.4457
2020-06-19,-27.4457
2020-06-20,-27.4457
2020-06-21,-27.4457
2020-06-22,-27.4457
2020-06-23,-27.4457
2020-06-24,-27.4457
2020-06-25,-27.4457
2020-06-26,-27.4457
2020-06-27,-27.4457
2020-06-28,-27.4457
2020-06-29,-27.4457
2020-06-30,-27.4457
2020-07-01,-27.4457
2020-07-02,-27.4457
2020-07-03,-27.4457
2020-07-04,-27.4457
2020-07-05,-27.4457
2020-07-06,-27.4457
2020-07-07,-27.4457
2020-07-08,-27.4457
2020-07-09,-27.4457
2020-07-10,-27.4457
2020-07-11,-27.4457
2020-07-12,-27.4457
2020-07-13,-27.4457
2020-07-14,-27.4457
2020-07-15,-27.4457
2020-07-16,-27.4457
2020-07-17,-27.4457
2020-07-18,-27.4457
2020-07-19,-27.4457
2020-07-20,-27.4457
