,JWN US Equity
,RETURN_COM_EQY
2020-01-01,53.7488
2020-01-02,53.7488
2020-01-03,53.7488
2020-01-04,53.7488
2020-01-05,53.7488
2020-01-06,53.7488
2020-01-07,53.7488
2020-01-08,53.7488
2020-01-09,53.7488
2020-01-10,53.7488
2020-01-11,53.7488
2020-01-12,53.7488
2020-01-13,53.7488
2020-01-14,53.7488
2020-01-15,53.7488
2020-01-16,53.7488
2020-01-17,53.7488
2020-01-18,53.7488
2020-01-19,53.7488
2020-01-20,53.7488
2020-01-21,53.7488
2020-01-22,53.7488
2020-01-23,53.7488
2020-01-24,53.7488
2020-01-25,53.7488
2020-01-26,53.7488
2020-01-27,53.7488
2020-01-28,53.7488
2020-01-29,53.7488
2020-01-30,53.7488
2020-01-31,53.7488
2020-02-01,53.6717
2020-02-02,53.6717
2020-02-03,53.6717
2020-02-04,53.6717
2020-02-05,53.6717
2020-02-06,53.6717
2020-02-07,53.6717
2020-02-08,53.6717
2020-02-09,53.6717
2020-02-10,53.6717
2020-02-11,53.6717
2020-02-12,53.6717
2020-02-13,53.6717
2020-02-14,53.6717
2020-02-15,53.6717
2020-02-16,53.6717
2020-02-17,53.6717
2020-02-18,53.6717
2020-02-19,53.6717
2020-02-20,53.6717
2020-02-21,53.6717
2020-02-22,53.6717
2020-02-23,53.6717
2020-02-24,53.6717
2020-02-25,53.6717
2020-02-26,53.6717
2020-02-27,53.6717
2020-02-28,53.6717
2020-02-29,53.6717
2020-03-01,53.6717
2020-03-02,53.6717
2020-03-03,53.6717
2020-03-04,53.6717
2020-03-05,53.6717
2020-03-06,53.6717
2020-03-07,53.6717
2020-03-08,53.6717
2020-03-09,53.6717
2020-03-10,53.6717
2020-03-11,53.6717
2020-03-12,53.6717
2020-03-13,53.6717
2020-03-14,53.6717
2020-03-15,53.6717
2020-03-16,53.6717
2020-03-17,53.6717
2020-03-18,53.6717
2020-03-19,53.6717
2020-03-20,53.6717
2020-03-21,53.6717
2020-03-22,53.6717
2020-03-23,53.6717
2020-03-24,53.6717
2020-03-25,53.6717
2020-03-26,53.6717
2020-03-27,53.6717
2020-03-28,53.6717
2020-03-29,53.6717
2020-03-30,53.6717
2020-03-31,53.6717
2020-04-01,53.6717
2020-04-02,53.6717
2020-04-03,53.6717
2020-04-04,53.6717
2020-04-05,53.6717
2020-04-06,53.6717
2020-04-07,53.6717
2020-04-08,53.6717
2020-04-09,53.6717
2020-04-10,53.6717
2020-04-11,53.6717
2020-04-12,53.6717
2020-04-13,53.6717
2020-04-14,53.6717
2020-04-15,53.6717
2020-04-16,53.6717
2020-04-17,53.6717
2020-04-18,53.6717
2020-04-19,53.6717
2020-04-20,53.6717
2020-04-21,53.6717
2020-04-22,53.6717
2020-04-23,53.6717
2020-04-24,53.6717
2020-04-25,53.6717
2020-04-26,53.6717
2020-04-27,53.6717
2020-04-28,53.6717
2020-04-29,53.6717
2020-04-30,53.6717
2020-05-01,53.6717
2020-05-02,-11.6412
2020-05-03,-11.6412
2020-05-04,-11.6412
2020-05-05,-11.6412
2020-05-06,-11.6412
2020-05-07,-11.6412
2020-05-08,-11.6412
2020-05-09,-11.6412
2020-05-10,-11.6412
2020-05-11,-11.6412
2020-05-12,-11.6412
2020-05-13,-11.6412
2020-05-14,-11.6412
2020-05-15,-11.6412
2020-05-16,-11.6412
2020-05-17,-11.6412
2020-05-18,-11.6412
2020-05-19,-11.6412
2020-05-20,-11.6412
2020-05-21,-11.6412
2020-05-22,-11.6412
2020-05-23,-11.6412
2020-05-24,-11.6412
2020-05-25,-11.6412
2020-05-26,-11.6412
2020-05-27,-11.6412
2020-05-28,-11.6412
2020-05-29,-11.6412
2020-05-30,-11.6412
2020-05-31,-11.6412
2020-06-01,-11.6412
2020-06-02,-11.6412
2020-06-03,-11.6412
2020-06-04,-11.6412
2020-06-05,-11.6412
2020-06-06,-11.6412
2020-06-07,-11.6412
2020-06-08,-11.6412
2020-06-09,-11.6412
2020-06-10,-11.6412
2020-06-11,-11.6412
2020-06-12,-11.6412
2020-06-13,-11.6412
2020-06-14,-11.6412
2020-06-15,-11.6412
2020-06-16,-11.6412
2020-06-17,-11.6412
2020-06-18,-11.6412
2020-06-19,-11.6412
2020-06-20,-11.6412
2020-06-21,-11.6412
2020-06-22,-11.6412
2020-06-23,-11.6412
2020-06-24,-11.6412
2020-06-25,-11.6412
2020-06-26,-11.6412
2020-06-27,-11.6412
2020-06-28,-11.6412
2020-06-29,-11.6412
2020-06-30,-11.6412
2020-07-01,-11.6412
2020-07-02,-11.6412
2020-07-03,-11.6412
2020-07-04,-11.6412
2020-07-05,-11.6412
2020-07-06,-11.6412
2020-07-07,-11.6412
2020-07-08,-11.6412
2020-07-09,-11.6412
2020-07-10,-11.6412
2020-07-11,-11.6412
2020-07-12,-11.6412
2020-07-13,-11.6412
2020-07-14,-11.6412
2020-07-15,-11.6412
2020-07-16,-11.6412
2020-07-17,-11.6412
2020-07-18,-11.6412
2020-07-19,-11.6412
2020-07-20,-11.6412
2020-07-21,-11.6412
2020-07-22,-11.6412
2020-07-23,-11.6412
2020-07-24,-11.6412
2020-07-25,-11.6412
2020-07-26,-11.6412
2020-07-27,-11.6412
2020-07-28,-11.6412
2020-07-29,-11.6412
2020-07-30,-11.6412
2020-07-31,-11.6412
2020-08-01,-97.9636
2020-08-02,-97.9636
2020-08-03,-97.9636
2020-08-04,-97.9636
2020-08-05,-97.9636
2020-08-06,-97.9636
2020-08-07,-97.9636
2020-08-08,-97.9636
2020-08-09,-97.9636
2020-08-10,-97.9636
2020-08-11,-97.9636
2020-08-12,-97.9636
2020-08-13,-97.9636
2020-08-14,-97.9636
2020-08-15,-97.9636
2020-08-16,-97.9636
2020-08-17,-97.9636
2020-08-18,-97.9636
2020-08-19,-97.9636
2020-08-20,-97.9636
2020-08-21,-97.9636
2020-08-22,-97.9636
2020-08-23,-97.9636
2020-08-24,-97.9636
2020-08-25,-97.9636
2020-08-26,-97.9636
2020-08-27,-97.9636
2020-08-28,-97.9636
2020-08-29,-97.9636
2020-08-30,-97.9636
2020-08-31,-97.9636
2020-09-01,-97.9636
2020-09-02,-97.9636
2020-09-03,-97.9636
2020-09-04,-97.9636
2020-09-05,-97.9636
2020-09-06,-97.9636
2020-09-07,-97.9636
2020-09-08,-97.9636
2020-09-09,-97.9636
2020-09-10,-97.9636
2020-09-11,-97.9636
2020-09-12,-97.9636
2020-09-13,-97.9636
2020-09-14,-97.9636
2020-09-15,-97.9636
2020-09-16,-97.9636
2020-09-17,-97.9636
2020-09-18,-97.9636
2020-09-19,-97.9636
2020-09-20,-97.9636
2020-09-21,-97.9636
2020-09-22,-97.9636
2020-09-23,-97.9636
2020-09-24,-97.9636
2020-09-25,-97.9636
2020-09-26,-97.9636
2020-09-27,-97.9636
2020-09-28,-97.9636
2020-09-29,-97.9636
2020-09-30,-97.9636
2020-10-01,-97.9636
2020-10-02,-97.9636
2020-10-03,-97.9636
2020-10-04,-97.9636
2020-10-05,-97.9636
2020-10-06,-97.9636
2020-10-07,-97.9636
2020-10-08,-97.9636
2020-10-09,-97.9636
2020-10-10,-97.9636
2020-10-11,-97.9636
2020-10-12,-97.9636
2020-10-13,-97.9636
2020-10-14,-97.9636
2020-10-15,-97.9636
2020-10-16,-97.9636
2020-10-17,-97.9636
2020-10-18,-97.9636
2020-10-19,-97.9636
2020-10-20,-97.9636
2020-10-21,-97.9636
2020-10-22,-97.9636
2020-10-23,-97.9636
2020-10-24,-97.9636
2020-10-25,-97.9636
2020-10-26,-97.9636
2020-10-27,-97.9636
2020-10-28,-97.9636
2020-10-29,-97.9636
2020-10-30,-97.9636
2020-10-31,-96.1015
2020-11-01,-96.1015
2020-11-02,-96.1015
2020-11-03,-96.1015
2020-11-04,-96.1015
2020-11-05,-96.1015
2020-11-06,-96.1015
2020-11-07,-96.1015
2020-11-08,-96.1015
2020-11-09,-96.1015
2020-11-10,-96.1015
2020-11-11,-96.1015
2020-11-12,-96.1015
2020-11-13,-96.1015
2020-11-14,-96.1015
2020-11-15,-96.1015
2020-11-16,-96.1015
2020-11-17,-96.1015
2020-11-18,-96.1015
2020-11-19,-96.1015
2020-11-20,-96.1015
2020-11-21,-96.1015
2020-11-22,-96.1015
2020-11-23,-96.1015
2020-11-24,-96.1015
2020-11-25,-96.1015
2020-11-26,-96.1015
2020-11-27,-96.1015
2020-11-28,-96.1015
2020-11-29,-96.1015
2020-11-30,-96.1015
2020-12-01,-96.1015
2020-12-02,-96.1015
2020-12-03,-96.1015
2020-12-04,-96.1015
2020-12-05,-96.1015
2020-12-06,-96.1015
2020-12-07,-96.1015
2020-12-08,-96.1015
2020-12-09,-96.1015
2020-12-10,-96.1015
2020-12-11,-96.1015
2020-12-12,-96.1015
2020-12-13,-96.1015
2020-12-14,-96.1015
2020-12-15,-96.1015
2020-12-16,-96.1015
2020-12-17,-96.1015
2020-12-18,-96.1015
2020-12-19,-96.1015
2020-12-20,-96.1015
2020-12-21,-96.1015
2020-12-22,-96.1015
2020-12-23,-96.1015
2020-12-24,-96.1015
2020-12-25,-96.1015
2020-12-26,-96.1015
2020-12-27,-96.1015
2020-12-28,-96.1015
2020-12-29,-96.1015
2020-12-30,-96.1015
2020-12-31,-96.1015
2021-01-01,-96.1015
2021-01-02,-96.1015
2021-01-03,-96.1015
2021-01-04,-96.1015
2021-01-05,-96.1015
2021-01-06,-96.1015
2021-01-07,-96.1015
2021-01-08,-96.1015
2021-01-09,-96.1015
2021-01-10,-96.1015
2021-01-11,-96.1015
2021-01-12,-96.1015
2021-01-13,-96.1015
2021-01-14,-96.1015
2021-01-15,-96.1015
2021-01-16,-96.1015
2021-01-17,-96.1015
2021-01-18,-96.1015
2021-01-19,-96.1015
2021-01-20,-96.1015
2021-01-21,-96.1015
2021-01-22,-96.1015
2021-01-23,-96.1015
2021-01-24,-96.1015
2021-01-25,-96.1015
2021-01-26,-96.1015
2021-01-27,-96.1015
2021-01-28,-96.1015
2021-01-29,-96.1015
2021-01-30,-107.4766
2021-01-31,-107.4766
2021-02-01,-107.4766
2021-02-02,-107.4766
2021-02-03,-107.4766
2021-02-04,-107.4766
2021-02-05,-107.4766
2021-02-06,-107.4766
2021-02-07,-107.4766
2021-02-08,-107.4766
2021-02-09,-107.4766
2021-02-10,-107.4766
2021-02-11,-107.4766
2021-02-12,-107.4766
2021-02-13,-107.4766
2021-02-14,-107.4766
2021-02-15,-107.4766
2021-02-16,-107.4766
2021-02-17,-107.4766
2021-02-18,-107.4766
2021-02-19,-107.4766
2021-02-20,-107.4766
2021-02-21,-107.4766
2021-02-22,-107.4766
2021-02-23,-107.4766
2021-02-24,-107.4766
2021-02-25,-107.4766
2021-02-26,-107.4766
2021-02-27,-107.4766
2021-02-28,-107.4766
2021-03-01,-107.4766
2021-03-02,-107.4766
2021-03-03,-107.4766
2021-03-04,-107.4766
2021-03-05,-107.4766
2021-03-06,-107.4766
2021-03-07,-107.4766
2021-03-08,-107.4766
2021-03-09,-107.4766
2021-03-10,-107.4766
2021-03-11,-107.4766
2021-03-12,-107.4766
2021-03-13,-107.4766
2021-03-14,-107.4766
2021-03-15,-107.4766
2021-03-16,-107.4766
2021-03-17,-107.4766
2021-03-18,-107.4766
2021-03-19,-107.4766
2021-03-20,-107.4766
2021-03-21,-107.4766
2021-03-22,-107.4766
2021-03-23,-107.4766
2021-03-24,-107.4766
2021-03-25,-107.4766
2021-03-26,-107.4766
2021-03-27,-107.4766
2021-03-28,-107.4766
2021-03-29,-107.4766
2021-03-30,-107.4766
2021-03-31,-107.4766
2021-04-01,-107.4766
2021-04-02,-107.4766
