,IBM US Equity
,RETURN_COM_EQY
2020-01-01,50.1209
2020-01-02,50.1209
2020-01-03,50.1209
2020-01-04,50.1209
2020-01-05,50.1209
2020-01-06,50.1209
2020-01-07,50.1209
2020-01-08,50.1209
2020-01-09,50.1209
2020-01-10,50.1209
2020-01-11,50.1209
2020-01-12,50.1209
2020-01-13,50.1209
2020-01-14,50.1209
2020-01-15,50.1209
2020-01-16,50.1209
2020-01-17,50.1209
2020-01-18,50.1209
2020-01-19,50.1209
2020-01-20,50.1209
2020-01-21,50.1209
2020-01-22,50.1209
2020-01-23,50.1209
2020-01-24,50.1209
2020-01-25,50.1209
2020-01-26,50.1209
2020-01-27,50.1209
2020-01-28,50.1209
2020-01-29,50.1209
2020-01-30,50.1209
2020-01-31,50.1209
2020-02-01,50.1209
2020-02-02,50.1209
2020-02-03,50.1209
2020-02-04,50.1209
2020-02-05,50.1209
2020-02-06,50.1209
2020-02-07,50.1209
2020-02-08,50.1209
2020-02-09,50.1209
2020-02-10,50.1209
2020-02-11,50.1209
2020-02-12,50.1209
2020-02-13,50.1209
2020-02-14,50.1209
2020-02-15,50.1209
2020-02-16,50.1209
2020-02-17,50.1209
2020-02-18,50.1209
2020-02-19,50.1209
2020-02-20,50.1209
2020-02-21,50.1209
2020-02-22,50.1209
2020-02-23,50.1209
2020-02-24,50.1209
2020-02-25,50.1209
2020-02-26,50.1209
2020-02-27,50.1209
2020-02-28,50.1209
2020-02-29,50.1209
2020-03-01,50.1209
2020-03-02,50.1209
2020-03-03,50.1209
2020-03-04,50.1209
2020-03-05,50.1209
2020-03-06,50.1209
2020-03-07,50.1209
2020-03-08,50.1209
2020-03-09,50.1209
2020-03-10,50.1209
2020-03-11,50.1209
2020-03-12,50.1209
2020-03-13,50.1209
2020-03-14,50.1209
2020-03-15,50.1209
2020-03-16,50.1209
2020-03-17,50.1209
2020-03-18,50.1209
2020-03-19,50.1209
2020-03-20,50.1209
2020-03-21,50.1209
