,WMS US Equity
,RETURN_COM_EQY
2020-01-01,-59.0939
2020-01-02,-59.0939
2020-01-03,-59.0939
2020-01-04,-59.0939
2020-01-05,-59.0939
2020-01-06,-59.0939
2020-01-07,-59.0939
2020-01-08,-59.0939
2020-01-09,-59.0939
2020-01-10,-59.0939
2020-01-11,-59.0939
2020-01-12,-59.0939
2020-01-13,-59.0939
2020-01-14,-59.0939
2020-01-15,-59.0939
2020-01-16,-59.0939
2020-01-17,-59.0939
2020-01-18,-59.0939
2020-01-19,-59.0939
2020-01-20,-59.0939
2020-01-21,-59.0939
2020-01-22,-59.0939
2020-01-23,-59.0939
2020-01-24,-59.0939
2020-01-25,-59.0939
2020-01-26,-59.0939
2020-01-27,-59.0939
2020-01-28,-59.0939
2020-01-29,-59.0939
2020-01-30,-59.0939
2020-01-31,-59.0939
2020-02-01,-59.0939
2020-02-02,-59.0939
2020-02-03,-59.0939
2020-02-04,-59.0939
2020-02-05,-59.0939
2020-02-06,-59.0939
2020-02-07,-59.0939
2020-02-08,-59.0939
2020-02-09,-59.0939
2020-02-10,-59.0939
2020-02-11,-59.0939
2020-02-12,-59.0939
2020-02-13,-59.0939
2020-02-14,-59.0939
2020-02-15,-59.0939
2020-02-16,-59.0939
2020-02-17,-59.0939
2020-02-18,-59.0939
2020-02-19,-59.0939
2020-02-20,-59.0939
2020-02-21,-59.0939
2020-02-22,-59.0939
2020-02-23,-59.0939
2020-02-24,-59.0939
2020-02-25,-59.0939
2020-02-26,-59.0939
2020-02-27,-59.0939
2020-02-28,-59.0939
2020-02-29,-59.0939
2020-03-01,-59.0939
2020-03-02,-59.0939
2020-03-03,-59.0939
2020-03-04,-59.0939
2020-03-05,-59.0939
2020-03-06,-59.0939
2020-03-07,-59.0939
2020-03-08,-59.0939
2020-03-09,-59.0939
2020-03-10,-59.0939
2020-03-11,-59.0939
2020-03-12,-59.0939
2020-03-13,-59.0939
2020-03-14,-59.0939
2020-03-15,-59.0939
2020-03-16,-59.0939
2020-03-17,-59.0939
2020-03-18,-59.0939
2020-03-19,-59.0939
2020-03-20,-59.0939
2020-03-21,-59.0939
2020-03-22,-59.0939
2020-03-23,-59.0939
2020-03-24,-59.0939
2020-03-25,-59.0939
2020-03-26,-59.0939
2020-03-27,-59.0939
2020-03-28,-59.0939
2020-03-29,-59.0939
2020-03-30,-59.0939
2020-03-31,-58.6151
2020-04-01,-58.6151
2020-04-02,-58.6151
2020-04-03,-58.6151
2020-04-04,-58.6151
2020-04-05,-58.6151
2020-04-06,-58.6151
2020-04-07,-58.6151
2020-04-08,-58.6151
2020-04-09,-58.6151
2020-04-10,-58.6151
2020-04-11,-58.6151
2020-04-12,-58.6151
2020-04-13,-58.6151
2020-04-14,-58.6151
2020-04-15,-58.6151
2020-04-16,-58.6151
2020-04-17,-58.6151
2020-04-18,-58.6151
2020-04-19,-58.6151
2020-04-20,-58.6151
2020-04-21,-58.6151
2020-04-22,-58.6151
2020-04-23,-58.6151
2020-04-24,-58.6151
2020-04-25,-58.6151
2020-04-26,-58.6151
2020-04-27,-58.6151
2020-04-28,-58.6151
2020-04-29,-58.6151
2020-04-30,-58.6151
2020-05-01,-58.6151
2020-05-02,-58.6151
2020-05-03,-58.6151
2020-05-04,-58.6151
2020-05-05,-58.6151
2020-05-06,-58.6151
2020-05-07,-58.6151
2020-05-08,-58.6151
2020-05-09,-58.6151
2020-05-10,-58.6151
2020-05-11,-58.6151
2020-05-12,-58.6151
2020-05-13,-58.6151
2020-05-14,-58.6151
2020-05-15,-58.6151
2020-05-16,-58.6151
2020-05-17,-58.6151
2020-05-18,-58.6151
2020-05-19,-58.6151
2020-05-20,-58.6151
2020-05-21,-58.6151
2020-05-22,-58.6151
2020-05-23,-58.6151
2020-05-24,-58.6151
2020-05-25,-58.6151
2020-05-26,-58.6151
2020-05-27,-58.6151
2020-05-28,-58.6151
2020-05-29,-58.6151
2020-05-30,-58.6151
2020-05-31,-58.6151
2020-06-01,-58.6151
2020-06-02,-58.6151
2020-06-03,-58.6151
2020-06-04,-58.6151
2020-06-05,-58.6151
2020-06-06,-58.6151
2020-06-07,-58.6151
2020-06-08,-58.6151
2020-06-09,-58.6151
2020-06-10,-58.6151
2020-06-11,-58.6151
2020-06-12,-58.6151
2020-06-13,-58.6151
2020-06-14,-58.6151
2020-06-15,-58.6151
2020-06-16,-58.6151
2020-06-17,-58.6151
2020-06-18,-58.6151
2020-06-19,-58.6151
2020-06-20,-58.6151
2020-06-21,-58.6151
2020-06-22,-58.6151
2020-06-23,-58.6151
2020-06-24,-58.6151
2020-06-25,-58.6151
2020-06-26,-58.6151
2020-06-27,-58.6151
2020-06-28,-58.6151
2020-06-29,-58.6151
2020-06-30,22.4195
2020-07-01,22.4195
2020-07-02,22.4195
2020-07-03,22.4195
2020-07-04,22.4195
2020-07-05,22.4195
2020-07-06,22.4195
2020-07-07,22.4195
2020-07-08,22.4195
2020-07-09,22.4195
2020-07-10,22.4195
2020-07-11,22.4195
2020-07-12,22.4195
2020-07-13,22.4195
2020-07-14,22.4195
2020-07-15,22.4195
2020-07-16,22.4195
2020-07-17,22.4195
2020-07-18,22.4195
2020-07-19,22.4195
2020-07-20,22.4195
2020-07-21,22.4195
2020-07-22,22.4195
2020-07-23,22.4195
2020-07-24,22.4195
2020-07-25,22.4195
2020-07-26,22.4195
2020-07-27,22.4195
2020-07-28,22.4195
2020-07-29,22.4195
2020-07-30,22.4195
2020-07-31,22.4195
2020-08-01,22.4195
2020-08-02,22.4195
2020-08-03,22.4195
2020-08-04,22.4195
2020-08-05,22.4195
2020-08-06,22.4195
2020-08-07,22.4195
2020-08-08,22.4195
2020-08-09,22.4195
2020-08-10,22.4195
2020-08-11,22.4195
2020-08-12,22.4195
2020-08-13,22.4195
2020-08-14,22.4195
2020-08-15,22.4195
2020-08-16,22.4195
2020-08-17,22.4195
2020-08-18,22.4195
2020-08-19,22.4195
2020-08-20,22.4195
2020-08-21,22.4195
2020-08-22,22.4195
2020-08-23,22.4195
2020-08-24,22.4195
2020-08-25,22.4195
2020-08-26,22.4195
2020-08-27,22.4195
2020-08-28,22.4195
2020-08-29,22.4195
2020-08-30,22.4195
2020-08-31,22.4195
2020-09-01,22.4195
2020-09-02,22.4195
2020-09-03,22.4195
2020-09-04,22.4195
2020-09-05,22.4195
2020-09-06,22.4195
2020-09-07,22.4195
2020-09-08,22.4195
2020-09-09,22.4195
2020-09-10,22.4195
2020-09-11,22.4195
2020-09-12,22.4195
2020-09-13,22.4195
2020-09-14,22.4195
2020-09-15,22.4195
2020-09-16,22.4195
2020-09-17,22.4195
2020-09-18,22.4195
2020-09-19,22.4195
2020-09-20,22.4195
2020-09-21,22.4195
2020-09-22,22.4195
2020-09-23,22.4195
2020-09-24,22.4195
2020-09-25,22.4195
2020-09-26,22.4195
2020-09-27,22.4195
2020-09-28,22.4195
2020-09-29,22.4195
2020-09-30,25.064
2020-10-01,25.064
2020-10-02,25.064
2020-10-03,25.064
2020-10-04,25.064
2020-10-05,25.064
2020-10-06,25.064
2020-10-07,25.064
2020-10-08,25.064
2020-10-09,25.064
2020-10-10,25.064
2020-10-11,25.064
2020-10-12,25.064
2020-10-13,25.064
2020-10-14,25.064
2020-10-15,25.064
2020-10-16,25.064
2020-10-17,25.064
2020-10-18,25.064
2020-10-19,25.064
2020-10-20,25.064
