,ON US Equity
,RETURN_COM_EQY
2020-01-01,6.5407
2020-01-02,6.5407
2020-01-03,6.5407
2020-01-04,6.5407
2020-01-05,6.5407
2020-01-06,6.5407
2020-01-07,6.5407
2020-01-08,6.5407
2020-01-09,6.5407
2020-01-10,6.5407
2020-01-11,6.5407
2020-01-12,6.5407
2020-01-13,6.5407
2020-01-14,6.5407
2020-01-15,6.5407
2020-01-16,6.5407
2020-01-17,6.5407
2020-01-18,6.5407
2020-01-19,6.5407
2020-01-20,6.5407
2020-01-21,6.5407
2020-01-22,6.5407
2020-01-23,6.5407
2020-01-24,6.5407
2020-01-25,6.5407
2020-01-26,6.5407
2020-01-27,6.5407
2020-01-28,6.5407
2020-01-29,6.5407
2020-01-30,6.5407
2020-01-31,6.5407
2020-02-01,6.5407
2020-02-02,6.5407
2020-02-03,6.5407
2020-02-04,6.5407
2020-02-05,6.5407
2020-02-06,6.5407
2020-02-07,6.5407
2020-02-08,6.5407
2020-02-09,6.5407
2020-02-10,6.5407
2020-02-11,6.5407
2020-02-12,6.5407
2020-02-13,6.5407
2020-02-14,6.5407
2020-02-15,6.5407
2020-02-16,6.5407
2020-02-17,6.5407
2020-02-18,6.5407
2020-02-19,6.5407
2020-02-20,6.5407
2020-02-21,6.5407
2020-02-22,6.5407
2020-02-23,6.5407
2020-02-24,6.5407
2020-02-25,6.5407
2020-02-26,6.5407
2020-02-27,6.5407
2020-02-28,6.5407
2020-02-29,6.5407
2020-03-01,6.5407
2020-03-02,6.5407
2020-03-03,6.5407
2020-03-04,6.5407
2020-03-05,6.5407
2020-03-06,6.5407
2020-03-07,6.5407
2020-03-08,6.5407
2020-03-09,6.5407
2020-03-10,6.5407
2020-03-11,6.5407
2020-03-12,6.5407
2020-03-13,6.5407
2020-03-14,6.5407
2020-03-15,6.5407
2020-03-16,6.5407
2020-03-17,6.5407
2020-03-18,6.5407
2020-03-19,6.5407
2020-03-20,6.5407
2020-03-21,6.5407
2020-03-22,6.5407
2020-03-23,6.5407
2020-03-24,6.5407
2020-03-25,6.5407
2020-03-26,6.5407
2020-03-27,6.5407
2020-03-28,6.5407
2020-03-29,6.5407
2020-03-30,6.5407
2020-03-31,6.5407
2020-04-01,6.5407
2020-04-02,6.5407
2020-04-03,2.6072
2020-04-04,2.6072
2020-04-05,2.6072
2020-04-06,2.6072
2020-04-07,2.6072
2020-04-08,2.6072
2020-04-09,2.6072
2020-04-10,2.6072
2020-04-11,2.6072
2020-04-12,2.6072
2020-04-13,2.6072
2020-04-14,2.6072
2020-04-15,2.6072
2020-04-16,2.6072
2020-04-17,2.6072
2020-04-18,2.6072
2020-04-19,2.6072
2020-04-20,2.6072
2020-04-21,2.6072
2020-04-22,2.6072
2020-04-23,2.6072
2020-04-24,2.6072
2020-04-25,2.6072
2020-04-26,2.6072
2020-04-27,2.6072
2020-04-28,2.6072
2020-04-29,2.6072
2020-04-30,2.6072
2020-05-01,2.6072
2020-05-02,2.6072
2020-05-03,2.6072
2020-05-04,2.6072
2020-05-05,2.6072
2020-05-06,2.6072
2020-05-07,2.6072
2020-05-08,2.6072
2020-05-09,2.6072
2020-05-10,2.6072
2020-05-11,2.6072
2020-05-12,2.6072
2020-05-13,2.6072
2020-05-14,2.6072
2020-05-15,2.6072
2020-05-16,2.6072
2020-05-17,2.6072
2020-05-18,2.6072
2020-05-19,2.6072
2020-05-20,2.6072
2020-05-21,2.6072
2020-05-22,2.6072
2020-05-23,2.6072
2020-05-24,2.6072
2020-05-25,2.6072
2020-05-26,2.6072
2020-05-27,2.6072
2020-05-28,2.6072
2020-05-29,2.6072
2020-05-30,2.6072
2020-05-31,2.6072
2020-06-01,2.6072
2020-06-02,2.6072
2020-06-03,2.6072
2020-06-04,2.6072
2020-06-05,2.6072
2020-06-06,2.6072
2020-06-07,2.6072
2020-06-08,2.6072
2020-06-09,2.6072
2020-06-10,2.6072
2020-06-11,2.6072
2020-06-12,2.6072
2020-06-13,2.6072
2020-06-14,2.6072
2020-06-15,2.6072
2020-06-16,2.6072
2020-06-17,2.6072
2020-06-18,2.6072
2020-06-19,2.6072
2020-06-20,2.6072
2020-06-21,2.6072
2020-06-22,2.6072
2020-06-23,2.6072
2020-06-24,2.6072
2020-06-25,2.6072
2020-06-26,2.6072
2020-06-27,2.6072
2020-06-28,2.6072
2020-06-29,2.6072
2020-06-30,2.6072
2020-07-01,2.6072
2020-07-02,2.6072
2020-07-03,-0.6021
2020-07-04,-0.6021
2020-07-05,-0.6021
2020-07-06,-0.6021
2020-07-07,-0.6021
2020-07-08,-0.6021
2020-07-09,-0.6021
2020-07-10,-0.6021
2020-07-11,-0.6021
2020-07-12,-0.6021
2020-07-13,-0.6021
2020-07-14,-0.6021
2020-07-15,-0.6021
2020-07-16,-0.6021
2020-07-17,-0.6021
2020-07-18,-0.6021
2020-07-19,-0.6021
2020-07-20,-0.6021
2020-07-21,-0.6021
2020-07-22,-0.6021
2020-07-23,-0.6021
2020-07-24,-0.6021
2020-07-25,-0.6021
2020-07-26,-0.6021
2020-07-27,-0.6021
2020-07-28,-0.6021
2020-07-29,-0.6021
2020-07-30,-0.6021
2020-07-31,-0.6021
2020-08-01,-0.6021
2020-08-02,-0.6021
2020-08-03,-0.6021
2020-08-04,-0.6021
2020-08-05,-0.6021
2020-08-06,-0.6021
2020-08-07,-0.6021
2020-08-08,-0.6021
2020-08-09,-0.6021
2020-08-10,-0.6021
2020-08-11,-0.6021
2020-08-12,-0.6021
2020-08-13,-0.6021
2020-08-14,-0.6021
2020-08-15,-0.6021
2020-08-16,-0.6021
2020-08-17,-0.6021
2020-08-18,-0.6021
2020-08-19,-0.6021
2020-08-20,-0.6021
2020-08-21,-0.6021
2020-08-22,-0.6021
2020-08-23,-0.6021
2020-08-24,-0.6021
2020-08-25,-0.6021
2020-08-26,-0.6021
2020-08-27,-0.6021
2020-08-28,-0.6021
2020-08-29,-0.6021
2020-08-30,-0.6021
2020-08-31,-0.6021
2020-09-01,-0.6021
2020-09-02,-0.6021
2020-09-03,-0.6021
2020-09-04,-0.6021
2020-09-05,-0.6021
2020-09-06,-0.6021
2020-09-07,-0.6021
2020-09-08,-0.6021
2020-09-09,-0.6021
2020-09-10,-0.6021
2020-09-11,-0.6021
2020-09-12,-0.6021
2020-09-13,-0.6021
2020-09-14,-0.6021
2020-09-15,-0.6021
2020-09-16,-0.6021
2020-09-17,-0.6021
2020-09-18,-0.6021
2020-09-19,-0.6021
2020-09-20,-0.6021
2020-09-21,-0.6021
2020-09-22,-0.6021
2020-09-23,-0.6021
2020-09-24,-0.6021
2020-09-25,-0.6021
2020-09-26,-0.6021
2020-09-27,-0.6021
2020-09-28,-0.6021
2020-09-29,-0.6021
2020-09-30,-0.6021
2020-10-01,-0.6021
2020-10-02,6.0765
2020-10-03,6.0765
2020-10-04,6.0765
2020-10-05,6.0765
2020-10-06,6.0765
2020-10-07,6.0765
2020-10-08,6.0765
2020-10-09,6.0765
2020-10-10,6.0765
2020-10-11,6.0765
2020-10-12,6.0765
2020-10-13,6.0765
2020-10-14,6.0765
2020-10-15,6.0765
2020-10-16,6.0765
2020-10-17,6.0765
