,MCO US Equity
,RETURN_COM_EQY
2020-01-01,265.5462
2020-01-02,265.5462
2020-01-03,265.5462
2020-01-04,265.5462
2020-01-05,265.5462
2020-01-06,265.5462
2020-01-07,265.5462
2020-01-08,265.5462
2020-01-09,265.5462
2020-01-10,265.5462
2020-01-11,265.5462
2020-01-12,265.5462
2020-01-13,265.5462
2020-01-14,265.5462
2020-01-15,265.5462
2020-01-16,265.5462
2020-01-17,265.5462
2020-01-18,265.5462
2020-01-19,265.5462
2020-01-20,265.5462
2020-01-21,265.5462
2020-01-22,265.5462
2020-01-23,265.5462
2020-01-24,265.5462
2020-01-25,265.5462
2020-01-26,265.5462
2020-01-27,265.5462
2020-01-28,265.5462
2020-01-29,265.5462
2020-01-30,265.5462
2020-01-31,265.5462
2020-02-01,265.5462
2020-02-02,265.5462
2020-02-03,265.5462
2020-02-04,265.5462
2020-02-05,265.5462
2020-02-06,265.5462
2020-02-07,265.5462
2020-02-08,265.5462
2020-02-09,265.5462
2020-02-10,265.5462
2020-02-11,265.5462
2020-02-12,265.5462
2020-02-13,265.5462
2020-02-14,265.5462
2020-02-15,265.5462
2020-02-16,265.5462
2020-02-17,265.5462
2020-02-18,265.5462
2020-02-19,265.5462
2020-02-20,265.5462
2020-02-21,265.5462
2020-02-22,265.5462
2020-02-23,265.5462
2020-02-24,265.5462
2020-02-25,265.5462
2020-02-26,265.5462
2020-02-27,265.5462
2020-02-28,265.5462
2020-02-29,265.5462
2020-03-01,265.5462
2020-03-02,265.5462
2020-03-03,265.5462
2020-03-04,265.5462
2020-03-05,265.5462
2020-03-06,265.5462
2020-03-07,265.5462
2020-03-08,265.5462
2020-03-09,265.5462
2020-03-10,265.5462
2020-03-11,265.5462
2020-03-12,265.5462
2020-03-13,265.5462
2020-03-14,265.5462
2020-03-15,265.5462
2020-03-16,265.5462
2020-03-17,265.5462
2020-03-18,265.5462
2020-03-19,265.5462
2020-03-20,265.5462
2020-03-21,265.5462
2020-03-22,265.5462
2020-03-23,265.5462
2020-03-24,265.5462
2020-03-25,265.5462
2020-03-26,265.5462
2020-03-27,265.5462
2020-03-28,265.5462
2020-03-29,265.5462
2020-03-30,265.5462
2020-03-31,435.9047
2020-04-01,435.9047
2020-04-02,435.9047
2020-04-03,435.9047
2020-04-04,435.9047
2020-04-05,435.9047
2020-04-06,435.9047
2020-04-07,435.9047
2020-04-08,435.9047
2020-04-09,435.9047
2020-04-10,435.9047
2020-04-11,435.9047
2020-04-12,435.9047
2020-04-13,435.9047
2020-04-14,435.9047
2020-04-15,435.9047
2020-04-16,435.9047
2020-04-17,435.9047
2020-04-18,435.9047
2020-04-19,435.9047
2020-04-20,435.9047
2020-04-21,435.9047
2020-04-22,435.9047
2020-04-23,435.9047
2020-04-24,435.9047
2020-04-25,435.9047
2020-04-26,435.9047
2020-04-27,435.9047
2020-04-28,435.9047
2020-04-29,435.9047
2020-04-30,435.9047
2020-05-01,435.9047
2020-05-02,435.9047
2020-05-03,435.9047
2020-05-04,435.9047
2020-05-05,435.9047
2020-05-06,435.9047
2020-05-07,435.9047
2020-05-08,435.9047
2020-05-09,435.9047
2020-05-10,435.9047
2020-05-11,435.9047
2020-05-12,435.9047
2020-05-13,435.9047
2020-05-14,435.9047
2020-05-15,435.9047
2020-05-16,435.9047
2020-05-17,435.9047
2020-05-18,435.9047
2020-05-19,435.9047
2020-05-20,435.9047
2020-05-21,435.9047
2020-05-22,435.9047
2020-05-23,435.9047
2020-05-24,435.9047
2020-05-25,435.9047
2020-05-26,435.9047
2020-05-27,435.9047
2020-05-28,435.9047
2020-05-29,435.9047
2020-05-30,435.9047
2020-05-31,435.9047
2020-06-01,435.9047
2020-06-02,435.9047
2020-06-03,435.9047
2020-06-04,435.9047
2020-06-05,435.9047
2020-06-06,435.9047
2020-06-07,435.9047
2020-06-08,435.9047
2020-06-09,435.9047
2020-06-10,435.9047
2020-06-11,435.9047
2020-06-12,435.9047
2020-06-13,435.9047
2020-06-14,435.9047
2020-06-15,435.9047
2020-06-16,435.9047
2020-06-17,435.9047
2020-06-18,435.9047
2020-06-19,435.9047
2020-06-20,435.9047
2020-06-21,435.9047
2020-06-22,435.9047
2020-06-23,435.9047
2020-06-24,435.9047
2020-06-25,435.9047
2020-06-26,435.9047
2020-06-27,435.9047
2020-06-28,435.9047
2020-06-29,435.9047
2020-06-30,249.1032
2020-07-01,249.1032
2020-07-02,249.1032
2020-07-03,249.1032
2020-07-04,249.1032
2020-07-05,249.1032
2020-07-06,249.1032
2020-07-07,249.1032
2020-07-08,249.1032
2020-07-09,249.1032
2020-07-10,249.1032
2020-07-11,249.1032
2020-07-12,249.1032
2020-07-13,249.1032
2020-07-14,249.1032
2020-07-15,249.1032
2020-07-16,249.1032
2020-07-17,249.1032
2020-07-18,249.1032
2020-07-19,249.1032
2020-07-20,249.1032
2020-07-21,249.1032
2020-07-22,249.1032
2020-07-23,249.1032
2020-07-24,249.1032
2020-07-25,249.1032
2020-07-26,249.1032
2020-07-27,249.1032
2020-07-28,249.1032
2020-07-29,249.1032
2020-07-30,249.1032
2020-07-31,249.1032
2020-08-01,249.1032
2020-08-02,249.1032
2020-08-03,249.1032
2020-08-04,249.1032
2020-08-05,249.1032
2020-08-06,249.1032
2020-08-07,249.1032
2020-08-08,249.1032
2020-08-09,249.1032
2020-08-10,249.1032
2020-08-11,249.1032
2020-08-12,249.1032
2020-08-13,249.1032
2020-08-14,249.1032
2020-08-15,249.1032
2020-08-16,249.1032
2020-08-17,249.1032
2020-08-18,249.1032
2020-08-19,249.1032
2020-08-20,249.1032
2020-08-21,249.1032
2020-08-22,249.1032
2020-08-23,249.1032
2020-08-24,249.1032
2020-08-25,249.1032
2020-08-26,249.1032
2020-08-27,249.1032
2020-08-28,249.1032
2020-08-29,249.1032
2020-08-30,249.1032
2020-08-31,249.1032
2020-09-01,249.1032
2020-09-02,249.1032
2020-09-03,249.1032
2020-09-04,249.1032
2020-09-05,249.1032
2020-09-06,249.1032
2020-09-07,249.1032
2020-09-08,249.1032
2020-09-09,249.1032
2020-09-10,249.1032
2020-09-11,249.1032
2020-09-12,249.1032
2020-09-13,249.1032
2020-09-14,249.1032
2020-09-15,249.1032
2020-09-16,249.1032
2020-09-17,249.1032
2020-09-18,249.1032
2020-09-19,249.1032
2020-09-20,249.1032
2020-09-21,249.1032
2020-09-22,249.1032
2020-09-23,249.1032
2020-09-24,249.1032
2020-09-25,249.1032
2020-09-26,249.1032
2020-09-27,249.1032
2020-09-28,249.1032
2020-09-29,249.1032
2020-09-30,185.1137
2020-10-01,185.1137
2020-10-02,185.1137
2020-10-03,185.1137
2020-10-04,185.1137
2020-10-05,185.1137
2020-10-06,185.1137
2020-10-07,185.1137
2020-10-08,185.1137
2020-10-09,185.1137
2020-10-10,185.1137
2020-10-11,185.1137
2020-10-12,185.1137
2020-10-13,185.1137
2020-10-14,185.1137
2020-10-15,185.1137
2020-10-16,185.1137
2020-10-17,185.1137
2020-10-18,185.1137
2020-10-19,185.1137
2020-10-20,185.1137
2020-10-21,185.1137
2020-10-22,185.1137
2020-10-23,185.1137
2020-10-24,185.1137
2020-10-25,185.1137
2020-10-26,185.1137
2020-10-27,185.1137
2020-10-28,185.1137
2020-10-29,185.1137
2020-10-30,185.1137
2020-10-31,185.1137
2020-11-01,185.1137
2020-11-02,185.1137
2020-11-03,185.1137
2020-11-04,185.1137
2020-11-05,185.1137
2020-11-06,185.1137
2020-11-07,185.1137
2020-11-08,185.1137
2020-11-09,185.1137
2020-11-10,185.1137
2020-11-11,185.1137
2020-11-12,185.1137
2020-11-13,185.1137
2020-11-14,185.1137
2020-11-15,185.1137
2020-11-16,185.1137
2020-11-17,185.1137
2020-11-18,185.1137
2020-11-19,185.1137
2020-11-20,185.1137
2020-11-21,185.1137
2020-11-22,185.1137
2020-11-23,185.1137
2020-11-24,185.1137
2020-11-25,185.1137
2020-11-26,185.1137
2020-11-27,185.1137
2020-11-28,185.1137
2020-11-29,185.1137
2020-11-30,185.1137
2020-12-01,185.1137
2020-12-02,185.1137
2020-12-03,185.1137
2020-12-04,185.1137
2020-12-05,185.1137
2020-12-06,185.1137
2020-12-07,185.1137
2020-12-08,185.1137
2020-12-09,185.1137
2020-12-10,185.1137
2020-12-11,185.1137
2020-12-12,185.1137
2020-12-13,185.1137
2020-12-14,185.1137
2020-12-15,185.1137
2020-12-16,185.1137
2020-12-17,185.1137
2020-12-18,185.1137
2020-12-19,185.1137
2020-12-20,185.1137
2020-12-21,185.1137
2020-12-22,185.1137
2020-12-23,185.1137
2020-12-24,185.1137
2020-12-25,185.1137
2020-12-26,185.1137
2020-12-27,185.1137
2020-12-28,185.1137
2020-12-29,185.1137
2020-12-30,185.1137
2020-12-31,163.0445
2021-01-01,163.0445
2021-01-02,163.0445
2021-01-03,163.0445
2021-01-04,163.0445
2021-01-05,163.0445
2021-01-06,163.0445
2021-01-07,163.0445
2021-01-08,163.0445
2021-01-09,163.0445
2021-01-10,163.0445
2021-01-11,163.0445
2021-01-12,163.0445
2021-01-13,163.0445
2021-01-14,163.0445
2021-01-15,163.0445
2021-01-16,163.0445
2021-01-17,163.0445
2021-01-18,163.0445
2021-01-19,163.0445
2021-01-20,163.0445
2021-01-21,163.0445
2021-01-22,163.0445
2021-01-23,163.0445
2021-01-24,163.0445
2021-01-25,163.0445
2021-01-26,163.0445
2021-01-27,163.0445
2021-01-28,163.0445
2021-01-29,163.0445
2021-01-30,163.0445
2021-01-31,163.0445
2021-02-01,163.0445
2021-02-02,163.0445
2021-02-03,163.0445
2021-02-04,163.0445
2021-02-05,163.0445
2021-02-06,163.0445
2021-02-07,163.0445
2021-02-08,163.0445
2021-02-09,163.0445
2021-02-10,163.0445
2021-02-11,163.0445
2021-02-12,163.0445
2021-02-13,163.0445
2021-02-14,163.0445
2021-02-15,163.0445
2021-02-16,163.0445
2021-02-17,163.0445
2021-02-18,163.0445
2021-02-19,163.0445
2021-02-20,163.0445
2021-02-21,163.0445
2021-02-22,163.0445
2021-02-23,163.0445
2021-02-24,163.0445
2021-02-25,163.0445
2021-02-26,163.0445
2021-02-27,163.0445
2021-02-28,163.0445
2021-03-01,163.0445
2021-03-02,163.0445
2021-03-03,163.0445
2021-03-04,163.0445
2021-03-05,163.0445
2021-03-06,163.0445
2021-03-07,163.0445
2021-03-08,163.0445
2021-03-09,163.0445
2021-03-10,163.0445
2021-03-11,163.0445
2021-03-12,163.0445
2021-03-13,163.0445
2021-03-14,163.0445
2021-03-15,163.0445
2021-03-16,163.0445
2021-03-17,163.0445
2021-03-18,163.0445
2021-03-19,163.0445
2021-03-20,163.0445
2021-03-21,163.0445
2021-03-22,163.0445
2021-03-23,163.0445
2021-03-24,163.0445
2021-03-25,163.0445
2021-03-26,163.0445
2021-03-27,163.0445
2021-03-28,163.0445
2021-03-29,163.0445
2021-03-30,163.0445
2021-03-31,155.1302
2021-04-01,155.1302
2021-04-02,155.1302
2021-04-03,155.1302
2021-04-04,155.1302
2021-04-05,155.1302
2021-04-06,155.1302
2021-04-07,155.1302
2021-04-08,155.1302
2021-04-09,155.1302
2021-04-10,155.1302
2021-04-11,155.1302
2021-04-12,155.1302
2021-04-13,155.1302
2021-04-14,155.1302
2021-04-15,155.1302
2021-04-16,155.1302
2021-04-17,155.1302
2021-04-18,155.1302
2021-04-19,155.1302
2021-04-20,155.1302
2021-04-21,155.1302
2021-04-22,155.1302
2021-04-23,155.1302
2021-04-24,155.1302
2021-04-25,155.1302
2021-04-26,155.1302
2021-04-27,155.1302
2021-04-28,155.1302
2021-04-29,155.1302
2021-04-30,155.1302
2021-05-01,155.1302
2021-05-02,155.1302
2021-05-03,155.1302
2021-05-04,155.1302
2021-05-05,155.1302
2021-05-06,155.1302
2021-05-07,155.1302
2021-05-08,155.1302
2021-05-09,155.1302
2021-05-10,155.1302
2021-05-11,155.1302
