,NVRI US Equity
,RETURN_COM_EQY
2020-01-01,99.8015
2020-01-02,99.8015
2020-01-03,99.8015
2020-01-04,99.8015
2020-01-05,99.8015
2020-01-06,99.8015
2020-01-07,99.8015
2020-01-08,99.8015
2020-01-09,99.8015
2020-01-10,99.8015
2020-01-11,99.8015
2020-01-12,99.8015
2020-01-13,99.8015
2020-01-14,99.8015
2020-01-15,99.8015
2020-01-16,99.8015
2020-01-17,99.8015
2020-01-18,99.8015
2020-01-19,99.8015
2020-01-20,99.8015
2020-01-21,99.8015
2020-01-22,99.8015
2020-01-23,99.8015
2020-01-24,99.8015
2020-01-25,99.8015
2020-01-26,99.8015
2020-01-27,99.8015
2020-01-28,99.8015
2020-01-29,99.8015
2020-01-30,99.8015
2020-01-31,99.8015
2020-02-01,99.8015
2020-02-02,99.8015
2020-02-03,99.8015
2020-02-04,99.8015
2020-02-05,99.8015
2020-02-06,99.8015
2020-02-07,99.8015
2020-02-08,99.8015
2020-02-09,99.8015
2020-02-10,99.8015
2020-02-11,99.8015
2020-02-12,99.8015
2020-02-13,99.8015
2020-02-14,99.8015
2020-02-15,99.8015
2020-02-16,99.8015
2020-02-17,99.8015
2020-02-18,99.8015
2020-02-19,99.8015
2020-02-20,99.8015
2020-02-21,99.8015
2020-02-22,99.8015
2020-02-23,99.8015
2020-02-24,99.8015
2020-02-25,99.8015
2020-02-26,99.8015
2020-02-27,99.8015
2020-02-28,99.8015
2020-02-29,99.8015
2020-03-01,99.8015
2020-03-02,99.8015
2020-03-03,99.8015
2020-03-04,99.8015
2020-03-05,99.8015
2020-03-06,99.8015
2020-03-07,99.8015
2020-03-08,99.8015
2020-03-09,99.8015
2020-03-10,99.8015
2020-03-11,99.8015
2020-03-12,99.8015
2020-03-13,99.8015
2020-03-14,99.8015
2020-03-15,99.8015
2020-03-16,99.8015
2020-03-17,99.8015
2020-03-18,99.8015
2020-03-19,99.8015
2020-03-20,99.8015
2020-03-21,99.8015
2020-03-22,99.8015
2020-03-23,99.8015
2020-03-24,99.8015
2020-03-25,99.8015
2020-03-26,99.8015
2020-03-27,99.8015
2020-03-28,99.8015
2020-03-29,99.8015
2020-03-30,99.8015
2020-03-31,96.8784
2020-04-01,96.8784
