,SCHW US Equity
,RETURN_COM_EQY
2020-01-01,19.2074
2020-01-02,19.2074
2020-01-03,19.2074
2020-01-04,19.2074
2020-01-05,19.2074
2020-01-06,19.2074
2020-01-07,19.2074
2020-01-08,19.2074
2020-01-09,19.2074
2020-01-10,19.2074
2020-01-11,19.2074
2020-01-12,19.2074
2020-01-13,19.2074
2020-01-14,19.2074
2020-01-15,19.2074
2020-01-16,19.2074
2020-01-17,19.2074
2020-01-18,19.2074
2020-01-19,19.2074
2020-01-20,19.2074
2020-01-21,19.2074
2020-01-22,19.2074
2020-01-23,19.2074
2020-01-24,19.2074
2020-01-25,19.2074
2020-01-26,19.2074
2020-01-27,19.2074
2020-01-28,19.2074
2020-01-29,19.2074
2020-01-30,19.2074
2020-01-31,19.2074
2020-02-01,19.2074
2020-02-02,19.2074
2020-02-03,19.2074
2020-02-04,19.2074
2020-02-05,19.2074
2020-02-06,19.2074
2020-02-07,19.2074
2020-02-08,19.2074
2020-02-09,19.2074
2020-02-10,19.2074
2020-02-11,19.2074
2020-02-12,19.2074
2020-02-13,19.2074
2020-02-14,19.2074
2020-02-15,19.2074
2020-02-16,19.2074
2020-02-17,19.2074
2020-02-18,19.2074
2020-02-19,19.2074
2020-02-20,19.2074
2020-02-21,19.2074
2020-02-22,19.2074
2020-02-23,19.2074
2020-02-24,19.2074
2020-02-25,19.2074
2020-02-26,19.2074
2020-02-27,19.2074
2020-02-28,19.2074
2020-02-29,19.2074
2020-03-01,19.2074
2020-03-02,19.2074
2020-03-03,19.2074
2020-03-04,19.2074
2020-03-05,19.2074
2020-03-06,19.2074
2020-03-07,19.2074
2020-03-08,19.2074
2020-03-09,19.2074
2020-03-10,19.2074
2020-03-11,19.2074
2020-03-12,19.2074
2020-03-13,19.2074
2020-03-14,19.2074
2020-03-15,19.2074
2020-03-16,19.2074
2020-03-17,19.2074
2020-03-18,19.2074
2020-03-19,19.2074
2020-03-20,19.2074
2020-03-21,19.2074
2020-03-22,19.2074
2020-03-23,19.2074
2020-03-24,19.2074
2020-03-25,19.2074
2020-03-26,19.2074
2020-03-27,19.2074
2020-03-28,19.2074
2020-03-29,19.2074
2020-03-30,19.2074
2020-03-31,15.9166
2020-04-01,15.9166
2020-04-02,15.9166
2020-04-03,15.9166
2020-04-04,15.9166
2020-04-05,15.9166
2020-04-06,15.9166
2020-04-07,15.9166
2020-04-08,15.9166
2020-04-09,15.9166
2020-04-10,15.9166
2020-04-11,15.9166
2020-04-12,15.9166
2020-04-13,15.9166
2020-04-14,15.9166
2020-04-15,15.9166
2020-04-16,15.9166
2020-04-17,15.9166
2020-04-18,15.9166
2020-04-19,15.9166
2020-04-20,15.9166
2020-04-21,15.9166
2020-04-22,15.9166
2020-04-23,15.9166
2020-04-24,15.9166
2020-04-25,15.9166
2020-04-26,15.9166
2020-04-27,15.9166
2020-04-28,15.9166
2020-04-29,15.9166
2020-04-30,15.9166
2020-05-01,15.9166
2020-05-02,15.9166
2020-05-03,15.9166
2020-05-04,15.9166
2020-05-05,15.9166
2020-05-06,15.9166
2020-05-07,15.9166
2020-05-08,15.9166
2020-05-09,15.9166
2020-05-10,15.9166
2020-05-11,15.9166
2020-05-12,15.9166
2020-05-13,15.9166
2020-05-14,15.9166
2020-05-15,15.9166
2020-05-16,15.9166
2020-05-17,15.9166
2020-05-18,15.9166
2020-05-19,15.9166
2020-05-20,15.9166
2020-05-21,15.9166
2020-05-22,15.9166
2020-05-23,15.9166
2020-05-24,15.9166
2020-05-25,15.9166
2020-05-26,15.9166
2020-05-27,15.9166
2020-05-28,15.9166
2020-05-29,15.9166
2020-05-30,15.9166
2020-05-31,15.9166
2020-06-01,15.9166
2020-06-02,15.9166
2020-06-03,15.9166
2020-06-04,15.9166
2020-06-05,15.9166
2020-06-06,15.9166
2020-06-07,15.9166
2020-06-08,15.9166
2020-06-09,15.9166
2020-06-10,15.9166
2020-06-11,15.9166
2020-06-12,15.9166
2020-06-13,15.9166
2020-06-14,15.9166
2020-06-15,15.9166
2020-06-16,15.9166
2020-06-17,15.9166
2020-06-18,15.9166
2020-06-19,15.9166
2020-06-20,15.9166
2020-06-21,15.9166
2020-06-22,15.9166
2020-06-23,15.9166
2020-06-24,15.9166
2020-06-25,15.9166
2020-06-26,15.9166
2020-06-27,15.9166
2020-06-28,15.9166
2020-06-29,15.9166
2020-06-30,14.0753
2020-07-01,14.0753
2020-07-02,14.0753
2020-07-03,14.0753
2020-07-04,14.0753
2020-07-05,14.0753
2020-07-06,14.0753
2020-07-07,14.0753
2020-07-08,14.0753
2020-07-09,14.0753
2020-07-10,14.0753
2020-07-11,14.0753
2020-07-12,14.0753
2020-07-13,14.0753
2020-07-14,14.0753
2020-07-15,14.0753
2020-07-16,14.0753
2020-07-17,14.0753
2020-07-18,14.0753
2020-07-19,14.0753
2020-07-20,14.0753
2020-07-21,14.0753
2020-07-22,14.0753
2020-07-23,14.0753
2020-07-24,14.0753
2020-07-25,14.0753
2020-07-26,14.0753
2020-07-27,14.0753
2020-07-28,14.0753
2020-07-29,14.0753
2020-07-30,14.0753
2020-07-31,14.0753
2020-08-01,14.0753
2020-08-02,14.0753
2020-08-03,14.0753
2020-08-04,14.0753
2020-08-05,14.0753
2020-08-06,14.0753
2020-08-07,14.0753
2020-08-08,14.0753
2020-08-09,14.0753
2020-08-10,14.0753
2020-08-11,14.0753
2020-08-12,14.0753
2020-08-13,14.0753
2020-08-14,14.0753
2020-08-15,14.0753
2020-08-16,14.0753
2020-08-17,14.0753
2020-08-18,14.0753
2020-08-19,14.0753
2020-08-20,14.0753
2020-08-21,14.0753
2020-08-22,14.0753
2020-08-23,14.0753
2020-08-24,14.0753
2020-08-25,14.0753
2020-08-26,14.0753
2020-08-27,14.0753
2020-08-28,14.0753
2020-08-29,14.0753
2020-08-30,14.0753
2020-08-31,14.0753
2020-09-01,14.0753
2020-09-02,14.0753
2020-09-03,14.0753
2020-09-04,14.0753
2020-09-05,14.0753
2020-09-06,14.0753
2020-09-07,14.0753
2020-09-08,14.0753
2020-09-09,14.0753
2020-09-10,14.0753
2020-09-11,14.0753
2020-09-12,14.0753
2020-09-13,14.0753
2020-09-14,14.0753
2020-09-15,14.0753
2020-09-16,14.0753
2020-09-17,14.0753
2020-09-18,14.0753
2020-09-19,14.0753
2020-09-20,14.0753
2020-09-21,14.0753
2020-09-22,14.0753
2020-09-23,14.0753
2020-09-24,14.0753
2020-09-25,14.0753
2020-09-26,14.0753
2020-09-27,14.0753
2020-09-28,14.0753
2020-09-29,14.0753
2020-09-30,12.5615
2020-10-01,12.5615
2020-10-02,12.5615
2020-10-03,12.5615
2020-10-04,12.5615
2020-10-05,12.5615
2020-10-06,12.5615
2020-10-07,12.5615
2020-10-08,12.5615
2020-10-09,12.5615
2020-10-10,12.5615
2020-10-11,12.5615
2020-10-12,12.5615
2020-10-13,12.5615
2020-10-14,12.5615
2020-10-15,12.5615
2020-10-16,12.5615
2020-10-17,12.5615
2020-10-18,12.5615
2020-10-19,12.5615
2020-10-20,12.5615
2020-10-21,12.5615
2020-10-22,12.5615
2020-10-23,12.5615
2020-10-24,12.5615
2020-10-25,12.5615
2020-10-26,12.5615
2020-10-27,12.5615
2020-10-28,12.5615
2020-10-29,12.5615
2020-10-30,12.5615
2020-10-31,12.5615
2020-11-01,12.5615
2020-11-02,12.5615
2020-11-03,12.5615
2020-11-04,12.5615
2020-11-05,12.5615
2020-11-06,12.5615
2020-11-07,12.5615
2020-11-08,12.5615
2020-11-09,12.5615
2020-11-10,12.5615
2020-11-11,12.5615
2020-11-12,12.5615
2020-11-13,12.5615
2020-11-14,12.5615
2020-11-15,12.5615
2020-11-16,12.5615
2020-11-17,12.5615
2020-11-18,12.5615
2020-11-19,12.5615
2020-11-20,12.5615
2020-11-21,12.5615
2020-11-22,12.5615
2020-11-23,12.5615
2020-11-24,12.5615
2020-11-25,12.5615
2020-11-26,12.5615
2020-11-27,12.5615
2020-11-28,12.5615
2020-11-29,12.5615
2020-11-30,12.5615
2020-12-01,12.5615
2020-12-02,12.5615
2020-12-03,12.5615
2020-12-04,12.5615
2020-12-05,12.5615
2020-12-06,12.5615
2020-12-07,12.5615
2020-12-08,12.5615
2020-12-09,12.5615
2020-12-10,12.5615
2020-12-11,12.5615
2020-12-12,12.5615
2020-12-13,12.5615
2020-12-14,12.5615
2020-12-15,12.5615
2020-12-16,12.5615
2020-12-17,12.5615
2020-12-18,12.5615
2020-12-19,12.5615
2020-12-20,12.5615
2020-12-21,12.5615
2020-12-22,12.5615
2020-12-23,12.5615
2020-12-24,12.5615
2020-12-25,12.5615
2020-12-26,12.5615
2020-12-27,12.5615
2020-12-28,12.5615
2020-12-29,12.5615
2020-12-30,12.5615
2020-12-31,9.0694
2021-01-01,9.0694
2021-01-02,9.0694
2021-01-03,9.0694
2021-01-04,9.0694
2021-01-05,9.0694
2021-01-06,9.0694
2021-01-07,9.0694
2021-01-08,9.0694
2021-01-09,9.0694
2021-01-10,9.0694
2021-01-11,9.0694
2021-01-12,9.0694
2021-01-13,9.0694
2021-01-14,9.0694
2021-01-15,9.0694
2021-01-16,9.0694
2021-01-17,9.0694
2021-01-18,9.0694
2021-01-19,9.0694
2021-01-20,9.0694
2021-01-21,9.0694
2021-01-22,9.0694
2021-01-23,9.0694
2021-01-24,9.0694
2021-01-25,9.0694
2021-01-26,9.0694
2021-01-27,9.0694
2021-01-28,9.0694
2021-01-29,9.0694
2021-01-30,9.0694
2021-01-31,9.0694
2021-02-01,9.0694
2021-02-02,9.0694
2021-02-03,9.0694
2021-02-04,9.0694
2021-02-05,9.0694
2021-02-06,9.0694
2021-02-07,9.0694
2021-02-08,9.0694
2021-02-09,9.0694
2021-02-10,9.0694
2021-02-11,9.0694
2021-02-12,9.0694
2021-02-13,9.0694
2021-02-14,9.0694
2021-02-15,9.0694
2021-02-16,9.0694
2021-02-17,9.0694
2021-02-18,9.0694
2021-02-19,9.0694
2021-02-20,9.0694
2021-02-21,9.0694
2021-02-22,9.0694
2021-02-23,9.0694
2021-02-24,9.0694
2021-02-25,9.0694
2021-02-26,9.0694
2021-02-27,9.0694
2021-02-28,9.0694
2021-03-01,9.0694
2021-03-02,9.0694
2021-03-03,9.0694
2021-03-04,9.0694
2021-03-05,9.0694
2021-03-06,9.0694
2021-03-07,9.0694
2021-03-08,9.0694
2021-03-09,9.0694
2021-03-10,9.0694
2021-03-11,9.0694
2021-03-12,9.0694
2021-03-13,9.0694
2021-03-14,9.0694
2021-03-15,9.0694
2021-03-16,9.0694
2021-03-17,9.0694
2021-03-18,9.0694
2021-03-19,9.0694
2021-03-20,9.0694
2021-03-21,9.0694
2021-03-22,9.0694
2021-03-23,9.0694
2021-03-24,9.0694
2021-03-25,9.0694
2021-03-26,9.0694
2021-03-27,9.0694
2021-03-28,9.0694
2021-03-29,9.0694
2021-03-30,9.0694
2021-03-31,10.7562
2021-04-01,10.7562
2021-04-02,10.7562
2021-04-03,10.7562
2021-04-04,10.7562
2021-04-05,10.7562
2021-04-06,10.7562
2021-04-07,10.7562
2021-04-08,10.7562
2021-04-09,10.7562
2021-04-10,10.7562
2021-04-11,10.7562
2021-04-12,10.7562
2021-04-13,10.7562
2021-04-14,10.7562
2021-04-15,10.7562
2021-04-16,10.7562
2021-04-17,10.7562
2021-04-18,10.7562
2021-04-19,10.7562
2021-04-20,10.7562
2021-04-21,10.7562
2021-04-22,10.7562
2021-04-23,10.7562
2021-04-24,10.7562
2021-04-25,10.7562
2021-04-26,10.7562
2021-04-27,10.7562
2021-04-28,10.7562
2021-04-29,10.7562
2021-04-30,10.7562
2021-05-01,10.7562
2021-05-02,10.7562
2021-05-03,10.7562
2021-05-04,10.7562
2021-05-05,10.7562
2021-05-06,10.7562
2021-05-07,10.7562
2021-05-08,10.7562
2021-05-09,10.7562
2021-05-10,10.7562
2021-05-11,10.7562
2021-05-12,10.7562
2021-05-13,10.7562
2021-05-14,10.7562
2021-05-15,10.7562
2021-05-16,10.7562
2021-05-17,10.7562
2021-05-18,10.7562
2021-05-19,10.7562
2021-05-20,10.7562
2021-05-21,10.7562
2021-05-22,10.7562
2021-05-23,10.7562
2021-05-24,10.7562
2021-05-25,10.7562
2021-05-26,10.7562
2021-05-27,10.7562
2021-05-28,10.7562
2021-05-29,10.7562
2021-05-30,10.7562
2021-05-31,10.7562
2021-06-01,10.7562
2021-06-02,10.7562
2021-06-03,10.7562
2021-06-04,10.7562
2021-06-05,10.7562
2021-06-06,10.7562
2021-06-07,10.7562
2021-06-08,10.7562
2021-06-09,10.7562
2021-06-10,10.7562
2021-06-11,10.7562
2021-06-12,10.7562
2021-06-13,10.7562
2021-06-14,10.7562
2021-06-15,10.7562
2021-06-16,10.7562
2021-06-17,10.7562
2021-06-18,10.7562
2021-06-19,10.7562
2021-06-20,10.7562
2021-06-21,10.7562
2021-06-22,10.7562
2021-06-23,10.7562
2021-06-24,10.7562
2021-06-25,10.7562
2021-06-26,10.7562
2021-06-27,10.7562
2021-06-28,10.7562
2021-06-29,10.7562
2021-06-30,11.4537
2021-07-01,11.4537
2021-07-02,11.4537
2021-07-03,11.4537
2021-07-04,11.4537
2021-07-05,11.4537
2021-07-06,11.4537
2021-07-07,11.4537
2021-07-08,11.4537
2021-07-09,11.4537
2021-07-10,11.4537
2021-07-11,11.4537
2021-07-12,11.4537
2021-07-13,11.4537
2021-07-14,11.4537
2021-07-15,11.4537
2021-07-16,11.4537
2021-07-17,11.4537
2021-07-18,11.4537
2021-07-19,11.4537
2021-07-20,11.4537
2021-07-21,11.4537
2021-07-22,11.4537
2021-07-23,11.4537
2021-07-24,11.4537
2021-07-25,11.4537
2021-07-26,11.4537
2021-07-27,11.4537
2021-07-28,11.4537
2021-07-29,11.4537
2021-07-30,11.4537
2021-07-31,11.4537
2021-08-01,11.4537
2021-08-02,11.4537
2021-08-03,11.4537
2021-08-04,11.4537
2021-08-05,11.4537
2021-08-06,11.4537
2021-08-07,11.4537
2021-08-08,11.4537
2021-08-09,11.4537
2021-08-10,11.4537
2021-08-11,11.4537
2021-08-12,11.4537
2021-08-13,11.4537
2021-08-14,11.4537
2021-08-15,11.4537
2021-08-16,11.4537
2021-08-17,11.4537
2021-08-18,11.4537
2021-08-19,11.4537
2021-08-20,11.4537
2021-08-21,11.4537
2021-08-22,11.4537
2021-08-23,11.4537
2021-08-24,11.4537
2021-08-25,11.4537
2021-08-26,11.4537
2021-08-27,11.4537
2021-08-28,11.4537
2021-08-29,11.4537
2021-08-30,11.4537
2021-08-31,11.4537
2021-09-01,11.4537
2021-09-02,11.4537
2021-09-03,11.4537
2021-09-04,11.4537
