,TRGP US Equity
,RETURN_COM_EQY
2020-01-01,-6.9602
2020-01-02,-6.9602
2020-01-03,-6.9602
2020-01-04,-6.9602
2020-01-05,-6.9602
2020-01-06,-6.9602
2020-01-07,-6.9602
2020-01-08,-6.9602
2020-01-09,-6.9602
2020-01-10,-6.9602
2020-01-11,-6.9602
2020-01-12,-6.9602
2020-01-13,-6.9602
2020-01-14,-6.9602
2020-01-15,-6.9602
2020-01-16,-6.9602
2020-01-17,-6.9602
2020-01-18,-6.9602
2020-01-19,-6.9602
2020-01-20,-6.9602
2020-01-21,-6.9602
2020-01-22,-6.9602
2020-01-23,-6.9602
2020-01-24,-6.9602
2020-01-25,-6.9602
2020-01-26,-6.9602
2020-01-27,-6.9602
2020-01-28,-6.9602
2020-01-29,-6.9602
2020-01-30,-6.9602
2020-01-31,-6.9602
2020-02-01,-6.9602
2020-02-02,-6.9602
2020-02-03,-6.9602
2020-02-04,-6.9602
2020-02-05,-6.9602
2020-02-06,-6.9602
2020-02-07,-6.9602
2020-02-08,-6.9602
2020-02-09,-6.9602
2020-02-10,-6.9602
2020-02-11,-6.9602
2020-02-12,-6.9602
2020-02-13,-6.9602
2020-02-14,-6.9602
2020-02-15,-6.9602
2020-02-16,-6.9602
2020-02-17,-6.9602
2020-02-18,-6.9602
2020-02-19,-6.9602
2020-02-20,-6.9602
2020-02-21,-6.9602
2020-02-22,-6.9602
2020-02-23,-6.9602
2020-02-24,-6.9602
2020-02-25,-6.9602
2020-02-26,-6.9602
2020-02-27,-6.9602
2020-02-28,-6.9602
2020-02-29,-6.9602
2020-03-01,-6.9602
2020-03-02,-6.9602
2020-03-03,-6.9602
2020-03-04,-6.9602
2020-03-05,-6.9602
2020-03-06,-6.9602
2020-03-07,-6.9602
2020-03-08,-6.9602
2020-03-09,-6.9602
2020-03-10,-6.9602
2020-03-11,-6.9602
2020-03-12,-6.9602
2020-03-13,-6.9602
2020-03-14,-6.9602
2020-03-15,-6.9602
2020-03-16,-6.9602
2020-03-17,-6.9602
2020-03-18,-6.9602
2020-03-19,-6.9602
2020-03-20,-6.9602
2020-03-21,-6.9602
2020-03-22,-6.9602
2020-03-23,-6.9602
2020-03-24,-6.9602
2020-03-25,-6.9602
2020-03-26,-6.9602
2020-03-27,-6.9602
2020-03-28,-6.9602
2020-03-29,-6.9602
2020-03-30,-6.9602
2020-03-31,-55.0164
2020-04-01,-55.0164
2020-04-02,-55.0164
2020-04-03,-55.0164
2020-04-04,-55.0164
2020-04-05,-55.0164
2020-04-06,-55.0164
2020-04-07,-55.0164
2020-04-08,-55.0164
2020-04-09,-55.0164
2020-04-10,-55.0164
2020-04-11,-55.0164
2020-04-12,-55.0164
2020-04-13,-55.0164
2020-04-14,-55.0164
2020-04-15,-55.0164
2020-04-16,-55.0164
2020-04-17,-55.0164
2020-04-18,-55.0164
2020-04-19,-55.0164
2020-04-20,-55.0164
2020-04-21,-55.0164
2020-04-22,-55.0164
2020-04-23,-55.0164
2020-04-24,-55.0164
2020-04-25,-55.0164
2020-04-26,-55.0164
2020-04-27,-55.0164
2020-04-28,-55.0164
2020-04-29,-55.0164
2020-04-30,-55.0164
2020-05-01,-55.0164
2020-05-02,-55.0164
2020-05-03,-55.0164
2020-05-04,-55.0164
2020-05-05,-55.0164
2020-05-06,-55.0164
2020-05-07,-55.0164
2020-05-08,-55.0164
2020-05-09,-55.0164
2020-05-10,-55.0164
2020-05-11,-55.0164
2020-05-12,-55.0164
2020-05-13,-55.0164
2020-05-14,-55.0164
2020-05-15,-55.0164
2020-05-16,-55.0164
2020-05-17,-55.0164
2020-05-18,-55.0164
2020-05-19,-55.0164
2020-05-20,-55.0164
2020-05-21,-55.0164
2020-05-22,-55.0164
2020-05-23,-55.0164
2020-05-24,-55.0164
2020-05-25,-55.0164
2020-05-26,-55.0164
2020-05-27,-55.0164
2020-05-28,-55.0164
2020-05-29,-55.0164
2020-05-30,-55.0164
2020-05-31,-55.0164
2020-06-01,-55.0164
2020-06-02,-55.0164
2020-06-03,-55.0164
2020-06-04,-55.0164
2020-06-05,-55.0164
2020-06-06,-55.0164
2020-06-07,-55.0164
2020-06-08,-55.0164
2020-06-09,-55.0164
2020-06-10,-55.0164
2020-06-11,-55.0164
2020-06-12,-55.0164
2020-06-13,-55.0164
2020-06-14,-55.0164
2020-06-15,-55.0164
2020-06-16,-55.0164
2020-06-17,-55.0164
2020-06-18,-55.0164
2020-06-19,-55.0164
2020-06-20,-55.0164
2020-06-21,-55.0164
2020-06-22,-55.0164
2020-06-23,-55.0164
2020-06-24,-55.0164
2020-06-25,-55.0164
2020-06-26,-55.0164
2020-06-27,-55.0164
2020-06-28,-55.0164
2020-06-29,-55.0164
2020-06-30,-54.8445
2020-07-01,-54.8445
2020-07-02,-54.8445
2020-07-03,-54.8445
2020-07-04,-54.8445
2020-07-05,-54.8445
2020-07-06,-54.8445
2020-07-07,-54.8445
2020-07-08,-54.8445
2020-07-09,-54.8445
2020-07-10,-54.8445
2020-07-11,-54.8445
2020-07-12,-54.8445
2020-07-13,-54.8445
2020-07-14,-54.8445
2020-07-15,-54.8445
2020-07-16,-54.8445
2020-07-17,-54.8445
2020-07-18,-54.8445
2020-07-19,-54.8445
2020-07-20,-54.8445
2020-07-21,-54.8445
2020-07-22,-54.8445
2020-07-23,-54.8445
2020-07-24,-54.8445
2020-07-25,-54.8445
2020-07-26,-54.8445
2020-07-27,-54.8445
2020-07-28,-54.8445
2020-07-29,-54.8445
2020-07-30,-54.8445
2020-07-31,-54.8445
2020-08-01,-54.8445
2020-08-02,-54.8445
2020-08-03,-54.8445
2020-08-04,-54.8445
2020-08-05,-54.8445
2020-08-06,-54.8445
2020-08-07,-54.8445
2020-08-08,-54.8445
2020-08-09,-54.8445
2020-08-10,-54.8445
2020-08-11,-54.8445
2020-08-12,-54.8445
2020-08-13,-54.8445
2020-08-14,-54.8445
2020-08-15,-54.8445
2020-08-16,-54.8445
2020-08-17,-54.8445
2020-08-18,-54.8445
2020-08-19,-54.8445
2020-08-20,-54.8445
2020-08-21,-54.8445
2020-08-22,-54.8445
2020-08-23,-54.8445
2020-08-24,-54.8445
2020-08-25,-54.8445
2020-08-26,-54.8445
2020-08-27,-54.8445
2020-08-28,-54.8445
2020-08-29,-54.8445
2020-08-30,-54.8445
2020-08-31,-54.8445
2020-09-01,-54.8445
2020-09-02,-54.8445
2020-09-03,-54.8445
2020-09-04,-54.8445
2020-09-05,-54.8445
2020-09-06,-54.8445
2020-09-07,-54.8445
2020-09-08,-54.8445
2020-09-09,-54.8445
2020-09-10,-54.8445
2020-09-11,-54.8445
2020-09-12,-54.8445
2020-09-13,-54.8445
2020-09-14,-54.8445
2020-09-15,-54.8445
2020-09-16,-54.8445
2020-09-17,-54.8445
2020-09-18,-54.8445
2020-09-19,-54.8445
2020-09-20,-54.8445
2020-09-21,-54.8445
2020-09-22,-54.8445
2020-09-23,-54.8445
2020-09-24,-54.8445
2020-09-25,-54.8445
2020-09-26,-54.8445
2020-09-27,-54.8445
2020-09-28,-54.8445
2020-09-29,-54.8445
2020-09-30,-53.7751
2020-10-01,-53.7751
2020-10-02,-53.7751
2020-10-03,-53.7751
2020-10-04,-53.7751
2020-10-05,-53.7751
2020-10-06,-53.7751
2020-10-07,-53.7751
2020-10-08,-53.7751
2020-10-09,-53.7751
2020-10-10,-53.7751
2020-10-11,-53.7751
2020-10-12,-53.7751
2020-10-13,-53.7751
2020-10-14,-53.7751
2020-10-15,-53.7751
2020-10-16,-53.7751
2020-10-17,-53.7751
2020-10-18,-53.7751
2020-10-19,-53.7751
2020-10-20,-53.7751
2020-10-21,-53.7751
2020-10-22,-53.7751
2020-10-23,-53.7751
2020-10-24,-53.7751
2020-10-25,-53.7751
2020-10-26,-53.7751
2020-10-27,-53.7751
2020-10-28,-53.7751
2020-10-29,-53.7751
2020-10-30,-53.7751
2020-10-31,-53.7751
2020-11-01,-53.7751
2020-11-02,-53.7751
2020-11-03,-53.7751
2020-11-04,-53.7751
2020-11-05,-53.7751
2020-11-06,-53.7751
2020-11-07,-53.7751
2020-11-08,-53.7751
2020-11-09,-53.7751
2020-11-10,-53.7751
2020-11-11,-53.7751
2020-11-12,-53.7751
2020-11-13,-53.7751
2020-11-14,-53.7751
2020-11-15,-53.7751
2020-11-16,-53.7751
2020-11-17,-53.7751
2020-11-18,-53.7751
2020-11-19,-53.7751
2020-11-20,-53.7751
2020-11-21,-53.7751
2020-11-22,-53.7751
2020-11-23,-53.7751
2020-11-24,-53.7751
2020-11-25,-53.7751
2020-11-26,-53.7751
2020-11-27,-53.7751
2020-11-28,-53.7751
2020-11-29,-53.7751
2020-11-30,-53.7751
2020-12-01,-53.7751
2020-12-02,-53.7751
2020-12-03,-53.7751
2020-12-04,-53.7751
2020-12-05,-53.7751
2020-12-06,-53.7751
2020-12-07,-53.7751
2020-12-08,-53.7751
2020-12-09,-53.7751
2020-12-10,-53.7751
2020-12-11,-53.7751
2020-12-12,-53.7751
2020-12-13,-53.7751
2020-12-14,-53.7751
2020-12-15,-53.7751
2020-12-16,-53.7751
2020-12-17,-53.7751
2020-12-18,-53.7751
2020-12-19,-53.7751
2020-12-20,-53.7751
2020-12-21,-53.7751
2020-12-22,-53.7751
2020-12-23,-53.7751
2020-12-24,-53.7751
2020-12-25,-53.7751
2020-12-26,-53.7751
2020-12-27,-53.7751
2020-12-28,-53.7751
2020-12-29,-53.7751
2020-12-30,-53.7751
2020-12-31,-53.7342
2021-01-01,-53.7342
2021-01-02,-53.7342
2021-01-03,-53.7342
2021-01-04,-53.7342
2021-01-05,-53.7342
2021-01-06,-53.7342
2021-01-07,-53.7342
2021-01-08,-53.7342
2021-01-09,-53.7342
2021-01-10,-53.7342
2021-01-11,-53.7342
2021-01-12,-53.7342
2021-01-13,-53.7342
2021-01-14,-53.7342
2021-01-15,-53.7342
2021-01-16,-53.7342
2021-01-17,-53.7342
2021-01-18,-53.7342
2021-01-19,-53.7342
2021-01-20,-53.7342
2021-01-21,-53.7342
2021-01-22,-53.7342
2021-01-23,-53.7342
2021-01-24,-53.7342
2021-01-25,-53.7342
2021-01-26,-53.7342
2021-01-27,-53.7342
2021-01-28,-53.7342
2021-01-29,-53.7342
2021-01-30,-53.7342
2021-01-31,-53.7342
2021-02-01,-53.7342
2021-02-02,-53.7342
2021-02-03,-53.7342
2021-02-04,-53.7342
2021-02-05,-53.7342
2021-02-06,-53.7342
2021-02-07,-53.7342
2021-02-08,-53.7342
2021-02-09,-53.7342
2021-02-10,-53.7342
2021-02-11,-53.7342
2021-02-12,-53.7342
2021-02-13,-53.7342
2021-02-14,-53.7342
2021-02-15,-53.7342
2021-02-16,-53.7342
2021-02-17,-53.7342
2021-02-18,-53.7342
2021-02-19,-53.7342
2021-02-20,-53.7342
2021-02-21,-53.7342
2021-02-22,-53.7342
2021-02-23,-53.7342
2021-02-24,-53.7342
2021-02-25,-53.7342
2021-02-26,-53.7342
2021-02-27,-53.7342
2021-02-28,-53.7342
2021-03-01,-53.7342
2021-03-02,-53.7342
2021-03-03,-53.7342
2021-03-04,-53.7342
2021-03-05,-53.7342
2021-03-06,-53.7342
2021-03-07,-53.7342
2021-03-08,-53.7342
2021-03-09,-53.7342
2021-03-10,-53.7342
2021-03-11,-53.7342
2021-03-12,-53.7342
2021-03-13,-53.7342
2021-03-14,-53.7342
2021-03-15,-53.7342
2021-03-16,-53.7342
2021-03-17,-53.7342
2021-03-18,-53.7342
2021-03-19,-53.7342
2021-03-20,-53.7342
2021-03-21,-53.7342
2021-03-22,-53.7342
2021-03-23,-53.7342
2021-03-24,-53.7342
2021-03-25,-53.7342
2021-03-26,-53.7342
2021-03-27,-53.7342
2021-03-28,-53.7342
2021-03-29,-53.7342
2021-03-30,-53.7342
2021-03-31,9.3653
2021-04-01,9.3653
2021-04-02,9.3653
2021-04-03,9.3653
2021-04-04,9.3653
2021-04-05,9.3653
2021-04-06,9.3653
2021-04-07,9.3653
2021-04-08,9.3653
2021-04-09,9.3653
2021-04-10,9.3653
2021-04-11,9.3653
2021-04-12,9.3653
2021-04-13,9.3653
2021-04-14,9.3653
2021-04-15,9.3653
2021-04-16,9.3653
2021-04-17,9.3653
2021-04-18,9.3653
2021-04-19,9.3653
2021-04-20,9.3653
2021-04-21,9.3653
2021-04-22,9.3653
2021-04-23,9.3653
2021-04-24,9.3653
2021-04-25,9.3653
2021-04-26,9.3653
2021-04-27,9.3653
2021-04-28,9.3653
2021-04-29,9.3653
2021-04-30,9.3653
2021-05-01,9.3653
2021-05-02,9.3653
2021-05-03,9.3653
2021-05-04,9.3653
2021-05-05,9.3653
2021-05-06,9.3653
2021-05-07,9.3653
2021-05-08,9.3653
2021-05-09,9.3653
2021-05-10,9.3653
2021-05-11,9.3653
2021-05-12,9.3653
2021-05-13,9.3653
2021-05-14,9.3653
2021-05-15,9.3653
2021-05-16,9.3653
2021-05-17,9.3653
2021-05-18,9.3653
2021-05-19,9.3653
2021-05-20,9.3653
2021-05-21,9.3653
2021-05-22,9.3653
2021-05-23,9.3653
2021-05-24,9.3653
2021-05-25,9.3653
2021-05-26,9.3653
2021-05-27,9.3653
2021-05-28,9.3653
2021-05-29,9.3653
2021-05-30,9.3653
2021-05-31,9.3653
2021-06-01,9.3653
2021-06-02,9.3653
2021-06-03,9.3653
2021-06-04,9.3653
2021-06-05,9.3653
2021-06-06,9.3653
2021-06-07,9.3653
2021-06-08,9.3653
2021-06-09,9.3653
2021-06-10,9.3653
2021-06-11,9.3653
2021-06-12,9.3653
2021-06-13,9.3653
2021-06-14,9.3653
2021-06-15,9.3653
2021-06-16,9.3653
