,LBRT US Equity
,RETURN_COM_EQY
2020-01-01,7.8962
2020-01-02,7.8962
2020-01-03,7.8962
2020-01-04,7.8962
2020-01-05,7.8962
2020-01-06,7.8962
2020-01-07,7.8962
2020-01-08,7.8962
2020-01-09,7.8962
2020-01-10,7.8962
2020-01-11,7.8962
2020-01-12,7.8962
2020-01-13,7.8962
2020-01-14,7.8962
2020-01-15,7.8962
2020-01-16,7.8962
2020-01-17,7.8962
2020-01-18,7.8962
2020-01-19,7.8962
2020-01-20,7.8962
2020-01-21,7.8962
2020-01-22,7.8962
2020-01-23,7.8962
2020-01-24,7.8962
2020-01-25,7.8962
2020-01-26,7.8962
2020-01-27,7.8962
2020-01-28,7.8962
2020-01-29,7.8962
2020-01-30,7.8962
2020-01-31,7.8962
2020-02-01,7.8962
2020-02-02,7.8962
2020-02-03,7.8962
2020-02-04,7.8962
2020-02-05,7.8962
2020-02-06,7.8962
2020-02-07,7.8962
2020-02-08,7.8962
2020-02-09,7.8962
2020-02-10,7.8962
2020-02-11,7.8962
2020-02-12,7.8962
2020-02-13,7.8962
2020-02-14,7.8962
2020-02-15,7.8962
2020-02-16,7.8962
2020-02-17,7.8962
2020-02-18,7.8962
2020-02-19,7.8962
2020-02-20,7.8962
2020-02-21,7.8962
2020-02-22,7.8962
2020-02-23,7.8962
2020-02-24,7.8962
2020-02-25,7.8962
2020-02-26,7.8962
2020-02-27,7.8962
2020-02-28,7.8962
2020-02-29,7.8962
2020-03-01,7.8962
2020-03-02,7.8962
2020-03-03,7.8962
2020-03-04,7.8962
2020-03-05,7.8962
2020-03-06,7.8962
2020-03-07,7.8962
2020-03-08,7.8962
2020-03-09,7.8962
2020-03-10,7.8962
2020-03-11,7.8962
2020-03-12,7.8962
2020-03-13,7.8962
2020-03-14,7.8962
2020-03-15,7.8962
2020-03-16,7.8962
2020-03-17,7.8962
2020-03-18,7.8962
2020-03-19,7.8962
2020-03-20,7.8962
2020-03-21,7.8962
2020-03-22,7.8962
2020-03-23,7.8962
2020-03-24,7.8962
2020-03-25,7.8962
2020-03-26,7.8962
2020-03-27,7.8962
2020-03-28,7.8962
2020-03-29,7.8962
2020-03-30,7.8962
2020-03-31,4.4964
2020-04-01,4.4964
2020-04-02,4.4964
2020-04-03,4.4964
2020-04-04,4.4964
2020-04-05,4.4964
2020-04-06,4.4964
2020-04-07,4.4964
2020-04-08,4.4964
2020-04-09,4.4964
2020-04-10,4.4964
2020-04-11,4.4964
2020-04-12,4.4964
2020-04-13,4.4964
2020-04-14,4.4964
2020-04-15,4.4964
2020-04-16,4.4964
2020-04-17,4.4964
2020-04-18,4.4964
2020-04-19,4.4964
2020-04-20,4.4964
2020-04-21,4.4964
2020-04-22,4.4964
2020-04-23,4.4964
2020-04-24,4.4964
2020-04-25,4.4964
2020-04-26,4.4964
2020-04-27,4.4964
2020-04-28,4.4964
2020-04-29,4.4964
2020-04-30,4.4964
2020-05-01,4.4964
2020-05-02,4.4964
2020-05-03,4.4964
2020-05-04,4.4964
2020-05-05,4.4964
2020-05-06,4.4964
2020-05-07,4.4964
2020-05-08,4.4964
2020-05-09,4.4964
2020-05-10,4.4964
2020-05-11,4.4964
2020-05-12,4.4964
2020-05-13,4.4964
2020-05-14,4.4964
2020-05-15,4.4964
2020-05-16,4.4964
2020-05-17,4.4964
2020-05-18,4.4964
2020-05-19,4.4964
2020-05-20,4.4964
2020-05-21,4.4964
2020-05-22,4.4964
2020-05-23,4.4964
2020-05-24,4.4964
2020-05-25,4.4964
2020-05-26,4.4964
2020-05-27,4.4964
2020-05-28,4.4964
2020-05-29,4.4964
2020-05-30,4.4964
2020-05-31,4.4964
2020-06-01,4.4964
2020-06-02,4.4964
2020-06-03,4.4964
2020-06-04,4.4964
2020-06-05,4.4964
2020-06-06,4.4964
2020-06-07,4.4964
2020-06-08,4.4964
2020-06-09,4.4964
2020-06-10,4.4964
2020-06-11,4.4964
2020-06-12,4.4964
2020-06-13,4.4964
2020-06-14,4.4964
2020-06-15,4.4964
2020-06-16,4.4964
2020-06-17,4.4964
2020-06-18,4.4964
2020-06-19,4.4964
2020-06-20,4.4964
2020-06-21,4.4964
2020-06-22,4.4964
2020-06-23,4.4964
2020-06-24,4.4964
2020-06-25,4.4964
2020-06-26,4.4964
2020-06-27,4.4964
2020-06-28,4.4964
2020-06-29,4.4964
2020-06-30,-9.0098
2020-07-01,-9.0098
2020-07-02,-9.0098
2020-07-03,-9.0098
2020-07-04,-9.0098
2020-07-05,-9.0098
2020-07-06,-9.0098
2020-07-07,-9.0098
2020-07-08,-9.0098
2020-07-09,-9.0098
2020-07-10,-9.0098
2020-07-11,-9.0098
2020-07-12,-9.0098
2020-07-13,-9.0098
2020-07-14,-9.0098
2020-07-15,-9.0098
2020-07-16,-9.0098
2020-07-17,-9.0098
2020-07-18,-9.0098
2020-07-19,-9.0098
2020-07-20,-9.0098
2020-07-21,-9.0098
2020-07-22,-9.0098
2020-07-23,-9.0098
2020-07-24,-9.0098
2020-07-25,-9.0098
2020-07-26,-9.0098
2020-07-27,-9.0098
2020-07-28,-9.0098
2020-07-29,-9.0098
2020-07-30,-9.0098
2020-07-31,-9.0098
2020-08-01,-9.0098
2020-08-02,-9.0098
2020-08-03,-9.0098
2020-08-04,-9.0098
2020-08-05,-9.0098
2020-08-06,-9.0098
2020-08-07,-9.0098
2020-08-08,-9.0098
2020-08-09,-9.0098
2020-08-10,-9.0098
2020-08-11,-9.0098
2020-08-12,-9.0098
2020-08-13,-9.0098
2020-08-14,-9.0098
2020-08-15,-9.0098
2020-08-16,-9.0098
2020-08-17,-9.0098
2020-08-18,-9.0098
2020-08-19,-9.0098
2020-08-20,-9.0098
2020-08-21,-9.0098
2020-08-22,-9.0098
2020-08-23,-9.0098
2020-08-24,-9.0098
2020-08-25,-9.0098
2020-08-26,-9.0098
2020-08-27,-9.0098
2020-08-28,-9.0098
2020-08-29,-9.0098
2020-08-30,-9.0098
2020-08-31,-9.0098
2020-09-01,-9.0098
2020-09-02,-9.0098
2020-09-03,-9.0098
2020-09-04,-9.0098
2020-09-05,-9.0098
2020-09-06,-9.0098
2020-09-07,-9.0098
2020-09-08,-9.0098
2020-09-09,-9.0098
2020-09-10,-9.0098
2020-09-11,-9.0098
2020-09-12,-9.0098
2020-09-13,-9.0098
2020-09-14,-9.0098
2020-09-15,-9.0098
2020-09-16,-9.0098
2020-09-17,-9.0098
2020-09-18,-9.0098
2020-09-19,-9.0098
2020-09-20,-9.0098
2020-09-21,-9.0098
2020-09-22,-9.0098
2020-09-23,-9.0098
2020-09-24,-9.0098
2020-09-25,-9.0098
2020-09-26,-9.0098
2020-09-27,-9.0098
2020-09-28,-9.0098
2020-09-29,-9.0098
2020-09-30,-17.4984
2020-10-01,-17.4984
2020-10-02,-17.4984
2020-10-03,-17.4984
2020-10-04,-17.4984
2020-10-05,-17.4984
2020-10-06,-17.4984
2020-10-07,-17.4984
2020-10-08,-17.4984
2020-10-09,-17.4984
2020-10-10,-17.4984
2020-10-11,-17.4984
2020-10-12,-17.4984
2020-10-13,-17.4984
2020-10-14,-17.4984
2020-10-15,-17.4984
2020-10-16,-17.4984
2020-10-17,-17.4984
2020-10-18,-17.4984
2020-10-19,-17.4984
2020-10-20,-17.4984
2020-10-21,-17.4984
2020-10-22,-17.4984
2020-10-23,-17.4984
2020-10-24,-17.4984
2020-10-25,-17.4984
2020-10-26,-17.4984
2020-10-27,-17.4984
2020-10-28,-17.4984
2020-10-29,-17.4984
2020-10-30,-17.4984
2020-10-31,-17.4984
2020-11-01,-17.4984
2020-11-02,-17.4984
2020-11-03,-17.4984
2020-11-04,-17.4984
2020-11-05,-17.4984
2020-11-06,-17.4984
2020-11-07,-17.4984
2020-11-08,-17.4984
2020-11-09,-17.4984
2020-11-10,-17.4984
2020-11-11,-17.4984
2020-11-12,-17.4984
2020-11-13,-17.4984
2020-11-14,-17.4984
2020-11-15,-17.4984
2020-11-16,-17.4984
2020-11-17,-17.4984
2020-11-18,-17.4984
2020-11-19,-17.4984
2020-11-20,-17.4984
2020-11-21,-17.4984
2020-11-22,-17.4984
2020-11-23,-17.4984
2020-11-24,-17.4984
2020-11-25,-17.4984
2020-11-26,-17.4984
2020-11-27,-17.4984
2020-11-28,-17.4984
2020-11-29,-17.4984
2020-11-30,-17.4984
2020-12-01,-17.4984
2020-12-02,-17.4984
2020-12-03,-17.4984
2020-12-04,-17.4984
2020-12-05,-17.4984
2020-12-06,-17.4984
2020-12-07,-17.4984
2020-12-08,-17.4984
2020-12-09,-17.4984
2020-12-10,-17.4984
2020-12-11,-17.4984
2020-12-12,-17.4984
2020-12-13,-17.4984
2020-12-14,-17.4984
2020-12-15,-17.4984
2020-12-16,-17.4984
2020-12-17,-17.4984
2020-12-18,-17.4984
2020-12-19,-17.4984
2020-12-20,-17.4984
2020-12-21,-17.4984
2020-12-22,-17.4984
2020-12-23,-17.4984
2020-12-24,-17.4984
2020-12-25,-17.4984
2020-12-26,-17.4984
2020-12-27,-17.4984
2020-12-28,-17.4984
2020-12-29,-17.4984
2020-12-30,-17.4984
2020-12-31,-13.5544
2021-01-01,-13.5544
2021-01-02,-13.5544
2021-01-03,-13.5544
2021-01-04,-13.5544
2021-01-05,-13.5544
2021-01-06,-13.5544
2021-01-07,-13.5544
2021-01-08,-13.5544
2021-01-09,-13.5544
2021-01-10,-13.5544
2021-01-11,-13.5544
2021-01-12,-13.5544
2021-01-13,-13.5544
2021-01-14,-13.5544
2021-01-15,-13.5544
2021-01-16,-13.5544
2021-01-17,-13.5544
2021-01-18,-13.5544
2021-01-19,-13.5544
2021-01-20,-13.5544
2021-01-21,-13.5544
2021-01-22,-13.5544
2021-01-23,-13.5544
2021-01-24,-13.5544
2021-01-25,-13.5544
2021-01-26,-13.5544
2021-01-27,-13.5544
2021-01-28,-13.5544
2021-01-29,-13.5544
2021-01-30,-13.5544
2021-01-31,-13.5544
2021-02-01,-13.5544
2021-02-02,-13.5544
2021-02-03,-13.5544
2021-02-04,-13.5544
2021-02-05,-13.5544
2021-02-06,-13.5544
2021-02-07,-13.5544
2021-02-08,-13.5544
2021-02-09,-13.5544
2021-02-10,-13.5544
2021-02-11,-13.5544
2021-02-12,-13.5544
2021-02-13,-13.5544
2021-02-14,-13.5544
2021-02-15,-13.5544
2021-02-16,-13.5544
2021-02-17,-13.5544
2021-02-18,-13.5544
2021-02-19,-13.5544
2021-02-20,-13.5544
2021-02-21,-13.5544
2021-02-22,-13.5544
2021-02-23,-13.5544
2021-02-24,-13.5544
2021-02-25,-13.5544
2021-02-26,-13.5544
2021-02-27,-13.5544
2021-02-28,-13.5544
2021-03-01,-13.5544
2021-03-02,-13.5544
2021-03-03,-13.5544
2021-03-04,-13.5544
2021-03-05,-13.5544
2021-03-06,-13.5544
2021-03-07,-13.5544
2021-03-08,-13.5544
2021-03-09,-13.5544
2021-03-10,-13.5544
2021-03-11,-13.5544
2021-03-12,-13.5544
2021-03-13,-13.5544
2021-03-14,-13.5544
2021-03-15,-13.5544
2021-03-16,-13.5544
2021-03-17,-13.5544
2021-03-18,-13.5544
2021-03-19,-13.5544
2021-03-20,-13.5544
2021-03-21,-13.5544
2021-03-22,-13.5544
2021-03-23,-13.5544
2021-03-24,-13.5544
2021-03-25,-13.5544
2021-03-26,-13.5544
2021-03-27,-13.5544
2021-03-28,-13.5544
2021-03-29,-13.5544
2021-03-30,-13.5544
2021-03-31,-17.2176
2021-04-01,-17.2176
2021-04-02,-17.2176
2021-04-03,-17.2176
2021-04-04,-17.2176
2021-04-05,-17.2176
2021-04-06,-17.2176
2021-04-07,-17.2176
2021-04-08,-17.2176
2021-04-09,-17.2176
2021-04-10,-17.2176
2021-04-11,-17.2176
2021-04-12,-17.2176
2021-04-13,-17.2176
2021-04-14,-17.2176
2021-04-15,-17.2176
2021-04-16,-17.2176
2021-04-17,-17.2176
2021-04-18,-17.2176
2021-04-19,-17.2176
2021-04-20,-17.2176
2021-04-21,-17.2176
2021-04-22,-17.2176
