,BMY US Equity
,RETURN_COM_EQY
2020-01-01,10.4801
2020-01-02,10.4801
2020-01-03,10.4801
2020-01-04,10.4801
2020-01-05,10.4801
2020-01-06,10.4801
2020-01-07,10.4801
2020-01-08,10.4801
2020-01-09,10.4801
2020-01-10,10.4801
2020-01-11,10.4801
2020-01-12,10.4801
2020-01-13,10.4801
2020-01-14,10.4801
2020-01-15,10.4801
2020-01-16,10.4801
2020-01-17,10.4801
2020-01-18,10.4801
2020-01-19,10.4801
2020-01-20,10.4801
2020-01-21,10.4801
2020-01-22,10.4801
2020-01-23,10.4801
2020-01-24,10.4801
2020-01-25,10.4801
2020-01-26,10.4801
2020-01-27,10.4801
2020-01-28,10.4801
2020-01-29,10.4801
2020-01-30,10.4801
2020-01-31,10.4801
2020-02-01,10.4801
2020-02-02,10.4801
2020-02-03,10.4801
2020-02-04,10.4801
2020-02-05,10.4801
2020-02-06,10.4801
2020-02-07,10.4801
2020-02-08,10.4801
2020-02-09,10.4801
2020-02-10,10.4801
2020-02-11,10.4801
2020-02-12,10.4801
2020-02-13,10.4801
2020-02-14,10.4801
2020-02-15,10.4801
2020-02-16,10.4801
2020-02-17,10.4801
2020-02-18,10.4801
2020-02-19,10.4801
2020-02-20,10.4801
2020-02-21,10.4801
2020-02-22,10.4801
2020-02-23,10.4801
2020-02-24,10.4801
2020-02-25,10.4801
2020-02-26,10.4801
2020-02-27,10.4801
2020-02-28,10.4801
2020-02-29,10.4801
2020-03-01,10.4801
2020-03-02,10.4801
2020-03-03,10.4801
2020-03-04,10.4801
2020-03-05,10.4801
2020-03-06,10.4801
2020-03-07,10.4801
2020-03-08,10.4801
2020-03-09,10.4801
2020-03-10,10.4801
2020-03-11,10.4801
2020-03-12,10.4801
2020-03-13,10.4801
2020-03-14,10.4801
2020-03-15,10.4801
2020-03-16,10.4801
2020-03-17,10.4801
2020-03-18,10.4801
2020-03-19,10.4801
2020-03-20,10.4801
2020-03-21,10.4801
2020-03-22,10.4801
2020-03-23,10.4801
2020-03-24,10.4801
2020-03-25,10.4801
2020-03-26,10.4801
2020-03-27,10.4801
2020-03-28,10.4801
2020-03-29,10.4801
2020-03-30,10.4801
2020-03-31,2.9296
2020-04-01,2.9296
2020-04-02,2.9296
2020-04-03,2.9296
2020-04-04,2.9296
2020-04-05,2.9296
2020-04-06,2.9296
2020-04-07,2.9296
2020-04-08,2.9296
2020-04-09,2.9296
2020-04-10,2.9296
2020-04-11,2.9296
2020-04-12,2.9296
2020-04-13,2.9296
2020-04-14,2.9296
2020-04-15,2.9296
2020-04-16,2.9296
2020-04-17,2.9296
2020-04-18,2.9296
2020-04-19,2.9296
2020-04-20,2.9296
2020-04-21,2.9296
2020-04-22,2.9296
2020-04-23,2.9296
2020-04-24,2.9296
2020-04-25,2.9296
2020-04-26,2.9296
2020-04-27,2.9296
2020-04-28,2.9296
2020-04-29,2.9296
2020-04-30,2.9296
2020-05-01,2.9296
2020-05-02,2.9296
2020-05-03,2.9296
2020-05-04,2.9296
2020-05-05,2.9296
2020-05-06,2.9296
2020-05-07,2.9296
2020-05-08,2.9296
2020-05-09,2.9296
2020-05-10,2.9296
2020-05-11,2.9296
2020-05-12,2.9296
2020-05-13,2.9296
2020-05-14,2.9296
2020-05-15,2.9296
2020-05-16,2.9296
2020-05-17,2.9296
2020-05-18,2.9296
2020-05-19,2.9296
2020-05-20,2.9296
2020-05-21,2.9296
2020-05-22,2.9296
2020-05-23,2.9296
2020-05-24,2.9296
2020-05-25,2.9296
2020-05-26,2.9296
2020-05-27,2.9296
2020-05-28,2.9296
2020-05-29,2.9296
2020-05-30,2.9296
2020-05-31,2.9296
2020-06-01,2.9296
2020-06-02,2.9296
2020-06-03,2.9296
2020-06-04,2.9296
2020-06-05,2.9296
2020-06-06,2.9296
2020-06-07,2.9296
2020-06-08,2.9296
2020-06-09,2.9296
2020-06-10,2.9296
2020-06-11,2.9296
2020-06-12,2.9296
2020-06-13,2.9296
2020-06-14,2.9296
2020-06-15,2.9296
2020-06-16,2.9296
2020-06-17,2.9296
2020-06-18,2.9296
2020-06-19,2.9296
2020-06-20,2.9296
2020-06-21,2.9296
2020-06-22,2.9296
2020-06-23,2.9296
2020-06-24,2.9296
2020-06-25,2.9296
2020-06-26,2.9296
2020-06-27,2.9296
2020-06-28,2.9296
2020-06-29,2.9296
2020-06-30,-1.7285
2020-07-01,-1.7285
2020-07-02,-1.7285
2020-07-03,-1.7285
2020-07-04,-1.7285
2020-07-05,-1.7285
2020-07-06,-1.7285
2020-07-07,-1.7285
2020-07-08,-1.7285
2020-07-09,-1.7285
2020-07-10,-1.7285
2020-07-11,-1.7285
2020-07-12,-1.7285
2020-07-13,-1.7285
2020-07-14,-1.7285
2020-07-15,-1.7285
2020-07-16,-1.7285
2020-07-17,-1.7285
2020-07-18,-1.7285
2020-07-19,-1.7285
2020-07-20,-1.7285
2020-07-21,-1.7285
2020-07-22,-1.7285
2020-07-23,-1.7285
2020-07-24,-1.7285
2020-07-25,-1.7285
2020-07-26,-1.7285
2020-07-27,-1.7285
2020-07-28,-1.7285
2020-07-29,-1.7285
2020-07-30,-1.7285
2020-07-31,-1.7285
2020-08-01,-1.7285
2020-08-02,-1.7285
2020-08-03,-1.7285
2020-08-04,-1.7285
2020-08-05,-1.7285
2020-08-06,-1.7285
2020-08-07,-1.7285
2020-08-08,-1.7285
2020-08-09,-1.7285
2020-08-10,-1.7285
2020-08-11,-1.7285
2020-08-12,-1.7285
2020-08-13,-1.7285
2020-08-14,-1.7285
2020-08-15,-1.7285
2020-08-16,-1.7285
2020-08-17,-1.7285
2020-08-18,-1.7285
2020-08-19,-1.7285
2020-08-20,-1.7285
2020-08-21,-1.7285
2020-08-22,-1.7285
2020-08-23,-1.7285
2020-08-24,-1.7285
2020-08-25,-1.7285
2020-08-26,-1.7285
2020-08-27,-1.7285
2020-08-28,-1.7285
2020-08-29,-1.7285
2020-08-30,-1.7285
2020-08-31,-1.7285
2020-09-01,-1.7285
2020-09-02,-1.7285
2020-09-03,-1.7285
2020-09-04,-1.7285
2020-09-05,-1.7285
2020-09-06,-1.7285
2020-09-07,-1.7285
2020-09-08,-1.7285
2020-09-09,-1.7285
2020-09-10,-1.7285
2020-09-11,-1.7285
2020-09-12,-1.7285
2020-09-13,-1.7285
2020-09-14,-1.7285
2020-09-15,-1.7285
2020-09-16,-1.7285
2020-09-17,-1.7285
2020-09-18,-1.7285
2020-09-19,-1.7285
2020-09-20,-1.7285
2020-09-21,-1.7285
2020-09-22,-1.7285
2020-09-23,-1.7285
2020-09-24,-1.7285
2020-09-25,-1.7285
2020-09-26,-1.7285
2020-09-27,-1.7285
2020-09-28,-1.7285
2020-09-29,-1.7285
2020-09-30,-0.1298
2020-10-01,-0.1298
2020-10-02,-0.1298
2020-10-03,-0.1298
2020-10-04,-0.1298
2020-10-05,-0.1298
2020-10-06,-0.1298
2020-10-07,-0.1298
2020-10-08,-0.1298
2020-10-09,-0.1298
2020-10-10,-0.1298
2020-10-11,-0.1298
2020-10-12,-0.1298
2020-10-13,-0.1298
2020-10-14,-0.1298
2020-10-15,-0.1298
2020-10-16,-0.1298
2020-10-17,-0.1298
2020-10-18,-0.1298
2020-10-19,-0.1298
2020-10-20,-0.1298
2020-10-21,-0.1298
2020-10-22,-0.1298
2020-10-23,-0.1298
2020-10-24,-0.1298
2020-10-25,-0.1298
2020-10-26,-0.1298
2020-10-27,-0.1298
2020-10-28,-0.1298
2020-10-29,-0.1298
2020-10-30,-0.1298
2020-10-31,-0.1298
2020-11-01,-0.1298
2020-11-02,-0.1298
2020-11-03,-0.1298
2020-11-04,-0.1298
2020-11-05,-0.1298
2020-11-06,-0.1298
2020-11-07,-0.1298
