,SFM US Equity
,RETURN_COM_EQY
2020-01-01,25.5525
2020-01-02,25.5525
2020-01-03,25.5525
2020-01-04,25.5525
2020-01-05,25.5525
2020-01-06,25.5525
2020-01-07,25.5525
2020-01-08,25.5525
2020-01-09,25.5525
2020-01-10,25.5525
2020-01-11,25.5525
2020-01-12,25.5525
2020-01-13,25.5525
2020-01-14,25.5525
2020-01-15,25.5525
2020-01-16,25.5525
2020-01-17,25.5525
2020-01-18,25.5525
2020-01-19,25.5525
2020-01-20,25.5525
2020-01-21,25.5525
2020-01-22,25.5525
2020-01-23,25.5525
2020-01-24,25.5525
2020-01-25,25.5525
2020-01-26,25.5525
2020-01-27,25.5525
2020-01-28,25.5525
2020-01-29,25.5525
2020-01-30,25.5525
2020-01-31,25.5525
2020-02-01,25.5525
2020-02-02,25.5525
2020-02-03,25.5525
2020-02-04,25.5525
2020-02-05,25.5525
2020-02-06,25.5525
2020-02-07,25.5525
2020-02-08,25.5525
2020-02-09,25.5525
2020-02-10,25.5525
2020-02-11,25.5525
2020-02-12,25.5525
2020-02-13,25.5525
2020-02-14,25.5525
2020-02-15,25.5525
2020-02-16,25.5525
2020-02-17,25.5525
2020-02-18,25.5525
2020-02-19,25.5525
2020-02-20,25.5525
2020-02-21,25.5525
2020-02-22,25.5525
2020-02-23,25.5525
2020-02-24,25.5525
2020-02-25,25.5525
2020-02-26,25.5525
2020-02-27,25.5525
2020-02-28,25.5525
2020-02-29,25.5525
2020-03-01,25.5525
2020-03-02,25.5525
2020-03-03,25.5525
2020-03-04,25.5525
2020-03-05,25.5525
2020-03-06,25.5525
2020-03-07,25.5525
2020-03-08,25.5525
2020-03-09,25.5525
2020-03-10,25.5525
2020-03-11,25.5525
2020-03-12,25.5525
2020-03-13,25.5525
2020-03-14,25.5525
2020-03-15,25.5525
2020-03-16,25.5525
2020-03-17,25.5525
2020-03-18,25.5525
2020-03-19,25.5525
2020-03-20,25.5525
2020-03-21,25.5525
2020-03-22,25.5525
2020-03-23,25.5525
2020-03-24,25.5525
2020-03-25,25.5525
2020-03-26,25.5525
2020-03-27,25.5525
2020-03-28,25.5525
2020-03-29,30.1565
2020-03-30,30.1565
2020-03-31,30.1565
2020-04-01,30.1565
2020-04-02,30.1565
2020-04-03,30.1565
2020-04-04,30.1565
2020-04-05,30.1565
2020-04-06,30.1565
2020-04-07,30.1565
2020-04-08,30.1565
2020-04-09,30.1565
2020-04-10,30.1565
2020-04-11,30.1565
2020-04-12,30.1565
2020-04-13,30.1565
2020-04-14,30.1565
2020-04-15,30.1565
2020-04-16,30.1565
2020-04-17,30.1565
2020-04-18,30.1565
2020-04-19,30.1565
2020-04-20,30.1565
2020-04-21,30.1565
2020-04-22,30.1565
2020-04-23,30.1565
2020-04-24,30.1565
2020-04-25,30.1565
2020-04-26,30.1565
2020-04-27,30.1565
2020-04-28,30.1565
2020-04-29,30.1565
2020-04-30,30.1565
2020-05-01,30.1565
2020-05-02,30.1565
2020-05-03,30.1565
2020-05-04,30.1565
2020-05-05,30.1565
2020-05-06,30.1565
2020-05-07,30.1565
2020-05-08,30.1565
2020-05-09,30.1565
2020-05-10,30.1565
2020-05-11,30.1565
2020-05-12,30.1565
2020-05-13,30.1565
2020-05-14,30.1565
2020-05-15,30.1565
2020-05-16,30.1565
2020-05-17,30.1565
2020-05-18,30.1565
2020-05-19,30.1565
2020-05-20,30.1565
2020-05-21,30.1565
2020-05-22,30.1565
2020-05-23,30.1565
2020-05-24,30.1565
2020-05-25,30.1565
2020-05-26,30.1565
2020-05-27,30.1565
2020-05-28,30.1565
2020-05-29,30.1565
2020-05-30,30.1565
2020-05-31,30.1565
2020-06-01,30.1565
2020-06-02,30.1565
2020-06-03,30.1565
2020-06-04,30.1565
2020-06-05,30.1565
2020-06-06,30.1565
2020-06-07,30.1565
2020-06-08,30.1565
2020-06-09,30.1565
2020-06-10,30.1565
2020-06-11,30.1565
2020-06-12,30.1565
2020-06-13,30.1565
2020-06-14,30.1565
2020-06-15,30.1565
2020-06-16,30.1565
2020-06-17,30.1565
2020-06-18,30.1565
2020-06-19,30.1565
2020-06-20,30.1565
2020-06-21,30.1565
2020-06-22,30.1565
2020-06-23,30.1565
2020-06-24,30.1565
2020-06-25,30.1565
2020-06-26,30.1565
2020-06-27,30.1565
2020-06-28,33.9951
2020-06-29,33.9951
2020-06-30,33.9951
2020-07-01,33.9951
2020-07-02,33.9951
2020-07-03,33.9951
2020-07-04,33.9951
2020-07-05,33.9951
2020-07-06,33.9951
2020-07-07,33.9951
2020-07-08,33.9951
2020-07-09,33.9951
2020-07-10,33.9951
2020-07-11,33.9951
2020-07-12,33.9951
2020-07-13,33.9951
2020-07-14,33.9951
2020-07-15,33.9951
2020-07-16,33.9951
2020-07-17,33.9951
2020-07-18,33.9951
2020-07-19,33.9951
2020-07-20,33.9951
2020-07-21,33.9951
2020-07-22,33.9951
2020-07-23,33.9951
2020-07-24,33.9951
2020-07-25,33.9951
2020-07-26,33.9951
2020-07-27,33.9951
2020-07-28,33.9951
2020-07-29,33.9951
2020-07-30,33.9951
2020-07-31,33.9951
2020-08-01,33.9951
2020-08-02,33.9951
2020-08-03,33.9951
2020-08-04,33.9951
2020-08-05,33.9951
2020-08-06,33.9951
2020-08-07,33.9951
2020-08-08,33.9951
2020-08-09,33.9951
2020-08-10,33.9951
