,ARCH US Equity
,RETURN_COM_EQY
2020-01-01,34.7564
2020-01-02,34.7564
2020-01-03,34.7564
2020-01-04,34.7564
2020-01-05,34.7564
2020-01-06,34.7564
2020-01-07,34.7564
2020-01-08,34.7564
2020-01-09,34.7564
2020-01-10,34.7564
2020-01-11,34.7564
2020-01-12,34.7564
2020-01-13,34.7564
2020-01-14,34.7564
2020-01-15,34.7564
2020-01-16,34.7564
2020-01-17,34.7564
2020-01-18,34.7564
2020-01-19,34.7564
2020-01-20,34.7564
2020-01-21,34.7564
2020-01-22,34.7564
2020-01-23,34.7564
2020-01-24,34.7564
2020-01-25,34.7564
2020-01-26,34.7564
2020-01-27,34.7564
2020-01-28,34.7564
2020-01-29,34.7564
2020-01-30,34.7564
2020-01-31,34.7564
2020-02-01,34.7564
2020-02-02,34.7564
2020-02-03,34.7564
2020-02-04,34.7564
2020-02-05,34.7564
2020-02-06,34.7564
2020-02-07,34.7564
2020-02-08,34.7564
2020-02-09,34.7564
2020-02-10,34.7564
2020-02-11,34.7564
2020-02-12,34.7564
2020-02-13,34.7564
2020-02-14,34.7564
2020-02-15,34.7564
2020-02-16,34.7564
2020-02-17,34.7564
2020-02-18,34.7564
2020-02-19,34.7564
2020-02-20,34.7564
2020-02-21,34.7564
2020-02-22,34.7564
2020-02-23,34.7564
2020-02-24,34.7564
2020-02-25,34.7564
2020-02-26,34.7564
2020-02-27,34.7564
2020-02-28,34.7564
2020-02-29,34.7564
2020-03-01,34.7564
2020-03-02,34.7564
2020-03-03,34.7564
2020-03-04,34.7564
2020-03-05,34.7564
2020-03-06,34.7564
2020-03-07,34.7564
2020-03-08,34.7564
2020-03-09,34.7564
2020-03-10,34.7564
2020-03-11,34.7564
2020-03-12,34.7564
2020-03-13,34.7564
2020-03-14,34.7564
2020-03-15,34.7564
2020-03-16,34.7564
2020-03-17,34.7564
2020-03-18,34.7564
2020-03-19,34.7564
2020-03-20,34.7564
2020-03-21,34.7564
2020-03-22,34.7564
2020-03-23,34.7564
2020-03-24,34.7564
2020-03-25,34.7564
2020-03-26,34.7564
2020-03-27,34.7564
2020-03-28,34.7564
2020-03-29,34.7564
2020-03-30,34.7564
2020-03-31,20.9875
2020-04-01,20.9875
2020-04-02,20.9875
2020-04-03,20.9875
2020-04-04,20.9875
2020-04-05,20.9875
2020-04-06,20.9875
2020-04-07,20.9875
2020-04-08,20.9875
2020-04-09,20.9875
2020-04-10,20.9875
2020-04-11,20.9875
2020-04-12,20.9875
2020-04-13,20.9875
2020-04-14,20.9875
2020-04-15,20.9875
2020-04-16,20.9875
2020-04-17,20.9875
2020-04-18,20.9875
2020-04-19,20.9875
2020-04-20,20.9875
2020-04-21,20.9875
2020-04-22,20.9875
2020-04-23,20.9875
2020-04-24,20.9875
2020-04-25,20.9875
2020-04-26,20.9875
2020-04-27,20.9875
2020-04-28,20.9875
2020-04-29,20.9875
2020-04-30,20.9875
2020-05-01,20.9875
2020-05-02,20.9875
2020-05-03,20.9875
2020-05-04,20.9875
2020-05-05,20.9875
2020-05-06,20.9875
2020-05-07,20.9875
2020-05-08,20.9875
2020-05-09,20.9875
2020-05-10,20.9875
2020-05-11,20.9875
2020-05-12,20.9875
2020-05-13,20.9875
2020-05-14,20.9875
2020-05-15,20.9875
2020-05-16,20.9875
